tickers,P/E,P/B
PSHG,4.7106,0.2526
LTRPB,-9.0163,-49.9044
UPLD,-21.3764,3.5709
OESX,5.943,2.6744
CMMB,-0.6643,2.156
ZG,-167.5568,5.7285
UTSI,-2.1075,0.6447
MMLP,-15.1291,-2.1856
CLSN,-4.4722,5.1625
GOVX,,
WHLM,-4.5613,1.3654
ECOR,,
VQS,,
APYX,-25.9671,4.8478
AGIO,-8.6599,7.0963
CRKN,,
CJJD,-4.2174,1.3303
VITL,79.4395,4.9213
CONN,-208.1533,1.172
SRPT,-9.7665,7.1044
CTLP,-18.1502,7.502
THMO,-1.6828,4.7442
GP,,
FBIO,-6.517,3.022
SIEB,44.0596,
GLYC,-2.0403,0.812
MBIO,-4.3716,2.6653
TGA,-1.5746,0.8812
SUMR,-21.9998,4.7351
ISPC,-8.8633,-1.5116
ZY,-13.5859,-4.7895
SNDL,,
BZ,-95.4479,-37.4013
USAK,26.1618,1.4659
SHCR,,
BBIG,,
APA,-1.4816,-4.3245
ARRY,29.1081,-21.255
VACC,-28.2287,-13.399
EXAS,-21.853,6.5674
CABA,-5.588,1.7007
ALTO,-25.5291,1.3027
RUTH,-27.4847,6.4703
VSTA,,
APRE,-1.6758,1.158
CSSE,-12.7468,18.0444
KROS,-18.9333,3.2815
FFHL,11.6272,1.0009
INMB,,
AKUS,-7.7119,1.2066
LPTX,-3.0797,1.8163
TTOO,-3.6484,19.5664
ICPT,-2.0872,-3.4385
GERN,-5.1397,1.8424
LGND,-634.1552,2.6679
DRRX,-551.1505,7.9963
ULCC,,
EDUT,,
PRTS,-607.3762,11.007
UNAM,-1.0096,0.6193
MCHI,,
FLYW,-299.2896,-40.6572
CELU,,
INSM,-9.6395,10.2756
RGLS,-3.895,2.3543
AKRO,-9.4308,2.8873
EOSE,-12.0437,6.7269
SGLB,-6.8005,6.8484
VEV,,
PDCE,-5.3871,1.4918
MUDS,,
IPDN,-4.3435,5.6491
GNCA,-2.6347,12.8225
VIVE,-1.2349,3.8804
HYW,12.2501,2.5994
BTCS,,
NXTC,-5.2277,0.6515
CLPS,24.021,2.5807
TFFP,,
POAI,-2.8522,27.9454
NH,-4.0906,-2.0612
SXTC,-7.0615,1.2158
IMMR,43.5449,3.6759
ACCD,-54.2205,7.0267
TTNP,-1.2112,6.2558
VERX,,
INSG,-8.0566,-32.2217
AVPT,,
AESE,,
SLP,101.8073,6.0888
SEAC,-2.4693,1.7035
ZIOP,-6.1183,3.9467
CVGI,-7.7883,3.0256
TMDX,-27.428,7.5897
ENTX,,
BLPH,-1.5993,1.0339
KRYS,-40.3425,4.4429
CHEK,-3.6735,3.1056
GALT,-6.9468,7.4286
DLO,469.1391,293.4879
TRHC,-13.277,6.3786
CTXS,24.8121,111.6109
DYN,-15.5756,2.704
SPPI,-3.2848,3.9363
HIHO,-29.6989,1.4034
IDRA,-0.4765,-0.5888
HOMB,16.2457,1.337
STKL,14.2901,3.3273
CRTO,33.0139,2.1183
TDAC,,
BBBY,-19.7835,2.3359
ALPP,,
CRON,,
PRPO,-6.6465,4.996
DMRC,-14.9339,5.7991
SPOK,-3.6271,0.7996
NBEV,-6.6317,1.8087
IOVA,-13.3005,5.2591
SNGX,-2.1593,10.2076
EOLS,-3.609,-8.0637
AOSL,-103.826,2.3318
SUPN,11.0225,1.8786
LIND,-6.9519,16.1692
ACRX,-3.4828,-2.5226
AEY,-1.6169,1.8767
ARQT,-8.6391,4.3313
KC,-43.781,5.1127
CTMX,-10.7192,7.0779
CXSE,,
FLXS,-8.8011,1.3461
CLIR,-18.7487,13.5289
MNOV,-12.8191,2.4899
CAAS,-26.0815,0.4284
ENLV,-10.1298,3.3752
KRON,-12.6614,2.4055
RXDX,-21.9283,-8.349
FLUX,-9.4563,-21.1162
BGFV,8.7853,2.1125
SWIM,205.5162,15.1602
EGLX,,
PRAX,-11.2781,2.4255
ATIF,-2.6498,2.266
GNUS,-1.1757,3.9619
DENN,-176.5625,-6.9247
CCLP,-1.0135,-2.9541
EYEN,,
NXTD,-14.1198,3.6888
CERS,-14.4511,8.3328
GRTX,-2.9266,35.5026
IONM,,
SEEL,-12.0522,89.5059
REPL,-18.9129,3.0668
CAPR,-7.3591,3.564
SBGI,-0.8835,-1.6741
ANGI,,
VERU,-28.9137,18.2189
IMGN,-25.4917,12.6283
KERN,-5.5934,2.7264
PXS,-2.3383,0.5458
LFST,,
WW,28.5954,-3.9162
STOK,-20.1246,3.6751
KIRK,16.669,2.9219
ACRS,-17.9153,24.2749
PDSB,-20.4224,11.1767
ETTX,,
TACO,-3.4512,1.4557
MBRX,-5.133,5.0159
EDUC,7.2291,2.2668
FHTX,-4.8694,2.2917
LOOP,,
AMYT,-3.6217,5.7236
IAS,-80.4738,6.038
SND,3.2283,0.4243
FLNT,88.4209,0.8998
BWMX,,
FORA,-66.9056,29.573
OPK,76.6102,1.4018
SNDX,-9.689,2.8107
VRDN,-1.2072,-2.1995
TOUR,-1.3661,1.2904
AXLA,-2.2963,1.722
GLTO,,
SPWR,9.013,10.5937
SYRS,-3.4041,3.1592
CETX,-2.411,0.776
SRNE,-8.2001,14.8192
CRMD,-10.0456,5.0038
ICAD,-20.8419,12.0238
SYPR,40.6307,4.5869
CASA,25.8988,8.4101
AUVI,,
CYTO,-3.7072,1.8128
PPSI,-11.5432,2.487
GRWG,454.6199,7.6417
APPN,-247.2119,27.9021
BMEA,-71.822,73.9757
DBGI,-5.0445,-9.229
NVAX,-31.8342,21.2289
VTGN,-26.7889,5.2236
TRVI,,
CAN,-35.7481,17.7761
HOOK,-5.2381,1.479
VLON,,
LJPC,-2.5172,-1.0787
NVVE,-207.5577,3.8412
GRPN,-3.7277,9.9681
CMPI,-2.9414,0.8671
GLNG,-4.4852,0.9493
BKYI,,
VTVT,-18.3229,-1.9441
PGEN,-6.651,16.8835
CZR,-10.612,3.7171
SSB,40.1647,1.0424
PSCE,,
ALLO,-12.4672,2.8895
MUDSU,,
AUGX,,
ITCI,-12.2968,4.2497
CIH,3.3736,3.0533
SOLO,,
KALV,-10.5866,1.9035
TXMD,-2.1526,-3.1858
ARTL,-5.2599,6.319
QUMU,-4.6359,14.7834
MLCO,-5.2807,6.0539
HMPT,1.1444,0.749
FTCVU,,
DLPN,,
ASLN,,
OLMA,-41.9825,2.7465
VWE,,
BWEN,-49.5382,1.8116
CARA,71.2908,2.4078
STAA,1025.3433,30.7413
CLGN,-28.4345,36.6721
BLNK,-81.5343,53.568
LAZR,-17.3489,42.2578
ADAP,-4.2821,1.6325
IMCR,,
ATAI,-14.129,26.4221
CYCC,-5.4235,1.3771
GEVO,-29.8869,8.205
ONCY,-6.0698,5.5186
TOPS,-2.3392,0.3977
ETNB,-6.3529,1.5494
ITMR,,
RARE,-29.0265,4.6912
CLLS,-6.8333,2.0104
APVO,-5.1652,5.525
PNTG,61.6303,10.0468
ARWR,-85.3976,15.6366
PAYS,-14.7933,10.2171
FREQ,-10.8044,1.488
BCDA,,
EVGN,-4.356,2.2112
AFRM,-134.7293,-41.325
AVAH,-33.3787,7.1275
OPEN,-30.6901,5.5004
MIRM,-4.2699,2.5623
OCGN,-61.1151,61.8851
HYRE,,
REAL,-8.5877,7.8936
CAKE,-9.321,8.1803
ENG,-142.2247,6.525
CSCW,-4.0086,7.0717
HYFM,-297.9971,10.2757
CNTY,-6.9088,2.8068
IDEX,-11.2534,5.9237
ETON,-4.5207,8.0728
ACTG,2.4667,0.9941
BIVI,-18.9361,-14.689
MDNA,,
ZYNE,-3.5436,3.0248
ASTS,,
DCPH,-6.6407,3.255
LFMD,,
CLVS,-1.549,-3.6027
YTEN,-3.3868,3.6263
FLL,1925.5875,4.9943
RGNX,-12.3629,3.6409
TENX,-4.4256,9.4255
OBSV,-1.7481,17.3608
OTRK,-22.1965,8.2975
RXRX,-58.7514,-24.7794
VS,,
POTX,,
PXI,,
STKS,-22.7346,12.5791
DBTX,-4.5139,-3.2413
MCHX,-2.7353,1.9959
BHAT,4.6276,0.6513
PSNL,-22.5828,4.782
AEZS,-16.5823,6.424
RDUS,-6.5484,-5.7831
SBLK,191.3632,1.193
LTBR,-2.7952,2.3424
OYST,-5.2568,1.986
CMRX,-13.139,7.7932
OPT,-25.4127,6.4815
SANA,-10.3103,-6.9841
PSTI,-3.5957,1.8684
APLT,-4.7861,5.4883
NLSP,,
APPS,109.022,41.2626
COUP,-88.5813,15.3325
AVRO,-2.682,1.2623
SELB,-5.781,-22.1134
STIM,,
SALM,-1.0487,0.4191
YTRA,-724.4984,736.7097
CGRN,-3.826,5.34
WVE,-1.8659,3.3792
IMTE,-4.1508,26.4265
CD,-104.2511,3.0329
HCSG,19.746,4.0556
MSGM,,
TOMZ,,
ADTX,,
CLBS,-9.7127,2.4359
BRY,-1.6988,0.6255
BJRI,-16.3318,3.2179
HSTO,-1.9923,4.7575
NDRA,,
FTEK,-13.7241,2.6303
LIDR,,
WINT,-1.5498,0.7257
CFLT,-44.4048,-33.3241
ESEA,31.6072,3.613
FPAY,-154.1181,-4.4966
MYSZ,-3.1019,9.1997
STAF,-1.1769,-1.1483
FTCV,,
TCDA,-0.678,1.649
ALRN,,
KOPN,-135.9066,21.0828
TLS,1108.762,14.7162
NEPH,,
BNTC,-3.4567,2.7936
HUSN,-2.1741,31.2621
EWEB,,
ATOM,-27.3992,10.9156
LCID,,
DTEA,-2.155,-3.852
USEG,-2.8324,2.1288
GBS,-14.0388,-1.9545
FAMI,76.5406,2.2287
MTC,-13.5011,15.9341
MVIS,-165.5955,250.6082
SUNW,-14.6617,6.8618
POSH,176.8487,-29.8553
SPRB,-7.2866,1.4404
FANG,-3.0916,1.588
ACST,-2.0695,0.7316
GMBL,-18.8683,17.1416
ARVL,,
ATY,,
IMV,-2.9543,2.6152
YGMZ,61.5889,2.2647
ONCT,-11.1816,1.7052
EWTX,-50.3754,-25.8102
CELC,-26.3138,21.3037
HIMX,50.3966,4.9469
TDUP,-46.9485,-10.1169
ELDN,-4.0704,0.4872
NAKD,-4.8197,3.6932
GTEC,10.8919,1.6399
CGEN,-19.1312,4.7433
HITI,,
ATRA,-3.5244,2.3374
JRJC,-1.9682,1.353
PLAY,-7.7434,10.4592
PAHC,28.5742,5.094
OM,-15.6141,5.7728
SHLS,143.5393,-26.3234
MRNS,-8.0025,4.0682
PBYI,-5.1114,-51.5306
GLMD,-1.8457,1.2027
