tickers,P/E,P/B
WRLD,14.3734,3.1337
POWI,82.1567,7.2156
ICLR,38.6415,6.9406
AGBAU,-374.6299,1.3718
SIMO,32.4819,4.6443
THRM,46.0632,4.6893
CLFD,82.0061,7.2272
CIGI,105.3095,8.8735
MBUU,28.3302,6.8507
MCBS,14.0354,2.0864
ALGN,30.957,17.0002
COOP,10.5017,1.2797
CYCCP,-11.7545,2.9847
CPRT,49.6881,13.9694
ASML,71.8859,18.4243
CLAR,173.8463,4.7117
HWKN,18.7951,2.9038
OLLI,25.0437,4.5532
FFIV,40.5121,5.5796
JVA,-359.5834,1.2787
UNIT,-3.8697,-1.2762
MIDD,51.386,5.3889
CPSS,5.286,0.8592
XPEL,139.8627,47.8979
GMAB,37.5931,9.3545
GOOGL,44.6147,8.073
GRBK,11.1929,1.9876
MANH,116.0078,46.2342
PTGX,-35.5317,8.4062
ADSK,58.4778,73.1775
GCBC,14.061,2.0443
FIVN,-323.4576,48.8146
WINA,25.6757,-67.2954
MNTX,-11.7012,2.3111
LULU,88.4413,20.3568
AMRK,18.7498,5.6635
CHKP,20.5978,5.0309
TTEK,41.5255,6.9598
VICR,281.4261,14.3673
DGICB,9.1842,0.9368
DOMO,-33.0641,-33.5296
LBC,16.7953,1.0923
PZZA,72.0269,-14.7873
LKFN,20.0602,2.5747
SPSC,85.6372,9.279
CYBR,-962.8529,7.8385
IMXI,18.4946,6.6286
SHEN,20.8144,4.529
COST,47.4677,10.3897
SSNC,32.0051,3.5003
PCTY,175.7445,28.8302
VRSK,43.0011,11.3583
GRMN,30.4669,5.4808
WING,218.6432,-14.9298
RUSHA,22.7764,2.0636
MLAB,468.0687,3.7724
SBUX,154.2369,-18.3442
CG,51.3777,6.6524
FSV,92.8906,12.2737
ADTN,457.2846,2.9158
DSPG,-56.6712,2.4629
CWST,38.794,9.7596
MMSI,-400.3597,4.111
GAIA,443.3087,3.0993
TQQQ,,
BRKR,78.7161,12.9228
INTU,79.3095,28.3626
STLD,23.8827,3.0275
SMCI,22.8228,1.8058
MAT,59.8575,12.7102
HSIC,27.728,3.344
FRPH,44.5053,1.5392
CDNS,69.1898,16.3924
GOOG,44.7785,8.1026
SAIA,43.0225,6.1914
TRS,-17.606,2.4035
RCII,18.2732,6.423
ISRG,111.0065,12.0982
HBP,-189.668,3.9423
FISV,79.5683,2.3578
MGIC,33.9932,3.2874
ESGR,3.3525,0.9244
CGNX,90.6774,12.6573
PANW,-145.5574,35.273
LHCG,60.2621,4.399
IDXX,99.2247,91.3268
KLAC,43.7028,19.9507
DGICA,9.137,0.932
CSGP,154.5022,6.5283
SCHN,-348.0788,2.1321
SENEA,3.8597,0.8433
AXNX,-57.0314,10.8984
TECH,81.9286,13.6012
HCM,-57.8001,15.0113
CSWC,17.4328,1.642
SBAC,1549.8105,-7.7433
RADA,111.7254,8.7478
ROAD,43.576,4.5587
OFLX,79.5074,34.3256
