,Attribute,Recent
0,zip,95014
1,sector,Technology
2,fullTimeEmployees,147000
3,longBusinessSummary,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California."
4,city,Cupertino
5,phone,408-996-1010
6,state,CA
7,country,United States
8,companyOfficers,[]
9,website,http://www.apple.com
10,maxAge,1
11,address1,One Apple Park Way
12,industry,Consumer Electronics
13,ebitdaMargins,0.31955
14,profitMargins,0.25004
15,grossMargins,0.41005
16,operatingCashflow,104414003200
17,revenueGrowth,0.364
18,operatingMargins,0.28788
19,ebitda,110934999040
20,targetLowPrice,132
21,recommendationKey,buy
22,grossProfits,104956000000
23,freeCashflow,80625876992
24,targetMedianPrice,169.64
25,currentPrice,144.84
26,earningsGrowth,1
27,currentRatio,1.062
28,returnOnAssets,0.19302
29,numberOfAnalystOpinions,42
30,targetMeanPrice,167.92
31,debtToEquity,210.782
32,returnOnEquity,1.27125
33,targetHighPrice,190
34,totalCash,61696000000
35,totalDebt,135491002368
36,totalRevenue,347155005440
37,totalCashPerShare,3.732
38,financialCurrency,USD
39,revenuePerShare,20.61
40,quickRatio,0.887
41,recommendationMean,1.9
42,exchange,NMS
43,shortName,Apple Inc.
44,longName,Apple Inc.
45,exchangeTimezoneName,America/New_York
46,exchangeTimezoneShortName,EDT
47,isEsgPopulated,False
48,gmtOffSetMilliseconds,-14400000
49,quoteType,EQUITY
50,symbol,AAPL
51,messageBoardId,finmb_24937
52,market,us_market
53,annualHoldingsTurnover,
54,enterpriseToRevenue,7.109
55,beta3Year,
56,enterpriseToEbitda,22.247
57,52WeekChange,0.24883604
58,morningStarRiskRating,
59,forwardEps,5.68
60,revenueQuarterlyGrowth,
61,sharesOutstanding,16530199552
62,fundInceptionDate,
63,annualReportExpenseRatio,
64,totalAssets,
65,bookValue,3.882
66,sharesShort,101107412
67,sharesPercentSharesOut,0.0061000003
68,fundFamily,
69,lastFiscalYearEnd,1601078400
70,heldPercentInstitutions,0.58701
71,netIncomeToCommon,86801997824
72,trailingEps,5.108
73,lastDividendValue,0.22
74,SandP52WeekChange,0.3047781
75,priceToBook,37.310665
76,heldPercentInsiders,0.00072999997
77,nextFiscalYearEnd,1664150400
78,yield,
79,mostRecentQuarter,1624665600
80,shortRatio,1.18
81,sharesShortPreviousMonthDate,1630368000
82,floatShares,16512974627
83,beta,1.222222
84,enterpriseValue,2468024156160
85,priceHint,2
86,threeYearAverageReturn,
87,lastSplitDate,1598832000
88,lastSplitFactor,4:1
89,legalType,
90,lastDividendDate,1628208000
91,morningStarOverallRating,
92,earningsQuarterlyGrowth,0.932
93,priceToSalesTrailing12Months,6.896729
94,dateShortInterest,1632960000
95,pegRatio,1.38
96,ytdReturn,
97,forwardPE,25.5
98,lastCapGain,
99,shortPercentOfFloat,0.0061000003
100,sharesShortPriorMonth,96838699
101,impliedSharesOutstanding,
102,category,
103,fiveYearAverageReturn,
104,previousClose,143.76
105,regularMarketOpen,143.77
106,twoHundredDayAverage,138.76833
107,trailingAnnualDividendYield,0.0058082915
108,payoutRatio,0.16309999
109,volume24Hr,
110,regularMarketDayHigh,144.895
111,navPrice,
112,averageDailyVolume10Day,68793633
113,regularMarketPreviousClose,143.76
114,fiftyDayAverage,146.59706
115,trailingAnnualDividendRate,0.835
116,open,143.77
117,toCurrency,
118,averageVolume10days,68793633
119,expireDate,
120,algorithm,
121,dividendRate,0.88
122,exDividendDate,1628208000
123,circulatingSupply,
124,startDate,
125,regularMarketDayLow,143.515
126,currency,USD
127,trailingPE,28.35552
128,regularMarketVolume,65076405
129,lastMarket,
130,maxSupply,
131,openInterest,
132,marketCap,2394234028032
133,volumeAllCurrencies,
134,strikePrice,
135,averageVolume,77415270
136,dayLow,143.515
137,ask,144.97
138,askSize,1400
139,volume,65076405
140,fiftyTwoWeekHigh,157.26
141,fromCurrency,
142,fiveYearAvgDividendYield,1.24
143,fiftyTwoWeekLow,107.32
144,bid,144.86
145,tradeable,False
146,dividendYield,0.0061000003
147,bidSize,1800
148,dayHigh,144.895
149,regularMarketPrice,144.84
150,logo_url,https://logo.clearbit.com/apple.com
