,Attribute,Recent
0,zip,5504 DR
1,sector,Technology
2,fullTimeEmployees,27777
3,longBusinessSummary,"ASML Holding N.V. develops, produces, markets, sells, and services advanced semiconductor equipment systems consisting of lithography, metrology, and inspection related systems for memory and logic chipmakers. The company provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography solutions to manufacture various range of semiconductor nodes and technologies. It also offers metrology and inspection systems, including YieldStar optical metrology solutions to measure the quality of patterns on the wafers; and HMI e-beam solutions to locate and analyze individual chip defects. In addition, the company provides computational lithography and software solutions to create applications that enhance the setup of the lithography system; and mature products and services that refurbish used lithography equipment and offers associated services. It operates in Japan, South Korea, Singapore, Taiwan, China, the Netherlands, Europe, the Middle East, Africa, the United States, and rest of Asia. The company was formerly known as ASM Lithography Holding N.V. and changed its name to ASML Holding N.V. in 2001. ASML Holding N.V. was founded in 1984 and is headquartered in Veldhoven, the Netherlands."
4,city,Veldhoven
5,phone,31 480 235 0934
6,country,Netherlands
7,companyOfficers,[]
8,website,http://www.asml.com
9,maxAge,1
10,address1,De Run 6501
11,industry,Semiconductor Equipment & Materials
12,ebitdaMargins,0.35580003
13,profitMargins,0.28812
14,grossMargins,0.51154
15,operatingCashflow,7488699904
16,revenueGrowth,0.209
17,operatingMargins,0.33289
18,ebitda,5904999936
19,targetLowPrice,720
20,recommendationKey,buy
21,grossProfits,6797200000
22,freeCashflow,4811449856
23,targetMedianPrice,822.5
24,currentPrice,789.4
25,earningsGrowth,0.408
26,currentRatio,1.912
27,returnOnAssets,0.13249
28,numberOfAnalystOpinions,6
29,targetMeanPrice,847.5
30,debtToEquity,38.258
31,returnOnEquity,0.38573003
32,targetHighPrice,975
33,totalCash,5373300224
34,totalDebt,4626699776
35,totalRevenue,16596299776
36,totalCashPerShare,13.113
37,financialCurrency,EUR
38,revenuePerShare,39.919
39,quickRatio,1.209
40,recommendationMean,2
41,exchange,NMS
42,shortName,ASML Holding N.V. - New York Re
43,longName,ASML Holding N.V.
44,exchangeTimezoneName,America/New_York
45,exchangeTimezoneShortName,EDT
46,isEsgPopulated,False
47,gmtOffSetMilliseconds,-14400000
48,quoteType,EQUITY
49,symbol,ASML
50,messageBoardId,finmb_388904
51,market,us_market
52,annualHoldingsTurnover,
53,enterpriseToRevenue,19.446
54,beta3Year,
55,enterpriseToEbitda,54.654
56,52WeekChange,1.0487399
57,morningStarRiskRating,
58,forwardEps,19.46
59,revenueQuarterlyGrowth,
60,sharesOutstanding,413328992
61,fundInceptionDate,
62,annualReportExpenseRatio,
63,totalAssets,
64,bookValue,29.512
65,sharesShort,986651
66,sharesPercentSharesOut,0.0023999999
67,fundFamily,
68,lastFiscalYearEnd,1609372800
69,heldPercentInstitutions,0.19225
70,netIncomeToCommon,4781700096
71,trailingEps,13.317
72,lastDividendValue,1.886
73,SandP52WeekChange,0.3047781
74,priceToBook,26.748444
75,heldPercentInsiders,0
76,nextFiscalYearEnd,1672444800
77,yield,
78,mostRecentQuarter,1625356800
79,shortRatio,1.03
80,sharesShortPreviousMonthDate,1630368000
81,floatShares,409678485
82,beta,0.953854
83,enterpriseValue,322731245568
84,priceHint,2
85,threeYearAverageReturn,
86,lastSplitDate,1191196800
87,lastSplitFactor,8:9
88,legalType,
89,lastDividendDate,1620000000
90,morningStarOverallRating,
91,earningsQuarterlyGrowth,0.382
92,priceToSalesTrailing12Months,19.65992
93,dateShortInterest,1632960000
94,pegRatio,1.82
95,ytdReturn,
96,forwardPE,40.565266
97,lastCapGain,
98,shortPercentOfFloat,
99,sharesShortPriorMonth,878155
100,impliedSharesOutstanding,
101,category,
102,fiveYearAverageReturn,
103,previousClose,778.29
104,regularMarketOpen,780.96
105,twoHundredDayAverage,724.7447
106,trailingAnnualDividendYield,0.0019915455
107,payoutRatio,0.2384
108,volume24Hr,
109,regularMarketDayHigh,789.64
110,navPrice,
111,averageDailyVolume10Day,1004466
112,regularMarketPreviousClose,778.29
113,fiftyDayAverage,812.88824
114,trailingAnnualDividendRate,1.55
115,open,780.96
116,toCurrency,
117,averageVolume10days,1004466
118,expireDate,
119,algorithm,
120,dividendRate,3.27
121,exDividendDate,1620000000
122,circulatingSupply,
123,startDate,
124,regularMarketDayLow,775.84
125,currency,USD
126,trailingPE,59.277615
127,regularMarketVolume,877401
128,lastMarket,
129,maxSupply,
130,openInterest,
131,marketCap,326281920512
132,volumeAllCurrencies,
133,strikePrice,
134,averageVolume,835068
135,dayLow,775.84
136,ask,791.29
137,askSize,1400
138,volume,877401
139,fiftyTwoWeekHigh,895.93
140,fromCurrency,
141,fiveYearAvgDividendYield,0.85
142,fiftyTwoWeekLow,357.38
143,bid,789
144,tradeable,False
145,dividendYield,0.0041
146,bidSize,1000
147,dayHigh,789.64
148,regularMarketPrice,789.4
149,logo_url,https://logo.clearbit.com/asml.com
