,Attribute,Recent
0,zip,98027
1,sector,Consumer Defensive
2,fullTimeEmployees,288000
3,longBusinessSummary,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan. It offers branded and private-label products in a range of merchandise categories. The company offers sundries, dry groceries, candies, coolers, freezers, liquor, and tobacco and deli products; appliances, electronics, health and beauty aids, hardware, garden and patio products, sporting goods, tires, toys and seasonal products, office supplies, automotive care products, postages, tickets, apparel, small appliances, furniture, domestics, housewares, special order kiosks, and jewelry; and meat, produce, service deli, and bakery products. It also operates pharmacies, opticals, food courts, hearing-aid centers, and tire installation centers, as well as 636 gas stations; and offers business delivery, travel, same-day grocery, and various other services online in various countries. As of August 29, 2021, the company operated 815 membership warehouses, including 564 in the United States and Puerto Rico, 105 in Canada, 39 in Mexico, 30 in Japan, 29 in the United Kingdom, 16 in South Korea, 14 in Taiwan, 12 in Australia, 3 in Spain, 1 in Iceland, 1 in France, and 1 in China. It also operates e-commerce websites in the United States, Canada, the United Kingdom, Mexico, South Korea, Taiwan, Japan, and Australia. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington."
4,city,Issaquah
5,phone,425 313 8100
6,state,WA
7,country,United States
8,companyOfficers,[]
9,website,http://www.costco.com
10,maxAge,1
11,address1,999 Lake Drive
12,industry,Discount Stores
13,ebitdaMargins,0.04596
14,profitMargins,0.02555
15,grossMargins,0.12885
16,operatingCashflow,8958000128
17,revenueGrowth,0.174
18,operatingMargins,0.03687
19,ebitda,9004000256
20,targetLowPrice,249
21,recommendationKey,buy
22,grossProfits,25245000000
23,freeCashflow,4611500032
24,targetMedianPrice,495
25,currentPrice,452.39
26,earningsGrowth,0.201
27,currentRatio,1.002
28,returnOnAssets,0.07863
29,numberOfAnalystOpinions,31
30,targetMeanPrice,476.12
31,debtToEquity,63.099
32,returnOnEquity,0.27616
33,targetHighPrice,525
34,totalCash,12174999552
35,totalDebt,11406999552
36,totalRevenue,195928997888
37,totalCashPerShare,27.556
38,financialCurrency,USD
39,revenuePerShare,442.189
40,quickRatio,0.475
41,recommendationMean,2.2
42,exchange,NMS
43,shortName,Costco Wholesale Corporation
44,longName,Costco Wholesale Corporation
45,exchangeTimezoneName,America/New_York
46,exchangeTimezoneShortName,EDT
47,isEsgPopulated,False
48,gmtOffSetMilliseconds,-14400000
49,quoteType,EQUITY
50,symbol,COST
51,messageBoardId,finmb_92817
52,market,us_market
53,annualHoldingsTurnover,
54,enterpriseToRevenue,1.019
55,beta3Year,
56,enterpriseToEbitda,22.17
57,52WeekChange,0.20457447
58,morningStarRiskRating,
59,forwardEps,13.27
60,revenueQuarterlyGrowth,
61,sharesOutstanding,441824000
62,fundInceptionDate,
63,annualReportExpenseRatio,
64,totalAssets,
65,bookValue,39.753
66,sharesShort,4947073
67,sharesPercentSharesOut,0.0112
68,fundFamily,
69,lastFiscalYearEnd,1630195200
70,heldPercentInstitutions,0.69348997
71,netIncomeToCommon,5007000064
72,trailingEps,11.27
73,lastDividendValue,0.79
74,SandP52WeekChange,0.3047781
75,priceToBook,11.380022
76,heldPercentInsiders,0.00195
77,nextFiscalYearEnd,1693267200
78,yield,
79,mostRecentQuarter,1630195200
80,shortRatio,2.69
81,sharesShortPreviousMonthDate,1630368000
82,floatShares,440569031
83,beta,0.637566
84,enterpriseValue,199622672384
85,priceHint,2
86,threeYearAverageReturn,
87,lastSplitDate,947808000
88,lastSplitFactor,2:1
89,legalType,
90,lastDividendDate,1627516800
91,morningStarOverallRating,
92,earningsQuarterlyGrowth,0.202
93,priceToSalesTrailing12Months,1.020149
94,dateShortInterest,1632960000
95,pegRatio,3.9
96,ytdReturn,
97,forwardPE,34.091183
98,lastCapGain,
99,shortPercentOfFloat,0.0112
100,sharesShortPriorMonth,5141691
101,impliedSharesOutstanding,
102,category,
103,fiveYearAverageReturn,
104,previousClose,450.66
105,regularMarketOpen,453.89
106,twoHundredDayAverage,412.2549
107,trailingAnnualDividendYield,0.006612524
108,payoutRatio,0.2644
109,volume24Hr,
110,regularMarketDayHigh,453.89
111,navPrice,
112,averageDailyVolume10Day,1421750
113,regularMarketPreviousClose,450.66
114,fiftyDayAverage,454.9509
115,trailingAnnualDividendRate,2.98
116,open,453.89
117,toCurrency,
118,averageVolume10days,1421750
119,expireDate,
120,algorithm,
121,dividendRate,3.16
122,exDividendDate,1635379200
123,circulatingSupply,
124,startDate,
125,regularMarketDayLow,449.21
126,currency,USD
127,trailingPE,40.141083
128,regularMarketVolume,1494790
129,lastMarket,
130,maxSupply,
131,openInterest,
132,marketCap,199876771840
133,volumeAllCurrencies,
134,strikePrice,
135,averageVolume,1706803
136,dayLow,449.21
137,ask,452.95
138,askSize,800
139,volume,1494790
140,fiftyTwoWeekHigh,470.49
141,fromCurrency,
142,fiveYearAvgDividendYield,0.93
143,fiftyTwoWeekLow,307
144,bid,452.01
145,tradeable,False
146,dividendYield,0.0069999998
147,bidSize,800
148,dayHigh,453.89
149,regularMarketPrice,452.39
150,logo_url,https://logo.clearbit.com/costco.com
