,COST,COST,COST,COST,COST,COST,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,ASML,ASML,ASML,ASML,ASML,ASML
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,295.0,295.45001220703125,292.17999267578125,293.9200134277344,282.31103515625,1550700,87.44000244140625,87.98999786376953,87.30999755859375,87.91999816894531,85.1078872680664,4115600,72.48249816894531,73.41999816894531,72.37999725341797,73.4124984741211,72.44355010986328,100805600,294.9800109863281,296.489990234375,293.3599853515625,295.94000244140625,292.4575500488281,298900
2020-01-02,294.05999755859375,294.5799865722656,291.0,291.489990234375,279.9768981933594,2103600,88.12000274658203,89.3499984741211,88.05000305175781,89.3499984741211,86.49215698242188,6473800,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,74.0964584350586,135480400,301.2699890136719,303.32000732421875,300.6099853515625,302.8299865722656,299.2664489746094,573600
2020-01-03,290.04998779296875,292.8999938964844,289.3299865722656,291.7300109863281,280.20751953125,1926000,88.66000366210938,89.0999984741211,88.0999984741211,88.83000183105469,85.98877716064453,4874100,74.2874984741211,75.1449966430664,74.125,74.35749816894531,73.37608337402344,146322800,298.0400085449219,300.75,297.6600036621094,297.95001220703125,294.4438781738281,410800
2020-01-06,290.54998779296875,292.07000732421875,288.6199951171875,291.80999755859375,280.2843017578125,2655100,88.11000061035156,88.41000366210938,87.47000122070312,88.12999725341797,85.31117248535156,5409800,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.96076202392578,118387200,293.1700134277344,295.7200012207031,292.42999267578125,295.5799865722656,292.10174560546875,617600
2020-01-07,291.32000732421875,291.69000244140625,289.2799987792969,291.3500061035156,279.8424987792969,1963400,87.95999908447266,88.02999877929688,87.12999725341797,87.86000061035156,85.0498046875,6514700,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,73.61292266845703,108872000,298.6700134277344,301.2200012207031,297.4100036621094,298.7900085449219,295.2740173339844,477700
2020-01-08,290.989990234375,295.4800109863281,290.5,294.69000244140625,283.0505676269531,2492800,87.94000244140625,89.3499984741211,87.77999877929688,88.87999725341797,86.03716278076172,7296300,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,74.79707336425781,132079200,300.6600036621094,303.19000244140625,299.94000244140625,301.8900146484375,298.3375244140625,536900
2020-01-09,298.54998779296875,301.9599914550781,297.7099914550781,299.4200134277344,287.5937194824219,3261200,90.25,91.16000366210938,90.06999969482422,90.52999877929688,87.63440704345703,9443500,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,76.3858413696289,170108400,303.2799987792969,303.9100036621094,300.2699890136719,301.3800048828125,297.8335266113281,579700
2020-01-10,300.0,300.2699890136719,296.6600036621094,297.239990234375,285.49981689453125,2024200,90.80000305175781,90.88999938964844,89.62999725341797,90.16000366210938,87.2762451171875,7097900,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,76.55851745605469,140644800,300.04998779296875,300.510009765625,295.55999755859375,296.17999267578125,292.6947326660156,447700
