Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,COST_daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
COST,2019-12-02,288.7702,0.06624729,1.0,0.5654,1.2668,-0.7015,1,1,-1,-139.1844,1,1.0,0.4391,1,1.0,26.2625,1,1.0,53.2746,48.8373,0.55583677,1.0,0.50447201,1.0,19.7119,1.0,35.7143,100.0,0.357143,1.0,-1,285.3217,287.9361,290.5506,5.2289,1.0,508658579.6314,1.0,287.91069327,288.34293122,282.64712776,285.6439209,2705500.0,0.0,0.0,285.6439209,1.0,0.28599587,74,,,,,,
COST,2019-12-03,287.9179,0.06165856,-0.00296022,0.1755,1.0486,-0.8731,1,1,-1,-216.6991,1,0.35770661,-0.3874,-1,2.13345379,20.0113,1,-0.3123835,48.4856,37.4859,0.50408282,-0.09877159,0.38334674,-0.30281786,21.9301,0.10114865,28.5714,100.0,0.285714,1.0,-1,283.2144,287.2866,291.3587,8.1443,1.0,510036008.2415,0.00270065,283.47323305,284.49136381,281.13921798,283.99191284,1921400.0,0.0,0.0,-1.65200806,-0.00578345,0.18226796,61,,,,,,
COST,2019-12-04,287.3682,0.058699,-0.00191288,-0.0669,0.8255,-0.8924,-1,1,-1,-155.3529,1,-0.39488288,-0.8891,-1,0.56427848,30.2649,0,0.33879511,40.3204,34.638,0.41584283,-0.20250791,0.35295819,-0.08221895,23.0761,0.04966177,21.4286,92.8571,0.214286,0.928571,-1,282.645,286.3795,290.114,7.469,0.0,510668888.8241,0.00123932,284.34729644,285.42305504,283.49243476,284.80831909,1742000.0,0.0,0.0,0.81640625,0.00287475,0.15853529,53,,,,,,
COST,2019-12-05,286.6505,0.05483494,-0.00250375,-0.5181,0.5568,-1.0749,-1,1,-1,-186.4457,1,0.16676598,-2.8086,-1,0.68343659,18.4014,1,-0.64470638,32.3131,24.8152,0.32930923,-0.24780352,0.24814386,-0.39583803,25.1327,0.08182965,14.2857,100.0,0.142857,1.0,-1,280.6971,284.9074,289.1176,8.4205,0.0,509230770.5738,-0.0028241,285.39417064,285.39417064,280.94703847,281.52334595,1941100.0,0.0,0.0,-3.28497314,-0.01153398,0.18487406,52,,,,,,
COST,2019-12-06,286.1392,0.05208213,-0.00178689,-0.724,0.3006,-1.0246,-1,1,-1,-138.1169,1,-0.34991228,-3.3616,-1,0.164505,35.4978,0,0.48161858,28.3543,25.6096,0.28652711,-0.13961903,0.25662052,0.03101962,26.9836,0.06859352,7.1429,92.8571,0.071429,0.928571,-1,281.1619,283.9734,286.7848,5.6229,0.0,508934878.3487,-0.0005814,283.3291374,284.29922533,282.63757418,283.30032349,1462000.0,0.0,0.0,1.77697754,0.00631201,0.12149434,58,,,,,,
COST,2019-12-09,285.7405,0.04993555,-0.00139532,-0.8609,0.0683,-0.9292,-1,1,-1,-105.6464,1,-0.30735075,-2.4651,-1,-0.36367693,37.36,0,0.04984475,27.4401,31.8953,0.2766475,-0.03331621,0.32369217,0.19707292,27.5114,0.01918477,0.0,85.7143,0.0,0.857143,-1,281.3764,283.5448,285.7132,4.3368,0.0,507866470.3486,-0.00210372,283.34833019,285.4518337,282.9160922,283.50201416,1960000.0,0.0,0.0,0.20169067,0.00071193,0.18737433,54,,,,,,
COST,2019-12-10,285.4263,0.04824392,-0.00110081,-0.9108,-0.1275,-0.7833,-1,-1,-1,-91.6344,0,-0.15291201,-1.682,-1,-0.46557669,43.3915,0,0.13900188,36.7762,52.8235,0.37754123,0.25386255,0.54700681,0.39619109,27.9865,0.01697604,0.0,78.5714,0.0,0.785714,-1,281.3739,283.5659,285.758,4.3841,0.0,508100685.0774,0.00046096,284.33759881,284.97153408,282.91604433,284.09747314,1565900.0,0.0,0.0,0.59545898,0.00210037,0.13523918,52,,,,,,
COST,2019-12-11,284.8555,0.04517076,-0.00200382,-0.9764,-0.2973,-0.6791,-1,-1,-1,-96.6058,0,0.05146068,-1.7304,-1,0.02797041,39.6928,0,-0.09318315,48.9456,62.118,0.50905397,0.24863113,0.6461839,0.14962652,29.152,0.0399801,0.0,71.4286,0.0,0.714286,-1,281.5626,283.3315,285.1003,3.5377,1.0,508737942.168,0.00125262,284.30880773,284.64498954,281.47531295,283.63644409,1749800.0,0.0,0.0,-0.46102905,-0.00162278,0.15956715,57,,,,,,
COST,2019-12-12,284.5268,0.04340106,-0.00115525,-0.8602,-0.4099,-0.4503,-1,-1,-1,-55.6198,0,-0.73689585,-1.8356,-1,0.05731096,58.4899,0,0.32137343,62.8383,73.5734,0.65919014,0.2210865,0.76841891,0.15570029,28.7744,-0.01312278,28.5714,64.2857,0.285714,0.642857,-1,282.4909,284.1463,285.8017,3.3108,-1.0,510856752.1686,0.00414756,283.60763849,285.99931029,282.50306618,285.59588623,2742700.0,0.0,0.0,1.95944214,0.00690829,0.29091703,56,,,,,,
COST,2019-12-13,283.7639,0.03929365,-0.0026885,-1.1787,-0.5636,-0.6151,-1,-1,-1,-138.4462,1,0.59825694,-4.1761,-1,0.56045114,28.6057,1,-1.04469389,65.5383,60.9235,0.6883686,0.04119728,0.63343798,-0.20763581,30.5823,0.05911589,21.4286,100.0,0.214286,1.0,-1,280.1213,283.5544,286.9875,6.8662,1.0,510539201.3557,-0.00062199,283.00253019,283.34829709,277.68133701,280.34191895,5195600.0,0.0,0.0,-5.25396729,-0.01839651,0.61540904,58,,,,,,
