Date,AAPL_daily_trend
2019-12-01,74
2019-12-02,78
2019-12-03,63
2019-12-04,58
2019-12-05,63
2019-12-06,62
2019-12-07,63
2019-12-08,63
2019-12-09,61
2019-12-10,59
2019-12-11,62
2019-12-12,59
2019-12-13,61
2019-12-14,65
2019-12-15,65
2019-12-16,62
2019-12-17,62
2019-12-18,58
2019-12-19,58
2019-12-20,63
2019-12-21,65
2019-12-22,67
2019-12-23,68
2019-12-24,72
2019-12-25,100
2019-12-26,86
2019-12-27,76
2019-12-28,69
2019-12-29,67
2019-12-30,64
2019-12-31,59
2020-01-01,98
2020-01-02,100
2020-01-03,97
2020-01-04,100
2020-01-05,94
2020-01-06,94
2020-01-07,88
2020-01-08,92
2020-01-09,89
2020-01-10,87
2020-01-11,94
2020-01-12,91
2020-01-13,85
2020-01-14,85
2020-01-15,84
2020-01-16,87
2020-01-17,88
2020-01-18,89
2020-01-19,87
2020-01-20,85
2020-01-21,86
2020-01-22,82
2020-01-23,82
2020-01-24,87
2020-01-25,89
2020-01-26,86
2020-01-27,82
2020-01-28,82
2020-01-29,82
2020-01-30,80
2020-01-31,83
2020-02-01,100
2020-02-02,99
2020-02-03,89
2020-02-04,96
2020-02-05,92
2020-02-06,91
2020-02-07,94
2020-02-08,99
2020-02-09,98
2020-02-10,91
2020-02-11,93
2020-02-12,94
2020-02-13,92
2020-02-14,92
2020-02-15,96
2020-02-16,96
2020-02-17,94
2020-02-18,96
2020-02-19,94
2020-02-20,89
2020-02-21,90
2020-02-22,96
2020-02-23,98
2020-02-24,95
2020-02-25,91
2020-02-26,92
2020-02-27,92
2020-02-28,93
2020-02-29,91
2020-03-01,92
2020-03-02,87
2020-03-03,95
2020-03-04,88
2020-03-05,89
2020-03-06,89
2020-03-07,92
2020-03-08,86
2020-03-09,92
2020-03-10,87
2020-03-11,84
2020-03-12,80
2020-03-13,79
2020-03-14,100
2020-03-15,91
2020-03-16,82
2020-03-17,84
2020-03-18,97
2020-03-19,93
2020-03-20,87
2020-03-21,94
2020-03-22,89
2020-03-23,85
2020-03-24,90
2020-03-25,88
2020-03-26,90
2020-03-27,89
2020-03-28,93
2020-03-29,92
2020-03-30,90
2020-03-31,87
2020-04-01,73
2020-04-02,77
2020-04-03,75
2020-04-04,81
2020-04-05,76
2020-04-06,74
2020-04-07,78
2020-04-08,75
2020-04-09,77
2020-04-10,81
2020-04-11,84
2020-04-12,83
2020-04-13,77
2020-04-14,80
2020-04-15,99
2020-04-16,100
2020-04-17,100
2020-04-18,99
2020-04-19,94
2020-04-20,85
2020-04-21,86
2020-04-22,86
2020-04-23,86
2020-04-24,91
2020-04-25,91
2020-04-26,94
2020-04-27,84
2020-04-28,85
2020-04-29,86
2020-04-30,88
2020-05-01,100
2020-05-02,96
2020-05-03,95
2020-05-04,96
2020-05-05,93
2020-05-06,92
2020-05-07,91
2020-05-08,92
2020-05-09,96
2020-05-10,98
2020-05-11,93
2020-05-12,90
