Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-02,35.55167031324093,35.55167031324093,35.103338458128825,35.40858459472656,8100,0.0,0
2019-12-03,35.17965612537247,35.713835110508356,35.14149944391379,35.675682067871094,6500,0.0,0
2019-12-04,35.85692241222894,35.97138882278165,35.61844860093155,35.713836669921875,6200,0.0,0
2019-12-05,35.93323589941646,35.93323589941646,35.332284452019934,35.64706802368164,5300,0.0,0
2019-12-06,35.303662353518405,36.09539717451968,35.303662353518405,35.97138977050781,16200,0.0,0
2019-12-09,36.08586020606184,36.08586020606184,35.33228206118905,35.41813278198242,7800,0.0,0
2019-12-10,35.53259633181174,35.723376100283744,35.360894904069085,35.675682067871094,9300,0.0,0
2019-12-11,35.675677453754396,35.971382599760595,35.341811992403564,35.55167007446289,8000,0.0,0
2019-12-12,35.51351710354513,35.570752124302764,34.96979714222225,35.14149856567383,12200,0.0,0
2019-12-13,35.02703517810397,35.360897064208984,34.836255397977546,35.360897064208984,7400,0.0,0
2019-12-16,35.29412459029785,35.74245652654347,35.06518812700899,35.63752746582031,8000,0.0,0
2019-12-17,35.65661232454465,35.7901571030285,35.360903430171646,35.589839935302734,10000,0.0,0
2019-12-18,35.71383736189921,35.93323283588514,35.561214265264574,35.77107238769531,3600,0.0,0
2019-12-19,35.904612144766446,35.952306173547086,35.31319818247999,35.37997055053711,19700,0.0,0
2019-12-20,35.427665461459675,35.78060564980993,35.3418147519884,35.57075119018555,31900,0.0,0
2019-12-23,35.49443713303583,35.83783996416651,35.29412002781665,35.51351547241211,9600,0.0,0
2019-12-24,35.38950719949766,35.43720486615428,35.294119143826556,35.32273483276367,3300,0.0,0
2019-12-26,35.48490377147233,35.52306045451393,35.30366134643555,35.30366134643555,4400,0.0,0
2019-12-27,35.47536657047636,35.65660901487192,35.45628822691778,35.64706802368164,9600,0.0,0
2019-12-30,35.5993643398054,35.666136704759836,35.40858459472656,35.40858459472656,11300,0.0,0
2019-12-31,35.53259485125551,35.77106864220353,35.49443817138672,35.49443817138672,10300,0.0,0
2020-01-02,35.4467478819644,35.4849045658602,34.86487118842932,35.084266662597656,11500,0.0,0
2020-01-03,34.616860967704206,35.017495243104555,34.616860967704206,34.998416900634766,10600,0.0,0
2020-01-06,34.817177069917555,35.17965828841963,34.75040469267002,35.017494201660156,9500,0.0,0
2020-01-07,34.998413863228905,35.27504434680033,34.67408934703311,34.77901840209961,31300,0.0,0
2020-01-08,34.88395301762679,35.141505201437674,34.61686348129935,34.81718063354492,74700,0.0,0
2020-01-09,34.87440967314742,34.91256271548033,34.626394884465846,34.78855895996094,7900,0.0,0
2020-01-10,34.597781262982956,34.94118413627456,34.588240272712845,34.750404357910156,14000,0.0,0
2020-01-13,34.75994178211055,35.160579681396484,34.75994178211055,35.160579681396484,46500,0.0,0
2020-01-14,34.98887643669701,35.589831435166865,34.98887643669701,35.399051666259766,15100,0.0,0
2020-01-15,35.523058541004794,35.6089092538131,35.40858849804613,35.47536087036133,16800,0.0,0
2020-01-16,35.66614109833562,36.94436081735553,35.61844706589591,36.83943176269531,34800,0.0,0
2020-01-17,37.011133030408246,37.678860398139555,36.67727116595329,37.39269256591797,15900,0.0,0
2020-01-21,37.37361552565634,37.77424977694215,36.686809793370344,37.23052978515625,9800,0.0,0
2020-01-22,37.192381593839535,37.68840397762728,36.93482941062935,37.211456298828125,8000,0.0,0
2020-01-23,37.278227025217625,37.46900315857488,37.02067487859954,37.24007034301758,3900,0.0,0
2020-01-24,37.35454205799668,37.37362040180729,37.07791153097589,37.211456298828125,10100,0.0,0
2020-01-27,37.14467863751746,37.46900315857488,37.14467863751746,37.24007034301758,10700,0.0,0
2020-01-28,37.39269369216021,37.57393247563434,37.20191391865919,37.44038772583008,9400,0.0,0
2020-01-29,37.335457975272284,37.39269299790639,37.1923758769192,37.38315200805664,5300,0.0,0
2020-01-30,37.125600723747766,37.583473637775654,37.125600723747766,37.57393264770508,4500,0.0,0
2020-01-31,37.354534230814956,37.373612570627934,35.91415414373708,35.980926513671875,14300,0.0,0
2020-02-03,36.162167546547096,36.21940256956756,35.7233766198546,35.732913970947266,19400,0.0,0
2020-02-04,35.54212974254238,35.54212974254238,35.2464245910732,35.2655029296875,9800,0.0,0
2020-02-05,35.37043624304914,36.84897309536692,35.360895253179564,36.28617477416992,21200,0.0,0
2020-02-06,36.52622717522449,36.52622717522449,35.68124509965107,35.90209197998047,10600,0.25,0
2020-02-07,35.834878382718266,36.18055303960852,35.65244060842364,35.815673828125,13800,0.0,0
2020-02-10,35.59482694464384,36.151748039165746,35.59482694464384,35.815673828125,6400,0.0,0
2020-02-11,36.11333603502156,36.11333603502156,35.6716423034668,35.6716423034668,3600,0.0,0
2020-02-12,35.671645163016905,35.998115265313885,35.527612835014544,35.815673828125,8500,0.0,0
