Ticker,Date,Volume,Close,Low,ADX_fluc_pctg,Chaikin_AD_fluc_pctg,MACD_Hist,BBANDS_Middle_Band,High,ADX,AROON_Up,Historic Deaths,Historic Cases,MACD_Signal,ROC_10,BBANDS_compare_high_low_price,RSI_5,MACD,SMA_10_fluc_pctg,BBANDS_width,RSI_5_polarize,Open,BBANDS_Upper_Band,MACD_polarize,ROC_10_polarize,Case 7-Day Moving Avg,Dividends,STOCH_SlowK_min_max,Death 7-Day Moving Avg,New Cases,STOCH_SlowD,CCI_20_polarize,daily_trend,STOCH_SlowD_fluc_pctg,STOCH_SlowK,AROON_polarize,Close_Change_pctg,AROON_Down_min_max,STOCH_SlowK_fluc_pctg,AROON_Up_min_max,Volume_min_max,AROON_Down,SMA_10_min_max,STOCH_SlowD_min_max
CMCSA,2020-01-24,39229300.0,43.04356384,42.67674168,-0.02921628,-0.00143104,-0.0598,44.8715,43.49726484,34.9952,71.4286,0.0,0.0,0.5864,0.6028,0.0,25.2622,0.5267,-0.00198582,4.5328,1,43.34281399,47.1379,1,1,1.0,0.0,0.33020554,0.0,1.0,58.1735,0,79,-0.24481678,33.234,-1,-0.02322027,1.0,-0.41107256,0.714286,0.5668603,100.0,0.42308492,0.60394139
CMCSA,2020-01-27,24048800.0,42.47402954,42.28096503,-0.01099579,-0.00480367,-0.1983,44.196,43.19801868,34.6104,64.2857,0.0,0.0,0.5369,-1.6997,0.0,20.9936,0.3385,-0.00211973,5.3673,1,42.40645752,46.8796,1,-1,1.0,0.0,0.05715074,0.0,0.0,32.3519,1,74,-0.44387221,7.3904,-1,-0.01323158,1.0,-0.77762532,0.642857,0.32345863,100.0,0.41957156,0.31369234
CMCSA,2020-01-28,15875700.0,42.51263809,42.29061522,-0.01000277,-0.00135341,-0.2772,43.5667,42.87945656,34.2642,57.1429,0.0,0.0,0.4676,-1.8939,0.0,22.109,0.1904,-0.00381284,4.9921,1,42.54159648,46.0628,1,-1,1.0,0.0,0.05671332,0.0,1.0,15.9911,1,71,-0.50571373,7.349,-1,0.00090899,0.928571,-0.00560186,0.571429,0.19241247,92.8571,0.41326534,0.12978791
CMCSA,2020-01-29,21913200.0,41.81761169,41.65350926,0.01715493,-0.00527756,-0.3607,42.7715,42.72501007,34.852,50.0,0.0,0.0,0.3774,-3.6687,0.0,16.7791,0.0167,-0.00589669,3.0014,1,42.72501007,44.2722,1,-1,0.0,0.0,0.03443244,0.0,0.0,6.6599,1,71,-0.58352459,5.2402,-1,-0.0163487,1.0,-0.28695061,0.5,0.28921676,100.0,0.40354976,0.02490007
CMCSA,2020-01-30,25105100.0,42.60917282,41.21911502,0.03064673,0.00817361,-0.3471,42.4801,42.65743803,35.9201,42.8571,0.0,0.0,0.2906,-1.3869,1.0,38.0425,-0.0564,-0.0046823,1.5729,0,41.38321746,43.2665,-1,-1,0.0,0.0,0.23126655,0.0,0.0,12.153,1,69,0.82480217,23.8698,-1,0.01892889,1.0,3.55513148,0.428571,0.34039517,100.0,0.39588053,0.08664555
CMCSA,2020-01-31,24008300.0,41.69212341,41.50871414,0.02676217,-0.00554053,-0.3815,42.2099,42.60917714,36.8814,35.7143,0.0,0.0,0.1952,-4.36,0.0,27.7679,-0.1862,-0.00808961,1.5407,1,42.58987032,42.9802,-1,-1,1.0,0.0,0.29377513,0.0,3.0,19.632,1,72,0.6154036,29.786,-1,-0.02152235,0.928571,0.24785294,0.357143,0.32280926,92.8571,0.38269244,0.17071364
CMCSA,2020-02-03,26383600.0,41.18050003,41.14188639,0.03613475,-0.008472,-0.4175,41.9512,42.13616727,38.2141,28.5714,282.0,477.0,0.0909,-4.7781,0.0,23.3669,-0.3266,-0.01072789,2.1359,1,42.04928843,43.0192,-1,-1,4.0,0.0,0.28596922,0.0,26.0,27.5677,1,88,0.4042227,29.0472,-1,-0.01227146,1.0,-0.0248036,0.285714,0.36089443,100.0,0.36534476,0.25991529
CMCSA,2020-02-04,28143200.0,42.74431992,41.87553511,-0.03905626,0.00572009,-0.3192,41.9975,42.97599807,36.7216,21.4286,0.0,0.0,0.0111,-0.4098,0.0,52.2704,-0.3082,-0.00676749,2.3484,0,41.99137235,43.1717,-1,-1,5.0,0.0,0.3787759,0.0,7.0,32.2214,0,90,0.16880988,37.831,-1,0.03797477,0.928571,0.30239748,0.214286,0.38910757,92.8571,0.35451871,0.31222545
CMCSA,2020-02-05,20332100.0,43.04356384,42.93737819,-0.07829997,-0.00473158,-0.2219,42.2427,43.57448843,33.8463,14.2857,0.0,0.0,-0.0444,-0.7567,0.0,56.2201,-0.2663,-0.00642792,2.8039,0,43.10148429,43.6446,-1,-1,6.0,0.0,0.56991617,0.0,5.0,40.9333,0,95,0.27037621,55.9217,-1,0.00700079,0.857143,0.47819777,0.142857,0.26386566,85.7143,0.34430546,0.41015202
CMCSA,2020-02-06,15222400.0,43.05321884,42.75397236,-0.06541631,-0.00104005,-0.1483,42.3315,43.49726831,31.6322,7.1429,0.0,0.0,-0.0815,-1.7405,0.0,56.3657,-0.2297,-0.00238313,3.0619,0,43.20766971,43.8624,-1,-1,6.0,0.0,0.83881022,0.0,2.0,58.3748,0,92,0.42609562,81.3715,-1,0.00022431,0.785714,0.45509704,0.071429,0.18193756,78.5714,0.34054327,0.60620411
CMCSA,2020-02-07,14104200.0,43.18836212,42.73466113,-0.06167766,0.00307359,-0.085,42.6306,43.29454409,29.6812,0.0,0.0,0.0,-0.1027,-1.6919,0.0,58.7655,-0.1877,0.00033958,2.9793,0,42.97599082,44.1203,-1,-1,7.0,0.0,0.82739402,0.0,5.0,72.5281,0,90,0.24245565,80.291,-1,0.00313898,0.714286,-0.0132786,0.0,0.16400852,71.4286,0.34107807,0.76529502
CMCSA,2020-02-10,15016100.0,43.1111412,42.72501218,-0.05838376,0.00369033,-0.0448,43.0167,43.17871323,27.9483,7.1429,0.0,0.0,-0.1139,-0.7114,0.0,56.5442,-0.1587,0.00150164,0.6037,0,43.09183439,43.3185,-1,-1,9.0,0.0,0.80820889,0.0,9.0,80.0459,0,81,0.10365362,78.4752,-1,-0.001788,0.642857,-0.02261524,0.071429,0.17862978,64.2857,0.34344383,0.84979924
CMCSA,2020-02-11,11075700.0,43.2366333,42.82154589,-0.06936379,0.00291655,-0.0083,43.1151,43.29455008,26.0097,0.0,0.0,0.0,-0.116,-2.2052,1.0,59.6429,-0.1242,0.00170417,0.3016,0,43.26559169,43.2659,-1,-1,10.0,0.0,0.74360302,0.0,9.0,77.0422,0,97,-0.03752472,72.3605,-1,0.0029109,0.571429,-0.07791888,0.0,0.11545005,57.1429,0.34613271,0.816036
CMCSA,2020-02-12,23638000.0,44.4239769,43.35247231,-0.01304129,0.00661566,0.0919,43.3911,44.53981414,25.6705,0.0,0.0,0.0,-0.093,-0.0217,-1.0,78.1063,-0.0011,0.00612365,2.0576,-1,43.42004434,44.4199,-1,-1,10.0,0.0,0.77702644,0.0,8.0,75.4532,0,92,-0.02062506,75.5239,-1,0.02746152,0.5,0.04371722,0.0,0.31687193,50.0,0.35581116,0.79817476
