Ticker,Date,Volume,Close,Low,ADX_fluc_pctg,Chaikin_AD_fluc_pctg,MACD_Hist,BBANDS_Middle_Band,High,ADX,AROON_Up,Historic Deaths,Historic Cases,MACD_Signal,ROC_10,BBANDS_compare_high_low_price,RSI_5,MACD,SMA_10_fluc_pctg,BBANDS_width,RSI_5_polarize,Open,BBANDS_Upper_Band,MACD_polarize,ROC_10_polarize,Case 7-Day Moving Avg,Dividends,STOCH_SlowK_min_max,Death 7-Day Moving Avg,New Cases,STOCH_SlowD,CCI_20_polarize,daily_trend,STOCH_SlowD_fluc_pctg,STOCH_SlowK,AROON_polarize,Close_Change_pctg,AROON_Down_min_max,STOCH_SlowK_fluc_pctg,AROON_Up_min_max,Volume_min_max,AROON_Down,SMA_10_min_max,STOCH_SlowD_min_max
JBSS,2020-01-24,49700.0,78.19332123,77.53281681,0.0326829,-0.00192743,0.0132,79.7666,79.45100083,42.0051,78.5714,0.0,0.0,-1.4818,-7.6413,0.0,29.9236,-1.4687,-0.00271595,6.3665,1,79.45100083,82.9499,-1,-1,1.0,0.0,0.12976198,0.0,1.0,35.2901,1,0.0,-0.38412553,13.2188,-1,-0.01324514,1.0,-0.62892201,0.785714,0.10181424,100.0,0.59385077,0.36567934
JBSS,2020-01-27,68300.0,76.85421753,76.79088139,0.04069982,-0.00767,-0.1151,78.7639,78.04856107,43.7147,71.4286,0.0,0.0,-1.5106,-7.3213,0.0,22.6974,-1.6257,-0.00302859,6.4344,1,77.63235118,81.9811,-1,-1,1.0,0.0,0.13381078,0.0,0.0,20.816,1,91.0,-0.41014619,13.6064,-1,-0.01712555,1.0,0.02932187,0.714286,0.1521798,100.0,0.58355101,0.21139723
JBSS,2020-01-28,86200.0,75.89511108,75.62367347,0.05045442,-0.00629613,-0.2368,77.6004,76.9175461,45.9203,64.2857,0.0,0.0,-1.5698,-8.3078,0.0,18.6626,-1.8066,-0.00554355,4.7716,1,76.89944611,79.9862,-1,-1,1.0,0.0,0.05990461,0.0,1.0,11.1188,1,0.0,-0.46585319,6.5312,-1,-0.01247956,1.0,-0.51999059,0.642857,0.20064988,100.0,0.56475533,0.10803298
JBSS,2020-01-29,65000.0,75.67796326,74.69172816,0.0526521,0.002982,-0.3001,77.0493,76.13941619,48.3381,57.1429,0.0,0.0,-1.6448,-8.7099,0.0,17.7686,-1.945,-0.00499152,5.4451,1,76.03988699,79.7719,-1,-1,0.0,0.0,0.08236414,0.0,0.0,9.6063,1,0.0,-0.13603087,8.6813,-1,-0.00286116,1.0,0.32920443,0.571429,0.14324398,100.0,0.54792516,0.09191096
JBSS,2020-01-30,177000.0,78.89907074,77.83139951,-0.04073185,-0.01597695,-0.1039,76.9807,85.32319807,46.3692,100.0,0.0,0.0,-1.6708,-4.4698,-1.0,56.4491,-1.7747,-0.00235991,5.0409,0,79.11622912,79.5011,-1,-1,0.0,0.0,0.21611119,0.0,0.0,12.2326,0,0.0,0.2733935,21.4852,1,0.04256335,0.928571,1.47488279,1.0,0.44652044,92.8571,0.54000783,0.11990518
JBSS,2020-01-31,95200.0,76.27513885,75.94940818,-0.07060721,-0.01019805,-0.1274,76.5977,79.90340548,43.0952,92.8571,0.0,0.0,-1.7027,-5.2915,-1.0,38.1677,-1.8301,-0.00623469,4.6335,0,79.23385106,78.9144,-1,-1,1.0,0.0,0.25267569,0.0,3.0,18.384,1,0.0,0.50286938,24.9856,1,-0.03325682,0.857143,0.16292145,0.928571,0.22502031,85.7143,0.51914028,0.18547409
JBSS,2020-02-03,97300.0,73.46118927,73.30736703,-0.09100549,-0.01141976,-0.2992,75.9201,76.5827667,39.1733,85.7143,282.0,477.0,-1.7775,-9.2748,0.0,26.6138,-2.0767,-0.01074669,6.9245,1,76.5827667,79.3824,-1,-1,4.0,0.0,0.18579224,0.0,26.0,21.6845,1,0.0,0.17953111,18.5827,-1,-0.03689209,1.0,-0.25626361,0.857143,0.23070674,100.0,0.4833953,0.22065473
JBSS,2020-02-04,119400.0,73.47023773,73.37070853,-0.09010474,-0.01278297,-0.3745,75.4359,74.45647977,35.6436,78.5714,0.0,0.0,-1.8711,-8.764,0.0,26.703,-2.2455,-0.01065139,8.0759,1,73.85930455,79.4739,-1,-1,5.0,0.0,0.05271685,0.0,7.0,16.4705,1,0.0,-0.24044825,5.8431,-1,0.00012317,0.928571,-0.68556238,0.785714,0.29054969,92.8571,0.44834804,0.16507774
JBSS,2020-02-05,87200.0,72.14017487,72.04064567,-0.06556016,-0.01031131,-0.4697,74.7295,73.85930049,33.3068,71.4286,0.0,0.0,-1.9885,-10.325,0.0,21.8287,-2.4582,-0.00821765,9.7172,1,73.85930049,79.5881,-1,-1,6.0,0.0,0.00346696,0.0,5.0,8.518,1,0.0,-0.48283294,1.1283,-1,-0.01810342,1.0,-0.80690045,0.714286,0.2033577,100.0,0.42159674,0.08031057
JBSS,2020-02-06,97100.0,71.62443542,71.54299931,-0.05391392,-0.01124851,-0.5195,73.2769,72.73734277,31.5111,64.2857,0.0,0.0,-2.1184,-10.8157,0.0,20.0544,-2.6378,-0.01002248,6.4432,1,71.92301611,76.4985,-1,-1,6.0,0.0,0.00240149,0.0,2.0,2.6659,1,0.0,-0.68702747,1.0263,-1,-0.00714913,1.0,-0.09040149,0.642857,0.23016518,100.0,0.38923822,0.01793195
