Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
PDCO,2020-01-24,21.4959,0.365049,0.00734329,0.8277,0.6896,0.138,1,1,1,86.0992,0,-0.18006462,15.7773,1,-0.04985788,61.4162,0,-0.12898413,77.6144,66.2188,0.81290077,-0.07954854,0.67346992,-0.18785414,41.0489,-0.02967776,85.7143,0.0,0.857143,0.0,1,21.5854,21.9407,22.296,0.7106,1.0,198164752.5619,0.00017908,21.99684549,22.11786172,21.31729882,21.73619843,762800.0,0.0,0.0,-0.17686653,-0.00807128,0.08126912,71,1.0,1.0,0.0,0.0,0.0,0.0
PDCO,2020-01-27,21.6265,0.37117269,0.00607558,0.7951,0.7107,0.0844,1,1,1,68.5506,0,-0.20381839,15.7068,1,-0.00446845,54.8947,0,-0.10618534,64.9352,47.0513,0.6710594,-0.16336144,0.47342692,-0.28945707,39.7323,-0.03207394,78.5714,0.0,0.785714,0.0,1,21.5363,21.9277,22.319,0.7827,1.0,198427096.8827,0.00132387,21.42900407,21.77343103,21.2800624,21.6058712,817900.0,0.0,0.0,-0.13032722,-0.00599586,0.08859918,0,0.0,1.0,0.0,0.0,0.0,0.0
PDCO,2020-01-28,21.7887,0.37877807,0.00750006,0.7851,0.7256,0.0595,1,1,1,77.1753,0,0.12581509,17.8162,1,0.13429852,65.6437,0,0.19581125,53.761,48.0128,0.54605437,-0.17208232,0.48346169,0.02043514,39.2964,-0.01097092,71.4286,0.0,0.714286,0.0,1,21.5429,21.8978,22.2528,0.7099,0.0,198687741.4428,0.00131355,21.81997597,22.04338847,21.57794531,21.91306496,592400.0,0.0,0.0,0.30719376,0.01421807,0.05860051,100,1.0,1.0,0.0,0.0,0.0,0.0
PDCO,2020-01-29,21.8288,0.38065832,0.0018404,0.7274,0.726,0.0014,1,1,1,56.5591,0,-0.26713469,15.6354,1,-0.12240545,43.8654,0,-0.33176527,44.2972,37.8276,0.44018347,-0.17603467,0.37716311,-0.2121351,37.6347,-0.04228632,64.2857,0.0,0.642857,0.0,1,21.3624,21.7524,22.1423,0.7799,1.0,197916250.8065,-0.00388293,22.03408028,22.05269843,21.33591551,21.40107727,942900.0,0.0,0.0,-0.51198769,-0.02336449,0.10522815,0,0.0,0.0,0.0,0.0,0.0,0.0
PDCO,2020-01-30,21.8381,0.38109439,0.00042604,0.6821,0.7172,-0.0351,1,1,-1,33.4123,0,-0.40924979,14.1463,1,-0.09523901,48.1647,0,0.09801119,42.8653,42.7555,0.4241649,-0.03232484,0.42859349,0.13027261,34.3001,-0.0886044,57.1429,7.1429,0.571429,0.071429,1,21.3115,21.6703,22.0291,0.7176,1.0,198582076.4572,0.00336418,21.31729721,21.51278427,20.92632487,21.50347519,687700.0,0.0,0.0,0.10239792,0.00478471,0.07127844,68,0.0,0.0,0.0,0.0,0.0,0.0
PDCO,2020-01-31,21.6805,0.37370469,-0.00721675,0.5577,0.6853,-0.1276,1,1,-1,-11.1796,0,-1.33459534,9.0263,1,-0.3619321,24.7169,1,-0.48682541,34.7026,23.5248,0.33284931,-0.19042676,0.2278909,-0.44978307,32.3976,-0.05546631,50.0,0.0,0.5,0.0,1,20.4616,21.4204,22.3792,1.9176,1.0,197470721.077,-0.00559645,21.4103849,21.48485574,20.35848416,20.48880768,1446000.0,0.0,0.0,-1.01466751,-0.04718621,0.17215645,34,3.0,1.0,0.0,0.0,0.0,0.0
PDCO,2020-02-03,21.5929,0.36959722,-0.0040405,0.4785,0.6439,-0.1655,1,1,-1,-25.0745,0,1.24287989,10.9869,1,0.21720971,36.4289,0,0.47384583,31.1994,27.318,0.29365925,-0.10094921,0.26747891,0.1612426,30.6853,-0.05285268,42.8571,0.0,0.428571,0.0,1,20.2334,21.2581,22.2828,2.0494,0.0,197789072.277,0.00161214,20.66567791,20.9077068,20.53535261,20.79600143,795900.0,0.0,0.0,0.30719376,0.01499325,0.08567248,46,26.0,4.0,477.0,0.0,0.0,282.0
PDCO,2020-02-04,21.4455,0.3626858,-0.00682632,0.3946,0.5941,-0.1995,1,1,-1,-34.3367,0,0.36938723,7.9335,1,-0.27791279,32.2481,0,-0.11476602,22.1979,15.7509,0.19296006,-0.28851516,0.14675804,-0.42342412,27.8954,-0.09091976,35.7143,0.0,0.357143,0.0,1,20.1552,20.9933,21.8313,1.6761,0.0,196944879.3359,-0.00426815,21.03803059,21.20559041,20.57258744,20.5912056,897000.0,0.0,0.0,-0.20479584,-0.00984785,0.09912199,0,7.0,5.0,0.0,0.0,0.0,0.0
PDCO,2020-02-05,21.3868,0.35993342,-0.00273717,0.4002,0.5553,-0.1551,1,1,-1,16.4011,0,-1.4776551,7.7664,1,-0.02106258,59.311,0,0.83920913,29.2046,44.5448,0.27134355,0.31564698,0.44726765,1.82807967,26.2868,-0.05766542,28.5714,78.5714,0.285714,0.785714,-1,20.1187,21.0212,21.9238,1.8051,0.0,197761665.7356,0.00414728,20.97286725,21.61517746,20.87046919,21.54070663,1021000.0,0.0,0.0,0.94950104,0.04611197,0.11561793,100,5.0,6.0,0.0,0.0,0.0,0.0
PDCO,2020-02-06,21.3626,0.35879871,-0.00113154,0.4105,0.5263,-0.1158,1,1,-1,56.8536,0,2.46645042,8.3187,1,0.07111403,61.9207,0,0.04400027,40.7331,61.9036,0.40031212,0.39474946,0.62843402,0.38969307,26.0878,-0.00757034,21.4286,71.4286,0.214286,0.714286,-1,20.0687,21.0548,22.0409,1.9722,-1.0,197474384.4898,-0.00145266,21.68034294,22.04338803,21.47554681,21.67103386,922300.0,0.0,0.0,0.13032722,0.00605028,0.10248769,0,2.0,6.0,0.0,0.0,0.0,0.0
