Ticker,Date,Volume,Close,Low,ADX_fluc_pctg,Chaikin_AD_fluc_pctg,MACD_Hist,BBANDS_Middle_Band,High,ADX,AROON_Up,Historic Deaths,Historic Cases,MACD_Signal,ROC_10,BBANDS_compare_high_low_price,RSI_5,MACD,SMA_10_fluc_pctg,BBANDS_width,RSI_5_polarize,Open,BBANDS_Upper_Band,MACD_polarize,ROC_10_polarize,Case 7-Day Moving Avg,Dividends,STOCH_SlowK_min_max,Death 7-Day Moving Avg,New Cases,STOCH_SlowD,CCI_20_polarize,daily_trend,STOCH_SlowD_fluc_pctg,STOCH_SlowK,AROON_polarize,Close_Change_pctg,AROON_Down_min_max,STOCH_SlowK_fluc_pctg,AROON_Up_min_max,Volume_min_max,AROON_Down,SMA_10_min_max,STOCH_SlowD_min_max
PDCO,2020-01-24,762800.0,21.73619843,21.31729882,-0.02967776,0.00017908,0.138,21.9407,22.11786172,41.0489,85.7143,0.0,0.0,0.6896,15.7773,1.0,61.4162,0.8277,0.00734329,0.7106,0,21.99684549,22.296,1,1,1.0,0.0,0.67346992,0.0,1.0,77.6144,0,71,-0.07954854,66.2188,1,-0.00807128,0.0,-0.18785414,0.857143,0.08126912,0.0,0.365049,0.81290077
PDCO,2020-01-27,817900.0,21.6058712,21.2800624,-0.03207394,0.00132387,0.0844,21.9277,21.77343103,39.7323,78.5714,0.0,0.0,0.7107,15.7068,1.0,54.8947,0.7951,0.00607558,0.7827,0,21.42900407,22.319,1,1,1.0,0.0,0.47342692,0.0,0.0,64.9352,0,0,-0.16336144,47.0513,1,-0.00599586,0.0,-0.28945707,0.785714,0.08859918,0.0,0.37117269,0.6710594
PDCO,2020-01-28,592400.0,21.91306496,21.57794531,-0.01097092,0.00131355,0.0595,21.8978,22.04338847,39.2964,71.4286,0.0,0.0,0.7256,17.8162,0.0,65.6437,0.7851,0.00750006,0.7099,0,21.81997597,22.2528,1,1,1.0,0.0,0.48346169,0.0,1.0,53.761,0,100,-0.17208232,48.0128,1,0.01421807,0.0,0.02043514,0.714286,0.05860051,0.0,0.37877807,0.54605437
PDCO,2020-01-29,942900.0,21.40107727,21.33591551,-0.04228632,-0.00388293,0.0014,21.7524,22.05269843,37.6347,64.2857,0.0,0.0,0.726,15.6354,1.0,43.8654,0.7274,0.0018404,0.7799,0,22.03408028,22.1423,1,1,0.0,0.0,0.37716311,0.0,0.0,44.2972,0,0,-0.17603467,37.8276,1,-0.02336449,0.0,-0.2121351,0.642857,0.10522815,0.0,0.38065832,0.44018347
PDCO,2020-01-30,687700.0,21.50347519,20.92632487,-0.0886044,0.00336418,-0.0351,21.6703,21.51278427,34.3001,57.1429,0.0,0.0,0.7172,14.1463,1.0,48.1647,0.6821,0.00042604,0.7176,0,21.31729721,22.0291,1,1,0.0,0.0,0.42859349,0.0,0.0,42.8653,0,68,-0.03232484,42.7555,1,0.00478471,0.071429,0.13027261,0.571429,0.07127844,7.1429,0.38109439,0.4241649
PDCO,2020-01-31,1446000.0,20.48880768,20.35848416,-0.05546631,-0.00559645,-0.1276,21.4204,21.48485574,32.3976,50.0,0.0,0.0,0.6853,9.0263,1.0,24.7169,0.5577,-0.00721675,1.9176,1,21.4103849,22.3792,1,1,1.0,0.0,0.2278909,0.0,3.0,34.7026,0,34,-0.19042676,23.5248,1,-0.04718621,0.0,-0.44978307,0.5,0.17215645,0.0,0.37370469,0.33284931
PDCO,2020-02-03,795900.0,20.79600143,20.53535261,-0.05285268,0.00161214,-0.1655,21.2581,20.9077068,30.6853,42.8571,282.0,477.0,0.6439,10.9869,0.0,36.4289,0.4785,-0.0040405,2.0494,0,20.66567791,22.2828,1,1,4.0,0.0,0.26747891,0.0,26.0,31.1994,0,46,-0.10094921,27.318,1,0.01499325,0.0,0.1612426,0.428571,0.08567248,0.0,0.36959722,0.29365925
PDCO,2020-02-04,897000.0,20.5912056,20.57258744,-0.09091976,-0.00426815,-0.1995,20.9933,21.20559041,27.8954,35.7143,0.0,0.0,0.5941,7.9335,0.0,32.2481,0.3946,-0.00682632,1.6761,0,21.03803059,21.8313,1,1,5.0,0.0,0.14675804,0.0,7.0,22.1979,0,0,-0.28851516,15.7509,1,-0.00984785,0.0,-0.42342412,0.357143,0.09912199,0.0,0.3626858,0.19296006
PDCO,2020-02-05,1021000.0,21.54070663,20.87046919,-0.05766542,0.00414728,-0.1551,21.0212,21.61517746,26.2868,28.5714,0.0,0.0,0.5553,7.7664,0.0,59.311,0.4002,-0.00273717,1.8051,0,20.97286725,21.9238,1,1,6.0,0.0,0.44726765,0.0,5.0,29.2046,0,100,0.31564698,44.5448,-1,0.04611197,0.785714,1.82807967,0.285714,0.11561793,78.5714,0.35993342,0.27134355
PDCO,2020-02-06,922300.0,21.67103386,21.47554681,-0.00757034,-0.00145266,-0.1158,21.0548,22.04338803,26.0878,21.4286,0.0,0.0,0.5263,8.3187,-1.0,61.9207,0.4105,-0.00113154,1.9722,0,21.68034294,22.0409,1,1,6.0,0.0,0.62843402,0.0,2.0,40.7331,0,0,0.39474946,61.9036,-1,0.00605028,0.714286,0.38969307,0.214286,0.10248769,71.4286,0.35879871,0.40031212
