Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
PINC,2020-01-24,35.3217,0.64035214,-0.00085427,-0.2266,-0.2278,0.0012,-1,-1,1,-51.0091,0,-5.78477961,-7.4851,-1,0.56782288,30.5934,0,-0.50548209,63.3879,49.7814,0.66706014,-0.14274296,0.48735086,-0.25121272,22.3053,0.07889543,71.4286,42.8571,0.714286,0.428571,1,34.7223,35.5697,36.4172,1.6949,1.0,598607.1364,-0.30160659,35.88210309,35.97447996,34.37485737,34.73465347,469900.0,0.0,0.0,-1.14744186,-0.03197812,0.06891364,29,1.0,1.0,0.0,0.0,0.0,0.0
PINC,2020-01-27,35.2819,0.63653538,-0.00112679,-0.2978,-0.2418,-0.056,-1,-1,-1,-113.0091,1,1.2154694,-7.0208,-1,-0.0620299,25.649,1,-0.16161656,50.0288,33.8222,0.50582058,-0.21075158,0.31801798,-0.3205856,24.6832,0.10660695,64.2857,100.0,0.642857,1.0,-1,34.0693,35.2955,36.5216,2.4523,1.0,1047097.276,0.74922284,34.3262325,34.61795612,33.78168273,34.3845787,1015000.0,0.0,0.0,-0.35007477,-0.01007854,0.1913145,20,0.0,1.0,0.0,0.0,0.0,0.0
PINC,2020-01-28,35.2955,0.6378396,0.00038547,-0.3518,-0.2638,-0.088,-1,-1,-1,-82.8547,0,-0.26683161,-8.1362,-1,0.15887078,25.3644,1,-0.01109595,35.746,23.6344,0.3334323,-0.28549156,0.20992175,-0.30121636,25.722,0.0420853,57.1429,92.8571,0.571429,0.928571,-1,33.6855,35.0426,36.3997,2.7142,0.0,829863.6701,-0.20746268,34.40402885,34.91940739,34.25330207,34.36513138,327000.0,0.0,0.0,-0.01944733,-0.00056558,0.0368258,18,1.0,1.0,0.0,0.0,0.0,0.0
PINC,2020-01-29,35.242,0.63270903,-0.00151577,-0.4156,-0.2942,-0.1215,-1,-1,-1,-114.0736,1,0.37679094,-6.9131,-1,-0.15032816,20.6397,1,-0.18627289,26.2486,21.2892,0.21880209,-0.26569127,0.18503833,-0.09922824,27.1588,0.0558588,50.0,85.7143,0.5,0.857143,-1,33.4094,34.6867,35.9639,2.5545,0.0,409307.4755,-0.50677745,34.45264745,34.50126744,33.95185456,34.04423141,633600.0,0.0,0.0,-0.32089996,-0.00933795,0.10567207,29,0.0,0.0,0.0,0.0,0.0,0.0
PINC,2020-01-30,35.0757,0.61676113,-0.0047188,-0.4586,-0.3271,-0.1315,-1,-1,-1,-142.7048,1,0.25098884,-7.4974,-1,0.08452069,22.2847,1,0.07970077,22.2729,21.8951,0.17081681,-0.15146332,0.19146715,0.02846044,29.36,0.08104924,42.8571,100.0,0.428571,1.0,-1,33.8228,34.3249,34.8269,1.0041,1.0,692755.8921,0.6925073,33.91781624,34.25815981,33.32464285,34.0734024,469200.0,0.0,0.0,0.02917099,0.00085686,0.06875646,27,0.0,0.0,0.0,0.0,0.0,0.0
PINC,2020-01-31,34.8549,0.59558675,-0.00629496,-0.508,-0.3633,-0.1447,-1,-1,-1,-148.0573,1,0.0375075,-4.5567,-1,-0.39222931,18.0707,1,-0.18909835,22.2378,23.5289,0.17039317,-0.00157591,0.20880236,0.07461944,31.3411,0.06747616,35.7143,92.8571,0.357143,0.928571,-1,33.7089,34.1401,34.5713,0.8624,1.0,999232.3594,0.44240182,33.99560947,33.99560947,33.32950792,33.81085205,688300.0,0.0,0.0,-0.26255035,-0.00770543,0.11795482,25,3.0,1.0,0.0,0.0,0.0,0.0
PINC,2020-02-03,34.676,0.57843053,-0.00513271,-0.5285,-0.3963,-0.1322,-1,-1,-1,-91.6963,0,-0.38067019,-2.9183,-1,-0.35955845,28.1368,1,0.55703985,26.1401,32.9962,0.21749253,0.17548049,0.30925383,0.402369,31.136,-0.00654412,28.5714,85.7143,0.285714,0.857143,-1,33.6941,34.0565,34.4188,0.7247,-1.0,685015.1306,-0.31445862,33.99561336,34.51099562,33.76709534,33.96644211,676800.0,0.0,0.0,0.15559006,0.00460178,0.11537252,37,26.0,4.0,477.0,0.0,0.0,282.0
PINC,2020-02-04,34.2179,0.53449946,-0.01321087,-0.7713,-0.4713,-0.3,-1,-1,-1,-192.82,1,1.10281113,-11.6247,-1,2.98338074,7.2525,1,-0.74224148,27.1394,24.893,0.22955372,0.03822862,0.22327595,-0.24557979,34.1961,0.09828173,100.0,100.0,1.0,1.0,0,31.0462,33.3932,35.7402,4.694,1.0,-1363033.8168,-2.98978644,35.01664345,36.72809499,30.81581509,31.04919434,2223200.0,0.0,0.0,-2.91724777,-0.08588617,0.46261284,27,7.0,5.0,0.0,0.0,0.0,0.0
PINC,2020-02-05,33.7122,0.48600362,-0.01477881,-0.9752,-0.5721,-0.4031,-1,-1,-1,-298.5469,1,0.54831916,-12.0378,-1,0.0355364,6.6556,1,-0.08230265,25.6565,19.0803,0.21165565,-0.05464012,0.1616011,-0.23350741,37.4864,0.09621857,92.8571,100.0,0.928571,1.0,-1,29.7467,32.7377,35.7286,5.9819,0.0,-1286462.5584,-0.05617708,31.60346987,31.60346987,29.87257147,30.76719284,2271600.0,0.0,0.0,-0.2820015,-0.00908241,0.47348094,25,5.0,6.0,0.0,0.0,0.0,0.0
PINC,2020-02-06,33.1714,0.43414176,-0.01604167,-1.1471,-0.6871,-0.46,-1,-1,-1,-231.5056,1,-0.22455869,-12.7506,-1,0.05921348,6.0154,1,-0.09618967,17.5235,8.5971,0.11349326,-0.31699569,0.05037057,-0.54942532,40.4476,0.07899398,85.7143,92.8571,0.857143,0.928571,-1,28.933,32.018,35.103,6.17,0.0,-1957926.8888,0.52194627,30.70885076,31.41871478,30.31502221,30.4754715,946700.0,0.0,0.0,-0.29172134,-0.00948157,0.1759779,26,2.0,6.0,0.0,0.0,0.0,0.0
