Date,daily_trend
2019-12-01,28
2019-12-02,50
2019-12-03,61
2019-12-04,78
2019-12-05,26
2019-12-06,100
2019-12-07,30
2019-12-08,20
2019-12-09,35
2019-12-10,70
2019-12-11,86
2019-12-12,70
2019-12-13,90
2019-12-14,49
2019-12-15,68
2019-12-16,61
2019-12-17,61
2019-12-18,43
2019-12-19,89
2019-12-20,47
2019-12-21,50
2019-12-22,80
2019-12-23,74
2019-12-24,41
2019-12-25,75
2019-12-26,67
2019-12-27,76
2019-12-28,50
2019-12-29,40
2019-12-30,46
2019-12-31,20
2020-01-01,19
2020-01-02,25
2020-01-03,33
2020-01-04,54
2020-01-05,36
2020-01-06,24
2020-01-07,72
2020-01-08,24
2020-01-09,32
2020-01-10,81
2020-01-11,44
2020-01-12,44
2020-01-13,73
2020-01-14,42
2020-01-15,15
2020-01-16,32
2020-01-17,40
2020-01-18,71
2020-01-19,87
2020-01-20,40
2020-01-21,31
2020-01-22,16
2020-01-23,24
2020-01-24,33
2020-01-25,62
2020-01-26,52
2020-01-27,15
2020-01-28,54
2020-01-29,100
2020-01-30,55
2020-01-31,24
2020-02-01,0
2020-02-02,67
2020-02-03,37
2020-02-04,100
2020-02-05,40
2020-02-06,40
2020-02-07,10
2020-02-08,11
2020-02-09,66
2020-02-10,58
2020-02-11,87
2020-02-12,88
2020-02-13,69
2020-02-14,82
2020-02-15,90
2020-02-16,66
2020-02-17,69
2020-02-18,48
2020-02-19,29
2020-02-20,49
2020-02-21,50
2020-02-22,65
2020-02-23,55
2020-02-24,10
2020-02-25,59
2020-02-26,74
2020-02-27,85
2020-02-28,89
2020-02-29,54
2020-03-01,29
2020-03-02,17
2020-03-03,68
2020-03-04,68
2020-03-05,78
2020-03-06,88
2020-03-07,39
2020-03-08,29
2020-03-09,9
2020-03-10,51
2020-03-11,100
2020-03-12,42
2020-03-13,61
2020-03-14,29
2020-03-15,29
2020-03-16,25
2020-03-17,59
2020-03-18,43
2020-03-19,51
2020-03-20,25
2020-03-21,38
2020-03-22,56
2020-03-23,16
2020-03-24,25
2020-03-25,17
2020-03-26,51
2020-03-27,24
2020-03-28,46
2020-03-29,9
2020-03-30,56
2020-03-31,56
2020-04-01,82
2020-04-02,64
2020-04-03,19
2020-04-04,31
2020-04-05,11
2020-04-06,18
2020-04-07,46
2020-04-08,74
2020-04-09,85
2020-04-10,70
2020-04-11,21
2020-04-12,32
2020-04-13,38
2020-04-14,100
2020-04-15,36
2020-04-16,37
2020-04-17,75
2020-04-18,51
2020-04-19,31
2020-04-20,54
2020-04-21,54
2020-04-22,92
2020-04-23,62
2020-04-24,37
2020-04-25,10
2020-04-26,42
2020-04-27,73
2020-04-28,18
2020-04-29,63
2020-04-30,61
2020-05-01,68
2020-05-02,36
2020-05-03,18
2020-05-04,23
2020-05-05,29
2020-05-06,8
2020-05-07,8
2020-05-08,33
2020-05-09,54
2020-05-10,55
2020-05-11,32
2020-05-12,31
2020-05-13,80
2020-05-14,39
2020-05-15,25
2020-05-16,9
2020-05-17,19
2020-05-18,40
2020-05-19,40
2020-05-20,16
2020-05-21,42
2020-05-22,92
2020-05-23,19
2020-05-24,76
2020-05-25,26
2020-05-26,24
2020-05-27,48
2020-05-28,48
2020-05-29,100
2020-05-30,28
2020-05-31,28
2020-06-01,35
2020-06-02,78
2020-06-03,41
2020-06-04,49
2020-06-05,17
2020-06-06,50
2020-06-07,60
2020-06-08,33
2020-06-09,58
2020-06-10,78
2020-06-11,53
2020-06-12,28
2020-06-13,51
2020-06-14,51
2020-06-15,53
2020-06-16,86
2020-06-17,53
2020-06-18,71
2020-06-19,37
2020-06-20,82
2020-06-21,72
2020-06-22,100
2020-06-23,63
2020-06-24,9
2020-06-25,27
2020-06-26,37
2020-06-27,51
2020-06-28,70
2020-06-29,81
2020-06-30,45
2020-07-01,70
2020-07-02,69
2020-07-03,64
2020-07-04,80
2020-07-05,60
2020-07-06,17
2020-07-07,61
2020-07-08,79
2020-07-09,62
2020-07-10,92
2020-07-11,100
2020-07-12,41
2020-07-13,27
2020-07-14,53
2020-07-15,44
2020-07-16,62
2020-07-17,66
2020-07-18,41
2020-07-19,72
2020-07-20,72
2020-07-21,27
2020-07-22,45
2020-07-23,64
2020-07-24,47
2020-07-25,41
2020-07-26,52
2020-07-27,0
2020-07-28,54
2020-07-29,73
2020-07-30,45
2020-07-31,38
2020-08-01,77
2020-08-02,67
2020-08-03,58
2020-08-04,33
2020-08-05,100
2020-08-06,57
2020-08-07,59
2020-08-08,19
2020-08-09,28
2020-08-10,73
2020-08-11,58
2020-08-12,16
2020-08-13,49
2020-08-14,50
2020-08-15,38
2020-08-16,47
2020-08-17,49
2020-08-18,89
2020-08-19,57
2020-08-20,58
2020-08-21,25
2020-08-22,75
2020-08-23,55
2020-08-24,40
2020-08-25,64
2020-08-26,49
2020-08-27,48
2020-08-28,42
2020-08-29,45
2020-08-30,46
2020-08-31,63
2020-09-01,78
2020-09-02,39
2020-09-03,30
2020-09-04,51
2020-09-05,92
2020-09-06,46
2020-09-07,20
2020-09-08,29
2020-09-09,39
2020-09-10,80
2020-09-11,71
2020-09-12,92
2020-09-13,23
2020-09-14,39
2020-09-15,49
2020-09-16,58
2020-09-17,79
2020-09-18,52
2020-09-19,79
2020-09-20,23
2020-09-21,67
2020-09-22,76
2020-09-23,39
2020-09-24,77
2020-09-25,84
2020-09-26,12
2020-09-27,69
2020-09-28,100
2020-09-29,40
2020-09-30,40
2020-10-01,40
2020-10-02,83
2020-10-03,100
2020-10-04,71
2020-10-05,40
2020-10-06,24
2020-10-07,55
2020-10-08,55
2020-10-09,44
2020-10-10,58
2020-10-11,48
2020-10-12,34
2020-10-13,67
2020-10-14,66
2020-10-15,17
2020-10-16,26
2020-10-17,57
2020-10-18,76
2020-10-19,76
2020-10-20,50
2020-10-21,58
2020-10-22,43
2020-10-23,18
2020-10-24,75
2020-10-25,56
2020-10-26,42
2020-10-27,33
2020-10-28,41
2020-10-29,42
2020-10-30,35
2020-10-31,47
2020-11-01,83
2020-11-02,44
2020-11-03,58
2020-11-04,19
2020-11-05,52
2020-11-06,56
2020-11-07,46
2020-11-08,71
2020-11-09,50
2020-11-10,93
2020-11-11,22
2020-11-12,29
2020-11-13,38
2020-11-14,33
2020-11-15,16
2020-11-16,29
2020-11-17,100
2020-11-18,66
2020-11-19,44
2020-11-20,30
2020-11-21,57
2020-11-22,48
2020-11-23,51
2020-11-24,22
2020-11-25,14
2020-11-26,58
2020-11-27,59
2020-11-28,24
2020-11-29,40
2020-11-30,21
2020-12-01,68
2020-12-02,68
2020-12-03,46
2020-12-04,39
2020-12-05,69
2020-12-06,43
2020-12-07,62
2020-12-08,30
2020-12-09,15
2020-12-10,23
2020-12-11,80
2020-12-12,26
2020-12-13,61
2020-12-14,38
2020-12-15,47
2020-12-16,31
2020-12-17,16
2020-12-18,41
2020-12-19,18
2020-12-20,36
2020-12-21,50
2020-12-22,33
2020-12-23,50
2020-12-24,45
2020-12-25,79
2020-12-26,100
2020-12-27,69
2020-12-28,40
2020-12-29,41
2020-12-30,33
2020-12-31,71
2021-01-01,49
2021-01-02,22
2021-01-03,65
2021-01-04,49
2021-01-05,60
2021-01-06,58
2021-01-07,58
2021-01-08,90
2021-01-09,53
2021-01-10,11
2021-01-11,47
2021-01-12,29
2021-01-13,39
2021-01-14,30
2021-01-15,61
2021-01-16,44
2021-01-17,43
2021-01-18,29
2021-01-19,67
2021-01-20,39
2021-01-21,49
2021-01-22,100
2021-01-23,65
2021-01-24,32
2021-01-25,86
2021-01-26,39
2021-01-27,39
2021-01-28,39
2021-01-29,50
2021-01-30,55
2021-01-31,33
2021-02-01,80
2021-02-02,59
2021-02-03,50
2021-02-04,100
2021-02-05,51
2021-02-06,76
2021-02-07,65
2021-02-08,10
2021-02-09,49
2021-02-10,60
2021-02-11,61
2021-02-12,63
2021-02-13,55
2021-02-14,34
2021-02-15,30
2021-02-16,10
2021-02-17,70
2021-02-18,70
2021-02-19,31
2021-02-20,34
2021-02-21,68
2021-02-22,57
2021-02-23,49
2021-02-24,39
2021-02-25,30
2021-02-26,71
2021-02-27,68
2021-02-28,89
2021-03-01,13
2021-03-02,14
2021-03-03,20
2021-03-04,46
2021-03-05,62
2021-03-06,53
2021-03-07,30
2021-03-08,20
2021-03-09,7
2021-03-10,33
2021-03-11,27
2021-03-12,55
2021-03-13,52
