Ticker,Date,Volume,Close,Low,ADX_fluc_pctg,Chaikin_AD_fluc_pctg,MACD_Hist,BBANDS_Middle_Band,High,ADX,AROON_Up,Historic Deaths,Historic Cases,MACD_Signal,ROC_10,BBANDS_compare_high_low_price,RSI_5,MACD,SMA_10_fluc_pctg,BBANDS_width,RSI_5_polarize,Open,BBANDS_Upper_Band,MACD_polarize,ROC_10_polarize,Case 7-Day Moving Avg,Dividends,STOCH_SlowK_min_max,Death 7-Day Moving Avg,New Cases,STOCH_SlowD,CCI_20_polarize,daily_trend,STOCH_SlowD_fluc_pctg,STOCH_SlowK,AROON_polarize,Close_Change_pctg,AROON_Down_min_max,STOCH_SlowK_fluc_pctg,AROON_Up_min_max,Volume_min_max,AROON_Down,SMA_10_min_max,STOCH_SlowD_min_max
PLUS,2020-01-24,112900.0,87.01000214,86.16000366,-0.04937919,0.00245,0.0261,86.212,87.48000336,12.9928,21.4286,0.0,0.0,0.4841,0.9163,-1.0,68.418,0.5102,0.00264372,2.1992,0,87.11000061,87.3116,1,1,1.0,0.0,0.68129557,0.0,1.0,56.2058,-1,33,0.08346859,67.8328,1,0.00496651,0.142857,0.26908887,0.214286,0.17149108,14.2857,0.60213493,0.53635831
PLUS,2020-01-27,75000.0,84.05000305,83.98000336,0.10549689,-0.00525761,-0.1361,85.772,86.04000092,14.3635,14.2857,0.0,0.0,0.45,-1.6499,0.0,30.0167,0.3139,-0.00205596,4.0856,0,85.52999878,87.8148,1,-1,1.0,0.0,0.51893503,0.0,0.0,58.1101,0,15,0.03388085,53.0476,1,-0.03401907,0.071429,-0.21796535,0.142857,0.10770784,7.1429,0.59900158,0.55837224
PLUS,2020-01-28,50400.0,84.48000336,84.18000031,0.08588436,-0.00159081,-0.2073,85.562,85.20999908,15.5971,7.1429,0.0,0.0,0.3982,0.1779,0.0,36.4897,0.1909,-0.00199036,4.5978,0,84.69000244,87.8609,1,1,1.0,0.0,0.30656681,0.0,1.0,51.5296,1,54,-0.11324193,33.7085,1,0.00511601,0.0,-0.36456126,0.071429,0.06630764,0.0,0.59597444,0.48230088
PLUS,2020-01-29,64600.0,82.18000031,81.63999939,0.21754044,-0.00360598,-0.3915,84.86,85.75,18.9901,0.0,0.0,0.0,0.3003,-2.4222,0.0,22.5466,-0.0912,-0.00435021,7.0572,1,84.72000122,88.3886,-1,-1,0.0,0.0,0.02986361,0.0,0.0,31.7556,1,100,-0.38374061,8.5108,-1,-0.02722541,1.0,-0.74751769,0.0,0.09020532,100.0,0.58937138,0.25371109
PLUS,2020-01-30,42200.0,82.41000366,80.94000244,0.18394321,0.00050471,-0.4745,84.026,83.48000336,22.4832,42.8571,0.0,0.0,0.1817,-2.2304,0.0,26.0774,-0.2928,-0.00370153,6.9582,1,81.69000244,87.5051,-1,-1,0.0,0.0,0.10481859,0.0,0.0,19.1852,1,55,-0.39584829,15.3365,-1,0.00279878,1.0,0.80200451,0.428571,0.05250757,100.0,0.58377737,0.10839577
PLUS,2020-01-31,56200.0,79.72000122,79.12999725,0.18083725,-0.00259686,-0.6749,82.568,82.13999939,26.549,35.7143,0.0,0.0,0.013,-6.5087,1.0,15.6484,-0.662,-0.00780681,6.7264,1,82.13999939,85.9312,-1,-1,1.0,0.0,0.08378064,0.0,3.0,12.4226,1,24,-0.35249046,13.4207,-1,-0.0326417,1.0,-0.12491768,0.357143,0.07606866,100.0,0.57202287,0.03021931
PLUS,2020-02-03,61700.0,81.83000183,79.5,0.13782817,0.00372516,-0.6307,82.124,82.09999847,30.2082,28.5714,282.0,477.0,-0.1447,-4.46,0.0,39.4078,-0.7753,-0.00523759,6.0666,0,80.20999908,85.1573,-1,-1,4.0,0.0,0.19922582,0.0,26.0,17.5636,1,37,0.41384251,23.9336,-1,0.02646764,0.928571,0.7833347,0.285714,0.08532481,92.8571,0.56419834,0.08964988
PLUS,2020-02-04,67700.0,82.01999664,81.69999695,-0.00264498,-0.00371088,-0.5564,81.632,84.01000214,30.1283,21.4286,0.0,0.0,-0.2838,-4.639,-1.0,41.2698,-0.8402,-0.00418116,3.8992,0,83.0,83.5816,-1,-1,5.0,0.0,0.27674822,0.0,7.0,22.7825,1,100,0.29714295,30.9931,-1,0.00232182,0.857143,0.29496189,0.214286,0.09542242,85.7143,0.55798474,0.14998098
PLUS,2020-02-05,72700.0,83.01999664,81.5,0.00311667,0.00288671,-0.4143,81.8,83.5,30.2222,14.2857,0.0,0.0,-0.3874,-2.1221,0.0,51.1466,-0.8017,-0.00319389,4.4672,0,83.09999847,84.0336,-1,-1,6.0,0.0,0.53727928,0.0,5.0,36.5483,0,40,0.60422693,54.7181,-1,0.01219215,0.785714,0.76549296,0.142857,0.10383709,78.5714,0.55325816,0.30911527
PLUS,2020-02-06,167100.0,88.0,86.30999756,0.03072907,-0.00569055,0.0178,82.918,92.44000244,31.1509,100.0,0.0,0.0,-0.3829,1.3942,-1.0,76.1327,-0.3651,0.00170407,11.0352,-1,90.0,88.4356,-1,1,6.0,0.0,0.6319237,0.0,2.0,49.6827,-1,40,0.35937102,63.3368,1,0.05998559,0.714286,0.15751095,1.0,0.26270616,71.4286,0.55577192,0.4609505
PLUS,2020-02-07,70200.0,84.76000214,84.62999725,-0.01843285,-0.00494616,0.0845,83.926,88.0,30.5767,92.8571,0.0,0.0,-0.3618,0.0236,0.0,53.7684,-0.2773,-0.00269551,9.146,0,88.0,88.499,-1,1,7.0,0.0,0.62091826,0.0,5.0,60.1298,0,10,0.21027641,62.3346,1,-0.03681816,0.642857,-0.01582334,0.928571,0.09962975,64.2857,0.55178884,0.58172022
PLUS,2020-02-10,74800.0,83.37000275,81.80999756,-0.08195129,-0.00051889,0.0364,84.234,85.23999786,28.0709,85.7143,0.0,0.0,-0.3527,-2.8548,0.0,46.4509,-0.3163,-0.00081685,8.3102,0,84.69999695,88.3891,-1,-1,9.0,0.0,0.39170254,0.0,9.0,55.7109,0,58,-0.07348935,41.4613,1,-0.01639924,0.571429,-0.33485897,0.857143,0.10737126,57.1429,0.55058507,0.53063721
PLUS,2020-02-11,86800.0,86.37000275,84.66000366,0.02065484,-0.00359929,0.199,85.104,92.09999847,28.6507,78.5714,0.0,0.0,-0.3029,0.2088,-1.0,60.8317,-0.1039,0.00227221,7.4742,0,92.09999847,88.8411,-1,1,10.0,0.0,0.31071225,0.0,9.0,45.9606,-1,87,-0.17501602,34.086,1,0.03598417,0.5,-0.17788395,0.785714,0.12756648,50.0,0.55393085,0.41792258
PLUS,2020-02-12,66200.0,85.70999908,84.5,0.01460697,-0.00076984,0.2512,85.642,87.34999847,29.0692,71.4286,0.0,0.0,-0.2401,-0.2328,0.0,56.6481,0.0111,0.00423424,6.2058,0,87.34999847,88.7449,1,-1,10.0,0.0,0.29621475,0.0,8.0,36.1044,0,88,-0.2144489,32.7658,1,-0.00764158,0.428571,-0.03873144,0.714286,0.09289801,42.8571,0.56017986,0.30398373
PLUS,2020-02-13,42200.0,86.55999756,85.0,0.01295873,0.00271932,0.3271,85.354,86.69999695,29.4459,64.2857,0.0,0.0,-0.1583,1.1569,0.0,60.9694,0.1688,0.00495694,4.6998,0,85.41000366,87.7039,1,1,11.0,0.0,0.40261684,0.0,6.0,36.4356,0,69,0.0091734,42.4552,1,0.00991714,0.357143,0.29571688,0.642857,0.05250757,35.7143,0.56752642,0.30781244
PLUS,2020-02-14,42600.0,86.02999878,85.79000092,0.01151264,-0.00142512,0.3252,85.608,86.63999939,29.7849,57.1429,0.0,0.0,-0.077,-0.3821,0.0,56.5741,0.2482,0.00749976,4.6248,0,86.40000153,87.9204,1,-1,11.0,0.0,0.3897874,0.0,6.0,38.8359,0,82,0.06587788,41.2869,1,-0.00612291,0.285714,-0.02751842,0.571429,0.05318075,28.5714,0.57869674,0.3355602
PLUS,2020-02-18,46100.0,85.83000183,85.01999664,-0.01150583,0.00229386,0.2949,86.1,86.01000214,29.4422,50.0,0.0,0.0,-0.0033,-0.487,1.0,54.7136,0.2916,0.00471882,1.283,0,85.66999817,86.7415,1,-1,9.0,0.0,0.31954889,0.0,7.0,39.5442,0,48,0.01823828,34.8907,1,-0.00232473,0.214286,-0.15492081,0.5,0.05907102,21.4286,0.58577776,0.34374823
PLUS,2020-02-19,42400.0,86.11000061,85.36000061,-0.00326063,0.0013098,0.2783,86.048,86.43000031,29.3462,42.8571,0.0,0.0,0.0663,0.6781,1.0,57.178,0.3446,0.00480233,1.1704,0,86.15000153,86.6332,1,1,10.0,0.0,0.35736076,0.0,17.0,38.1705,0,29,-0.03473834,38.334,1,0.00326225,0.142857,0.09868819,0.428571,0.05284416,14.2857,0.59301811,0.32786809
PLUS,2020-02-20,35300.0,86.23999786,85.25,0.00014653,0.00127028,0.2611,86.154,86.59999847,29.3505,35.7143,0.0,0.0,0.1315,0.6418,1.0,58.4891,0.3926,0.00376274,0.9708,0,85.68000031,86.6394,1,1,11.0,0.0,0.47424009,0.0,14.0,40.734,0,49,0.06715919,48.9775,1,0.00150966,0.071429,0.27765169,0.357143,0.04089532,7.1429,0.59871833,0.35750246
PLUS,2020-02-21,27600.0,85.72000122,85.16000366,-0.00295055,0.00016276,0.2022,85.986,86.19999695,29.2639,28.5714,0.0,0.0,0.1821,-0.9933,1.0,50.7243,0.3842,-0.00265431,0.7524,0,86.19999695,86.3622,1,-1,13.0,0.0,0.56898884,0.0,17.0,48.3057,0,50,0.18588157,57.6057,1,-0.00602965,0.0,0.17616661,0.285714,0.02793672,0.0,0.59468215,0.44503221
