Date,daily_trend
2019-12-01,47
2019-12-02,68
2019-12-03,97
2019-12-04,67
2019-12-05,62
2019-12-06,73
2019-12-07,52
2019-12-08,39
2019-12-09,88
2019-12-10,82
2019-12-11,76
2019-12-12,87
2019-12-13,100
2019-12-14,38
2019-12-15,38
2019-12-16,63
2019-12-17,72
2019-12-18,72
2019-12-19,65
2019-12-20,96
2019-12-21,44
2019-12-22,44
2019-12-23,80
2019-12-24,54
2019-12-25,21
2019-12-26,57
2019-12-27,73
2019-12-28,86
2019-12-29,36
2019-12-30,73
2019-12-31,80
2020-01-01,41
2020-01-02,75
2020-01-03,74
2020-01-04,56
2020-01-05,51
2020-01-06,72
2020-01-07,71
2020-01-08,50
2020-01-09,66
2020-01-10,51
2020-01-11,68
2020-01-12,44
2020-01-13,67
2020-01-14,47
2020-01-15,79
2020-01-16,62
2020-01-17,68
2020-01-18,49
2020-01-19,43
2020-01-20,54
2020-01-21,59
2020-01-22,56
2020-01-23,76
2020-01-24,67
2020-01-25,49
2020-01-26,22
2020-01-27,42
2020-01-28,77
2020-01-29,58
2020-01-30,62
2020-01-31,100
2020-02-01,72
2020-02-02,48
2020-02-03,78
2020-02-04,55
2020-02-05,54
2020-02-06,51
2020-02-07,79
2020-02-08,52
2020-02-09,68
2020-02-10,62
2020-02-11,82
2020-02-12,71
2020-02-13,61
2020-02-14,72
2020-02-15,76
2020-02-16,43
2020-02-17,71
2020-02-18,67
2020-02-19,62
2020-02-20,62
2020-02-21,84
2020-02-22,42
2020-02-23,51
2020-02-24,72
2020-02-25,79
2020-02-26,100
2020-02-27,60
2020-02-28,100
2020-02-29,59
2020-03-01,79
2020-03-02,81
2020-03-03,85
2020-03-04,98
2020-03-05,74
2020-03-06,100
2020-03-07,71
2020-03-08,53
2020-03-09,87
2020-03-10,62
2020-03-11,100
2020-03-12,98
2020-03-13,79
2020-03-14,55
2020-03-15,41
2020-03-16,83
2020-03-17,54
2020-03-18,98
2020-03-19,70
2020-03-20,97
2020-03-21,31
2020-03-22,40
2020-03-23,65
2020-03-24,65
2020-03-25,82
2020-03-26,59
2020-03-27,86
2020-03-28,41
2020-03-29,44
2020-03-30,76
2020-03-31,87
2020-04-01,62
2020-04-02,85
2020-04-03,62
2020-04-04,46
2020-04-05,26
2020-04-06,64
2020-04-07,69
2020-04-08,58
2020-04-09,83
2020-04-10,61
2020-04-11,35
2020-04-12,40
2020-04-13,45
2020-04-14,45
2020-04-15,100
2020-04-16,72
2020-04-17,81
2020-04-18,38
2020-04-19,24
2020-04-20,50
2020-04-21,57
2020-04-22,42
2020-04-23,46
2020-04-24,43
2020-04-25,26
2020-04-26,26
2020-04-27,44
2020-04-28,38
2020-04-29,45
2020-04-30,65
2020-05-01,77
2020-05-02,65
2020-05-03,35
2020-05-04,59
2020-05-05,65
2020-05-06,86
2020-05-07,66
2020-05-08,77
2020-05-09,45
2020-05-10,21
2020-05-11,68
2020-05-12,44
2020-05-13,65
2020-05-14,57
2020-05-15,86
2020-05-16,41
2020-05-17,46
2020-05-18,58
2020-05-19,54
2020-05-20,59
2020-05-21,56
2020-05-22,64
2020-05-23,22
2020-05-24,42
2020-05-25,35
2020-05-26,63
2020-05-27,87
2020-05-28,85
2020-05-29,100
2020-05-30,41
2020-05-31,54
2020-06-01,98
2020-06-02,73
2020-06-03,63
2020-06-04,46
2020-06-05,65
2020-06-06,94
2020-06-07,87
2020-06-08,78
2020-06-09,73
2020-06-10,66
2020-06-11,64
2020-06-12,50
2020-06-13,31
2020-06-14,19
2020-06-15,53
2020-06-16,72
2020-06-17,61
2020-06-18,65
2020-06-19,61
2020-06-20,51
2020-06-21,31
2020-06-22,60
2020-06-23,73
2020-06-24,59
2020-06-25,75
2020-06-26,59
2020-06-27,31
2020-06-28,45
2020-06-29,79
2020-06-30,100
2020-07-01,92
2020-07-02,82
2020-07-03,60
2020-07-04,30
2020-07-05,49
2020-07-06,66
2020-07-07,87
2020-07-08,77
2020-07-09,99
2020-07-10,90
2020-07-11,37
2020-07-12,37
2020-07-13,70
2020-07-14,100
2020-07-15,46
2020-07-16,89
2020-07-17,66
2020-07-18,72
2020-07-19,46
2020-07-20,65
2020-07-21,76
2020-07-22,69
2020-07-23,83
2020-07-24,73
2020-07-25,37
2020-07-26,34
2020-07-27,60
2020-07-28,55
2020-07-29,58
2020-07-30,90
2020-07-31,75
2020-08-01,49
2020-08-02,36
2020-08-03,69
2020-08-04,51
2020-08-05,54
2020-08-06,63
2020-08-07,57
2020-08-08,48
2020-08-09,31
2020-08-10,58
2020-08-11,42
2020-08-12,56
2020-08-13,47
2020-08-14,52
2020-08-15,100
2020-08-16,27
2020-08-17,51
2020-08-18,41
2020-08-19,38
2020-08-20,37
2020-08-21,31
2020-08-22,48
2020-08-23,12
2020-08-24,47
2020-08-25,55
2020-08-26,36
2020-08-27,42
2020-08-28,48
2020-08-29,31
2020-08-30,33
2020-08-31,67
2020-09-01,74
2020-09-02,100
2020-09-03,86
2020-09-04,53
2020-09-05,46
2020-09-06,38
2020-09-07,36
2020-09-08,79
2020-09-09,81
2020-09-10,92
2020-09-11,72
2020-09-12,40
2020-09-13,32
2020-09-14,83
2020-09-15,74
2020-09-16,68
2020-09-17,65
2020-09-18,66
2020-09-19,32
2020-09-20,16
