Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
ARTNA,2020-01-24,10100.0,37.21145248,37.07790773,1.0,0.08435219,0.2363,0.0,37.2498,0.0,42.1723,37.37361657,82.6315,78.5714,0.2629,37.35453823,1,1,2368487.278,37.387,0.2745,0.0,0.4992,0.69618524,1.0,-1,75.4358,0.0,-0.00076857,-1,66.7089,1.0,0.00670142,0.0,0.785714,0.79954941,35.7143,-0.08871619,0.48131457,0.01370691,-0.13705201
ARTNA,2020-01-27,10700.0,37.24007416,37.14468244,1.0,0.07311671,0.2093,0.0,37.2192,0.0,45.2558,37.469007,83.2133,71.4286,0.3153,37.14468244,1,1,2364078.5133,37.2451,0.0517,0.0,0.5246,0.6056547,1.0,-1,67.4257,0.0,0.00076916,-1,58.2647,0.0,0.00684096,0.0,0.714286,0.70738258,28.5714,-0.10618433,0.50985586,0.01491635,-0.12658281
ARTNA,2020-01-28,9400.0,37.44038773,37.20191392,-1.0,0.0645177,0.1914,0.0,37.2612,0.0,48.1756,37.57393248,87.0185,64.2857,0.3631,37.39269369,1,1,2366738.2569,37.4348,0.3472,0.0,0.5545,0.57659105,1.0,-1,60.1758,0.0,0.00537898,0,55.5538,1.0,0.00622395,0.0,0.642857,0.62396285,21.4286,-0.10752428,0.53600055,0.01229591,-0.04652731
ARTNA,2020-01-29,5300.0,37.38315201,37.19237588,0.0,0.05259717,0.1631,0.0,37.2955,0.0,50.7095,37.392693,80.5014,57.1429,0.4039,37.33545798,1,1,2371535.3045,37.4779,0.3647,0.0,0.567,0.63670603,0.0,-1,58.3265,0.0,-0.00152872,0,61.161,0.0,0.00537971,0.0,0.571429,0.6026842,14.2857,-0.03073162,0.55873955,0.00403145,0.10093279
ARTNA,2020-01-30,4500.0,37.57393646,37.12560449,0.0,0.05064929,0.1454,0.0,37.3623,0.0,53.2779,37.58347745,85.1389,50.0,0.4402,37.12560449,1,1,2375776.7907,37.6287,0.5328,0.0,0.5856,0.80282092,0.0,-1,64.4567,0.0,0.00510349,0,76.6553,0.0,0.00566124,99.0,0.5,0.67322029,7.1429,0.10510145,0.58279725,0.00241887,0.25333628
ARTNA,2020-01-31,14300.0,35.98093033,35.91415795,1.0,-0.09836349,0.021,0.0,37.1162,0.0,48.0373,37.37361653,24.4482,42.8571,0.4455,37.35453819,1,1,2362801.6404,38.2787,2.3249,0.0,0.4664,0.57732866,1.0,1,64.4797,0.0,-0.04239657,0,55.6226,3.0,-0.00230219,0.0,0.428571,0.67348493,0.0,0.00035683,0.57295859,0.02217295,-0.27438025
ARTNA,2020-02-03,19400.0,35.73291397,35.72337662,0.0,-0.08712605,-0.078,282.0,36.8149,477.0,43.852,36.21940257,21.4698,35.7143,0.426,36.16216755,1,1,2344125.6789,38.4036,3.1774,0.0,0.348,0.34501997,4.0,1,55.4107,0.0,-0.00689299,0,33.9541,26.0,-0.00446172,0.0,0.357143,0.56913405,0.0,-0.14064892,0.55393489,0.03245313,-0.38956288
ARTNA,2020-02-04,9800.0,35.26550674,35.2464284,0.0,-0.05109003,-0.1696,0.0,36.38,0.0,41.6116,35.54213359,16.6821,28.5714,0.3836,35.54213359,1,1,2335632.8724,38.2239,3.6878,0.0,0.2139,0.0,5.0,1,30.4497,0.0,-0.01308058,0,1.7725,7.0,-0.00530836,0.0,0.285714,0.28192459,0.0,-0.45047256,0.5314023,0.0131022,-0.94779717
ARTNA,2020-02-05,21200.0,36.28617859,35.36089897,0.0,-0.05486451,-0.1566,0.0,36.1606,0.0,39.3286,36.84897697,48.2076,21.4286,0.3444,35.37043996,1,1,2340826.0596,37.7171,3.1129,0.0,0.1879,0.14446484,6.0,0,16.9913,0.0,0.0289425,0,15.2474,5.0,-0.00251218,0.0,0.214286,0.12706783,92.8571,-0.44198793,0.52079535,0.03608144,7.60220028
ARTNA,2020-02-06,10600.0,35.90208817,35.68124131,-1.0,-0.05224697,-0.1677,0.0,35.8268,0.0,37.2738,36.52622329,40.9584,14.2857,0.3025,36.52622329,1,1,2335790.8323,36.4986,1.3436,0.25,0.1348,0.25314716,6.0,0,14.1349,0.0,-0.01058503,0,25.3847,2.0,-0.00363754,0.0,0.142857,0.09420116,85.7143,-0.16810956,0.50547548,0.01471478,0.66485434
