Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
FSBC,2021-06-21,26.3845,0.92882679,0.00146132,0.4714,0.509,-0.0376,1,1,-1,9.668,0,-0.7519,-1,-0.75168428,44.8681,0,0.37257067,49.2853,29.7005,0.48622688,-0.2352703,0.27278621,-0.3596408,41.5556,-0.0626211,85.7143,14.2857,0.857143,0.142857,1,25.334,26.5939,27.8539,2.5199,-65580.0132,0.0,-0.28851795,25.81088974,26.40356269,25.58863903,26.07759285,132900.0,0.0,0.0,0.45438004,0.01773314,0.06005789,0.0,8518,11633,0,265,258,8
FSBC,2021-06-22,26.4892,0.95739978,0.00396824,0.4618,0.4996,-0.0378,1,1,-1,48.1103,0,2.2442,1,-3.98470541,55.3951,0,0.23462103,33.2617,23.7037,0.2946764,-0.32511925,0.20494066,-0.20190906,39.6382,-0.04614059,78.5714,7.1429,0.785714,0.071429,1,25.3719,26.4556,27.5393,2.1674,1725.9099,0.0,-1.02631762,26.02820486,26.73941129,25.84052468,26.55173111,115600.0,0.0,0.0,0.47413826,0.01818183,0.05223408,0.0,13919,11745,0,292,255,0
FSBC,2021-06-23,26.59,0.98490844,0.00380532,0.4365,0.487,-0.0505,1,1,-1,49.4209,0,1.5198,1,-0.32278763,51.3127,0,-0.07369605,29.2043,34.2088,0.24617314,-0.12198414,0.32379142,0.44318398,37.9125,-0.04353629,71.4286,0.0,0.714286,0.0,1,25.4229,26.3213,27.2197,1.7968,-8756.9288,0.0,-6.07380414,26.452953,26.58136456,26.27515093,26.39368439,46400.0,0.0,0.0,-0.15804672,-0.00595241,0.02093886,0.0,14440,11874,0,311,252,0
FSBC,2021-06-24,26.6453,1.0,0.00207973,0.4368,0.4769,-0.0401,1,1,-1,81.0622,0,4.1602,1,1.73733386,58.8873,0,0.14761648,35.037,47.1987,0.31589882,0.19972059,0.47075428,0.37972393,37.7524,-0.00422288,64.2857,0.0,0.642857,0.0,1,25.5007,26.2719,27.0431,1.5424,-30754.9288,-1.0,2.51206793,26.49246524,27.4358024,26.22576212,26.70977974,110000.0,0.0,0.0,0.31609535,0.01197617,0.04970152,0.0,15415,12156,0,258,251,0
FSBC,2021-06-25,26.5445,0.97249134,-0.00378303,0.3659,0.4547,-0.0888,1,1,-1,6.4804,0,0.9634,1,-0.76842459,38.9857,0,-0.33796082,40.9858,41.55,0.3870124,0.16978623,0.40684701,-0.11967914,35.2661,-0.06585806,57.1429,14.2857,0.571429,0.142857,1,25.7144,26.3233,26.9321,1.2177,-288364.1423,1.0,8.37619281,26.88758127,27.09501767,25.33675483,25.88003922,674300.0,0.0,0.0,-0.82974052,-0.03106505,0.30490232,0.0,14327,12528,0,319,264,10
FSBC,2021-06-28,26.3885,0.9299184,-0.00587692,0.266,0.417,-0.1509,1,1,-1,-45.8013,0,-2.4677,-1,-3.56144903,31.0275,0,-0.20413126,39.6017,30.0563,0.37046649,-0.03377023,0.27681159,-0.27662335,33.0284,-0.06345187,50.0,7.1429,0.5,0.071429,1,25.203,26.183,27.163,1.96,-365295.1423,0.0,0.26678421,26.00845,26.00845,25.37626648,25.37626648,76900.0,0.0,0.0,-0.50377274,-0.01946569,0.03473227,0.0,10878,13065,0,208,246,0
FSBC,2021-06-29,26.0892,0.84823841,-0.01134206,0.0949,0.3526,-0.2577,1,1,-1,-123.6821,1,-4.6602,-1,0.88847915,19.7581,1,-0.36320683,28.1661,12.8921,0.23376221,-0.28876538,0.08262227,-0.5710683,31.4359,-0.04821608,42.8571,100.0,0.428571,1.0,-1,23.9934,25.7227,27.4519,3.4585,-391550.5096,1.0,0.07187439,25.38614427,25.88991433,23.86001222,24.25018692,42700.0,0.0,0.0,-1.12607956,-0.0443753,0.01926556,0.0,16481,13431,0,273,244,0
FSBC,2021-06-30,25.7681,0.76060912,-0.01230777,-0.0718,0.2677,-0.3395,-1,1,-1,-171.7571,1,-3.4,-1,-0.27041758,17.0431,1,-0.137412,16.1792,5.5892,0.09046754,-0.42557898,0.0,-0.56646318,30.2426,-0.03795978,35.7143,100.0,0.357143,1.0,-1,23.1205,25.2149,27.3094,4.1889,-423375.7491,0.0,0.08128004,24.11189704,24.40823259,23.70690425,23.85507202,55100.0,0.0,0.0,-0.3951149,-0.01629327,0.02487337,0.0,17899,13925,0,247,234,0
FSBC,2021-07-01,25.4915,0.68512403,-0.0107342,-0.1747,0.1792,-0.354,-1,1,-1,-146.2011,1,-0.3662,-1,-0.89229412,27.6118,1,0.62011606,9.4016,9.7236,0.00944627,-0.41890823,0.04677505,0.7397123,28.1898,-0.06787776,28.5714,100.0,0.285714,1.0,-1,23.1556,24.7112,26.2667,3.1111,-431466.9772,0.0,0.01911122,24.0427521,24.83298149,23.70690414,24.19091988,57700.0,0.0,0.0,0.33584785,0.01407868,0.0260492,0.0,18958,14431,0,221,229,0
FSBC,2021-07-02,25.3305,0.64118658,-0.00631583,-0.2676,0.0899,-0.3575,-1,1,-1,-150.3107,1,-3.2245,-1,7.80529765,25.4649,1,-0.07775299,8.6114,10.5213,0.0,-0.08404952,0.05579993,0.08203752,26.3422,-0.06554144,21.4286,92.8571,0.214286,0.928571,-1,23.2622,24.3378,25.4134,2.1512,-438180.5801,0.0,0.01555995,23.9242158,24.47243824,23.80074234,24.01311684,18300.0,0.0,0.0,-0.17780304,-0.00734999,0.00823082,0.0,17357,14864,0,273,223,0
