Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
FSBC,2021-06-21,132900.0,26.07759285,25.58863903,0.0,-0.0626211,-0.0376,8,26.5939,0,41.5556,26.40356269,44.8681,85.7143,0.509,25.81088974,-1,1,-65580.0132,27.8539,2.5199,0.0,0.4714,0.27278621,11633,0,49.2853,258,0.01773314,0,29.7005,8518,0.00146132,0.0,0.857143,0.48622688,14.2857,-0.2352703,0.92882679,0.06005789,-0.3596408
FSBC,2021-06-22,115600.0,26.55173111,25.84052468,0.0,-0.04614059,-0.0378,0,26.4556,0,39.6382,26.73941129,55.3951,78.5714,0.4996,26.02820486,1,1,1725.9099,27.5393,2.1674,0.0,0.4618,0.20494066,11745,0,33.2617,255,0.01818183,0,23.7037,13919,0.00396824,0.0,0.785714,0.2946764,7.1429,-0.32511925,0.95739978,0.05223408,-0.20190906
FSBC,2021-06-23,46400.0,26.39368439,26.27515093,0.0,-0.04353629,-0.0505,0,26.3213,0,37.9125,26.58136456,51.3127,71.4286,0.487,26.452953,1,1,-8756.9288,27.2197,1.7968,0.0,0.4365,0.32379142,11874,0,29.2043,252,-0.00595241,0,34.2088,14440,0.00380532,0.0,0.714286,0.24617314,0.0,-0.12198414,0.98490844,0.02093886,0.44318398
FSBC,2021-06-24,110000.0,26.70977974,26.22576212,-1.0,-0.00422288,-0.0401,0,26.2719,0,37.7524,27.4358024,58.8873,64.2857,0.4769,26.49246524,1,1,-30754.9288,27.0431,1.5424,0.0,0.4368,0.47075428,12156,0,35.037,251,0.01197617,0,47.1987,15415,0.00207973,0.0,0.642857,0.31589882,0.0,0.19972059,1.0,0.04970152,0.37972393
FSBC,2021-06-25,674300.0,25.88003922,25.33675483,1.0,-0.06585806,-0.0888,10,26.3233,0,35.2661,27.09501767,38.9857,57.1429,0.4547,26.88758127,1,1,-288364.1423,26.9321,1.2177,0.0,0.3659,0.40684701,12528,0,40.9858,264,-0.03106505,0,41.55,14327,-0.00378303,0.0,0.571429,0.3870124,14.2857,0.16978623,0.97249134,0.30490232,-0.11967914
FSBC,2021-06-28,76900.0,25.37626648,25.37626648,0.0,-0.06345187,-0.1509,0,26.183,0,33.0284,26.00845,31.0275,50.0,0.417,26.00845,-1,1,-365295.1423,27.163,1.96,0.0,0.266,0.27681159,13065,0,39.6017,246,-0.01946569,0,30.0563,10878,-0.00587692,0.0,0.5,0.37046649,7.1429,-0.03377023,0.9299184,0.03473227,-0.27662335
FSBC,2021-06-29,42700.0,24.25018692,23.86001222,1.0,-0.04821608,-0.2577,0,25.7227,0,31.4359,25.88991433,19.7581,42.8571,0.3526,25.38614427,-1,1,-391550.5096,27.4519,3.4585,0.0,0.0949,0.08262227,13431,1,28.1661,244,-0.0443753,1,12.8921,16481,-0.01134206,0.0,0.428571,0.23376221,100.0,-0.28876538,0.84823841,0.01926556,-0.5710683
FSBC,2021-06-30,55100.0,23.85507202,23.70690425,0.0,-0.03795978,-0.3395,0,25.2149,0,30.2426,24.40823259,17.0431,35.7143,0.2677,24.11189704,-1,-1,-423375.7491,27.3094,4.1889,0.0,-0.0718,0.0,13925,1,16.1792,234,-0.01629327,1,5.5892,17899,-0.01230777,0.0,0.357143,0.09046754,100.0,-0.42557898,0.76060912,0.02487337,-0.56646318
FSBC,2021-07-01,57700.0,24.19091988,23.70690414,0.0,-0.06787776,-0.354,0,24.7112,0,28.1898,24.83298149,27.6118,28.5714,0.1792,24.0427521,-1,-1,-431466.9772,26.2667,3.1111,0.0,-0.1747,0.04677505,14431,1,9.4016,229,0.01407868,1,9.7236,18958,-0.0107342,0.0,0.285714,0.00944627,100.0,-0.41890823,0.68512403,0.0260492,0.7397123
FSBC,2021-07-02,18300.0,24.01311684,23.80074234,0.0,-0.06554144,-0.3575,0,24.3378,0,26.3422,24.47243824,25.4649,21.4286,0.0899,23.9242158,-1,-1,-438180.5801,25.4134,2.1512,0.0,-0.2676,0.05579993,14864,1,8.6114,223,-0.00734999,1,10.5213,17357,-0.00631583,0.0,0.214286,0.0,92.8571,-0.08404952,0.64118658,0.00823082,0.08203752
FSBC,2021-07-06,11400.0,23.7661705,23.33154529,1.0,-0.02868022,-0.3575,0,24.0157,0,25.5867,24.01311742,22.4363,14.2857,0.0005,24.01311742,-1,-1,-435051.3627,24.3886,0.7457,0.0,-0.357,0.10488183,15721,1,11.7015,197,-0.01028381,1,14.8596,16904,-0.00912339,0.0,0.142857,0.0369399,100.0,0.35883828,0.5781186,0.00511035,0.41233498
FSBC,2021-07-07,16600.0,23.8007431,23.70690395,-1.0,-0.07364764,-0.3366,0,23.9258,0,23.7023,24.48725711,24.0177,7.1429,-0.0837,24.48725711,-1,-1,-447672.6285,24.2409,0.6301,0.0,-0.4202,0.16885812,16689,1,15.2984,196,0.0014547,1,20.5144,24672,-0.01096042,0.0,0.071429,0.07993822,92.8571,0.30738794,0.50304287,0.00746201,0.3805486
FSBC,2021-07-08,37700.0,23.60812569,23.49947032,0.0,-0.0530708,-0.3174,0,23.8765,0,22.4444,24.21067679,21.0314,0.0,-0.163,23.66739242,-1,-1,-473852.4896,24.2839,0.8148,0.0,-0.4804,0.18815237,18363,1,19.1979,193,-0.00809292,1,22.2198,30679,-0.01122287,0.0,0.0,0.12655391,85.7143,0.25489594,0.42701198,0.01700434,0.08313185
