Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
LGIH,2019-12-02,71.048,0.20737185265308578,,-2.053,-2.4773,0.4243,-1,-1,1,-48.354,0,-10.8343,-1,,40.8659,0,,71.4659,62.259,0.7532803698370741,,0.6475737283159498,,42.7412,,7.1429,64.2857,0.071429,0.642857,-1,69.9003,71.504,73.1077,3.2073999999999927,19412769.6189,
LGIH,2019-12-03,71.115,0.2078751276966528,0.0009430244341852419,-1.9151,-2.3649,0.4498,-1,-1,1,-27.6032,0,-5.3106,-1,-0.5098345070747534,50.917,0,0.24595322750753065,66.3077,53.588,0.6916941871488304,-0.07217708025785735,0.5494729529905972,-0.13927303683001654,42.2853,-0.010666523167342044,0.0,57.1429,0.0,0.571429,-1,70.7225,71.754,72.7855,2.0630000000000024,19567690.8028,0.007980375131489201
LGIH,2019-12-04,71.332,0.20950513791238504,0.003051395626801642,-1.7054,-2.233,0.5275,-1,-1,1,86.1491,0,0.346,1,-1.0651527134410426,63.1502,0,0.2402576742541783,56.498,53.6469,0.5745715520596782,-0.14794209420625357,0.5501393277647482,0.0010991266701500576,39.7508,-0.05993808723126007,100.0,50.0,1.0,0.5,1,70.6574,71.842,73.0266,2.3692000000000064,19642654.1128,0.0038309737595236294
LGIH,2019-12-05,71.681,0.2121266750796226,0.004892614815230244,-1.3486,-2.0561,0.7075,-1,-1,1,297.0464,-1,0.0268,1,-0.922543352601156,78.0139,-1,0.23537059265053806,59.8574,72.3373,0.6146810131358068,0.05946051187652662,0.7615962221415181,0.3483966454725249,36.78,-0.07473560280547806,100.0,42.8571,1.0,0.42857100000000004,1,69.7749,72.36,74.9451,5.170199999999994,19816131.2959,0.008831656969765345
LGIH,2019-12-06,71.998,0.21450784207679832,0.004422371339685653,-1.1088,-1.8666,0.7579,-1,-1,1,253.2979,-1,4.3147,1,159.99626865671644,67.2348,0,-0.1381689673250536,68.4914,79.49,0.7177664114007628,0.1442428170952965,0.8425194623294606,0.09887983101387522,34.4846,-0.06240891789015771,100.0,35.7143,1.0,0.357143,1,69.8197,72.702,75.5843,5.7646000000000015,19685072.9046,-0.006613722393286551
LGIH,2019-12-09,72.526,0.2184739498828195,0.007333537042695513,-0.8197,-1.6573,0.8376,-1,-1,1,217.9745,-1,6.8137,1,0.5791827937052402,74.3589,-1,0.10595852147994785,78.1907,82.7447,0.833570928819258,0.14161339963849487,0.8793420425914172,0.040944772927412255,32.4188,-0.05990500107294279,92.8571,28.5714,0.928571,0.285714,1,70.8475,73.548,76.2485,5.4010000000000105,19775682.8177,0.004602975744063756
LGIH,2019-12-10,72.9,0.221283276245418,0.005156771364752081,-0.6716,-1.4601,0.7885,-1,-1,1,136.3549,-1,3.2947,1,-0.5164594860354873,58.5808,0,-0.21218845356776392,79.1124,75.1024,0.8445755398432108,0.011787846892277304,0.7928796328037409,-0.09235999405399974,29.5944,-0.0871222870679975,85.7143,21.4286,0.857143,0.214286,1,72.2849,74.046,75.8071,3.522200000000012,19738482.0582,-0.0018811365373791688
LGIH,2019-12-11,73.207,0.22358932756444921,0.004211248285322194,-0.457,-1.2595,0.8025,-1,-1,1,139.3543,-1,5.1799,1,0.5721917018241417,67.5113,0,0.15244755960997464,79.1133,79.4927,0.8445862853676999,1.137621915150413e-05,0.8425500092206357,0.05845751933360314,27.3827,-0.07473373340902334,78.5714,14.2857,0.785714,0.142857,1,73.5607,74.572,75.5833,2.022599999999997,19862770.7289,0.006296769444252438
LGIH,2019-12-12,73.237,0.22381467459888224,0.00040979687734781016,-0.503,-1.1082,0.6052,-1,-1,1,66.3667,0,1.2166,1,-0.7651306009768529,40.9123,0,-0.39399330186205866,68.1704,49.916,0.7139338409996682,-0.13831934706300958,0.5079291809925929,-0.37206812701040476,25.5106,-0.06836798416518458,71.4286,7.1429,0.714286,0.071429,1,72.109,74.114,76.119,4.010000000000005,19681411.263,-0.009130622730097024
LGIH,2019-12-13,73.354,0.22469352803317108,0.001597553149364453,-0.4487,-0.9763,0.5276,-1,-1,1,50.4553,0,2.5985,1,1.135870458655269,50.3395,0,0.2304245911376285,56.2747,39.4155,0.5719054680392285,-0.17449948951451066,0.3891300584803261,-0.2103634105296898,23.8257,-0.06604705494970714,64.2857,0.0,0.642857,0.0,1,71.927,74.006,76.085,4.157999999999987,19742526.7794,0.003105240553297726
