Date,daily_trend
2019-12-01,74
2019-12-02,47
2019-12-03,38
2019-12-04,48
2019-12-05,19
2019-12-06,61
2019-12-07,22
2019-12-08,44
2019-12-09,49
2019-12-10,20
2019-12-11,48
2019-12-12,39
2019-12-13,30
2019-12-14,100
2019-12-15,75
2019-12-16,29
2019-12-17,39
2019-12-18,10
2019-12-19,40
2019-12-20,52
2019-12-21,45
2019-12-22,11
2019-12-23,11
2019-12-24,0
2019-12-25,25
2019-12-26,21
2019-12-27,21
2019-12-28,45
2019-12-29,44
2019-12-30,52
2019-12-31,22
2020-01-01,0
2020-01-02,71
2020-01-03,34
2020-01-04,62
2020-01-05,100
2020-01-06,91
2020-01-07,33
2020-01-08,55
2020-01-09,22
2020-01-10,34
2020-01-11,49
2020-01-12,37
2020-01-13,30
2020-01-14,49
2020-01-15,32
2020-01-16,77
2020-01-17,45
2020-01-18,25
2020-01-19,60
2020-01-20,33
2020-01-21,44
2020-01-22,65
2020-01-23,11
2020-01-24,23
2020-01-25,12
2020-01-26,36
2020-01-27,32
2020-01-28,44
2020-01-29,43
2020-01-30,66
2020-01-31,67
2020-02-01,100
2020-02-02,37
2020-02-03,45
2020-02-04,40
2020-02-05,32
2020-02-06,24
2020-02-07,50
2020-02-08,82
2020-02-09,18
2020-02-10,55
2020-02-11,39
2020-02-12,48
2020-02-13,56
2020-02-14,25
2020-02-15,54
2020-02-16,36
2020-02-17,40
2020-02-18,16
2020-02-19,39
2020-02-20,32
2020-02-21,33
2020-02-22,62
2020-02-23,54
2020-02-24,24
2020-02-25,63
2020-02-26,8
2020-02-27,8
2020-02-28,48
2020-02-29,61
2020-03-01,20
2020-03-02,17
2020-03-03,35
2020-03-04,44
2020-03-05,53
2020-03-06,18
2020-03-07,40
2020-03-08,70
2020-03-09,43
2020-03-10,17
2020-03-11,26
2020-03-12,9
2020-03-13,18
2020-03-14,40
2020-03-15,100
2020-03-16,34
2020-03-17,43
2020-03-18,77
2020-03-19,17
2020-03-20,9
2020-03-21,29
2020-03-22,38
2020-03-23,24
2020-03-24,8
2020-03-25,9
2020-03-26,78
2020-03-27,33
2020-03-28,28
2020-03-29,37
2020-03-30,25
2020-03-31,40
2020-04-01,74
2020-04-02,10
2020-04-03,22
2020-04-04,48
2020-04-05,12
2020-04-06,52
2020-04-07,21
2020-04-08,75
2020-04-09,33
2020-04-10,23
2020-04-11,72
2020-04-12,60
2020-04-13,65
2020-04-14,52
2020-04-15,21
2020-04-16,63
2020-04-17,85
2020-04-18,35
2020-04-19,71
2020-04-20,10
2020-04-21,84
2020-04-22,42
2020-04-23,61
2020-04-24,22
2020-04-25,48
2020-04-26,48
2020-04-27,32
2020-04-28,64
2020-04-29,41
2020-04-30,100
2020-05-01,9
2020-05-02,19
2020-05-03,10
2020-05-04,59
2020-05-05,39
2020-05-06,42
2020-05-07,35
2020-05-08,18
2020-05-09,39
2020-05-10,50
2020-05-11,26
2020-05-12,77
2020-05-13,51
2020-05-14,51
2020-05-15,35
2020-05-16,59
2020-05-17,69
2020-05-18,51
2020-05-19,26
2020-05-20,51
2020-05-21,27
2020-05-22,27
2020-05-23,39
2020-05-24,100
2020-05-25,46
2020-05-26,52
2020-05-27,35
2020-05-28,52
2020-05-29,81
2020-05-30,59
2020-05-31,10
2020-06-01,22
2020-06-02,33
2020-06-03,42
2020-06-04,52
2020-06-05,64
2020-06-06,37
2020-06-07,50
2020-06-08,82
2020-06-09,31
2020-06-10,54
2020-06-11,55
2020-06-12,23
2020-06-13,64
2020-06-14,76
2020-06-15,55
2020-06-16,76
2020-06-17,78
2020-06-18,100
2020-06-19,70
2020-06-20,52
2020-06-21,38
2020-06-22,91
2020-06-23,46
2020-06-24,92
2020-06-25,23
2020-06-26,59
2020-06-27,51
2020-06-28,38
2020-06-29,45
2020-06-30,57
2020-07-01,43
2020-07-02,32
2020-07-03,22
2020-07-04,25
2020-07-05,99
2020-07-06,65
2020-07-07,64
2020-07-08,76
2020-07-09,0
2020-07-10,46
2020-07-11,74
2020-07-12,63
2020-07-13,54
2020-07-14,55
2020-07-15,54
2020-07-16,22
2020-07-17,23
2020-07-18,25
2020-07-19,25
2020-07-20,55
2020-07-21,33
2020-07-22,45
2020-07-23,34
2020-07-24,23
2020-07-25,64
2020-07-26,38
2020-07-27,11
2020-07-28,100
2020-07-29,44
2020-07-30,56
2020-07-31,59
2020-08-01,47
2020-08-02,46
2020-08-03,81
2020-08-04,40
2020-08-05,61
2020-08-06,70
2020-08-07,42
2020-08-08,23
2020-08-09,58
2020-08-10,100
2020-08-11,30
2020-08-12,29
2020-08-13,39
2020-08-14,41
2020-08-15,34
2020-08-16,46
2020-08-17,30
2020-08-18,39
2020-08-19,50
2020-08-20,31
2020-08-21,0
2020-08-22,46
2020-08-23,79
2020-08-24,78
2020-08-25,29
2020-08-26,30
2020-08-27,39
2020-08-28,20
2020-08-29,56
2020-08-30,89
2020-08-31,38
2020-09-01,49
2020-09-02,37
2020-09-03,24
2020-09-04,76
2020-09-05,58
2020-09-06,86
2020-09-07,64
2020-09-08,24
2020-09-09,61
2020-09-10,49
2020-09-11,51
2020-09-12,85
2020-09-13,43
2020-09-14,37
2020-09-15,61
2020-09-16,61
2020-09-17,37
2020-09-18,13
2020-09-19,28
2020-09-20,84
2020-09-21,83
2020-09-22,84
2020-09-23,36
2020-09-24,48
2020-09-25,78
2020-09-26,43
2020-09-27,100
2020-09-28,38
2020-09-29,86
2020-09-30,38
2020-10-01,85
2020-10-02,20
2020-10-03,65
2020-10-04,32
2020-10-05,47
2020-10-06,46
2020-10-07,37
2020-10-08,66
2020-10-09,21
2020-10-10,23
2020-10-11,11
2020-10-12,30
2020-10-13,69
2020-10-14,20
2020-10-15,60
2020-10-16,31
2020-10-17,44
2020-10-18,11
2020-10-19,59
2020-10-20,0
2020-10-21,39
2020-10-22,31
2020-10-23,42
2020-10-24,23
2020-10-25,55
2020-10-26,69
2020-10-27,20
2020-10-28,30
2020-10-29,40
2020-10-30,51
2020-10-31,100
2020-11-01,38
2020-11-02,69
2020-11-03,51
2020-11-04,73
2020-11-05,30
2020-11-06,16
2020-11-07,72
2020-11-08,56
2020-11-09,33
2020-11-10,50
2020-11-11,67
2020-11-12,85
2020-11-13,52
2020-11-14,39
2020-11-15,19
2020-11-16,84
2020-11-17,67
2020-11-18,17
2020-11-19,34
2020-11-20,71
2020-11-21,38
2020-11-22,0
2020-11-23,34
2020-11-24,50
2020-11-25,100
2020-11-26,17
2020-11-27,69
2020-11-28,37
2020-11-29,75
2020-11-30,83
2020-12-01,65
2020-12-02,48
2020-12-03,65
2020-12-04,67
2020-12-05,55
2020-12-06,0
2020-12-07,100
2020-12-08,66
2020-12-09,33
2020-12-10,17
2020-12-11,17
2020-12-12,55
2020-12-13,37
2020-12-14,49
2020-12-15,67
2020-12-16,67
2020-12-17,34
2020-12-18,53
2020-12-19,19
2020-12-20,58
2020-12-21,0
2020-12-22,70
2020-12-23,90
2020-12-24,97
2020-12-25,64
2020-12-26,0
2020-12-27,0
2020-12-28,52
2020-12-29,89
2020-12-30,36
2020-12-31,77
2021-01-01,38
2021-01-02,23
2021-01-03,11
2021-01-04,10
2021-01-05,41
2021-01-06,20
2021-01-07,82
2021-01-08,21
2021-01-09,56
2021-01-10,34
2021-01-11,40
2021-01-12,81
2021-01-13,10
2021-01-14,73
2021-01-15,53
2021-01-16,57
2021-01-17,79
2021-01-18,70
2021-01-19,100
2021-01-20,40
2021-01-21,30
2021-01-22,21
2021-01-23,11
2021-01-24,57
2021-01-25,51
2021-01-26,30
2021-01-27,60
2021-01-28,0
2021-01-29,73
2021-01-30,11
2021-01-31,23
2021-02-01,59
2021-02-02,59
2021-02-03,50
2021-02-04,30
2021-02-05,51
2021-02-06,65
2021-02-07,0
2021-02-08,10
2021-02-09,88
2021-02-10,49
2021-02-11,40
2021-02-12,52
2021-02-13,100
2021-02-14,33
2021-02-15,30
2021-02-16,30
2021-02-17,40
2021-02-18,10
2021-02-19,10
2021-02-20,79
2021-02-21,45
2021-02-22,66
2021-02-23,20
2021-02-24,39
2021-02-25,49
2021-02-26,51
2021-02-27,45
2021-02-28,33
2021-03-01,48
2021-03-02,73
2021-03-03,72
2021-03-04,48
2021-03-05,62
2021-03-06,81
2021-03-07,55
2021-03-08,72
2021-03-09,71
2021-03-10,83
2021-03-11,49
2021-03-12,25
2021-03-13,13
2021-03-14,52
2021-03-15,10
2021-03-16,51
2021-03-17,36
2021-03-18,84
2021-03-19,49
2021-03-20,54
2021-03-21,14
2021-03-22,48
2021-03-23,0
2021-03-24,12
2021-03-25,61
2021-03-26,38
2021-03-27,56
2021-03-28,55
2021-03-29,37
2021-03-30,100
2021-03-31,75
2021-04-01,42
2021-04-02,78
2021-04-03,58
2021-04-04,35
2021-04-05,52
2021-04-06,48
2021-04-07,29
2021-04-08,20
2021-04-09,80
2021-04-10,55
2021-04-11,56
2021-04-12,39
2021-04-13,10
2021-04-14,49
2021-04-15,20
2021-04-16,61
2021-04-17,34
2021-04-18,34
2021-04-19,30
2021-04-20,69
2021-04-21,100
2021-04-22,50
2021-04-23,62
2021-04-24,34
2021-04-25,22
2021-04-26,59
2021-04-27,39
2021-04-28,50
2021-04-29,59
2021-04-30,50
2021-05-01,55
2021-05-02,96
2021-05-03,37
2021-05-04,48
2021-05-05,24
2021-05-06,100
2021-05-07,38
2021-05-08,14
2021-05-09,14
2021-05-10,63
2021-05-11,37
2021-05-12,50
2021-05-13,38
2021-05-14,13
2021-05-15,0
2021-05-16,27
2021-05-17,25
2021-05-18,49
