Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
LGIH,2020-01-24,195200.0,82.15000153,81.55999756,0.0,0.05544277,0.8215,0.0,81.232,0.0,49.8588,83.68000031,81.7645,100.0,1.6493,83.08999634,1,1,20783410.6306,83.9577,5.4514,0.0,2.4708,0.83142868,1.0,-1,82.7263,0.0,-0.00592931,-1,78.5097,1.0,0.00853713,23,1.0,0.8877236,0.0,-0.00103126,0.27001082,0.1201077,-0.10094406
LGIH,2020-01-27,243600.0,81.40000153,80.88999939,-1.0,0.01727478,0.6658,0.0,81.764,0.0,50.7201,83.36000061,67.6095,92.8571,1.8157,80.88999939,1,1,20640411.8654,82.9268,2.3256,0.0,2.4816,0.70183519,1.0,0,77.6298,0.0,-0.00912964,-1,67.0551,0.0,0.00642423,32,0.928571,0.82687408,0.0,-0.06160677,0.27384172,0.16665064,-0.14590044
LGIH,2020-01-28,158500.0,82.30000305,81.25,-1.0,0.01528388,0.5742,0.0,82.03,0.0,51.4953,83.16999817,74.2867,85.7143,1.9593,82.0,1,1,20655272.2717,82.9214,1.7828,0.0,2.5335,0.59362226,1.0,-1,67.685,0.0,0.01105653,0,57.4903,1.0,0.00750967,44,0.857143,0.70813842,0.0,-0.12810544,0.27834866,0.08481585,-0.1426409
LGIH,2020-01-29,182800.0,81.87000275,80.59999847,1.0,-0.01526741,0.4414,0.0,82.072,0.0,50.7091,82.98999786,66.1434,78.5714,2.0696,82.27999878,1,1,20666742.6901,82.9077,1.6714,0.0,2.511,0.48536069,0.0,0,57.4889,0.0,-0.00522479,0,47.9212,0.0,0.00634806,43,0.785714,0.58640237,0.0,-0.15064047,0.28218707,0.10818348,-0.16644721
LGIH,2020-01-30,170700.0,81.63999939,81.02999878,1.0,-0.01395213,0.3015,0.0,81.872,0.0,50.0016,82.76999664,61.6267,71.4286,2.145,81.81999969,1,1,20615717.5407,82.5275,1.311,0.0,2.4465,0.42055376,0.0,0,49.2015,0.0,-0.00280937,0,42.193,0.0,0.00275281,66,0.714286,0.4874552,7.1429,-0.14415652,0.28386215,0.09654774,-0.11953373
LGIH,2020-01-31,169300.0,79.73999786,79.06999969,1.0,-0.08698322,0.0571,0.0,81.39,0.0,45.6523,82.02999878,36.1417,64.2857,2.1593,81.87000275,1,1,20523193.0703,83.1435,3.507,0.0,2.2164,0.28493574,1.0,0,40.1067,0.0,-0.02327292,0,30.2059,3.0,0.00098485,67,0.642857,0.37886809,0.0,-0.18484802,0.28446307,0.09520146,-0.28410163
LGIH,2020-02-03,232700.0,80.94000244,79.86000061,0.0,-0.08574376,-0.0421,282.0,81.298,477.0,41.7379,81.51000214,51.8588,57.1429,2.1488,80.0,1,1,20595105.2339,83.0877,3.5794,0.0,2.1067,0.30143898,4.0,0,34.6878,0.0,0.01504897,0,31.6646,26.0,0.00270566,45,0.571429,0.31416929,0.0,-0.13511209,0.28611562,0.15616886,0.04829189
LGIH,2020-02-04,183600.0,81.44999695,80.25,0.0,-0.07699956,-0.0891,0.0,81.128,0.0,38.5241,81.72000122,57.4255,50.0,2.1265,81.62999725,1,1,20711230.6013,82.6454,3.0348,0.0,2.0374,0.40306623,5.0,0,34.1726,0.0,0.0063009,0,40.6473,7.0,0.00058873,40,0.5,0.30801807,0.0,-0.01485248,0.28647617,0.10895278,0.28368272
LGIH,2020-02-05,679100.0,86.83999634,81.06999969,-1.0,0.04289004,0.2107,0.0,82.122,0.0,40.1764,87.5,83.1562,100.0,2.1792,81.79000092,1,1,21250922.8937,87.0222,9.8004,0.0,2.3898,0.6917649,6.0,-1,46.1589,0.0,0.06617556,-1,66.165,5.0,0.00634967,32,1.0,0.45112816,0.0,0.35075762,0.29036717,0.58544091,0.6277834
LGIH,2020-02-06,433500.0,87.69999695,87.31999969,-1.0,0.05807887,0.4225,0.0,83.334,0.0,42.5098,89.90000153,84.9681,100.0,2.2848,87.76999664,1,1,20945154.4285,89.8793,13.0906,0.0,2.7073,0.82027341,6.0,-1,61.4453,0.0,0.00990328,-1,77.5237,2.0,0.00616344,24,1.0,0.6336397,0.0,0.33116907,0.29416802,0.34926435,0.17167233
