Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
PLPC,2020-01-24,58.4378,0.46170186,-0.000901,-1.4729,-1.6232,0.1503,-1,-1,1,-165.3196,1,-1.9741,-1,14.93301049,24.9498,1,-0.087415,16.9181,9.3055,0.15362643,-0.34138527,0.09314311,-0.40736849,45.3475,-0.016818,14.2857,42.8571,0.142857,0.428571,-1,57.5479,58.0803,58.6127,1.0648,1567631.0806,0.0,-0.00785611,57.85623937,58.55930372,57.70976639,57.70976639,12400.0,0.0,0.0,-0.1269455,-0.00219489,0.20848708,99,1.0,1.0,0.0,0.0,0.0,0.0
PLPC,2020-01-27,58.2678,0.45719355,-0.00290908,-1.5109,-1.6007,0.0898,-1,-1,1,-309.8457,1,-3.8739,-1,0.9623626,13.3126,1,-0.46642458,11.1077,8.3155,0.09233872,-0.34344282,0.08320907,-0.10638869,46.4396,0.02408292,7.1429,100.0,0.071429,1.0,-1,56.5962,57.76,58.9239,2.3277,1564237.7085,1.0,-0.00216465,57.11412586,57.59259738,56.3329415,56.69424057,8000.0,0.0,0.0,-1.01552582,-0.01759712,0.12730627,0,0.0,1.0,0.0,0.0,0.0,0.0
PLPC,2020-01-28,58.0188,0.45059019,-0.00427337,-1.5119,-1.5829,0.0711,-1,-1,1,-254.3066,1,-3.7526,-1,-0.03131211,20.0368,1,0.50510043,11.833,17.8781,0.09998914,0.06529705,0.17916382,1.14997294,47.8957,0.03135471,0.0,100.0,0.0,1.0,-1,56.316,57.4455,58.5751,2.2591,1565996.4585,1.0,0.00112435,56.73328903,57.37776344,55.81540237,56.84070206,5600.0,0.0,0.0,0.14646149,0.00258336,0.08302583,0,1.0,1.0,0.0,0.0,0.0,0.0
PLPC,2020-01-29,57.6838,0.44170616,-0.00577399,-1.6107,-1.5885,-0.0222,-1,-1,-1,-247.5834,1,-5.1525,-1,0.37304802,10.2402,1,-0.48893037,17.2194,25.4645,0.15680452,0.45520155,0.25528862,0.42434039,50.1562,0.0471963,35.7143,100.0,0.357143,1.0,-1,55.1491,56.9026,58.656,3.5069,1556755.9685,1.0,-0.00590071,56.91882415,58.33471602,54.42880947,55.39551926,18300.0,0.0,0.0,-1.4451828,-0.02542514,0.31734317,0,0.0,0.0,0.0,0.0,0.0,0.0
PLPC,2020-01-30,57.2131,0.42922343,-0.00816,-1.7577,-1.6223,-0.1354,-1,-1,-1,-316.1177,1,-7.8708,-1,0.52756914,6.9822,1,-0.31815785,24.6326,30.5551,0.23499847,0.43051442,0.30636962,0.19990968,53.0426,0.05754822,28.5714,100.0,0.285714,1.0,-1,53.7898,56.1935,58.5973,4.8075,1567740.2542,1.0,0.00705588,54.94634028,54.94634028,52.3489126,54.292099,22100.0,0.0,0.0,-1.10342026,-0.01991894,0.38745387,0,0.0,0.0,0.0,0.0,0.0,0.0
PLPC,2020-01-31,56.6994,0.41560036,-0.00897871,-1.9293,-1.6837,-0.2456,-1,-1,-1,-225.0682,1,-9.4946,-1,0.20630686,5.1915,1,-0.25646644,26.581,23.7233,0.25555006,0.07909843,0.23781676,-0.22358952,53.5239,0.00907384,21.4286,92.8571,0.214286,0.928571,-1,52.6049,55.3185,58.0322,5.4273,1565139.713,1.0,-0.00165878,53.99915993,55.81540716,52.49538494,53.33515549,5300.0,0.0,0.0,-0.95694351,-0.01762583,0.07749077,99,3.0,1.0,0.0,0.0,0.0,0.0
PLPC,2020-02-03,56.2726,0.40428184,-0.00752742,-1.9864,-1.7443,-0.2421,-1,-1,-1,-169.9639,1,-8.6813,-1,-0.08565922,23.0607,1,3.44201098,26.5177,25.2748,0.25488237,-0.0023814,0.2533851,0.06539984,53.9571,0.00809358,14.2857,85.7143,0.142857,0.857143,-1,52.3329,54.7853,57.2377,4.9048,1565291.575,0.0,9.703e-05,53.30585948,55.16116657,52.82738429,54.02845383,5200.0,0.0,0.0,0.69329834,0.0129989,0.07564576,0,26.0,4.0,477.0,0.0,0.0,282.0
PLPC,2020-02-04,55.8107,0.39203248,-0.00820826,-2.0272,-1.8008,-0.2263,-1,-1,-1,-132.4561,1,-8.5036,-1,-0.02046928,21.3597,1,-0.07376185,23.9637,22.8929,0.22794295,-0.09631303,0.22948421,-0.09424011,54.347,0.00722611,7.1429,78.5714,0.071429,0.785714,-1,52.7973,54.1759,55.5545,2.7572,1562324.0456,0.0,-0.00189583,54.14563008,55.08304676,53.75503794,53.7940979,3200.0,0.0,0.0,-0.23435593,-0.00433764,0.03874539,0,7.0,5.0,0.0,0.0,0.0,0.0
PLPC,2020-02-05,55.6632,0.38812085,-0.00264286,-1.8094,-1.8025,-0.0068,-1,-1,-1,-53.5,0,-3.1396,-1,-0.63079166,62.8702,0,1.94340276,32.7569,50.1031,0.32069304,0.36693833,0.50252164,1.18858685,51.0072,-0.06145325,0.0,71.4286,0.0,0.714286,-1,52.1176,54.4239,56.7303,4.6127,1568929.4163,0.0,0.00422791,55.03422568,56.71376674,54.32139816,56.63564682,7100.0,0.0,0.0,2.84154892,0.05282269,0.11070111,0,5.0,6.0,0.0,0.0,0.0,0.0
PLPC,2020-02-06,55.3117,0.37879925,-0.00631476,-1.8027,-1.8026,-0.0001,-1,-1,-1,-75.0713,0,-7.2833,-1,1.31981781,40.8945,0,-0.3495408,42.6057,54.821,0.42457753,0.30066337,0.54986283,0.09416383,47.8071,-0.0627382,0.0,64.2857,0.0,0.642857,-1,52.1246,54.4298,56.735,4.6104,1551492.4163,-1.0,-0.01111395,56.82117366,56.82117366,54.32139587,54.32139587,17400.0,0.0,0.0,-2.31425095,-0.04086209,0.30073801,100,2.0,6.0,0.0,0.0,0.0,0.0
