Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
SLGN,2019-12-02,29.991,0.23002016947059548,,0.0688,0.122,-0.0533,1,1,-1,-79.9073,0,-0.8799,-1,,29.718,1,,57.4046,52.3346,0.58598441986718,,0.5287529569842633,,19.9264,,14.2857,100.0,0.142857,1.0,-1,29.6072,29.9763,30.3455,0.7383000000000024,99860503.7767,
SLGN,2019-12-03,29.9422,0.22715057715263523,-0.0016271548131105984,0.0334,0.1043,-0.0709,1,1,-1,-299.9065,1,-0.1694,-1,-0.807478122513922,25.4946,1,-0.1421158893599839,56.7068,49.0863,0.5778358539237015,-0.012155820265274923,0.4933258588478313,-0.062067924470617916,22.9776,0.15312349445961126,7.1429,100.0,0.071429,1.0,-1,29.4672,29.9351,30.4031,0.9359000000000002,100211570.6732,0.0035155730566412808
SLGN,2019-12-04,29.8847,0.22376939767962875,-0.001920366572930546,0.0061,0.0847,-0.0786,1,1,-1,-119.6436,1,0.324,1,-2.9126328217237307,26.6787,1,0.04644512955684737,49.7458,47.8165,0.49654871214589413,-0.12275423758702657,0.47947697505826714,-0.025868725082151305,23.7446,0.03338033563122343,0.0,92.8571,0.0,0.928571,-1,29.3693,29.8221,30.2748,0.9055,100035172.9988,-0.0017602525657965417
SLGN,2019-12-05,29.8749,0.22319312709118602,-0.00032792699943444225,0.0048,0.0687,-0.0639,1,1,-1,-94.0789,0,-0.4237,-1,-2.3077160493827162,51.6516,0,0.9360613523147681,54.6093,66.925,0.5533422783054066,0.09776704767035597,0.6878809724538306,0.39962146957640143,24.6497,0.03811814054563989,28.5714,85.7143,0.285714,0.857143,-1,29.4225,29.7694,30.1164,0.6938999999999993,100256464.4882,0.002212136819143142
SLGN,2019-12-06,29.8642,0.22256393369360047,-0.00035816019467847365,0.0054,0.056,-0.0507,1,1,-1,-2.2573,0,-0.5199,-1,0.22704743922586737,53.1848,0,0.029683494799773884,62.4457,72.5955,0.6448519116666491,0.14349936732388083,0.7497254326276561,0.08472917444901015,23.857,-0.03215860639277557,21.4286,78.5714,0.214286,0.785714,-1,29.4926,29.7343,29.976,0.4833999999999996,99988277.1198,-0.0026750132250230882
SLGN,2019-12-09,29.8592,0.22226991808725213,-0.0001674245417589959,-0.0052,0.0438,-0.049,-1,1,-1,-66.633,0,-1.2622,-1,1.4277745720330832,41.6329,0,-0.2172030354537387,72.039,76.5965,0.7568777610010895,0.1536262705038137,0.7933617407407813,0.05511360897025304,23.633,-0.009389277780106476,14.2857,71.4286,0.142857,0.714286,-1,29.5016,29.7421,29.9825,0.4809000000000019,99788257.5598,-0.0020004301080250725
SLGN,2019-12-10,29.8503,0.22174657030795197,-0.000298065587825547,-0.0157,0.0319,-0.0476,-1,1,-1,-102.8363,1,-1.4547,-1,0.15251148787830782,39.3439,0,-0.054980556242779186,70.6686,62.8138,0.740874902346829,-0.019023029192520767,0.6430427845221437,-0.17993903115677615,24.1793,0.023115981889730557,7.1429,64.2857,0.071429,0.642857,-1,29.5648,29.7655,29.9662,0.40139999999999887,99989408.1403,0.0020157740541712874
SLGN,2019-12-11,29.8084,0.2192827195267524,-0.0014036709848812851,-0.0207,0.0214,-0.0421,-1,1,-1,-76.7732,0,-1.3889,-1,-0.04523269402625976,44.4355,0,0.1294126916752025,63.453,50.9485,0.6566146667180477,-0.10210475373786937,0.513635664638449,-0.18889638901005826,23.8187,-0.01491358310621075,0.0,57.1429,0.0,0.571429,-1,29.6611,29.7948,29.9285,0.2673999999999985,100237499.6603,0.0024811780028929317
SLGN,2019-12-12,29.787,0.21802433273158134,-0.0007179184390976995,-0.0119,0.0147,-0.0266,-1,1,-1,-1.9921,0,-0.7757,-1,-0.4415004679962561,60.8622,0,0.3696751471233587,53.7534,47.4978,0.5433474981520341,-0.15286274880620307,0.4760011211728253,-0.06772917750277249,22.5616,-0.05277785941298229,28.5714,50.0,0.285714,0.5,-1,29.6468,29.8045,29.9623,0.3155000000000001,100306996.1953,0.0006933187203942316
SLGN,2019-12-13,29.7372,0.21509593729235155,-0.0016718702789806836,-0.0329,0.0052,-0.0381,-1,1,-1,-84.0216,0,-1.8774,-1,1.4202655665850203,33.2314,0,-0.45398950415857464,46.8366,42.0635,0.4625765022823692,-0.12867651162531119,0.4167327409730864,-0.1144116148537406,22.4061,-0.006892241684986879,21.4286,42.8571,0.214286,0.42857100000000004,-1,29.5165,29.7401,29.9638,0.4472999999999985,100028400.283,-0.002777432510864527
SLGN,2019-12-16,29.7411,0.21532526946530317,0.00013114886404900312,-0.0341,-0.0027,-0.0315,-1,-1,-1,-50.6259,0,-1.1665,-1,-0.37866197933312024,48.62,0,0.46307408053828597,44.5002,43.9394,0.435293169708074,-0.049884065026069305,0.4371919637647413,0.044596859510026544,22.2662,-0.006243835384114025,14.2857,35.7143,0.142857,0.357143,-1,29.5165,29.7401,29.9638,0.4472999999999985,100080346.5688,0.000519315370964934
SLGN,2019-12-17,29.7645,0.21670126250301375,0.0007867899976800558,-0.0278,-0.0077,-0.0201,-1,-1,-1,0.5578,0,-0.8427,-1,-0.27758251178739823,54.7897,0,0.1268963389551626,43.1457,43.4343,0.41947598345063397,-0.030438065446896905,0.4316831661571583,-0.011495377724775458,21.8611,-0.018193495073250077,7.1429,28.5714,0.071429,0.285714,-1,29.5295,29.7636,29.9976,0.46809999999999974,100066932.889,-0.00013402911020879175
SLGN,2019-12-18,29.7772,0.21744806214313858,0.00042668279326038815,-0.0302,-0.0122,-0.018,-1,-1,-1,-63.5401,0,-1.4853,-1,0.7625489498042008,46.9582,0,-0.14293744992215698,46.633,52.5253,0.4601989614023288,0.08082613099335519,0.5308327980132992,0.2093046279092791,22.7405,0.040226704054233335,0.0,21.4286,0.0,0.214286,-1,29.5247,29.7597,29.9946,0.4698999999999991,100229109.4603,0.0016206809444224252
