Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
ULH,2020-01-24,18.2908,0.43512823,-0.00572404,-0.2137,-0.1849,-0.0288,-1,-1,-1,-204.9805,1,-7.4588,-1,1.04586099,19.019,1,-0.38237166,23.3001,8.757,0.21157052,-0.44235855,0.08574842,-0.57967745,21.98,0.10878503,64.2857,100.0,0.642857,1.0,-1,17.3564,18.2049,19.0534,1.697,634917.2425,0.0,-0.09450488,18.1056269,18.12513772,17.5203153,17.54958153,73400.0,0.0,0.0,-0.49751472,-0.02756758,0.24571651,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ULH,2020-01-27,18.1766,0.42704447,-0.00624358,-0.2805,-0.204,-0.0765,-1,-1,-1,-279.081,1,-8.1686,-1,0.09516276,14.4231,1,-0.24164783,12.9927,9.3871,0.09883805,-0.44237578,0.09236829,0.07195387,25.0414,0.13928116,57.1429,100.0,0.571429,1.0,-1,16.9787,17.8889,18.7991,1.8204,603767.6314,0.0,-0.0490609,17.45203125,17.46178666,17.11060115,17.21790695,80100.0,0.0,0.0,-0.33167458,-0.01889929,0.27180685,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ULH,2020-01-28,18.0869,0.42069498,-0.00493492,-0.3202,-0.2272,-0.093,-1,-1,-1,-214.5396,1,-6.8658,-1,-0.15948877,22.6674,1,0.57160389,8.7538,8.1174,0.05247702,-0.32625243,0.07902874,-0.13526009,27.8442,0.11192665,50.0,100.0,0.5,1.0,-1,16.9078,17.6549,18.402,1.4942,619757.4006,0.0,0.02648332,17.26668255,17.4715406,17.09108888,17.33496857,56700.0,0.0,0.0,0.11706161,0.00679883,0.18068536,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ULH,2020-01-29,17.9699,0.41241302,-0.00646877,-0.3649,-0.2548,-0.1101,-1,-1,-1,-188.9415,1,-7.1429,-1,0.04035946,18.5681,1,-0.18084562,8.7928,8.8739,0.05290357,0.00445521,0.08697657,0.09319487,30.4184,0.09245013,42.8571,100.0,0.428571,1.0,-1,16.7916,17.45,18.1085,1.3169,561549.9764,0.0,-0.09391969,17.2959493,17.39350156,17.07158041,17.12035561,83500.0,0.0,0.0,-0.21461296,-0.01238035,0.28504673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULH,2020-01-30,17.8411,0.40329579,-0.00716754,-0.4089,-0.2856,-0.1233,-1,-1,-1,-191.5636,1,-8.3333,-1,0.166655,15.8069,1,-0.14870665,9.5106,11.5406,0.06075417,0.08163497,0.1149931,0.30051049,33.4947,0.10113287,35.7143,100.0,0.357143,1.0,-1,16.8306,17.2316,17.6325,0.8019,595219.5764,1.0,0.05995833,16.98378169,17.00329251,16.75941282,16.95451546,56100.0,0.0,0.0,-0.16584015,-0.00968672,0.17834891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULH,2020-01-31,17.6119,0.38707166,-0.01284674,-0.4761,-0.3237,-0.1524,-1,-1,-1,-180.9499,1,-8.698,-1,0.04376418,10.3662,1,-0.34419779,9.7801,8.926,0.06370171,0.0283368,0.08752394,-0.22655668,36.9376,0.1027894,28.5714,100.0,0.285714,1.0,-1,16.4274,17.019,17.6105,1.1831,546526.0092,1.0,-0.08180774,16.88622769,17.05206594,16.39846835,16.48626518,66600.0,0.0,0.0,-0.46825027,-0.02761803,0.21923676,0.0,3.0,1.0,0.0,0.0,0.0,0.0
ULH,2020-02-03,17.3925,0.37154122,-0.01245749,-0.5139,-0.3617,-0.1522,-1,-1,-1,-146.3424,1,-8.7889,-1,0.01045068,19.071,1,0.83972912,11.4398,13.8528,0.08185392,0.16970174,0.13928523,0.55196056,40.0363,0.08389013,21.4286,92.8571,0.214286,0.928571,-1,16.2638,16.8961,17.5283,1.2645,523677.3055,0.0,-0.04180717,16.67161663,16.79843326,16.53504459,16.60333061,47500.0,0.0,0.0,0.11706543,0.00710079,0.14485981,0.0,26.0,4.0,477.0,0.0,0.0,282.0
ULH,2020-02-04,17.2091,0.35855908,-0.01054478,-0.5323,-0.3959,-0.1365,-1,-1,-1,-116.1757,1,-8.756,-1,-0.00374336,24.4229,1,0.28063028,13.6733,18.2412,0.1062818,0.19523943,0.18539005,0.31678794,41.8187,0.0445196,14.2857,85.7143,0.142857,0.857143,-1,16.2947,16.7634,17.2321,0.9374,499545.3055,0.0,-0.04608181,16.88622712,16.90573794,16.6130831,16.67161369,40200.0,0.0,0.0,0.06828308,0.00411261,0.11643302,0.0,7.0,5.0,0.0,0.0,0.0,0.0
ULH,2020-02-05,17.1253,0.35262722,-0.00486952,-0.4901,-0.4147,-0.0754,-1,-1,-1,-61.7573,0,-5.235,-1,-0.40212426,57.2427,0,1.34381257,26.1004,46.207,0.24219751,0.90885887,0.47920061,1.53311186,39.8111,-0.04800723,7.1429,78.5714,0.071429,0.785714,-1,16.212,16.8005,17.389,1.177,535361.2859,0.0,0.07169716,16.91549509,17.38374363,16.88622885,17.30570221,52200.0,0.0,0.0,0.63408852,0.03803402,0.16316199,0.0,5.0,6.0,0.0,0.0,0.0,0.0
ULH,2020-02-06,17.0511,0.3473749,-0.00433277,-0.4514,-0.422,-0.0294,-1,-1,-1,-45.5593,0,-6.3852,-1,0.21971347,57.2427,0,0.0,43.0972,64.8434,0.42809223,0.65120841,0.67499588,0.40332417,36.7066,-0.07798076,0.0,71.4286,0.0,0.714286,-1,16.1569,16.8707,17.5846,1.4277,536903.0637,-1.0,0.00287988,17.31545762,17.6081125,16.99353651,17.30570221,97100.0,0.0,0.0,0.0,0.0,0.33800623,0.0,2.0,6.0,0.0,0.0,0.0,0.0
ULH,2020-02-07,17.1594,0.35504102,0.0063515,-0.3101,-0.3997,0.0895,-1,-1,1,91.5849,0,0.1573,1,-1.02463509,82.3294,-1,0.43825152,63.8472,80.4912,0.65503585,0.48146979,0.83939271,0.24131677,37.3764,0.0182474,100.0,64.2857,1.0,0.642857,1,15.8426,17.2999,18.7571,2.9145,516318.2224,-1.0,-0.03833996,18.62265464,19.35429376,18.12513981,18.63241005,117900.0,0.0,0.0,1.32670784,0.07666305,0.41900312,53.0,5.0,7.0,0.0,0.0,0.0,0.0
ULH,2020-02-10,17.3291,0.36705339,0.00988962,-0.1734,-0.3544,0.181,-1,-1,1,102.9348,-1,3.0287,1,18.25429116,84.7191,-1,0.02902608,74.376,77.7934,0.77018978,0.16490621,0.81104944,-0.03351671,37.9793,0.0161305,92.8571,57.1429,0.928571,0.571429,1,16.0437,17.7621,19.4806,3.4369,533800.7824,0.0,0.03386005,18.82751116,19.10065708,18.61289771,18.915308,72800.0,0.0,0.0,0.28289795,0.01518311,0.24338006,0.0,9.0,9.0,0.0,0.0,0.0,0.0
ULH,2020-02-11,17.4461,0.37533535,0.00675165,-0.0969,-0.3029,0.206,-1,-1,1,86.412,0,1.4981,1,-0.50536534,68.0569,0,-0.19667584,77.6496,74.6643,0.80599328,0.0440142,0.77817491,-0.04022321,38.8895,0.02396569,85.7143,50.0,0.857143,0.5,1,16.7525,18.1289,19.5052,2.7527,482349.4765,0.0,-0.09638672,19.12992372,19.30551739,18.47632607,18.50559044,55400.0,0.0,0.0,-0.40971756,-0.02166063,0.17562305,49.0,9.0,10.0,0.0,0.0,0.0,0.0
ULH,2020-02-12,17.5807,0.38486314,0.00771519,-0.039,-0.2501,0.2111,-1,-1,1,62.0426,0,0.96,1,-0.35918831,66.4999,0,-0.02287792,74.3742,70.665,0.77017009,-0.0421818,0.73615799,-0.05356375,38.9875,0.00251996,78.5714,42.8571,0.785714,0.428571,1,17.2561,18.361,19.4658,2.2097,461369.1431,0.0,-0.04349613,18.6421655,18.73971589,18.32999977,18.46657181,62900.0,0.0,0.0,-0.03901863,-0.00210848,0.20482866,0.0,8.0,10.0,0.0,0.0,0.0,0.0
ULH,2020-02-13,17.7095,0.39398036,0.00732622,-0.0111,-0.2023,0.1912,-1,-1,1,42.6956,0,0.0,0,-1.0,57.1091,0,-0.14121525,63.7246,45.8444,0.65369497,-0.14318944,0.47539111,-0.35124319,38.3532,-0.01626932,71.4286,35.7143,0.714286,0.357143,1,18.1066,18.5482,18.9898,0.8832,433248.5717,0.0,-0.06095026,18.31048686,18.4568143,18.18366839,18.24220085,49200.0,0.0,0.0,-0.22437096,-0.01215011,0.15147975,0.0,6.0,11.0,0.0,0.0,0.0,0.0
ULH,2020-02-14,17.846,0.40364264,0.00770773,-0.0202,-0.1659,0.1457,-1,-1,1,19.3146,0,-4.9351,-1,-1.0,43.6951,0,-0.23488376,47.1181,24.845,0.47206898,-0.26059795,0.25477002,-0.45805813,36.0984,-0.0587904,64.2857,28.5714,0.642857,0.285714,1,17.6959,18.3922,19.0885,1.3926,382277.3717,0.0,-0.11764886,18.15440573,18.30073318,17.81297378,17.85199356,60700.0,0.0,0.0,-0.39020729,-0.02139036,0.19626168,0.0,6.0,11.0,0.0,0.0,0.0,0.0
ULH,2020-02-18,17.9699,0.41241302,0.00694273,-0.0279,-0.1383,0.1104,-1,-1,1,9.6194,0,-5.0856,-1,0.03049584,43.3767,0,-0.00728686,26.161,7.7936,0.2428603,-0.44477812,0.07562687,-0.68631113,33.4197,-0.0742055,57.1429,21.4286,0.571429,0.214286,1,17.6025,18.1776,18.7528,1.1503,389075.0289,0.0,0.017782,17.84223747,17.99832031,17.6568884,17.84223747,79300.0,0.0,0.0,-0.00975609,-0.0005465,0.26869159,50.0,7.0,9.0,0.0,0.0,0.0,0.0
ULH,2020-02-19,18.1064,0.4220753,0.00759604,-0.0181,-0.1143,0.0962,-1,-1,1,30.3896,0,-2.5303,-1,-0.50245792,52.1021,0,0.20115408,16.3231,16.3307,0.13526277,-0.37605214,0.16531821,1.09539879,31.7244,-0.05072756,50.0,14.2857,0.5,0.142857,1,17.606,18.084,18.562,0.956,402425.9889,0.0,0.03431462,17.83248402,18.21293575,17.72517636,18.03734207,47700.0,0.0,0.0,0.1951046,0.01093498,0.14563863,0.0,17.0,10.0,0.0,1.0,0.0,0.0
ULH,2020-02-20,18.2283,0.43070411,0.00673243,0.0287,-0.0857,0.1144,1,-1,1,65.0449,0,2.0968,1,-1.82867644,67.6703,0,0.29880178,24.0614,48.06,0.21989689,0.47407049,0.49866836,1.94292345,31.1954,-0.01667486,42.8571,7.1429,0.428571,0.071429,1,17.5798,18.0957,18.6116,1.0318,450961.5182,0.0,0.12060734,17.88125849,18.54461153,17.88125849,18.52510071,51600.0,0.0,0.0,0.48775864,0.0270416,0.16082555,0.0,14.0,11.0,0.0,0.0,0.0,0.0
