Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
WVVI,2020-01-24,5400.0,6.82000017,6.75,1.0,0.00700906,-0.0156,0.0,6.8878,0.0,58.9201,6.92000008,24.1871,35.7143,-0.0154,6.75,-1,-1,59980.4154,6.9972,0.2188,0.0,-0.031,0.49027981,1.0,1,51.0418,0.0,-0.00872092,1,47.6363,1.0,-0.00233107,0,0.357143,0.5338642,85.7143,-0.08312316,0.22271326,0.00020027,-0.09860144
WVVI,2020-01-27,3400.0,6.84000015,6.82000017,0.0,9.165e-05,-0.0159,0.0,6.8652,0.0,58.9255,6.92999983,31.0169,28.5714,-0.0194,6.9000001,-1,-1,57785.5972,6.9565,0.1826,0.0,-0.0353,0.52121177,1.0,0,50.3514,0.0,0.00293255,1,50.5708,0.0,-0.00230767,0,0.285714,0.52638744,78.5714,-0.01352617,0.22111711,0.00012173,0.06160218
WVVI,2020-01-28,4400.0,6.86999989,6.80999994,1.0,0.00177003,-0.0133,0.0,6.8487,0.0,59.0298,6.88000011,42.0536,21.4286,-0.0227,6.8499999,-1,-1,60177.0912,6.8874,0.0774,0.0,-0.036,0.55836807,1.0,0,50.7676,0.0,0.00438593,1,54.0958,1.0,-0.00163356,44,0.214286,0.53089472,71.4286,0.00826591,0.21998982,0.000161,0.06970426
WVVI,2020-01-29,1900.0,6.9000001,6.82000017,0.0,-0.01823825,-0.0084,0.0,6.862,0.0,57.9532,6.90999985,54.2171,14.2857,-0.0248,6.82999992,-1,-1,61633.4217,6.9178,0.1116,0.0,-0.0333,0.718312,0.0,0,57.9787,0.0,0.00436684,0,69.2696,0.0,-0.00073848,0,0.142857,0.60898815,64.2857,0.14204138,0.21948105,6.283e-05,0.28049867
WVVI,2020-01-30,500.0,6.82999992,6.82999992,0.0,-0.01671866,-0.0094,0.0,6.8532,0.0,56.9843,6.82999992,35.5911,7.1429,-0.0272,6.82999992,-1,-1,61633.4217,6.9118,0.1171,0.0,-0.0366,0.6934958,0.0,0,63.4269,0.0,-0.01014495,1,66.9153,0.0,-0.00230401,44,0.071429,0.66799005,57.1429,0.09396899,0.21789487,7.85e-06,-0.03398749
WVVI,2020-01-31,1900.0,6.8499999,6.80000019,1.0,-0.04933113,-0.0083,0.0,6.8577,0.0,54.1732,6.88000011,40.8079,0.0,-0.0292,6.80000019,-1,-1,61927.1367,6.9096,0.1038,0.0,-0.0375,0.57147239,1.0,0,63.8413,0.0,0.00292825,0,55.339,3.0,-0.00180099,0,0.0,0.67247784,50.0,0.00653351,0.21665785,6.283e-05,-0.1729993
WVVI,2020-02-03,1300.0,6.76000023,6.75,0.0,-0.03031204,-0.0124,282.0,6.8417,477.0,52.5311,6.82000017,25.7456,14.2857,-0.0323,6.82000017,-1,-1,60902.7847,6.9369,0.1904,0.0,-0.0447,0.28842146,4.0,1,50.2468,0.0,-0.01313864,1,28.4861,26.0,-0.00280821,0,0.142857,0.52525466,42.8571,-0.21294209,0.21473249,3.927e-05,-0.48524368
WVVI,2020-02-04,2500.0,6.78999996,6.75,0.0,-0.02813381,-0.0121,0.0,6.8262,0.0,51.0532,6.78999996,36.0295,7.1429,-0.0354,6.76000023,-1,-1,63377.7847,6.9248,0.1971,0.0,-0.0474,0.21227265,5.0,0,35.029,0.0,0.00443783,1,21.2619,7.0,-0.00233461,100,0.071429,0.36045177,35.7143,-0.30286108,0.21313634,8.639e-05,-0.25360439
WVVI,2020-02-05,1800.0,6.80999994,6.75,0.0,-0.04236561,-0.0097,0.0,6.8075,0.0,48.8903,6.80999994,42.6485,0.0,-0.0378,6.78999996,-1,-1,65143.7847,6.8683,0.1216,0.0,-0.0474,0.24673473,6.0,0,24.7597,0.0,0.00294551,0,24.5313,5.0,-0.00039489,0,0.0,0.24923922,28.5714,-0.29316566,0.21286699,5.89e-05,0.15376801
WVVI,2020-02-06,800.0,6.80999994,6.76999998,0.0,-0.03981567,-0.0073,0.0,6.8032,0.0,46.9437,6.80999994,42.6485,7.1429,-0.0396,6.76999998,-1,-1,65976.7847,6.8596,0.1128,0.0,-0.0469,0.38862859,6.0,0,27.9286,0.0,0.0,0,37.9927,2.0,-0.00095103,0,0.071429,0.28355718,21.4286,0.1279862,0.21221855,1.963e-05,0.54874385
