Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
EXC,2019-12-02,41.8404,0.5518220514114258,,-0.323,-0.3267,0.0037,-1,-1,1,-78.3615,0,-2.3673,-1,,31.7055,0,,30.8052,38.2875,0.3120126397986767,,0.3859007744846868,,17.6411,,42.8571,0.0,0.428571,0.0,1,41.1162,41.4462,41.7762,0.6600000000000037,909959597.2419,
EXC,2019-12-03,41.7325,0.546030348736722,-0.002578847238554143,-0.3105,-0.3234,0.0129,-1,-1,1,-60.2928,0,0.2685,1,1.1134203523000887,47.3566,0,0.4936399047483875,41.1545,46.9136,0.4256445616585453,0.3359595133289185,0.4768081408889764,0.22529807378387204,17.8322,0.010832657827459666,35.7143,0.0,0.357143,0.0,1,41.1228,41.463,41.8033,0.6805000000000021,915772432.44,0.0063880146060538
EXC,2019-12-04,41.6545,0.5418435757188635,-0.0018690469058887666,-0.2762,-0.314,0.0378,-1,-1,1,-3.7999,0,0.2719,1,0.012662942271880664,57.1716,0,0.20725727776065,45.3765,50.9283,0.4720007378339741,0.10258902428653006,0.5191176207122223,0.08557646396780459,16.4345,-0.07838068213680871,28.5714,92.8571,0.285714,0.928571,-1,41.1693,41.5626,41.9558,0.7865000000000038,918789014.2493,0.003294029938488662
EXC,2019-12-05,41.6076,0.5393261442504335,-0.0011259287712012107,-0.2223,-0.2957,0.0734,-1,-1,1,42.3759,0,0.9022,1,2.318131666053697,66.1796,0,0.15756074694428696,59.0208,79.2205,0.6218106797075894,0.3006908862516942,0.8172789441125359,0.5555300294728078,15.2557,-0.07172715932945942,21.4286,85.7143,0.214286,0.857143,-1,41.0852,41.6733,42.2615,1.1762999999999977,924090900.3882,0.005770515381305432
EXC,2019-12-06,41.6517,0.5416932813028379,0.0010599025178092524,-0.1774,-0.272,0.0946,-1,-1,1,80.3914,0,1.1731,1,0.30026601640434497,66.1796,0,0.0,71.4469,84.1919,0.7582451848647415,0.2105376409672522,0.8696707412563535,0.06275395888690431,15.5767,0.021041315704949725,14.2857,78.5714,0.142857,0.785714,-1,41.0747,41.7597,42.4446,1.3699000000000012,922867525.6348,-0.0013238684126054717
EXC,2019-12-09,41.6987,0.5442160804289834,0.0011284053231921903,-0.1351,-0.2446,0.1096,-1,-1,1,64.8709,0,1.3083,1,0.11525019179950557,68.4479,0,0.0342749125108041,81.4552,80.9533,0.868133038492535,0.14008025540646277,0.8355403002880211,-0.03846688339377072,15.8657,0.018553352122079755,7.1429,71.4286,0.071429,0.714286,-1,41.4742,41.9512,42.4282,0.9539999999999936,924199636.9124,0.0014434479929107367
EXC,2019-12-10,41.7503,0.5469857918100282,0.0012374486494782938,-0.116,-0.2189,0.1029,-1,-1,1,51.9691,0,2.4153,1,0.8461362072919053,54.6925,0,-0.20096160729547585,77.2268,66.5353,0.8217065924148033,-0.051910743574382086,0.6835941822489249,-0.17810268389305925,16.4993,0.039935206136508396,0.0,64.2857,0.0,0.642857,-1,41.7767,42.0375,42.2983,0.5215999999999994,919483456.5311,-0.00510298878395577
EXC,2019-12-11,41.7681,0.5479412348833339,0.0004263442418376405,-0.1388,-0.2029,0.0641,-1,-1,1,-54.6202,0,0.5393,1,-0.7767151078540968,33.7187,0,-0.3834858527220369,65.1478,47.9549,0.6890831314903588,-0.1564094329947634,0.4877820271918001,-0.27925627448888035,15.521,-0.059293424569527235,0.0,57.1429,0.0,0.571429,-1,41.4745,41.9737,42.4729,0.9984000000000036,917318635.2417,-0.0023543885145765643
EXC,2019-12-12,41.7522,0.547087777306617,-0.0003806732889452697,-0.1625,-0.1948,0.0323,-1,-1,1,-78.169,0,-0.0939,-1,-1.174114592990914,30.8727,0,-0.08440420300901282,47.959,29.3867,0.5003557413804084,-0.2638431382180212,0.2920984435481916,-0.3872013078955435,15.3195,-0.012982410927131056,0.0,100.0,0.0,1.0,-1,41.1841,41.831,42.478,1.2939000000000007,915905115.5842,-0.001540925479103111
EXC,2019-12-13,41.6977,0.5441624038518311,-0.00130532043820456,-0.2001,-0.1959,-0.0043,-1,-1,-1,-120.8945,1,-1.8149,-1,-18.32800851970181,23.8323,1,-0.22804613784994504,31.3377,16.6715,0.3178593152637208,-0.3465731145353323,0.1580975224710161,-0.43268553461259684,15.9032,0.03810176572342441,64.2857,100.0,0.642857,1.0,-1,40.8667,41.6358,42.4049,1.5381999999999962,915133813.7633,-0.0008421197870568898
