Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
EXC,2020-01-24,44.1065,0.67345854,0.00337366,0.6511,0.4913,0.1598,1,1,1,139.3651,-1,5.3177,1,-0.12596769,75.3546,-1,-0.16703126,90.6581,84.2794,0.96917786,-0.02581023,0.87059287,-0.10316639,38.8545,0.06502623,100.0,14.2857,1.0,0.142857,1,44.3966,44.741,45.0855,0.6889,960293604.0378,-1.0,-0.00209228,44.88552142,45.185696,44.6041082,44.77295685,4801200.0,0.0,0.0,-0.20637131,-0.00458814,0.2358069,93,1.0,1.0,0.0,0.0,0.0,0.0
EXC,2020-01-27,44.2013,0.67854708,0.00214934,0.6254,0.5182,0.1072,1,1,1,100.1114,-1,4.3027,1,-0.19087199,52.455,0,-0.3038912,78.769,58.0531,0.83863944,-0.13114217,0.59420333,-0.3111828,38.731,-0.00317853,100.0,7.1429,1.0,0.071429,1,44.3029,44.7185,45.1342,0.8313,955732486.2424,1.0,-0.00474971,44.80110199,45.18570094,44.26641574,44.34146118,5451100.0,0.0,0.0,-0.43149567,-0.00963742,0.28190433,65,0.0,1.0,0.0,0.0,0.0,0.0
EXC,2020-01-28,44.3458,0.68630335,0.00326913,0.6326,0.541,0.0915,1,1,1,94.4734,0,5.109,1,0.18739396,65.5437,0,0.24952245,62.1897,44.2366,0.65660416,-0.21048001,0.4485962,-0.23799763,38.6198,-0.00287109,92.8571,0.0,0.928571,0.0,1,44.3305,44.7467,45.1628,0.8323,958141210.0076,1.0,0.00252029,44.33207387,44.9418055,44.30393362,44.77295685,5118500.0,0.0,0.0,0.43149567,0.0097312,0.258313,61,1.0,1.0,0.0,0.0,0.0,0.0
EXC,2020-01-29,44.5336,0.69638381,0.0042349,0.637,0.5602,0.0767,1,1,1,102.6515,-1,5.3548,1,0.04811118,67.4893,0,0.02968401,47.4461,40.0487,0.49472427,-0.23707463,0.40446143,-0.09467048,39.4663,0.02191881,100.0,28.5714,1.0,0.285714,1,44.3457,44.7748,45.204,0.8583,955903610.4654,-1.0,-0.00233535,44.70729118,45.28887895,44.63224933,44.84799957,6525100.0,0.0,0.0,0.07504272,0.00167607,0.35808319,52,0.0,0.0,0.0,0.0,0.0,0.0
EXC,2020-01-30,44.6753,0.70398978,0.00318187,0.6519,0.5785,0.0733,1,1,1,90.7691,0,5.4179,1,0.01178382,73.3644,-1,0.08705232,49.4061,63.9331,0.51624443,0.04131003,0.65617053,0.5963839,39.1132,-0.00894687,92.8571,21.4286,0.928571,0.214286,1,44.3158,44.7955,45.2752,0.9594,959886381.3448,0.0,0.0041665,44.66977297,45.16694004,44.46340517,45.08251572,5240500.0,0.0,0.0,0.23451614,0.00522913,0.26696646,100,0.0,0.0,0.0,0.0,0.0,0.0
EXC,2020-01-31,44.7551,0.70827317,0.00178622,0.6209,0.587,0.0339,1,1,1,67.4822,0,4.7546,1,-0.12242751,51.4956,0,-0.29808463,53.9266,57.7982,0.56587803,0.0914968,0.59151703,-0.09595812,37.9039,-0.03091795,85.7143,14.2857,0.857143,0.142857,1,44.2801,44.7692,45.2583,0.9782,958147310.6521,0.0,-0.00181175,45.02623099,45.17631829,44.32269613,44.64163208,6880700.0,0.0,0.0,-0.44088364,-0.00977948,0.38330591,48,3.0,1.0,0.0,0.0,0.0,0.0
EXC,2020-02-03,44.8312,0.71235796,0.00170036,0.6353,0.5967,0.0386,1,1,1,89.123,0,5.7713,1,0.21383502,67.3062,0,0.30702817,63.5958,69.056,0.67204268,0.17930298,0.71015893,0.19477769,37.2803,-0.01645213,100.0,7.1429,1.0,0.071429,1,44.5271,44.9438,45.3605,0.8334,962520809.9373,0.0,0.00456454,44.72605967,45.30764752,44.65101422,45.2138443,6122900.0,0.0,0.0,0.57221222,0.01281791,0.32955513,77,26.0,4.0,477.0,0.0,0.0,282.0
EXC,2020-02-04,44.879,0.7149237,0.00106622,0.631,0.6035,0.0275,1,1,1,93.2191,0,5.3681,1,-0.06986294,62.6993,0,-0.06844689,63.8423,64.6727,0.67474917,0.00387604,0.66396491,-0.06347457,37.3747,0.00253217,100.0,0.0,1.0,0.0,1,44.5972,45.0114,45.4256,0.8284,960359330.5188,-1.0,-0.00224564,45.12941428,45.50463071,44.92304292,45.11065292,6091400.0,0.0,0.0,-0.10319138,-0.0022823,0.32732083,61,7.0,5.0,0.0,0.0,0.0,0.0
EXC,2020-02-05,44.9419,0.71829996,0.00140155,0.6385,0.6105,0.028,1,1,1,91.8023,0,5.8012,1,0.08068032,68.567,0,0.09358478,71.5801,81.0117,0.75970768,0.12120177,0.83615576,0.25264138,36.9853,-0.01041881,92.8571,0.0,0.928571,0.0,1,44.6384,45.109,45.5796,0.9412,963625761.486,0.0,0.00340126,45.03561056,45.43897084,44.85738301,45.33578873,5063000.0,0.0,0.0,0.2251358,0.00499075,0.25437638,93,5.0,6.0,0.0,0.0,0.0,0.0
EXC,2020-02-06,44.971,0.71986194,0.0006475,0.6318,0.6148,0.017,1,1,1,100.6734,-1,4.8902,1,-0.15703648,64.8479,0,-0.05424038,73.9944,76.2987,0.7862159,0.03372865,0.78648714,-0.05817678,37.0747,0.00241718,100.0,0.0,1.0,0.0,1,44.6509,45.1466,45.6422,0.9913,960813271.6224,0.0,-0.00291865,45.35453921,45.56091055,45.21383441,45.2701149,4162500.0,0.0,0.0,-0.06567383,-0.00144861,0.19050389,67,2.0,6.0,0.0,0.0,0.0,0.0
