Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
FSFG,2019-12-02,21.6345,0.584929393885926,,0.3993,0.3673,0.032,1,1,1,75.6519,0,8.4493,1,,60.3255,0,,35.8586,21.9416,0.3313405627695856,,0.1980495434177262,,39.528,,35.7143,7.1429,0.357143,0.071429,1,21.1809,21.6795,22.1781,0.9971999999999994,186331.5473,
FSFG,2019-12-03,21.6377,0.5851115297706796,0.00014791189997456135,0.3696,0.3677,0.0018,1,1,1,51.0606,0,6.5151,1,-0.2289183719361366,46.1105,0,-0.23563832873328852,23.9216,17.5,0.2030358043043414,-0.33289085463459256,0.15210582282042476,-0.20242826411929854,38.4812,-0.02648249342238407,28.5714,0.0,0.285714,0.0,1,21.0916,21.592,22.0924,1.0008000000000017,179550.7764,-0.036390890314900545
FSFG,2019-12-04,21.6189,0.5840414814477527,-0.0008688538985196587,0.3672,0.3676,-0.0005,1,1,-1,65.8078,0,8.1491,1,0.2508019830854477,58.5704,0,0.27021828000130116,24.9455,35.3947,0.21404118607468264,0.04280232091498886,0.3372078349269923,1.0225542857142857,37.539,-0.02448468342983066,21.4286,7.1429,0.214286,0.071429,1,21.2165,21.5323,21.8481,0.6315999999999988,177543.7058,-0.0111782897308597
FSFG,2019-12-05,21.6419,0.5853505831194186,0.0010638839163879608,0.3634,0.3668,-0.0034,1,1,-1,66.0626,0,6.9482,1,-0.14736596679387914,59.6524,0,0.018473495144304988,30.3655,38.2018,0.27229801701056466,0.21727365657132555,0.3662443573713108,0.0793084840385707,36.6911,-0.02258717600362297,14.2857,0.0,0.142857,0.0,1,21.2798,21.6043,21.9288,0.6489999999999974,122638.9185,-0.30924659960544765
FSFG,2019-12-06,21.6711,0.5870125730677944,0.0013492345866120557,0.36,0.3654,-0.0054,1,1,-1,68.1125,0,6.746,1,-0.02910106214559159,61.6022,0,0.0326860277205947,44.2982,59.2982,0.422053542541997,0.4588332153266042,0.5844646174597723,0.5522357585244675,36.1897,-0.0136654393027191,7.1429,7.1429,0.071429,0.071429,0,21.4083,21.6854,21.9624,0.5540999999999983,119707.1359,-0.02390580931288958
FSFG,2019-12-09,21.6961,0.5884355096674314,0.001153610107470416,0.3576,0.3639,-0.0063,1,1,-1,55.8787,0,7.0159,1,0.040008894159501894,64.2263,0,0.042597504634574596,55.1156,67.8467,0.5383242884766483,0.24419502372556895,0.6728899361570958,0.14416120556779122,34.678,-0.04177155378464051,0.0,0.0,0.0,0.0,0,21.4017,21.7126,22.0235,0.6217999999999968,125199.3046,0.04588004431572078
FSFG,2019-12-10,21.7136,0.5894315652871771,0.0008065965772649598,0.3651,0.3641,0.001,1,1,1,76.9102,0,8.0815,1,0.1518835787283171,71.6374,-1,0.1153904241720293,69.6171,81.7064,0.6941935567085104,0.26311062566678023,0.8162540806911419,0.2042796480890007,33.9783,-0.02017705750043255,21.4286,14.2857,0.214286,0.142857,1,21.6241,21.8351,22.0462,0.42210000000000036,135459.3046,0.08194933696141313
FSFG,2019-12-11,21.6931,0.588264757275475,-0.0009441087613292319,0.3505,0.3614,-0.0109,1,1,-1,70.6429,0,6.8074,1,-0.15765637567283297,54.5295,0,-0.23881240804384304,75.5004,76.9483,0.7574301643552033,0.08450940932615703,0.7670364976188211,-0.05823411629933516,33.3626,-0.018120388600959932,14.2857,7.1429,0.142857,0.071429,1,21.6691,21.854,22.0388,0.36969999999999814,129555.889,-0.04358073162587317
FSFG,2019-12-12,21.7479,0.591383834301879,0.0025261488676122904,0.3449,0.3581,-0.0132,1,1,-1,87.648,0,7.4103,1,0.08856538472838381,61.4675,0,0.12723388257732057,77.6725,74.3629,0.7807769655500058,0.028769384003263565,0.7402932305006061,-0.0335991828279508,33.05,-0.00936977333900845,7.1429,0.0,0.071429,0.0,1,21.7244,21.8916,22.0587,0.3343000000000025,129689.0053,0.0010274816608298583
FSFG,2019-12-13,21.7985,0.594263857979544,0.0023266614247812113,0.3332,0.3531,-0.0199,1,1,-1,97.3728,0,7.2036,1,-0.027893607546253262,57.6941,0,-0.06138853865864078,71.0885,61.9545,0.7100088890035394,-0.08476616563133674,0.6119412711482206,-0.16686277700304847,32.7686,-0.008514372163388741,0.0,42.8571,0.0,0.42857100000000004,-1,21.7694,21.9116,22.0539,0.28449999999999775,113715.5053,-0.12316772700237527
