Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
JCTCF,2019-12-02,7.979,0.3787868008025385,,0.0504,0.0456,0.0048,1,1,1,47.7319,0,3.1218,1,,55.2782,0,,40.3175,43.8095,0.403175,,0.438095,,32.1697,,21.4286,14.2857,0.214286,0.142857,1,7.9345,7.9674,8.0003,0.0657999999999994,-2390514.5025,
JCTCF,2019-12-03,7.976,0.3783599186077949,-0.0003759869657852004,0.0476,0.046,0.0016,1,1,1,38.0348,0,2.6181,1,-0.16134922160292134,48.9473,0,-0.11452796943460532,39.047,44.2838,0.39047,-0.03151237055869053,0.442838,0.01082641892740158,30.5616,-0.04998803221665108,14.2857,7.1429,0.142857,0.071429,1,7.9512,7.958,7.9647,0.0134999999999996,-2390514.5025,0.0
JCTCF,2019-12-04,7.957,0.3756563313744183,-0.00238214643931797,0.0334,0.0435,-0.01,1,1,-1,-23.2963,0,0.7742,1,-0.7042893701539285,13.8832,1,-0.7163643347028334,39.3638,29.9981,0.393638,0.008113299357184947,0.299981,-0.32259426697799193,30.2361,-0.010650620386367144,7.1429,0.0,0.071429,0.0,1,7.8098,7.929,8.0481,0.2382999999999997,-2391457.5025,-0.00039447574947309907
JCTCF,2019-12-05,7.9437,0.3737638203110548,-0.0016714842277240278,0.0258,0.0399,-0.0142,1,1,-1,-42.3358,0,1.3871,1,0.7916559028674761,33.6363,0,1.4228059813299525,32.6171,23.5695,0.326171,-0.17139351383758675,0.235695,-0.2143002390151376,29.9431,-0.009690403193533533,0.0,92.8571,0.0,0.928571,-1,7.7828,7.9083,8.0338,0.2509999999999994,-2391457.5025,0.0
JCTCF,2019-12-06,7.9337,0.3723408796619093,-0.0012588592217732022,0.0213,0.0362,-0.0149,1,1,-1,-26.0641,0,0.1271,1,-0.908369980534929,41.5717,0,0.23591774362816367,24.7272,20.614,0.247272,-0.24189458903458616,0.20614,-0.1253951080846009,28.817,-0.03760799650002842,85.7143,85.7143,0.857143,0.857143,0,7.7773,7.8923,8.0073,0.2300000000000004,-2391457.5025,0.0
JCTCF,2019-12-09,7.9337,0.3723408796619093,0.0,0.027,0.0344,-0.0073,1,1,-1,29.8303,0,3.2258,1,24.38001573564123,67.4886,0,0.6234265137100481,32.7103,53.9474,0.327103,0.32284690543207467,0.539474,1.6170272630251283,27.4666,-0.04686122774751017,100.0,78.5714,1.0,0.785714,1,7.7641,7.9001,8.036,0.2718999999999996,-2389997.5025,0.0006105063537502691
JCTCF,2019-12-10,7.9287,0.3716294093373365,-0.0006302229728877942,0.0273,0.0329,-0.0057,1,1,-1,24.0362,0,2.5806,1,-0.20001240002480006,54.8231,0,-0.1876687322006977,48.2456,70.1754,0.482456,0.47493602932409695,0.701754,0.3008115312322743,26.2513,-0.04424646661763739,92.8571,71.4286,0.928571,0.714286,1,7.7644,7.8995,8.0346,0.2701999999999991,-2390299.5025,-0.00012635996467950285
JCTCF,2019-12-11,7.9332,0.372269732629452,0.0005675583639184444,0.0312,0.0326,-0.0014,1,1,-1,47.1624,0,3.2258,1,0.25001937533906843,63.4073,0,0.1565799817959948,71.7836,91.2281,0.717836,0.4878786873828909,0.912281,0.30000114000062705,26.0505,-0.007649144994724108,100.0,64.2857,1.0,0.642857,1,7.8186,7.9375,8.0564,0.2378,-2388255.5025,0.0008551229659137663
JCTCF,2019-12-12,7.9251,0.3711171507036441,-0.0010210255634549314,0.0243,0.0309,-0.0067,1,1,-1,-60.2906,0,1.6774,1,-0.48000496000992005,40.3859,0,-0.36307175987622875,74.6867,62.6566,0.7468670000000001,0.04044238516875714,0.626566,-0.31318749376562705,24.2826,-0.06786434041573101,100.0,57.1429,1.0,0.571429,1,7.8344,7.942,8.0496,0.2152000000000002,-2399191.5025,-0.004579074554021676
JCTCF,2019-12-13,7.9291,0.3716863269633024,0.0005047254924228651,0.0282,0.0304,-0.0022,1,1,-1,50.5753,0,2.4328,1,0.45033981161321085,58.9954,0,0.46079200909228213,74.3637,69.2063,0.743637,-0.004324732515963451,0.692063,0.10453328141009888,22.9444,-0.05510941991384765,100.0,50.0,1.0,0.5,1,7.8717,7.966,8.0603,0.1886000000000001,-2395881.7525,0.00137952722679752
JCTCF,2019-12-16,7.9289,0.3716578681503194,-2.5223543655701412e-05,0.0276,0.0298,-0.0022,1,1,-1,-25.3242,0,-0.3992,-1,-1.1640907596185466,52.0553,0,-0.1176379853344497,62.9755,57.0635,0.629755,-0.1531419227391859,0.570635,-0.17545801466051503,21.2836,-0.072383675319468,92.8571,42.8571,0.928571,0.428571,1,7.8698,7.9578,8.0458,0.1760000000000001,-2392070.5525,0.001590729590900259
JCTCF,2019-12-17,7.9297,0.3717717034022512,0.00010089671959550507,0.027,0.0292,-0.0023,1,1,-1,15.3897,0,-0.2819,-1,0.29383767535070143,52.2608,0,0.003947724823408965,66.6825,73.7778,0.666825,0.05886416145961537,0.737778,0.2929070246304556,19.7888,-0.07023247946775928,85.7143,35.7143,0.857143,0.357143,1,7.8722,7.9598,8.0475,0.1752999999999991,-2392070.5525,0.0
JCTCF,2019-12-18,7.9357,0.3726254677917384,0.0007566490535580588,0.019,0.0272,-0.0082,1,1,-1,-151.8604,1,-1.625,-1,-4.7644554806669035,37.2587,0,-0.28706219575666664,57.836,42.6667,0.57836,-0.1326659918269412,0.4266669999999999,-0.42168646937154536,20.5405,0.03798613357050469,78.5714,28.5714,0.785714,0.285714,1,7.8331,7.9338,8.0346,0.2014999999999993,-2392070.5525,0.0
JCTCF,2019-12-19,7.9399,0.3732231028643795,0.0005292538780447826,0.0148,0.0247,-0.0099,1,1,-1,-80.5212,0,-1.1314,-1,0.30375384615384615,43.8684,0,0.17740017767662328,48.3228,28.5238,0.483228,-0.1644857873988519,0.285238,-0.3314739597859689,20.2562,-0.013840948370292922,71.4286,21.4286,0.714286,0.214286,1,7.8445,7.9378,8.031,0.1865000000000005,-2392070.5525,0.0
JCTCF,2019-12-20,7.9418,0.3734934615877171,0.00023929772415269877,0.0114,0.0221,-0.0106,1,1,-1,-69.8911,0,-1.0075,-1,0.10951034117023149,43.8684,0,0.0,28.6093,14.6374,0.286093,-0.40795442317084274,0.146374,-0.48683555486996827,20.0004,-0.012628232343677525,64.2857,14.2857,0.642857,0.142857,1,7.8459,7.9177,7.9895,0.1435999999999992,-2392070.5525,0.0
