Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
JCTCF,2020-01-24,7.8464,0.35991861,-0.00330268,-0.0409,-0.0166,-0.0243,-1,-1,-1,-140.0459,1,-3.9702,-1,-0.17635556,36.145,0,0.05147561,18.9771,6.8415,0.189771,-0.43839115,0.068415,-0.7046826,48.3963,0.04637707,50.0,92.8571,0.5,0.928571,-1,7.661,7.784,7.907,0.246,-2390852.4064,0.0,0.0,7.73999977,7.73999977,7.73999977,7.73999977,400.0,0.0,0.0,0.00999975,0.00129363,0.00518135,0.0,1.0,1.0,0.0,0.0,0.0,0.0
JCTCF,2020-01-27,7.8174,0.35579208,-0.00369596,-0.0492,-0.0231,-0.0261,-1,-1,-1,-150.894,1,-3.8702,-1,0.02518765,31.8508,0,-0.11880481,12.2832,6.8415,0.122832,-0.35273567,0.068415,0.0,50.6352,0.0462618,42.8571,100.0,0.428571,1.0,-1,7.6265,7.766,7.9055,0.279,-2390852.4064,0.0,0.0,7.69999981,7.69999981,7.69999981,7.69999981,300.0,0.0,0.0,-0.03999996,-0.00516795,0.00388601,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JCTCF,2020-01-28,7.7924,0.35223473,-0.00319799,-0.0551,-0.0295,-0.0256,-1,-1,-1,-131.3265,1,-3.3331,-1,0.13877836,31.8508,0,0.0,5.9569,4.1878,0.059569,-0.5150368,0.041878,-0.38788277,52.6501,0.03979248,35.7143,100.0,0.357143,1.0,-1,7.6794,7.726,7.7726,0.0932,-2390852.4064,0.0,0.0,7.69999981,7.69999981,7.69999981,7.69999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
JCTCF,2020-01-29,7.7914,0.35209243,-0.00012833,-0.0567,-0.035,-0.0218,-1,-1,-1,-80.8819,0,-2.1519,-1,0.35438481,40.1793,0,0.2614848,7.0098,10.0,0.070098,0.17675301,0.1,1.38788863,50.5771,-0.03937314,28.5714,92.8571,0.285714,0.928571,-1,7.6865,7.72,7.7535,0.067,-2391249.4064,-1.0,-0.00016605,7.80000019,7.80000019,7.73000002,7.73000002,400.0,0.0,0.0,0.03000021,0.00389613,0.00518135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JCTCF,2020-01-30,7.771,0.34918964,-0.00261827,-0.0574,-0.0394,-0.0179,-1,-1,-1,-91.9324,0,0.2594,1,1.12054463,40.1793,0,0.0,11.3959,20.0,0.113959,0.62570972,0.2,1.0,48.7113,-0.03689021,21.4286,85.7143,0.214286,0.857143,-1,7.6865,7.72,7.7535,0.067,-2391249.4064,0.0,0.0,7.73000002,7.73000002,7.73000002,7.73000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JCTCF,2020-01-31,7.735,0.34406705,-0.00463261,-0.07,-0.0455,-0.0244,-1,-1,-1,-143.4592,1,-5.1378,-1,-20.80647648,19.9064,1,-0.50456081,16.6667,20.0,0.166667,0.46251722,0.2,0.0,49.1434,0.00887063,14.2857,100.0,0.142857,1.0,-1,7.5669,7.686,7.8051,0.2382,-2395979.4064,0.0,-0.00197805,7.69999981,7.73999977,7.57000017,7.57000017,4700.0,0.0,0.0,-0.15999985,-0.02069856,0.06088083,0.0,3.0,1.0,0.0,0.0,0.0,0.0
JCTCF,2020-02-03,7.721,0.34207493,-0.00180995,-0.0727,-0.051,-0.0217,-1,-1,-1,-150.6162,1,-3.287,-1,0.36023201,39.1085,0,0.96461942,23.6111,30.8333,0.236111,0.41666317,0.308333,0.541665,50.791,0.03352637,7.1429,100.0,0.071429,1.0,-1,7.5549,7.676,7.7971,0.2422,-2394114.0271,1.0,0.00077855,7.69000006,7.69000006,7.4000001,7.6500001,2600.0,0.0,0.0,0.07999992,0.01056802,0.03367876,0.0,26.0,4.0,477.0,0.0,0.0,282.0
JCTCF,2020-02-04,7.686,0.33709464,-0.00453309,-0.0819,-0.0572,-0.0248,-1,-1,-1,-126.0013,1,-5.625,-1,-0.71128689,28.4508,1,-0.2725162,28.0556,33.3333,0.280556,0.18823774,0.333333,0.08108117,52.2739,0.02919612,0.0,92.8571,0.0,0.928571,-1,7.4934,7.646,7.7986,0.3052,-2395377.0271,0.0,-0.00052754,7.67999983,7.67999983,7.55000019,7.55000019,1300.0,0.0,0.0,-0.0999999,-0.01307188,0.01683938,0.0,7.0,5.0,0.0,0.0,0.0,0.0
JCTCF,2020-02-05,7.665,0.33410646,-0.00273224,-0.0883,-0.0634,-0.0249,-1,-1,-1,-138.1481,1,-5.625,-1,0.0,28.4508,1,0.0,37.4063,48.0522,0.374063,0.33329175,0.480522,0.44156744,53.6084,0.02552899,0.0,85.7143,0.0,0.857143,-1,7.4691,7.61,7.7509,0.2818,-2395377.0271,0.0,0.0,7.55000019,7.55000019,7.55000019,7.55000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0
JCTCF,2020-02-06,7.619,0.32756094,-0.0060013,-0.1146,-0.0736,-0.0409,-1,-1,-1,-260.1302,1,-9.125,-1,-0.62222222,12.9778,1,-0.54385114,36.4331,27.9137,0.364331,-0.02601701,0.279137,-0.41909632,56.1346,0.04712321,7.1429,100.0,0.071429,1.0,-1,7.2593,7.518,7.7767,0.5174,-2395066.0271,0.0,0.00012983,7.26000023,7.26999998,7.26000023,7.26999998,300.0,0.0,0.0,-0.28000021,-0.03708612,0.00388601,0.0,2.0,6.0,0.0,0.0,0.0,0.0
