Date,daily_trend
2020-04-01,0
2020-04-02,0
2020-04-03,100
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,100
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,100
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,100
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,100
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,100
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,100
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,100
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,0
2021-07-01,0
2021-07-02,0
2021-07-03,0
2021-07-04,0
2021-07-05,0
2021-07-06,0
2021-07-07,0
2021-07-08,0
2021-07-09,0
2021-07-10,0
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,0
2021-07-16,0
2021-07-17,0
2021-07-18,0
2021-07-19,0
2021-07-20,0
2021-07-21,100
2021-07-22,0
2021-07-23,0
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,0
2021-07-28,0
2021-07-29,0
2021-07-30,0
2021-07-31,0
