Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
LYTS,2019-12-02,5.1503,0.3218843548132976,,0.0832,0.0808,0.0024,1,1,1,144.3994,-1,7.5424,1,,74.502,-1,,80.2707,83.8675,0.8399451558043065,,0.8545636677318592,,11.9266,,7.1429,28.5714,0.071429,0.285714,-1,5.1241,5.2123,5.3005,0.1764000000000001,3470146.7055,
LYTS,2019-12-03,5.1856,0.3269404299812367,0.006853969671669676,0.0986,0.0843,0.0142,1,1,1,240.5779,-1,7.9754,1,0.05740878235044546,83.6386,-1,0.12263563394271297,82.5855,85.1496,0.865981526639252,0.028837421375420808,0.8681255678999418,0.015287208990371714,14.3346,0.20190163164690686,100.0,21.4286,1.0,0.214286,1,5.0802,5.2639,5.4476,0.3674000000000008,3538556.8655,0.019713910046388866
LYTS,2019-12-04,5.2362,0.3341879484939198,0.009757790805307042,0.1194,0.0913,0.028,1,1,1,282.2515,-1,12.5581,1,0.5746044085563107,88.4446,-1,0.057461507007529986,87.2827,92.831,0.9188146185201516,0.05687681251551434,0.9493784966505142,0.09021064103648163,17.3929,0.21335091317511481,100.0,14.2857,1.0,0.142857,1,5.0499,5.3326,5.6152,0.5652999999999997,3598226.1813,0.016862613225679696
LYTS,2019-12-05,5.2925,0.3422518870762135,0.0107520721133647,0.145,0.1021,0.0429,1,1,1,281.5953,-1,8.4121,1,-0.3301454837913378,91.7191,-1,0.03702317608989134,89.5419,90.6452,0.9442256125543268,0.02588370891367926,0.9262573661713044,-0.0235460137238638,21.183,0.2179107566880738,100.0,7.1429,1.0,0.071429,1,5.0708,5.4299,5.789,0.7181999999999995,3653780.8129,0.015439449551203221
LYTS,2019-12-06,5.3622,0.3522351289800478,0.013169579593764611,0.1733,0.1163,0.0569,1,1,1,262.3788,-1,10.9767,1,0.304870365307117,93.7686,-1,0.022345400249239353,91.3516,90.5786,0.9645807275966636,0.020210649986207647,0.925552879351872,-0.0007347327823206105,25.6072,0.20885615824009815,100.0,0.0,1.0,0.0,1,5.1915,5.5559,5.9203,0.7288000000000006,3658466.2529,0.0012823538794275904
LYTS,2019-12-09,5.4414,0.3635790709998997,0.014770057066129605,0.198,0.1326,0.0654,1,1,1,217.2,-1,14.5514,1,0.3256625397432744,94.5472,-1,0.00830341926828381,89.6729,87.7948,0.9456990722827602,-0.01837625175694795,0.8961061765300109,-0.030733528670127377,29.7845,0.1631299009653536,100.0,21.4286,1.0,0.214286,1,5.3466,5.6704,5.9942,0.6476000000000006,3587236.1195,-0.019469944090242004
LYTS,2019-12-10,5.4919,0.3708122663534669,0.00928069981989937,0.1999,0.1461,0.0538,1,1,1,134.6179,-1,8.2302,1,-0.43440493698200855,62.1766,0,-0.34237502538414677,83.7106,72.7584,0.8786364086275004,-0.06648942991695372,0.737052939116895,-0.1712675465972928,30.3174,0.0178918565025432,92.8571,14.2857,0.928571,0.142857,1,5.4992,5.72,5.9408,0.4416000000000002,3551667.564,-0.00991530925624096
LYTS,2019-12-11,5.5463,0.378604064912557,0.009905497186765843,0.2053,0.1579,0.0473,1,1,1,109.0797,-1,13.5735,1,0.6492308813880585,67.7051,0,0.08891608740265632,73.8231,60.9162,0.7674239424833307,-0.11811526855619243,0.6117875665480886,-0.16276058846813554,30.6464,0.010851854050809127,85.7143,7.1429,0.857143,0.071429,1,5.6144,5.7601,5.9057,0.2913000000000005,3582522.564,0.008687468476145929
LYTS,2019-12-12,5.6055,0.3870833751092141,0.010673782521681227,0.2101,0.1684,0.0418,1,1,1,106.5489,-1,12.0278,1,-0.11387630309058093,70.4084,-1,0.03992756823341223,60.44,47.6455,0.6168937219367784,-0.18128607441302247,0.4714116921540688,-0.2178517373046908,31.4723,0.026949331732275268,78.5714,0.0,0.785714,0.0,1,5.6543,5.7811,5.9079,0.2535999999999996,3601843.814,0.005393197015464772
LYTS,2019-12-13,5.6885,0.3989715971754731,0.01480688609401484,0.2291,0.1805,0.0485,1,1,1,126.1889,-1,17.1292,1,0.4241340893596503,81.5242,-1,0.1578760488805312,56.5472,61.0798,0.5731083476555118,-0.06440767703507613,0.6135181077441718,0.2819636691817695,33.5468,0.06591510629982546,100.0,7.1429,1.0,0.071429,1,5.5941,5.8212,6.0483,0.4542000000000001,3667291.7515,0.018170676153588486
LYTS,2019-12-16,5.7391,0.4062191156881561,0.008895139316164069,0.2245,0.1893,0.0352,1,1,1,104.2748,-1,16.0305,1,-0.06414193307334848,56.2571,0,-0.3099337374669116,54.604,55.0866,0.5512516534242754,-0.03436421255163823,0.550122756299392,-0.09812081899416832,35.9299,0.07103807218572282,100.0,0.0,1.0,0.0,1,5.5857,5.8078,6.0299,0.4441999999999995,3586072.2277,-0.022147003648340526
