Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
MCBS,2020-01-24,17.595,0.69982291,-0.0011921,0.4676,0.5713,-0.1037,1,1,-1,-7.807,0,2.3496,1,-0.59544758,33.5072,0,-0.32381087,50.7799,36.8904,0.50335939,-0.21271107,0.36602803,-0.30815669,20.8384,0.01773853,50.0,0.0,0.5,0.0,1,16.9279,17.5165,18.105,1.1771,2652403.5347,1.0,-0.00696429,17.40446321,17.63321826,16.71819808,17.0232048,55800.0,0.0,0.0,-0.51469612,-0.02934765,0.02571543,64,1.0,1.0,0.0,0.0,0.0,0.0
MCBS,2020-01-27,17.576,0.69830039,-0.00107985,0.4083,0.5387,-0.1304,1,1,-1,-48.1688,0,2.5758,1,0.09627171,36.369,0,0.08540851,41.6935,34.868,0.40245097,-0.17893694,0.34459217,-0.05482185,21.9016,0.05102119,42.8571,100.0,0.428571,1.0,-1,16.7793,17.3679,17.9564,1.1771,2678060.0492,1.0,0.00967293,16.52756954,17.13758306,16.47800585,17.08039474,31000.0,0.0,0.0,0.05718994,0.00335953,0.01330798,0,0.0,1.0,0.0,0.0,0.0,0.0
MCBS,2020-01-28,17.4603,0.68902903,-0.00658284,0.323,0.4956,-0.1726,1,1,-1,-94.629,0,-0.1714,-1,-1.06654243,25.9134,1,-0.2874866,34.0625,30.4291,0.3177054,-0.18302613,0.29754331,-0.12730584,23.6562,0.08011287,35.7143,100.0,0.357143,1.0,-1,16.5034,17.1354,17.7675,1.2641,2688661.7701,1.0,0.00395873,16.79445132,17.00414301,16.18443599,16.65147781,76000.0,0.0,0.0,-0.42891693,-0.02511165,0.03582149,0,1.0,1.0,0.0,0.0,0.0,0.0
MCBS,2020-01-29,17.2993,0.67612767,-0.00922092,0.2327,0.443,-0.2103,1,1,-1,-117.7585,1,-2.4929,-1,-13.54434072,21.4581,1,-0.17193035,31.9604,30.5841,0.29436066,-0.06171303,0.29918619,0.00509381,25.5761,0.08115843,28.5714,100.0,0.285714,1.0,-1,16.1529,16.9297,17.7064,1.5535,2680872.0257,1.0,-0.00289726,16.55616502,16.89929672,16.04908937,16.40365982,46900.0,0.0,0.0,-0.24781799,-0.01488264,0.02126276,31,0.0,0.0,0.0,0.0,0.0,0.0
MCBS,2020-01-30,17.2088,0.66887566,-0.00523143,0.157,0.3858,-0.2288,1,1,-1,-120.3136,1,-1.8846,-1,0.244013,20.9388,1,-0.02420065,28.693,25.0657,0.25807476,-0.10223276,0.24069548,-0.18043362,27.3039,0.06755526,21.4286,92.8571,0.214286,0.928571,-1,16.1011,16.6972,17.2933,1.1922,2675823.7235,0.0,-0.00188308,16.30773445,16.53796107,16.30773445,16.37488365,12100.0,0.11,0.0,-0.02877617,-0.00175425,0.00385231,0,0.0,0.0,0.0,0.0,0.0,0.0
MCBS,2020-01-31,16.9462,0.64783281,-0.01525963,0.0195,0.3125,-0.293,1,1,-1,-199.1253,1,-8.3132,-1,-3.41112172,10.3928,1,-0.50365828,23.6244,15.2235,0.20178575,-0.17664936,0.13637587,-0.3926561,30.7191,0.12508103,14.2857,100.0,0.142857,1.0,-1,15.2831,16.3759,17.4687,2.1856,2644146.3765,0.0,-0.01183835,16.31732585,16.41804964,15.36764045,15.41560364,34900.0,0.0,0.0,-0.95928001,-0.0585824,0.01525916,32,3.0,1.0,0.0,0.0,0.0,0.0
MCBS,2020-02-03,16.74,0.63130945,-0.01216792,-0.061,0.2378,-0.2988,-1,1,-1,-175.5571,1,-6.735,-1,0.18984266,26.9494,1,1.59308367,18.6879,15.7746,0.14696377,-0.20895769,0.1422171,0.03620061,33.7927,0.10005501,7.1429,92.8571,0.071429,0.928571,-1,15.195,16.1122,17.0294,1.8344,2649675.4165,0.0,0.00209105,15.42519749,15.89524372,15.41560449,15.76094532,12100.0,0.0,0.0,0.34534168,0.02240209,0.00385231,69,26.0,4.0,477.0,0.0,0.0,282.0
MCBS,2020-02-04,16.5358,0.61494635,-0.01219833,-0.1225,0.1658,-0.2883,-1,1,-1,-131.5401,1,-6.6783,-1,0.00841871,27.4151,1,0.01728053,16.2276,17.6847,0.11964107,-0.13165203,0.16246266,0.12108706,34.8962,0.03265498,0.0,85.7143,0.0,0.857143,-1,15.1674,15.9362,16.7049,1.5375,2630026.772,0.0,-0.00741549,15.76094342,16.1638404,15.73216441,15.77053642,23900.0,0.0,0.0,0.0095911,0.00060854,0.00975585,0,7.0,5.0,0.0,0.0,0.0,0.0
MCBS,2020-02-05,16.3658,0.60132379,-0.01028072,-0.1724,0.0981,-0.2706,-1,1,-1,-120.0519,1,-7.0626,-1,-0.05754458,26.5683,1,-0.03088809,20.208,27.1647,0.16384515,0.24528581,0.26294323,0.53605659,35.8893,0.02845869,14.2857,78.5714,0.142857,0.785714,-1,15.1796,15.802,16.4243,1.2447,2602015.772,0.0,-0.01065046,15.84727859,16.02954016,15.73216438,15.73216438,28000.0,0.0,0.0,-0.03837204,-0.00243315,0.01180708,0,5.0,6.0,0.0,0.0,0.0,0.0
MCBS,2020-02-06,16.123,0.58186757,-0.01483582,-0.2593,0.0266,-0.2859,-1,1,-1,-141.3711,1,-11.2955,-1,-0.59934019,16.3253,1,-0.38553464,21.4148,19.3951,0.17724718,0.05971892,0.18059156,-0.28601825,38.0554,0.06035504,7.1429,100.0,0.071429,1.0,-1,15.0285,15.5489,16.0693,1.0408,2570739.4465,0.0,-0.01202004,15.82809376,15.92402196,15.09904195,15.10863495,32000.0,0.0,0.0,-0.62352943,-0.03963405,0.01380828,25,2.0,6.0,0.0,0.0,0.0,0.0
