Date,daily_trend
2019-12-01,76
2019-12-02,85
2019-12-03,92
2019-12-04,91
2019-12-05,87
2019-12-06,92
2019-12-07,80
2019-12-08,64
2019-12-09,81
2019-12-10,89
2019-12-11,81
2019-12-12,80
2019-12-13,98
2019-12-14,81
2019-12-15,70
2019-12-16,94
2019-12-17,95
2019-12-18,84
2019-12-19,87
2019-12-20,100
2019-12-21,89
2019-12-22,80
2019-12-23,88
2019-12-24,89
2019-12-25,66
2019-12-26,78
2019-12-27,90
2019-12-28,84
2019-12-29,79
2019-12-30,94
2019-12-31,85
2020-01-01,72
2020-01-02,97
2020-01-03,92
2020-01-04,86
2020-01-05,67
2020-01-06,98
2020-01-07,91
2020-01-08,87
2020-01-09,85
2020-01-10,88
2020-01-11,81
2020-01-12,65
2020-01-13,84
2020-01-14,92
2020-01-15,100
2020-01-16,100
2020-01-17,93
2020-01-18,79
2020-01-19,72
2020-01-20,95
2020-01-21,86
2020-01-22,90
2020-01-23,96
2020-01-24,93
2020-01-25,68
2020-01-26,56
2020-01-27,86
2020-01-28,86
2020-01-29,93
2020-01-30,96
2020-01-31,85
2020-02-01,89
2020-02-02,72
2020-02-03,87
2020-02-04,88
2020-02-05,93
2020-02-06,88
2020-02-07,91
2020-02-08,83
2020-02-09,75
2020-02-10,100
2020-02-11,92
2020-02-12,90
2020-02-13,82
2020-02-14,95
2020-02-15,75
2020-02-16,72
2020-02-17,89
2020-02-18,87
2020-02-19,89
2020-02-20,84
2020-02-21,100
2020-02-22,81
2020-02-23,75
2020-02-24,83
2020-02-25,92
2020-02-26,88
2020-02-27,92
2020-02-28,79
2020-02-29,71
2020-03-01,73
2020-03-02,93
2020-03-03,100
2020-03-04,83
2020-03-05,90
2020-03-06,97
2020-03-07,74
2020-03-08,65
2020-03-09,89
2020-03-10,93
2020-03-11,93
2020-03-12,80
2020-03-13,77
2020-03-14,73
2020-03-15,70
2020-03-16,82
2020-03-17,84
2020-03-18,80
2020-03-19,80
2020-03-20,78
2020-03-21,65
2020-03-22,52
2020-03-23,71
2020-03-24,70
2020-03-25,66
2020-03-26,73
2020-03-27,65
2020-03-28,65
2020-03-29,50
2020-03-30,69
2020-03-31,76
2020-04-01,76
2020-04-02,72
2020-04-03,75
2020-04-04,77
2020-04-05,66
2020-04-06,81
2020-04-07,99
2020-04-08,77
2020-04-09,84
2020-04-10,82
2020-04-11,65
2020-04-12,65
2020-04-13,84
2020-04-14,90
2020-04-15,76
2020-04-16,85
2020-04-17,91
2020-04-18,73
2020-04-19,77
2020-04-20,90
2020-04-21,92
2020-04-22,100
2020-04-23,94
2020-04-24,91
2020-04-25,87
2020-04-26,91
2020-04-27,83
2020-04-28,90
2020-04-29,91
2020-04-30,94
2020-05-01,89
2020-05-02,79
2020-05-03,75
2020-05-04,87
2020-05-05,75
2020-05-06,89
2020-05-07,79
2020-05-08,95
2020-05-09,74
2020-05-10,63
2020-05-11,97
2020-05-12,84
2020-05-13,93
2020-05-14,96
2020-05-15,91
2020-05-16,80
2020-05-17,75
2020-05-18,83
2020-05-19,94
2020-05-20,95
2020-05-21,100
2020-05-22,90
2020-05-23,81
2020-05-24,71
2020-05-25,72
2020-05-26,95
2020-05-27,92
2020-05-28,83
2020-05-29,94
2020-05-30,89
2020-05-31,69
2020-06-01,84
2020-06-02,92
2020-06-03,88
2020-06-04,86
2020-06-05,82
2020-06-06,78
2020-06-07,74
2020-06-08,90
2020-06-09,97
2020-06-10,94
2020-06-11,91
2020-06-12,94
2020-06-13,80
2020-06-14,71
2020-06-15,88
2020-06-16,100
2020-06-17,86
2020-06-18,94
2020-06-19,86
2020-06-20,75
2020-06-21,57
2020-06-22,89
2020-06-23,99
2020-06-24,96
2020-06-25,98
2020-06-26,89
2020-06-27,80
2020-06-28,83
2020-06-29,99
2020-06-30,98
2020-07-01,100
2020-07-02,86
2020-07-03,88
2020-07-04,68
2020-07-05,72
2020-07-06,84
2020-07-07,94
2020-07-08,91
2020-07-09,93
2020-07-10,95
2020-07-11,79
2020-07-12,89
2020-07-13,99
2020-07-14,92
2020-07-15,86
2020-07-16,88
2020-07-17,92
2020-07-18,76
2020-07-19,69
2020-07-20,89
2020-07-21,92
2020-07-22,90
2020-07-23,92
2020-07-24,92
2020-07-25,75
2020-07-26,80
2020-07-27,95
2020-07-28,95
2020-07-29,93
2020-07-30,99
2020-07-31,90
2020-08-01,73
2020-08-02,64
2020-08-03,91
2020-08-04,87
2020-08-05,91
2020-08-06,84
2020-08-07,93
2020-08-08,65
2020-08-09,69
2020-08-10,86
2020-08-11,82
2020-08-12,84
2020-08-13,97
2020-08-14,87
2020-08-15,77
2020-08-16,67
2020-08-17,96
2020-08-18,91
2020-08-19,92
2020-08-20,84
2020-08-21,84
2020-08-22,74
2020-08-23,69
2020-08-24,97
2020-08-25,92
2020-08-26,100
2020-08-27,97
2020-08-28,93
2020-08-29,83
2020-08-30,71
2020-08-31,88
2020-09-01,89
2020-09-02,94
2020-09-03,89
2020-09-04,90
2020-09-05,78
2020-09-06,69
2020-09-07,74
2020-09-08,83
2020-09-09,93
2020-09-10,88
2020-09-11,93
2020-09-12,72
2020-09-13,74
2020-09-14,100
2020-09-15,90
2020-09-16,87
2020-09-17,92
2020-09-18,87
2020-09-19,77
2020-09-20,61
2020-09-21,98
2020-09-22,87
2020-09-23,96
2020-09-24,80
2020-09-25,83
2020-09-26,73
2020-09-27,66
2020-09-28,81
2020-09-29,70
2020-09-30,74
2020-10-01,88
2020-10-02,89
2020-10-03,83
2020-10-04,70
2020-10-05,88
2020-10-06,100
2020-10-07,89
2020-10-08,92
2020-10-09,88
2020-10-10,70
2020-10-11,70
2020-10-12,88
2020-10-13,94
2020-10-14,82
2020-10-15,99
2020-10-16,80
2020-10-17,63
2020-10-18,70
2020-10-19,82
2020-10-20,86
2020-10-21,88
2020-10-22,86
2020-10-23,76
2020-10-24,60
2020-10-25,64
2020-10-26,71
2020-10-27,83
2020-10-28,70
2020-10-29,80
2020-10-30,81
2020-10-31,76
2020-11-01,67
2020-11-02,95
2020-11-03,93
2020-11-04,88
2020-11-05,77
2020-11-06,88
2020-11-07,78
2020-11-08,77
2020-11-09,81
2020-11-10,93
2020-11-11,87
2020-11-12,100
2020-11-13,86
2020-11-14,81
2020-11-15,79
2020-11-16,99
2020-11-17,85
2020-11-18,88
2020-11-19,81
2020-11-20,83
2020-11-21,80
2020-11-22,82
2020-11-23,91
2020-11-24,79
2020-11-25,93
2020-11-26,66
2020-11-27,83
2020-11-28,82
2020-11-29,78
2020-11-30,95
2020-12-01,96
2020-12-02,80
2020-12-03,91
2020-12-04,90
2020-12-05,88
2020-12-06,79
2020-12-07,86
2020-12-08,83
2020-12-09,82
2020-12-10,78
2020-12-11,96
2020-12-12,84
2020-12-13,71
2020-12-14,85
2020-12-15,94
2020-12-16,84
2020-12-17,86
2020-12-18,93
2020-12-19,72
2020-12-20,73
2020-12-21,78
2020-12-22,90
2020-12-23,96
2020-12-24,79
2020-12-25,56
2020-12-26,72
2020-12-27,73
2020-12-28,90
2020-12-29,95
2020-12-30,100
2020-12-31,84
2021-01-01,67
2021-01-02,74
2021-01-03,68
2021-01-04,91
2021-01-05,87
2021-01-06,78
2021-01-07,83
2021-01-08,93
2021-01-09,77
2021-01-10,76
2021-01-11,100
2021-01-12,88
2021-01-13,88
2021-01-14,89
2021-01-15,91
2021-01-16,90
2021-01-17,71
2021-01-18,91
2021-01-19,83
2021-01-20,93
2021-01-21,97
2021-01-22,92
2021-01-23,82
2021-01-24,81
2021-01-25,95
2021-01-26,90
2021-01-27,93
2021-01-28,99
2021-01-29,86
2021-01-30,85
2021-01-31,73
2021-02-01,94
2021-02-02,87
2021-02-03,89
2021-02-04,88
2021-02-05,77
2021-02-06,79
2021-02-07,71
2021-02-08,100
2021-02-09,91
2021-02-10,89
2021-02-11,93
2021-02-12,92
2021-02-13,75
2021-02-14,73
2021-02-15,89
2021-02-16,95
2021-02-17,81
2021-02-18,99
2021-02-19,85
2021-02-20,78
2021-02-21,75
2021-02-22,87
2021-02-23,97
2021-02-24,93
2021-02-25,88
2021-02-26,93
2021-02-27,80
2021-02-28,79
2021-03-01,87
2021-03-02,87
2021-03-03,89
