Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
SAGE,2019-12-02,150.634,0.9958799580682123,,2.3652,1.4907,0.8744,1,1,1,78.2982,0,5.7381,1,,57.7578,0,,56.9459,63.7836,0.5543650828846888,,0.6398344470144779,,45.2835,,92.8571,7.1429,0.928571,0.071429,1,148.8996,152.024,155.1484,6.248800000000017,10087941.0921,
SAGE,2019-12-03,151.016,0.9989842105690858,0.0025359480595350654,2.1905,1.6307,0.5598,1,1,1,70.6759,0,4.231,1,-0.2626479148150085,46.3502,0,-0.19750752279345823,60.111,59.4939,0.5894558170062174,0.055580823202372696,0.5938983123447271,-0.06725396496905166,44.3914,-0.019700332350635424,85.7143,0.0,0.857143,0.0,1,147.9692,151.57,155.1708,7.201600000000013,9638560.9337,-0.044546271067335504
SAGE,2019-12-04,151.141,1.0,0.0008277268633787149,1.9833,1.7012,0.2821,1,1,1,40.1126,0,3.3024,1,-0.21947530134719923,43.813,0,-0.05473978537309437,53.9901,38.6928,0.5215948096179943,-0.1018266207516095,0.3711503041206202,-0.3496341641748146,41.4081,-0.06720445852124511,78.5714,0.0,0.785714,0.0,1,147.4061,151.374,155.3419,7.9358,9520943.6301,-0.012202786744727244
SAGE,2019-12-05,142.007,0.9257742347042428,-0.060433634817819035,-5.3038,0.3002,-5.604,-1,1,-1,-614.6353,1,-56.6145,-1,-18.14344113372093,3.7486,1,-0.9144409193618331,39.4607,20.1954,0.36051070094991444,-0.26911230021800286,0.1730714040949199,-0.4780579332589009,45.4602,0.09785766552920813,71.4286,100.0,0.714286,1.0,-1,60.0739,133.23,206.3861,146.3122,-77633.047,-1.0081539236042283
SAGE,2019-12-06,133.275,0.8548152482183055,-0.0614899265529164,-10.6112,-1.8821,-8.7291,-1,-1,-1,-331.8878,1,-53.6025,-1,-0.05320191823649419,8.7622,1,1.337459318145441,24.2141,13.7542,0.1914751612016284,-0.3863742913835792,0.10409599074787973,-0.31894391792190296,49.1071,0.0802218204055416,64.2857,92.8571,0.642857,0.928571,-1,28.8016,115.168,201.5344,172.7328,2224272.2884,-29.651101230124326
SAGE,2019-12-09,124.641,0.7846526406462047,-0.06478334271243669,-14.7921,-4.4641,-10.328,-1,-1,-1,-221.9436,1,-57.1995,-1,0.06710507905414861,8.5287,1,-0.02664855858117817,13.3321,6.0468,0.07082893558143455,-0.4494075765772834,0.021561509466289736,-0.5603670151662765,52.3893,0.06683758560371099,57.1429,85.7143,0.571429,0.857143,-1,11.9113,97.258,182.6047,170.6934,254240.034,-0.885697432222705
SAGE,2019-12-10,115.765,0.7125234647358542,-0.0712125223642301,-17.8489,-7.1411,-10.7078,-1,-1,-1,-167.2761,1,-56.1521,-1,-0.018311348875427288,9.583,1,0.12361790190767638,8.9809,7.1418,0.0225881841645454,-0.32637018924250494,0.03328728690139639,0.18108751736455642,55.3509,0.05653062743728212,50.0,78.5714,0.5,0.785714,-1,10.6535,79.96,149.2665,138.613,533940.4941,1.100143261072723
SAGE,2019-12-11,107.613,0.6462777412093583,-0.07041852027814971,-19.6112,-9.6351,-9.9762,-1,-1,-1,-126.3094,1,-51.4871,-1,-0.08307792584783115,19.489,1,1.0337055201920067,14.2157,29.4586,0.08062520510523562,0.5828814484071753,0.27226612695965047,3.1248144725419364,56.6444,0.023369087042848347,42.8571,71.4286,0.42857100000000004,0.714286,-1,58.2804,63.852,69.4236,11.143199999999993,2483371.0018,3.6510257776682087
SAGE,2019-12-12,99.782,0.5826405649414499,-0.07277001849218963,-20.4558,-11.7992,-8.6566,-1,-1,-1,-99.9539,0,-49.6078,-1,-0.03650040495580448,26.7938,1,0.3748165631894915,32.2622,60.1862,0.28070259075629506,1.2694767053328364,0.6013117878865759,1.0430774035425987,57.0838,0.007757165756897401,35.7143,64.2857,0.357143,0.642857,-1,58.8043,66.334,73.8637,15.059399999999997,4312247.3235,0.7364490929363318
SAGE,2019-12-13,91.592,0.5160860414279561,-0.08207893207191676,-20.862,-13.6118,-7.2502,-1,-1,-1,-81.9792,0,-48.2421,-1,-0.02752994488769905,27.3821,1,0.021956572042786025,56.8481,80.8997,0.553280796828297,0.7620652032409446,0.8231217339158742,0.34415696621484654,56.3614,-0.012655079024171364,28.5714,57.1429,0.285714,0.571429,-1,59.2555,68.016,76.7765,17.521,2107111.83,-0.511365728371586
SAGE,2019-12-16,83.371,0.4492796021355957,-0.08975674731417595,-21.1715,-15.1237,-6.0478,-1,-1,-1,-77.884,0,-52.1597,-1,0.08120707846466053,24.826,1,-0.09334930483783203,71.2503,72.665,0.712954668416898,0.25334531848909625,0.7349406750621092,-0.10178900539804214,56.0685,-0.005196819099596586,21.4286,50.0,0.214286,0.5,-1,62.5324,69.484,76.4356,13.903199999999991,1588036.4503,-0.2463444855226313
