Date,daily_trend
2019-12-01,0
2019-12-02,43
2019-12-03,0
2019-12-04,44
2019-12-05,89
2019-12-06,46
2019-12-07,51
2019-12-08,0
2019-12-09,45
2019-12-10,45
2019-12-11,87
2019-12-12,45
2019-12-13,46
2019-12-14,100
2019-12-15,0
2019-12-16,44
2019-12-17,44
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,51
2019-12-22,0
2019-12-23,0
2019-12-24,52
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,51
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,30
2020-01-05,0
2020-01-06,0
2020-01-07,55
2020-01-08,0
2020-01-09,27
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,100
2020-01-14,24
2020-01-15,79
2020-01-16,27
2020-01-17,56
2020-01-18,0
2020-01-19,30
2020-01-20,0
2020-01-21,54
2020-01-22,27
2020-01-23,27
2020-01-24,56
2020-01-25,0
2020-01-26,30
2020-01-27,0
2020-01-28,0
2020-01-29,27
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,38
2020-02-03,0
2020-02-04,67
2020-02-05,34
2020-02-06,34
2020-02-07,0
2020-02-08,38
2020-02-09,0
2020-02-10,66
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,34
2020-02-18,33
2020-02-19,33
2020-02-20,34
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,33
2020-02-25,100
2020-02-26,65
2020-02-27,32
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,50
2020-03-03,49
2020-03-04,99
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,57
2020-03-09,100
2020-03-10,0
2020-03-11,97
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,98
2020-03-18,0
2020-03-19,0
2020-03-20,49
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,50
2020-03-27,0
2020-03-28,53
2020-03-29,0
2020-03-30,0
2020-03-31,47
2020-04-01,0
2020-04-02,99
2020-04-03,51
2020-04-04,0
2020-04-05,57
2020-04-06,99
2020-04-07,50
2020-04-08,50
2020-04-09,0
2020-04-10,54
2020-04-11,0
2020-04-12,0
2020-04-13,51
2020-04-14,49
2020-04-15,0
2020-04-16,0
2020-04-17,100
2020-04-18,0
2020-04-19,0
2020-04-20,49
2020-04-21,49
2020-04-22,50
2020-04-23,49
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,100
2020-04-28,0
2020-04-29,0
2020-04-30,95
2020-05-01,0
2020-05-02,0
2020-05-03,100
2020-05-04,0
2020-05-05,0
2020-05-06,86
2020-05-07,0
2020-05-08,91
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,88
2020-05-13,0
2020-05-14,87
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,87
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,93
2020-05-26,0
2020-05-27,89
2020-05-28,89
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,46
2020-06-03,88
2020-06-04,44
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,44
2020-06-09,0
2020-06-10,0
2020-06-11,47
2020-06-12,0
2020-06-13,54
2020-06-14,54
2020-06-15,47
2020-06-16,0
2020-06-17,0
2020-06-18,47
2020-06-19,49
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,48
2020-06-24,0
2020-06-25,49
2020-06-26,100
2020-06-27,55
2020-06-28,53
2020-06-29,48
2020-06-30,48
2020-07-01,100
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,39
2020-07-06,33
2020-07-07,0
2020-07-08,33
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,34
2020-07-14,34
2020-07-15,0
2020-07-16,35
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,69
2020-07-21,0
2020-07-22,35
2020-07-23,0
2020-07-24,0
2020-07-25,39
2020-07-26,0
2020-07-27,34
2020-07-28,69
2020-07-29,0
2020-07-30,35
2020-07-31,37
2020-08-01,52
2020-08-02,0
2020-08-03,89
2020-08-04,0
2020-08-05,44
2020-08-06,44
2020-08-07,0
2020-08-08,0
2020-08-09,51
2020-08-10,87
2020-08-11,44
2020-08-12,44
2020-08-13,86
2020-08-14,0
2020-08-15,100
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,44
2020-08-21,45
2020-08-22,50
2020-08-23,49
2020-08-24,86
2020-08-25,43
2020-08-26,44
2020-08-27,43
2020-08-28,90
2020-08-29,0
2020-08-30,49
2020-08-31,84
2020-09-01,33
2020-09-02,0
2020-09-03,0
2020-09-04,35
2020-09-05,0
2020-09-06,39
2020-09-07,0
2020-09-08,0
2020-09-09,33
2020-09-10,0
2020-09-11,69
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,100
2020-09-18,69
2020-09-19,38
2020-09-20,38
2020-09-21,65
2020-09-22,0
2020-09-23,33
2020-09-24,66
2020-09-25,71
2020-09-26,0
2020-09-27,0
2020-09-28,34
2020-09-29,68
2020-09-30,0
2020-10-01,24
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,47
2020-10-08,48
2020-10-09,26
2020-10-10,29
2020-10-11,0
2020-10-12,26
2020-10-13,0
2020-10-14,25
2020-10-15,51
2020-10-16,26
2020-10-17,0
2020-10-18,0
2020-10-19,25
2020-10-20,100
2020-10-21,50
2020-10-22,52
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,25
2020-10-28,0
2020-10-29,0
2020-10-30,26
2020-10-31,0
2020-11-01,57
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,45
2020-11-06,97
2020-11-07,54
2020-11-08,0
2020-11-09,0
2020-11-10,100
2020-11-11,50
2020-11-12,51
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,50
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,57
2020-11-22,0
2020-11-23,51
2020-11-24,50
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,49
2020-12-01,40
2020-12-02,40
2020-12-03,20
2020-12-04,62
2020-12-05,23
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,20
2020-12-10,41
2020-12-11,21
2020-12-12,0
2020-12-13,0
2020-12-14,100
2020-12-15,0
2020-12-16,0
2020-12-17,21
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,24
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,63
2020-12-29,22
2020-12-30,22
2020-12-31,0
2021-01-01,0
2021-01-02,36
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,33
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,32
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,33
2021-01-19,0
2021-01-20,95
2021-01-21,32
2021-01-22,100
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,32
2021-01-29,33
2021-01-30,0
2021-01-31,0
2021-02-01,50
2021-02-02,100
2021-02-03,51
2021-02-04,51
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,99
2021-02-09,50
2021-02-10,0
2021-02-11,51
2021-02-12,0
2021-02-13,57
2021-02-14,0
2021-02-15,0
2021-02-16,51
2021-02-17,0
2021-02-18,0
2021-02-19,52
2021-02-20,0
2021-02-21,58
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,51
2021-02-27,56
2021-02-28,0
2021-03-01,0
2021-03-02,24
2021-03-03,0
2021-03-04,71
2021-03-05,49
2021-03-06,0
2021-03-07,0
2021-03-08,24
2021-03-09,0
2021-03-10,23
2021-03-11,0
2021-03-12,100
2021-03-13,27
2021-03-14,26
2021-03-15,0
2021-03-16,40
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,27
2021-03-22,0
2021-03-23,23
2021-03-24,24
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,25
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-02,0
2021-04-03,35
2021-04-04,0
2021-04-05,31
2021-04-06,29
2021-04-07,58
2021-04-08,30
2021-04-09,30
2021-04-10,0
2021-04-11,0
2021-04-12,58
2021-04-13,60
2021-04-14,89
2021-04-15,30
2021-04-16,61
2021-04-17,100
2021-04-18,100
2021-04-19,29
2021-04-20,88
2021-04-21,89
2021-04-22,30
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,29
2021-04-27,0
2021-04-28,30
2021-04-29,59
2021-04-30,0
2021-05-01,48
2021-05-02,0
2021-05-03,0
2021-05-04,42
2021-05-05,0
2021-05-06,0
2021-05-07,0
2021-05-08,48
2021-05-09,50
2021-05-10,0
2021-05-11,0
2021-05-12,43
2021-05-13,0
2021-05-14,93
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,43
2021-05-19,43
2021-05-20,44
2021-05-21,0
2021-05-22,0
2021-05-23,0
2021-05-24,44
2021-05-25,87
2021-05-26,0
2021-05-27,0
2021-05-28,45
2021-05-29,100
2021-05-30,0
2021-05-31,44
2021-06-01,20
2021-06-02,100
2021-06-03,83
2021-06-04,21
2021-06-05,0
2021-06-06,0
2021-06-07,20
2021-06-08,40
2021-06-09,21
2021-06-10,20
2021-06-11,0
2021-06-12,0
2021-06-13,22
2021-06-14,20
2021-06-15,40
2021-06-16,20
2021-06-17,20
2021-06-18,21
2021-06-19,46
2021-06-20,0
2021-06-21,41
2021-06-22,41
2021-06-23,0
2021-06-24,21
2021-06-25,22
2021-06-26,0
2021-06-27,0
2021-06-28,20
2021-06-29,61
2021-06-30,21
2021-07-01,0
2021-07-02,35
2021-07-03,0
2021-07-04,39
2021-07-05,34
2021-07-06,0
2021-07-07,33
2021-07-08,34
2021-07-09,0
2021-07-10,0
2021-07-11,0
2021-07-12,34
2021-07-13,34
2021-07-14,100
2021-07-15,0
2021-07-16,35
2021-07-17,0
2021-07-18,0
2021-07-19,34
2021-07-20,0
2021-07-21,69
2021-07-22,35
2021-07-23,35
2021-07-24,38
2021-07-25,0
2021-07-26,0
2021-07-27,0
2021-07-28,0
2021-07-29,0
2021-07-30,0
2021-07-31,77
2021-08-01,36
2021-08-02,32
2021-08-03,96
2021-08-04,32
2021-08-05,0
2021-08-06,100
2021-08-07,0
2021-08-08,0
2021-08-09,97
2021-08-10,0
2021-08-11,33
2021-08-12,0
2021-08-13,67
2021-08-14,36
2021-08-15,0
2021-08-16,0
2021-08-17,0
2021-08-18,64
2021-08-19,32
2021-08-20,32
2021-08-21,36
2021-08-22,0
2021-08-23,35
2021-08-24,0
2021-08-25,64
2021-08-26,0
2021-08-27,0
2021-08-28,0
2021-08-29,0
2021-08-30,64
2021-08-31,0
2021-09-01,34
2021-09-02,0
2021-09-03,0
2021-09-04,0
2021-09-05,0
2021-09-06,0
2021-09-07,69
2021-09-08,0
2021-09-09,35
2021-09-10,36
2021-09-11,0
2021-09-12,39
2021-09-13,34
2021-09-14,99
2021-09-15,66
2021-09-16,70
2021-09-17,36
2021-09-18,0
2021-09-19,0
2021-09-20,100
2021-09-21,34
2021-09-22,68
2021-09-23,69
2021-09-24,0
2021-09-25,38
2021-09-26,0
2021-09-27,0
2021-09-28,66
2021-09-29,33
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,36
2021-10-04,62
2021-10-05,0
2021-10-06,64
2021-10-07,0
2021-10-08,33
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,100
2021-10-13,33
2021-10-14,0
2021-10-15,34
2021-10-16,0
2021-10-17,37
2021-10-18,0
2021-10-19,32
2021-10-20,63
2021-10-21,98
2021-10-22,34
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,64
2021-10-27,32
2021-10-28,97
