Date,daily_trend
2019-12-01,25
2019-12-02,45
2019-12-03,0
2019-12-04,69
2019-12-05,70
2019-12-06,96
2019-12-07,26
2019-12-08,53
2019-12-09,47
2019-12-10,0
2019-12-11,91
2019-12-12,23
2019-12-13,48
2019-12-14,26
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,69
2019-12-19,24
2019-12-20,100
2019-12-21,27
2019-12-22,26
2019-12-23,50
2019-12-24,54
2019-12-25,0
2019-12-26,26
2019-12-27,25
2019-12-28,27
2019-12-29,27
2019-12-30,49
2019-12-31,53
2020-01-01,24
2020-01-02,41
2020-01-03,100
2020-01-04,86
2020-01-05,43
2020-01-06,59
2020-01-07,96
2020-01-08,38
2020-01-09,58
2020-01-10,20
2020-01-11,0
2020-01-12,0
2020-01-13,71
2020-01-14,51
2020-01-15,56
2020-01-16,38
2020-01-17,20
2020-01-18,21
2020-01-19,21
2020-01-20,57
2020-01-21,95
2020-01-22,19
2020-01-23,57
2020-01-24,99
2020-01-25,0
2020-01-26,42
2020-01-27,0
2020-01-28,38
2020-01-29,19
2020-01-30,0
2020-01-31,19
2020-02-01,0
2020-02-02,27
2020-02-03,67
2020-02-04,24
2020-02-05,72
2020-02-06,48
2020-02-07,100
2020-02-08,27
2020-02-09,0
2020-02-10,0
2020-02-11,93
2020-02-12,24
2020-02-13,49
2020-02-14,50
2020-02-15,54
2020-02-16,0
2020-02-17,24
2020-02-18,0
2020-02-19,23
2020-02-20,95
2020-02-21,0
2020-02-22,53
2020-02-23,27
2020-02-24,24
2020-02-25,24
2020-02-26,68
2020-02-27,23
2020-02-28,72
2020-02-29,26
2020-03-01,38
2020-03-02,34
2020-03-03,83
2020-03-04,50
2020-03-05,17
2020-03-06,0
2020-03-07,19
2020-03-08,38
2020-03-09,67
2020-03-10,33
2020-03-11,33
2020-03-12,33
2020-03-13,51
2020-03-14,0
2020-03-15,19
2020-03-16,49
2020-03-17,66
2020-03-18,50
2020-03-19,50
2020-03-20,100
2020-03-21,19
2020-03-22,18
2020-03-23,30
2020-03-24,32
2020-03-25,33
2020-03-26,67
2020-03-27,32
2020-03-28,54
2020-03-29,18
2020-03-30,16
2020-03-31,16
2020-04-01,57
2020-04-02,43
2020-04-03,15
2020-04-04,16
2020-04-05,33
2020-04-06,99
2020-04-07,100
2020-04-08,72
2020-04-09,74
2020-04-10,93
2020-04-11,0
2020-04-12,16
2020-04-13,59
2020-04-14,85
2020-04-15,71
2020-04-16,86
2020-04-17,14
2020-04-18,32
2020-04-19,0
2020-04-20,28
2020-04-21,14
2020-04-22,29
2020-04-23,42
2020-04-24,73
2020-04-25,33
2020-04-26,32
2020-04-27,57
2020-04-28,14
2020-04-29,14
2020-04-30,14
2020-05-01,18
2020-05-02,38
2020-05-03,39
2020-05-04,33
2020-05-05,31
2020-05-06,100
2020-05-07,51
2020-05-08,0
2020-05-09,39
2020-05-10,0
2020-05-11,0
2020-05-12,84
2020-05-13,51
2020-05-14,34
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,67
2020-05-19,34
2020-05-20,17
2020-05-21,18
2020-05-22,36
2020-05-23,20
2020-05-24,0
2020-05-25,36
2020-05-26,34
2020-05-27,69
2020-05-28,17
2020-05-29,18
2020-05-30,20
2020-05-31,20
2020-06-01,87
2020-06-02,21
2020-06-03,20
2020-06-04,61
2020-06-05,42
2020-06-06,48
2020-06-07,0
2020-06-08,40
2020-06-09,41
2020-06-10,64
2020-06-11,43
2020-06-12,0
2020-06-13,100
2020-06-14,25
2020-06-15,22
2020-06-16,42
2020-06-17,44
2020-06-18,0
2020-06-19,23
2020-06-20,0
2020-06-21,0
2020-06-22,22
2020-06-23,22
2020-06-24,45
2020-06-25,0
2020-06-26,69
2020-06-27,76
2020-06-28,0
2020-06-29,0
2020-06-30,22
2020-07-01,24
2020-07-02,97
2020-07-03,51
2020-07-04,0
2020-07-05,28
2020-07-06,25
2020-07-07,49
2020-07-08,24
2020-07-09,100
2020-07-10,0
2020-07-11,0
2020-07-12,57
2020-07-13,50
2020-07-14,50
2020-07-15,100
2020-07-16,25
2020-07-17,26
2020-07-18,0
2020-07-19,29
2020-07-20,25
2020-07-21,25
2020-07-22,25
2020-07-23,26
2020-07-24,26
2020-07-25,0
2020-07-26,29
2020-07-27,50
2020-07-28,25
2020-07-29,25
2020-07-30,26
2020-07-31,27
2020-08-01,45
2020-08-02,0
2020-08-03,58
2020-08-04,58
2020-08-05,39
2020-08-06,39
2020-08-07,100
2020-08-08,67
2020-08-09,0
2020-08-10,19
2020-08-11,57
2020-08-12,19
2020-08-13,94
2020-08-14,39
2020-08-15,22
2020-08-16,0
2020-08-17,58
2020-08-18,38
2020-08-19,57
2020-08-20,19
2020-08-21,40
2020-08-22,0
2020-08-23,0
2020-08-24,38
2020-08-25,37
2020-08-26,19
2020-08-27,76
2020-08-28,59
2020-08-29,0
2020-08-30,21
2020-08-31,18
2020-09-01,66
2020-09-02,100
2020-09-03,0
2020-09-04,17
2020-09-05,0
2020-09-06,19
2020-09-07,17
2020-09-08,49
2020-09-09,49
2020-09-10,50
2020-09-11,68
2020-09-12,19
2020-09-13,19
2020-09-14,33
2020-09-15,98
2020-09-16,33
2020-09-17,66
2020-09-18,17
2020-09-19,38
2020-09-20,0
2020-09-21,32
2020-09-22,16
2020-09-23,33
2020-09-24,16
2020-09-25,53
2020-09-26,39
2020-09-27,19
2020-09-28,34
2020-09-29,17
2020-09-30,17
2020-10-01,14
2020-10-02,14
2020-10-03,16
2020-10-04,0
2020-10-05,27
2020-10-06,41
2020-10-07,55
2020-10-08,28
2020-10-09,15
2020-10-10,17
2020-10-11,16
2020-10-12,45
2020-10-13,29
2020-10-14,0
2020-10-15,0
2020-10-16,15
2020-10-17,0
2020-10-18,17
2020-10-19,0
2020-10-20,15
2020-10-21,14
2020-10-22,0
2020-10-23,0
2020-10-24,50
2020-10-25,0
2020-10-26,100
2020-10-27,29
2020-10-28,58
2020-10-29,29
2020-10-30,15
2020-10-31,0
2020-11-01,19
2020-11-02,0
2020-11-03,32
2020-11-04,14
2020-11-05,15
2020-11-06,32
2020-11-07,53
2020-11-08,0
2020-11-09,0
2020-11-10,16
2020-11-11,33
2020-11-12,50
2020-11-13,35
2020-11-14,0
2020-11-15,0
2020-11-16,16
2020-11-17,16
2020-11-18,17
2020-11-19,17
2020-11-20,0
2020-11-21,75
2020-11-22,19
2020-11-23,100
2020-11-24,17
2020-11-25,49
2020-11-26,33
2020-11-27,17
2020-11-28,18
2020-11-29,0
2020-11-30,0
2020-12-01,47
2020-12-02,12
2020-12-03,35
2020-12-04,12
2020-12-05,13
2020-12-06,0
2020-12-07,0
2020-12-08,35
2020-12-09,24
2020-12-10,24
2020-12-11,0
2020-12-12,27
2020-12-13,0
2020-12-14,35
2020-12-15,12
2020-12-16,12
2020-12-17,12
2020-12-18,13
2020-12-19,14
2020-12-20,14
2020-12-21,100
2020-12-22,13
2020-12-23,39
2020-12-24,0
2020-12-25,0
2020-12-26,28
2020-12-27,13
2020-12-28,12
2020-12-29,51
2020-12-30,13
2020-12-31,82
2021-01-01,0
2021-01-02,22
2021-01-03,22
2021-01-04,20
2021-01-05,78
2021-01-06,59
2021-01-07,58
2021-01-08,60
2021-01-09,85
2021-01-10,22
2021-01-11,76
2021-01-12,57
2021-01-13,39
2021-01-14,20
