Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
BKSC,2020-01-24,17.8026,0.54503305,0.0014119,0.1209,0.1087,0.0122,1,1,1,63.4404,0,1.9249,1,-0.38127993,43.8543,0,-0.22761537,63.6538,44.9929,0.66191781,-0.12520683,0.44715639,-0.37695994,24.6195,0.00438561,78.5714,28.5714,0.785714,0.285714,1,17.5794,17.853,18.1266,0.5472,-369409.5698,0.0,0.01339268,17.88387329,17.88387329,17.69758224,17.69758224,4900.0,0.0,0.0,-0.15834999,-0.0088682,0.06853147,41,1.0,1.0,0.0,0.0,0.0,0.0
BKSC,2020-01-27,17.7626,0.54098377,-0.00224686,0.0941,0.1058,-0.0117,1,1,-1,-25.1284,0,1.1209,1,-0.41768404,32.8564,0,-0.25078271,46.5052,22.3077,0.47109624,-0.26940418,0.20956253,-0.50419511,22.4935,-0.08635431,71.4286,21.4286,0.714286,0.214286,1,17.4409,17.8157,18.1905,0.7496,-374083.5698,0.0,0.01265262,17.60443511,17.69758063,17.5112896,17.5112896,4700.0,0.0,0.0,-0.18629265,-0.01052645,0.06573427,19,0.0,1.0,0.0,0.0,0.0,0.0
BKSC,2020-01-28,17.7449,0.53919197,-0.00099648,0.0869,0.102,-0.0151,1,1,-1,10.5397,0,1.9791,1,0.76563476,48.8811,0,0.48771929,27.9891,16.6667,0.26505777,-0.39815117,0.15048142,-0.25287233,20.5802,-0.08506013,64.2857,14.2857,0.642857,0.142857,1,17.4664,17.743,18.0196,0.5532,-368409.5698,0.0,-0.01516773,17.69758224,17.69758224,17.59512199,17.69758224,5700.0,0.0,0.0,0.18629265,0.01063843,0.07972028,20,1.0,1.0,0.0,0.0,0.0,0.0
BKSC,2020-01-29,17.7598,0.54070032,0.00083968,0.0811,0.0978,-0.0167,1,1,-1,33.6727,0,1.4926,1,-0.24581881,49.6324,0,0.01536995,22.1026,27.3333,0.19955557,-0.21031402,0.26219824,0.63999472,19.4736,-0.05377013,57.1429,7.1429,0.571429,0.071429,1,17.485,17.7039,17.9227,0.4377,-370868.3698,0.0,0.00667409,17.69758301,17.79072853,17.65101113,17.70689774,12300.0,0.0,0.0,0.00931549,0.00052637,0.17202797,79,0.0,0.0,0.0,0.0,0.0,0.0
BKSC,2020-01-30,17.7532,0.54003219,-0.00037163,0.0673,0.0917,-0.0244,1,1,-1,-16.8642,0,0.639,1,-0.57188798,41.2885,0,-0.16811397,26.5556,35.6667,0.24910646,0.20146951,0.34947826,0.30488086,18.3523,-0.05758052,50.0,0.0,0.5,0.0,1,17.5015,17.6535,17.8056,0.3041,-371968.7332,0.0,0.00296699,17.60443687,17.7814132,17.52060608,17.60443687,3100.0,0.0,0.0,-0.10246086,-0.00578649,0.04335664,0,0.0,0.0,0.0,0.0,0.0,0.0
BKSC,2020-01-31,17.7626,0.54098377,0.00052948,0.0707,0.0875,-0.0168,1,1,-1,53.7377,0,0.9514,1,0.48888889,57.5194,0,0.39310946,39.5556,55.6667,0.39376435,0.48953893,0.55894863,0.56074714,17.2041,-0.06256437,42.8571,0.0,0.428571,0.0,1,17.4805,17.6722,17.8639,0.3834,-362095.7332,0.0,-0.02654255,17.74415587,17.79072952,17.69758399,17.79072952,9900.0,0.0,0.0,0.18629265,0.01058214,0.13846154,41,3.0,1.0,0.0,0.0,0.0,0.0
BKSC,2020-02-03,17.7523,0.53994108,-0.00057987,0.0569,0.0814,-0.0245,1,1,-1,-32.5518,0,1.016,1,0.06789994,42.2055,0,-0.26623887,47.3985,50.8621,0.48103646,0.19827534,0.50862756,-0.08631013,17.7087,0.02933022,35.7143,0.0,0.357143,0.0,1,17.5441,17.6889,17.8338,0.2897,-367595.7332,0.0,0.01518935,17.67895218,17.73484055,17.56717897,17.59512138,8300.0,0.0,0.0,-0.19560814,-0.01099495,0.11608392,23,26.0,4.0,477.0,0.0,0.0,282.0
BKSC,2020-02-04,17.6927,0.53390766,-0.00335731,0.0351,0.0721,-0.0371,1,1,-1,-103.0088,1,-0.4249,-1,-1.41820866,34.5418,0,-0.1815806,49.6858,42.5287,0.50648846,0.0482568,0.42134754,-0.16384302,19.1425,0.08096585,28.5714,7.1429,0.285714,0.071429,1,17.4215,17.6423,17.8632,0.4417,-383433.7332,0.0,0.04308537,17.50197869,17.65101083,17.46471977,17.46471977,15800.0,0.0,0.0,-0.13040161,-0.00741124,0.22097902,25,7.0,5.0,0.0,0.0,0.0,0.0
BKSC,2020-02-05,17.6535,0.52993936,-0.0022156,0.0213,0.062,-0.0407,1,1,-1,-73.1474,0,0.0,0,-1.0,39.4501,0,0.1420974,35.7827,13.9573,0.3517813,-0.27982039,0.12210446,-0.67181456,18.8112,-0.01730704,21.4286,0.0,0.214286,0.0,1,17.3797,17.6032,17.8267,0.447,-385923.3998,0.0,0.00649308,17.62306457,17.75346723,17.47403246,17.5112896,3400.0,0.0,0.0,0.04656982,0.00266651,0.04755245,25,5.0,6.0,0.0,0.0,0.0,0.0
BKSC,2020-02-06,17.6209,0.5266392,-0.00184666,0.0117,0.0519,-0.0402,1,1,-1,-87.9619,0,0.0532,1,1.0,41.6382,0,0.05546501,22.6382,11.4286,0.20551547,-0.36734232,0.09562008,-0.18117401,18.6162,-0.01036616,14.2857,100.0,0.142857,1.0,-1,17.3599,17.5883,17.8167,0.4568,-389269.5998,0.0,0.00867063,17.68826744,17.69758217,17.46471924,17.52992058,7600.0,0.0,0.0,0.01863098,0.00106394,0.10629371,51,2.0,6.0,0.0,0.0,0.0,0.0
