Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
CMCSA,2019-12-02,42.4477,0.3420993990893491,,-0.2875,-0.204,-0.0835,-1,-1,-1,-96.0135,0,-2.5028,-1,,37.5489,0,,42.8341,49.4949,0.43151805907135055,,0.502012759096509,,17.0462,,28.5714,78.5714,0.285714,0.785714,-1,41.3244,42.0923,42.8601,1.5357000000000056,2804057809.8279,
CMCSA,2019-12-03,42.3555,0.3386751739966871,-0.002172084706591836,-0.3112,-0.2255,-0.0857,-1,-1,-1,-135.722,1,-0.5468,-1,-0.7815246923445741,38.1608,0,0.016296083240787306,45.2441,38.3586,0.458607790152377,0.056263584387205606,0.38435034898390014,-0.22499893928465353,18.2738,0.07201605049805837,21.4286,100.0,0.214286,1.0,-1,41.4906,42.1499,42.8092,1.3185999999999964,2821036771.1773,0.006055139551649305
CMCSA,2019-12-04,42.2306,0.33403650030825455,-0.002948849618113272,-0.337,-0.2478,-0.0892,-1,-1,-1,-118.0162,1,-1.7389,-1,2.1801389904901245,35.1471,0,-0.07897371124295088,39.1534,29.6066,0.3901449581626643,-0.13461865746030985,0.2918796528545256,-0.22816265452858034,19.3418,0.058444330133852716,14.2857,92.8571,0.142857,0.928571,-1,41.4676,42.1422,42.8168,1.3492000000000033,2818008356.8717,-0.0010735111064632886
CMCSA,2019-12-05,42.2133,0.3333939938646204,-0.0004096555578184034,-0.3127,-0.2607,-0.0519,-1,-1,-1,-79.9185,0,-0.4071,-1,-0.7658864799585945,52.7902,0,0.5019788261335927,36.9825,42.9825,0.3657428431403406,-0.05544601490547427,0.43320492529018606,0.45178777704971196,19.0191,-0.016684072837067777,7.1429,85.7143,0.071429,0.857143,-1,41.5866,42.0692,42.5518,0.965200000000003,2837859659.3636,0.007044444152726752
CMCSA,2019-12-06,42.2018,0.33296689420555736,-0.00027242598896551725,-0.2747,-0.2635,-0.0112,-1,-1,-1,-22.4126,0,-1.0291,-1,1.5278801277327434,58.1594,0,0.1017082716110187,43.9757,59.3382,0.4443502735950434,0.18909484215507338,0.606013764947774,0.3805199790612458,17.6318,-0.07294246310288095,0.0,78.5714,0.0,0.785714,-1,41.5529,42.0865,42.6201,1.0671999999999997,2839648408.5076,0.0006303162801226002
CMCSA,2019-12-09,42.1144,0.32972093679667835,-0.002071001710827388,-0.2687,-0.2646,-0.0041,-1,-1,-1,-16.5572,0,-2.8767,-1,1.7953551647070258,46.5728,0,-0.19922145001495883,55.2206,63.3412,0.570749160330742,0.2557071291645157,0.6483081201358323,0.06746075883663474,17.201,-0.024433126510055574,100.0,71.4286,1.0,0.714286,1,41.6324,42.1364,42.6404,1.0080000000000027,2822809217.8417,-0.005930026624229063
CMCSA,2019-12-10,42.0586,0.3276485749727026,-0.001324962483141276,-0.3468,-0.281,-0.0657,-1,-1,-1,-162.7619,1,-5.4807,-1,0.9052038794451975,25.9186,1,-0.4434820324309468,55.2694,43.1289,0.571297699283752,0.000883728173906114,0.4347517385801015,-0.3191019431270642,16.764,-0.025405499680251215,92.8571,100.0,0.928571,1.0,-1,40.9714,41.9674,42.9633,1.991899999999994,2795954105.747,-0.009513612158044846
CMCSA,2019-12-11,41.9165,0.32237110875071484,-0.0033786193549000497,-0.4576,-0.3163,-0.1413,-1,-1,-1,-221.9142,1,-6.9865,-1,0.2747459266152135,19.2493,1,-0.25731713904300385,40.4642,14.9225,0.40487907413818686,-0.2678733621135746,0.1367323780563826,-0.6540023047191095,17.6644,0.05371033166308764,85.7143,100.0,0.857143,1.0,-1,40.0786,41.6907,43.3029,3.2242999999999995,2763715768.8845,-0.011530352660737618
CMCSA,2019-12-12,41.781,0.3173387605939284,-0.0032326172271062805,-0.4672,-0.3465,-0.1207,-1,-1,-1,-141.6296,1,-4.8451,-1,-0.30650540327774994,43.6069,0,1.265375883798372,23.4545,12.3122,0.2136806514124878,-0.42036417376347485,0.10915282388516391,-0.17492377282626898,17.5168,-0.008355789044632177,78.5714,92.8571,0.785714,0.928571,-1,39.991,41.4929,42.9947,3.003700000000002,2786429672.4248,0.008218610537315764
CMCSA,2019-12-13,41.7263,0.31530725178081986,-0.0013092075345251875,-0.4257,-0.3623,-0.0634,-1,-1,-1,-65.905,0,-4.1144,-1,-0.1508121607397165,54.1011,0,0.24065457530803608,18.566,28.4632,0.15873121141680416,-0.20842482252872585,0.2797988720096528,1.3117883075323662,15.9118,-0.09162632444282064,71.4286,85.7143,0.714286,0.857143,-1,40.1432,41.3661,42.589,2.4457999999999984,2803490240.8193,0.006122734251409924
CMCSA,2019-12-16,41.7167,0.31495071641325423,-0.0002300707227815297,-0.3922,-0.3683,-0.0239,-1,-1,-1,-25.1615,0,-2.3115,-1,-0.4381926890919696,53.0192,0,-0.019997744962671822,31.022,52.2905,0.29874353106214224,0.6709038026500054,0.5315501309085838,0.8371265353157762,14.7995,-0.06990409633102473,64.2857,78.5714,0.642857,0.785714,-1,40.2325,41.2969,42.3613,2.1287999999999982,2792950430.5013,-0.0037595316596929305
CMCSA,2019-12-17,41.6917,0.31402223889355174,-0.0005992803841148913,-0.3722,-0.3691,-0.0031,-1,-1,-1,-37.2379,0,-2.7348,-1,0.18312783906554175,49.5513,0,-0.0654083803603223,48.148,63.6902,0.4912492300221664,0.5520598285088004,0.6519955370632947,0.21800709497901138,13.6718,-0.07619852022027776,57.1429,71.4286,0.571429,0.714286,-1,40.3405,41.416,42.4916,2.1510999999999996,2781462711.7902,-0.004113112279274403
CMCSA,2019-12-18,41.661,0.31288206849935746,-0.0007363575963560122,-0.3676,-0.3688,0.0012,-1,-1,1,-46.5863,0,-3.6153,-1,0.3219613865730584,44.3688,0,-0.10458857789805712,60.1602,64.4999,0.626272992549762,0.2494849214920661,0.6605505556482987,0.012713101858684687,12.3076,-0.09978203309000999,50.0,64.2857,0.5,0.642857,-1,41.2213,41.6312,42.0411,0.8198000000000008,2758061731.9009,-0.008413192019474908
