Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
CMCSA,2020-01-24,39229300.0,43.04356766,42.67674546,0.0,-0.02921628,-0.0598,0.0,44.8715,0.0,34.9952,43.4972687,25.2622,71.4286,0.5864,43.34281783,1,1,2898413706.242,47.1379,4.5328,0.0,0.5267,0.33020554,1.0,1,58.1735,0.0,-0.02322001,0,33.234,1.0,-0.00198582,74,0.714286,0.60394139,100.0,-0.24481678,0.42308492,0.5668603,-0.41107256
CMCSA,2020-01-27,24048800.0,42.47402573,42.28096124,0.0,-0.01099579,-0.1983,0.0,44.196,0.0,34.6104,43.1980148,20.9936,64.2857,0.5369,42.40645371,-1,1,2884490690.7157,46.8796,5.3673,0.0,0.3385,0.05715074,1.0,1,32.3519,0.0,-0.01323175,1,7.3904,0.0,-0.00211973,66,0.642857,0.31369234,100.0,-0.44387221,0.41957156,0.32345863,-0.77762532
CMCSA,2020-01-28,15875700.0,42.51264191,42.29061902,0.0,-0.01000277,-0.2772,0.0,43.5667,0.0,34.2642,42.87946041,22.109,57.1429,0.4676,42.54160029,-1,1,2880586780.3904,46.0628,4.9921,0.0,0.1904,0.05671332,1.0,1,15.9911,0.0,0.00090917,1,7.349,1.0,-0.00381284,67,0.571429,0.12978791,92.8571,-0.50571373,0.41326534,0.19241247,-0.00560186
CMCSA,2020-01-29,21913200.0,41.81761169,41.65350926,0.0,0.01715493,-0.3607,0.0,42.7715,0.0,34.852,42.72501007,16.7791,50.0,0.3774,42.72501007,-1,1,2865384313.1407,44.2722,3.0014,0.0,0.0167,0.03443244,0.0,1,6.6599,0.0,-0.01634879,1,5.2402,0.0,-0.00589669,66,0.5,0.02490007,100.0,-0.58352459,0.40354976,0.28921676,-0.28695061
CMCSA,2020-01-30,25105100.0,42.60917664,41.21911871,1.0,0.03064673,-0.3471,0.0,42.4801,0.0,35.9201,42.65744185,38.0425,42.8571,0.2906,41.38322116,-1,-1,2888804839.2078,43.2665,1.5729,0.0,-0.0564,0.23126655,0.0,0,12.153,0.0,0.01892898,1,23.8698,0.0,-0.0046823,63,0.428571,0.08664555,100.0,0.82480217,0.39588053,0.34039517,3.55513148
CMCSA,2020-01-31,24008300.0,41.69211578,41.50870655,0.0,0.02676217,-0.3815,0.0,42.2099,0.0,36.8814,42.60916934,27.7679,35.7143,0.1952,42.58986252,-1,-1,2872799316.5419,42.9802,1.5407,0.0,-0.1862,0.29377513,1.0,1,19.632,0.0,-0.02152261,1,29.786,3.0,-0.00808961,60,0.357143,0.17071364,92.8571,0.6154036,0.38269244,0.32280926,0.24785294
CMCSA,2020-02-03,26383600.0,41.18050385,41.14189021,0.0,0.03613475,-0.4175,282.0,41.9512,477.0,38.2141,42.13617117,23.3669,28.5714,0.0909,42.04929232,-1,-1,2848460971.3974,43.0192,2.1359,0.0,-0.3266,0.28596922,4.0,1,27.5677,0.0,-0.01227119,1,29.0472,26.0,-0.01072789,96,0.285714,0.25991529,100.0,0.4042227,0.36534476,0.36089443,-0.0248036
CMCSA,2020-02-04,28143200.0,42.74431992,41.87553511,0.0,-0.03905626,-0.3192,0.0,41.9975,0.0,36.7216,42.97599807,52.2704,21.4286,0.0111,41.99137235,-1,-1,2864754424.9745,43.1717,2.3484,0.0,-0.3082,0.3787759,5.0,0,32.2214,0.0,0.03797467,0,37.831,7.0,-0.00676749,98,0.214286,0.31222545,92.8571,0.16880988,0.35451871,0.38910757,0.30239748
CMCSA,2020-02-05,20332100.0,43.04356766,42.93738199,0.0,-0.07829997,-0.2219,0.0,42.2427,0.0,33.8463,43.57449229,56.2201,14.2857,-0.0444,43.10148811,-1,-1,2851199612.9734,43.6446,2.8039,0.0,-0.2663,0.56991617,6.0,0,40.9333,0.0,0.00700088,0,55.9217,5.0,-0.00642792,97,0.142857,0.41015202,85.7143,0.27037621,0.34430546,0.26386566,0.47819777
CMCSA,2020-02-06,15222400.0,43.05321503,42.75396857,0.0,-0.06541631,-0.1483,0.0,42.3315,0.0,31.6322,43.49726445,56.3657,7.1429,-0.0815,43.20766588,-1,-1,2848234211.9343,43.8624,3.0619,0.0,-0.2297,0.83881022,6.0,0,58.3748,0.0,0.00022413,0,81.3715,2.0,-0.00238313,95,0.071429,0.60620411,78.5714,0.42609562,0.34054327,0.18193756,0.45509704
