Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
HWKN,2019-12-02,19.822,0.17391835507273615,,-0.105,-0.062,-0.0429,-1,-1,-1,-68.0758,0,-6.1228,-1,,38.2359,0,,71.165,54.8638,0.7288413699939047,,0.5555796789088,,20.9971,,7.1429,57.1429,0.071429,0.571429,-1,19.621,20.1513,20.6815,1.060500000000001,13527097.4892,
HWKN,2019-12-03,19.8103,0.17336860504454396,-0.0005902532539601252,-0.1241,-0.0744,-0.0496,-1,-1,-1,-81.7448,0,-7.7779,-1,0.27031750179656366,37.9324,0,-0.007937566527791935,55.7147,37.9655,0.5591538854384607,-0.217105318625729,0.37748293419137524,-0.30800454944790556,21.138,0.006710450490782157,0.0,50.0,0.0,0.5,-1,19.4306,20.0669,20.7032,1.2726000000000006,13542724.7052,0.0011552527075728363
HWKN,2019-12-04,19.8666,0.17601398338533242,0.002841955952206513,-0.0873,-0.077,-0.0103,-1,-1,-1,-19.8608,0,-5.9113,-1,-0.2399876573368133,62.2662,0,0.6415043603884805,46.0897,45.4399,0.45344447922329667,-0.17275512566701426,0.4562580955221553,0.19687347723591164,19.0718,-0.09774813132746721,0.0,42.8571,0.0,0.42857100000000004,-1,19.4642,20.0417,20.6192,1.1549999999999976,13589786.8363,0.003475085857865099
HWKN,2019-12-05,19.9796,0.18132353493966855,0.005687938550129519,-0.051,-0.0718,0.0208,-1,-1,1,18.0354,0,-4.3998,-1,-0.25569671645830866,64.5388,0,0.03649813221298228,49.8319,66.0904,0.4945442963597524,0.08119384591351206,0.6739005108412809,0.45445742618271606,17.4054,-0.08737507733931771,7.1429,35.7143,0.071429,0.357143,-1,19.4516,20.0504,20.6493,1.197700000000001,13595420.5863,0.00041455764301994477
HWKN,2019-12-06,20.1392,0.1888226891703943,0.007988147910868961,0.0079,-0.0559,0.0638,1,-1,1,88.0757,0,-4.506,-1,0.024137460793672506,73.5559,-1,0.1397159538138298,64.8158,82.9172,0.6591094051168843,0.30068891613604937,0.8512436935289573,0.2546027864863882,17.6949,0.016632769140611552,100.0,28.5714,1.0,0.285714,1,19.3561,20.2027,21.0493,1.6931999999999974,13563801.4139,-0.0023257222679718957
HWKN,2019-12-09,20.3133,0.19700315753862357,0.008644831969492473,0.0767,-0.0293,0.1061,1,-1,1,117.0531,-1,-2.0647,-1,-0.5417887261429205,78.7349,-1,0.07040903584892581,79.1563,88.4615,0.8166081832808906,0.221250065570432,0.9096768957881679,0.06686549955859589,17.9555,0.014727407332056137,92.8571,21.4286,0.928571,0.214286,1,19.5465,20.4753,21.404,1.8574999999999982,13616785.7907,0.003906307323675721
HWKN,2019-12-10,20.4253,0.20226572191106268,0.005513629001688466,0.1433,0.0052,0.1382,1,1,1,144.6398,-1,1.1017,1,-1.5335884147818084,81.4316,-1,0.034250376897665545,87.477,91.0525,0.9079927293894116,0.10511734378691276,0.9369842974535927,0.029289577951990345,18.7782,0.04581882988499332,100.0,14.2857,1.0,0.142857,1,20.0707,20.7837,21.4967,1.426000000000002,13656408.3463,0.00290983174803719
HWKN,2019-12-11,20.5257,0.20698323497349927,0.004915472477760448,0.2113,0.0464,0.1649,1,1,1,167.625,-1,3.5171,1,2.1924298810928566,84.5752,-1,0.03860417823056396,90.9427,93.3141,0.9460558035836862,0.03961841398310411,0.9608200441176316,0.02483841739655695,20.392,0.08594007945383483,100.0,7.1429,1.0,0.071429,1,20.2797,21.0097,21.7397,1.4600000000000009,13671083.0014,0.0010745618267906465
HWKN,2019-12-12,20.6707,0.21379637634853216,0.007064314493537349,0.2908,0.0953,0.1955,1,1,1,195.6264,-1,5.2471,1,0.4918825168462652,88.5573,-1,0.047083542220414526,90.1796,86.1724,0.9376748323750844,-0.008390997848095653,0.8855513175742259,-0.07653398575349278,23.0536,0.13052177324440958,100.0,0.0,1.0,0.0,1,20.5915,21.291,21.9905,1.399000000000001,13662338.6014,-0.0006396274530046298
HWKN,2019-12-13,20.8162,0.22063301131451335,0.007038948850304944,0.3226,0.1408,0.1819,1,1,1,136.4255,-1,5.6244,1,0.0719063863848602,67.8465,0,-0.23386891876784852,83.2092,70.141,0.8611203549639489,-0.0772946431343674,0.7165911172426587,-0.18603868524028566,24.1438,0.04728979421869033,92.8571,0.0,0.928571,0.0,1,20.9262,21.4297,21.9333,1.0070999999999977,13644671.3175,-0.00129313761102275
