Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
HWKN,2020-01-24,33000.0,20.31314087,20.04643731,0.0,0.04670061,-0.11,0.0,20.5393,0.0,33.7719,20.71562223,38.3472,0.0,-0.1097,20.71562223,-1,-1,13757511.8299,21.1787,1.2789,0.0,-0.2197,0.45046041,1.0,0,43.5312,0.0,-0.02011689,0,44.8898,1.0,-0.00234715,31,0.0,0.425345,92.8571,-0.11337779,0.21117449,0.02859657,0.12829265
HWKN,2020-01-27,38800.0,20.31314087,19.67305158,1.0,0.06511923,-0.1019,0.0,20.387,0.0,35.9711,20.40042594,38.3472,0.0,-0.1352,19.94945369,-1,-1,13787011.9898,20.7393,0.7046,0.0,-0.237,0.55352978,1.0,0,46.4482,0.0,0.0,1,54.6693,0.0,-0.00119816,31,0.0,0.45738181,100.0,0.06700941,0.21001391,0.03710221,0.21785573
HWKN,2020-01-28,28600.0,20.53620148,20.37618008,0.0,0.02093069,-0.076,0.0,20.4287,0.0,36.724,20.57984401,48.6396,0.0,-0.1542,20.38587863,-1,-1,13803363.9898,20.7936,0.7298,0.0,-0.2301,0.57313609,1.0,0,52.0295,0.0,0.0109811,0,56.5296,1.0,-0.00162699,35,0.0,0.51868009,92.8571,0.12016181,0.20843984,0.02214401,0.03402824
HWKN,2020-01-29,34000.0,20.49255371,20.25009566,0.0,0.02736085,-0.0572,0.0,20.4801,0.0,37.7288,20.5943875,46.7316,0.0,-0.1684,20.47315847,-1,-1,13817284.8068,20.792,0.6238,0.0,-0.2256,0.67811308,0.0,0,59.2296,0.0,-0.00212541,0,66.4901,0.0,-0.00089509,38,0.0,0.59775731,85.7143,0.13838495,0.20757527,0.03006306,0.17619973
HWKN,2020-01-30,44800.0,20.67197609,20.25979625,-1.0,-0.01107112,-0.0294,0.0,20.4685,0.0,37.3111,20.78835493,55.6681,0.0,-0.1758,20.28404354,-1,-1,13842272.7559,20.7439,0.5508,0.0,-0.2051,0.8197311,0.0,0,67.6489,0.0,0.00875549,0,79.9272,0.0,0.00068652,34,0.0,0.69022476,78.5714,0.14214683,0.20823779,0.04590116,0.20209174
HWKN,2020-01-31,58800.0,20.25979805,20.07068103,1.0,0.00592585,-0.0351,0.0,20.4578,0.0,37.5322,20.56529577,37.5691,35.7143,-0.1846,20.53135179,-1,-1,13828458.6383,20.7589,0.6022,0.0,-0.2197,0.733844,1.0,0,72.7318,0.0,-0.01993898,0,71.778,3.0,-0.00262256,32,0.357143,0.74604921,71.4286,0.07513648,0.20570518,0.06643203,-0.10195778
HWKN,2020-02-03,56000.0,20.85139847,20.35193533,-1.0,-0.07155189,0.0026,282.0,20.5655,477.0,34.8467,21.06476095,60.5693,28.5714,-0.1839,20.35193533,-1,-1,13850924.3934,20.9581,0.7853,0.0,-0.1813,0.75273258,4.0,0,75.0918,0.0,0.02920071,0,73.5702,26.0,-0.00108788,73,0.285714,0.77196861,64.2857,0.03244798,0.20465737,0.06232585,0.02496865
HWKN,2020-02-04,63800.0,20.41012001,20.32768331,-1.0,-0.08989947,-0.0004,0.0,20.5402,0.0,31.714,21.21508071,45.0833,100.0,-0.184,21.12294731,-1,-1,13798930.7212,20.9521,0.8237,0.0,-0.1845,0.54228221,5.0,0,66.3168,0.0,-0.02116301,0,53.6021,7.0,0.00040535,62,1.0,0.67559458,57.1429,-0.11685697,0.20504736,0.07376448,-0.2714156
HWKN,2020-02-05,31400.0,20.67197609,20.43921656,0.0,-0.0889008,0.0161,0.0,20.5761,0.0,28.8946,20.77865639,53.8379,92.8571,-0.18,20.63803211,-1,-1,13810592.8355,20.9974,0.8425,0.0,-0.1639,0.54204929,6.0,0,60.2508,0.0,0.01282972,0,53.58,5.0,0.00212844,65,0.928571,0.60897294,50.0,-0.09147003,0.207096,0.02625018,-0.0004123
HWKN,2020-02-06,38200.0,20.54589844,20.36163162,-1.0,-0.06148554,0.0192,0.0,20.5509,0.0,27.118,21.0890059,49.1246,85.7143,-0.1752,21.06475861,-1,-1,13791777.1022,20.9604,0.8189,0.0,-0.156,0.41202453,6.0,0,49.475,0.0,-0.00609896,0,41.2429,2.0,-0.00089633,60,0.857143,0.49062454,42.8571,-0.17884908,0.20623144,0.03622232,-0.23025569
HWKN,2020-02-07,72200.0,20.28404427,20.03188764,1.0,-0.08238071,0.005,0.0,20.5558,0.0,24.884,20.53619905,40.0272,78.5714,-0.1739,20.50710526,-1,-1,13791777.1022,20.9518,0.7921,0.0,-0.1689,0.38269252,7.0,0,44.4276,0.0,-0.01274484,0,38.4598,5.0,-0.0001414,74,0.785714,0.43518997,35.7143,-0.1020192,0.20609518,0.086083,-0.06748071
HWKN,2020-02-10,53600.0,20.59923935,20.1434188,1.0,-0.0968976,0.0176,0.0,20.5053,0.0,22.4728,20.61863644,53.0966,71.4286,-0.1695,20.16281589,1,-1,13840918.9389,20.7828,0.555,0.0,-0.1519,0.36656103,9.0,0,38.8773,0.0,0.01553907,0,36.9292,9.0,0.00139466,74,0.714286,0.37423217,28.5714,-0.1249291,0.20743901,0.05880628,-0.0397974
HWKN,2020-02-11,30000.0,20.45376396,20.3664789,-1.0,-0.05362038,0.0168,0.0,20.5141,0.0,21.2678,20.86109361,47.1666,64.2857,-0.1653,20.69137185,-1,-1,13821520.1154,20.782,0.5359,0.0,-0.1485,0.36088033,10.0,0,37.2597,0.0,-0.00706217,0,36.3902,9.0,-0.00039931,64,0.642857,0.3564664,21.4286,-0.04160783,0.20705372,0.0241971,-0.0145955
HWKN,2020-02-12,41200.0,20.62833405,20.26464692,0.0,-0.07658526,0.0281,0.0,20.5053,0.0,19.639,20.68652347,54.7475,57.1429,-0.1583,20.54589734,-1,-1,13851358.943,20.7538,0.497,0.0,-0.1303,0.48422737,10.0,0,40.471,0.0,0.00853486,0,48.0937,8.0,0.00065766,69,0.571429,0.39173545,14.2857,0.08618695,0.20768804,0.04062179,0.32161131
HWKN,2020-02-13,25400.0,20.80775261,20.09977545,1.0,-0.08182698,0.0466,0.0,20.5577,0.0,18.032,20.81745115,61.7909,50.0,-0.1467,20.54589744,1,-1,13876119.1592,20.9098,0.7041,0.0,-0.1001,0.64448314,11.0,0,49.261,0.0,0.00869768,0,63.2992,6.0,0.0006621,81,0.5,0.48827422,7.1429,0.21719256,0.20832707,0.01745124,0.31616407
HWKN,2020-02-14,37600.0,20.82715034,20.67682566,-1.0,-0.06578305,0.0583,0.0,20.6663,0.0,16.8458,21.00656881,62.578,42.8571,-0.1321,20.98232337,1,-1,13872800.1004,20.9449,0.5571,0.0,-0.0738,0.78608113,11.0,0,62.7091,0.0,0.00093224,-1,76.7344,6.0,0.00276341,75,0.428571,0.63597195,0.0,0.27299689,0.21099594,0.03534243,0.21224913
HWKN,2020-02-18,25000.0,20.57499313,20.41496991,0.0,-0.05696969,0.0477,0.0,20.6615,0.0,15.8861,20.86109375,46.8836,35.7143,-0.1202,20.78835558,-1,-1,13865743.9265,20.9451,0.5672,0.0,-0.0725,0.77197424,9.0,0,71.8098,0.0,-0.01210714,0,75.3959,7.0,-0.00134394,72,0.357143,0.73592308,57.1429,0.14512567,0.2096944,0.01686464,-0.01744328
HWKN,2020-02-19,20000.0,20.51195526,20.44891564,0.0,-0.05437458,0.0356,0.0,20.6731,0.0,15.0223,20.78835735,43.4762,28.5714,-0.1113,20.46831273,1,-1,13853190.0979,20.9252,0.5042,0.0,-0.0757,0.60294869,10.0,0,70.4962,0.0,-0.00306381,0,59.3583,17.0,0.00049554,69,0.285714,0.72149608,50.0,-0.01829277,0.21017366,0.00953219,-0.21271183
HWKN,2020-02-20,19600.0,20.34763336,20.26474191,0.0,0.00911312,0.0168,0.0,20.6171,0.0,15.1592,20.62069118,35.179,21.4286,-0.1071,20.62069118,1,-1,13842685.7417,20.9811,0.7279,0.1165,-0.0903,0.41743015,11.0,0,58.8366,0.0,-0.00801103,0,41.7558,14.0,-0.0015733,67,0.214286,0.59344107,42.8571,-0.16539331,0.20865128,0.00894559,-0.29654657
HWKN,2020-02-21,30800.0,20.06482506,19.96730428,0.0,0.0912779,-0.013,0.0,20.4686,0.0,16.5429,20.45978153,24.91,14.2857,-0.1104,20.36226075,-1,-1,13824141.7417,20.9736,1.01,0.0,-0.1234,0.26630777,13.0,1,42.8437,0.0,-0.01389883,1,27.4169,17.0,-0.00233449,71,0.142857,0.41779433,100.0,-0.2718189,0.2063959,0.02537029,-0.343399
HWKN,2020-02-24,33800.0,19.40168571,19.27003294,1.0,0.19629569,-0.0723,0.0,20.1836,0.0,19.7902,19.92829495,13.4243,7.1429,-0.1284,19.58209795,-1,-1,13803838.9417,21.0381,1.709,0.0,-0.2008,0.13570229,17.0,1,28.0658,0.0,-0.03304984,1,15.0247,19.0,-0.00429967,73,0.071429,0.25549167,100.0,-0.34492586,0.20225163,0.02976976,-0.45199129
HWKN,2020-02-25,36400.0,18.78243065,18.71904186,0.0,0.19880547,-0.1441,0.0,19.8252,0.0,23.7246,20.03069253,8.7272,0.0,-0.1645,19.46507238,-1,-1,13770935.4771,21.1116,2.5728,0.0,-0.3085,0.05018618,20.0,1,16.4508,0.0,-0.03191759,1,6.9107,24.0,-0.00889596,64,0.0,0.1279265,100.0,-0.41384888,0.19371405,0.03358264,-0.54004406
