Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-02,88.42667084571562,89.11431825993998,87.72091654724295,88.39952087402344,83100,0.0,0
2019-12-03,88.36334580458784,89.2862447674287,87.93808593528392,88.97860717773438,102700,0.0,0
2019-12-04,89.09623143330876,90.14580260941587,88.45382012058995,88.52619934082031,60600,0.0,0
2019-12-05,88.41763549538295,89.15052608065977,88.2366701697384,88.64383697509766,67600,0.0,0
2019-12-06,88.6981216471856,89.20481074432722,88.37239096955993,88.68907165527344,137000,0.0,0
2019-12-09,88.6619166357465,89.17765565530607,88.21856373548798,89.03289031982422,81200,0.0,0
2019-12-10,88.70715815354548,89.43099862468988,87.72996626922438,88.08283996582031,124300,0.0,0
2019-12-11,88.24571476306765,88.24571476306765,86.18275849877737,86.39990997314453,114100,0.0,0
2019-12-12,86.3094356985205,86.94279707791083,84.61744615197593,84.66268920898438,69400,0.0,0
2019-12-13,84.22837788463188,85.08794763116914,83.44120116993663,83.67645263671875,54700,0.0,0
2019-12-16,83.58596849264036,84.11980757562654,82.40067494518898,83.18785858154297,74800,0.0,0
2019-12-17,82.72640098731507,83.35071924674276,82.48210643973782,83.05213165283203,114100,0.0,0
2019-12-18,83.34167154382568,85.08794719736603,82.99784778883641,84.15599822998047,103100,0.0,0
2019-12-19,84.1831454773772,85.04270835904082,83.4954910301734,84.68983459472656,61200,0.0,0
2019-12-20,84.50886781229083,85.04269995055604,83.70359115764344,84.73506927490234,248700,0.0,0
2019-12-23,84.73506553515645,84.98841005760077,83.39594989822434,84.8345947265625,54500,0.0,0
2019-12-24,84.85269762280146,85.23271445043565,84.56316000606284,84.66268920898438,12100,0.0,0
2019-12-26,84.62648560974074,84.85268706038289,82.87116014375914,82.92545318603516,62700,0.0,0
2019-12-27,83.3416621272325,83.3416621272325,81.91206731785661,82.77163696289062,41000,0.0,0
2019-12-30,82.80783694220153,83.27833989874263,81.95732404912137,82.89832305908203,85400,0.0,0
2019-12-31,82.96164905913183,83.94788410386975,82.34638081640115,82.5906753540039,106100,0.0,0
2020-01-02,82.60877215905401,82.89830973843081,80.51866607052982,80.5367660522461,52500,0.0,0
2020-01-03,79.78578346132765,81.95731897264463,79.02574292596222,80.97107696533203,104400,0.0,0
2020-01-06,80.79916975137861,81.55920339501044,80.20199454299258,80.52772521972656,70000,0.0,0
2020-01-07,80.41914671599957,81.550154102379,80.01198681815147,80.44629669189453,53900,0.0,0
2020-01-08,80.20199057527013,81.1791825571288,79.93054605704687,80.3105697631836,80200,0.0,0
2020-01-09,80.48248128556166,81.233471832236,79.71339765843109,80.37390899658203,138200,0.0,0
2020-01-10,80.52772046637699,81.07060259451492,79.2519409072881,79.27909088134766,92800,0.0,0
2020-01-13,79.55051946349079,80.50056825722572,79.39670414355123,80.3196029663086,117700,0.0,0
2020-01-14,80.06627398633071,81.27871750963823,79.51434182247839,79.6410140991211,70100,0.0,0
2020-01-15,79.55957656523903,81.01631449751227,79.48719044240195,80.76296997070312,97900,0.0,0
2020-01-16,80.94392336879402,82.15636669041078,80.44628433708641,81.18822479248047,80400,0.0,0
2020-01-17,81.36014591626616,82.13827955251045,80.88059988760611,81.87588500976562,67000,0.0,0
2020-01-21,81.6587250261289,82.23780019705625,81.24251517846992,81.72206115722656,65200,0.0,0
2020-01-22,81.80349301113114,81.80349301113114,78.43761444091797,78.43761444091797,66200,0.0,0
2020-01-23,78.53715714524073,79.50529921002453,78.21142645960119,79.24290466308594,109900,0.0,0
2020-01-24,79.45100082863394,79.45100082863394,77.53281681205917,78.19332122802734,49700,0.0,0
2020-01-27,77.6323511775609,78.04856107496144,76.79088139062988,76.85421752929688,68300,0.0,0
2020-01-28,76.89944611479518,76.9175460972736,75.62367347489432,75.89511108398438,86200,0.0,0
2020-01-29,76.0398793236068,76.1394085126303,74.69172063108907,75.6779556274414,65000,0.0,0
2020-01-30,79.11622147290542,85.32318982193458,77.83139198871656,78.89906311035156,177000,0.0,0
2020-01-31,79.23385106110072,79.90340548302352,75.94940818418104,76.27513885498047,95200,0.0,0
2020-02-03,76.58275874191067,76.58275874191067,73.30735941552018,73.461181640625,97300,0.0,0
2020-02-04,73.85930455254204,74.45647977152673,73.37070852876947,73.4702377319336,119400,0.0,0
2020-02-05,73.85929268056988,73.85929268056988,72.0406380491621,72.14016723632812,87200,0.0,0
2020-02-06,71.92300845200789,72.73733502254755,71.54299168679611,71.62442779541016,97100,0.0,0
2020-02-07,71.5158557045985,71.95920864127615,69.7876732057059,69.83291625976562,41400,0.0,0
2020-02-10,69.89624592534346,71.00011007228827,69.10906241814837,70.30340576171875,207100,0.0,0
2020-02-11,70.40294759687447,73.18070154133862,70.40294759687447,72.14922332763672,89000,0.0,0
2020-02-12,72.1492196421819,72.81878097016099,71.23537066471394,71.25346374511719,58900,0.0,0
2020-02-13,71.22632484393762,71.85064315278676,70.59295654279633,71.78730010986328,37100,0.0,0
2020-02-14,71.57919293613175,73.18974628041649,71.57919293613175,72.37541961669922,81700,0.0,0
2020-02-18,72.3482709867851,72.65590854860824,70.9729692072616,71.17202758789062,41300,0.0,0
2020-02-19,71.07250261588068,72.45685446844803,70.81010808976153,71.70586395263672,32700,0.0,0
2020-02-20,71.70586016831251,72.01349082903836,71.09059194374034,71.72395324707031,77600,0.0,0
2020-02-21,71.76014699008363,72.36637213260181,71.35298713451697,71.64252471923828,28200,0.0,0
2020-02-24,70.81915950913965,71.08155406612661,69.73339511750962,70.54772186279297,28600,0.0,0
2020-02-25,70.6020005071235,70.61105049864295,67.98711211079456,68.59333038330078,53500,0.0,0
2020-02-26,68.79238975048537,69.7876748349471,67.25422252023733,67.83329772949219,98700,0.0,0
2020-02-27,67.1185018082048,68.855727476093,66.72038500397665,67.90568542480469,93300,0.0,0
2020-02-28,66.6751360772045,66.91038059543335,60.68531969321415,63.50831604003906,353600,0.0,0
2020-03-02,65.60747333759893,68.35808391732309,64.58503832123814,68.08663940429688,100900,0.0,0
2020-03-03,67.78805965382048,70.87345123572567,67.78805965382048,69.67910766601562,97800,0.0,0
2020-03-04,70.5024759259935,71.00917193744579,69.34432544802486,70.80106353759766,83100,0.0,0
2020-03-05,70.17674757994263,70.81915897887785,69.11812627056158,69.71530151367188,65200,0.0,0
2020-03-06,68.65666509783765,70.93677969512274,68.19521908670202,70.79200744628906,63100,0.0,0
2020-03-09,68.59332711123713,70.40293875403454,65.50794284989026,66.34036254882812,145200,0.0,0
2020-03-10,67.12755750590932,67.53471743348135,64.33170345305035,66.04178619384766,137800,0.0,0
2020-03-11,65.11888461746335,66.22274896895205,63.101164333543984,65.61652374267578,95500,0.0,0
2020-03-12,63.653089772847686,63.653089772847686,60.033866395251565,62.467796325683594,175600,0.0,0
2020-03-13,65.22745252777256,67.24517267606319,62.52208488143436,66.95563507080078,130800,0.0,0
2020-03-16,61.70775368331259,66.3856049827396,61.70775368331259,64.54884338378906,128100,0.0,0
2020-03-17,64.64837158436669,70.17673556911046,64.58503545455459,69.10002136230469,101900,0.0,0
2020-03-18,65.33602880756558,67.09135434427124,61.04725106346451,65.01934814453125,102600,0.0,0
2020-03-19,64.72980819700666,67.57994786685624,61.689660136249834,66.86515045166016,139800,0.0,0
2020-03-20,66.90135183301425,68.87382901176764,63.97882567844354,67.89663696289062,108900,0.0,0
2020-03-23,67.86044719010083,68.9552615763932,65.39032387500764,68.27665710449219,121200,0.0,0
2020-03-24,70.71057250121423,72.0858742380358,66.46703121920785,70.30340576171875,91500,0.0,0
2020-03-25,71.00012150337375,71.01821458436378,67.57090624513128,67.81520080566406,163900,0.0,0
2020-03-26,68.05949973464695,71.69681635285987,68.05949973464695,69.66100311279297,83300,0.0,0
2020-03-27,67.58898878414318,70.35769915602798,66.24083010921721,67.95091247558594,97000,0.0,0
2020-03-30,68.84667538407909,76.89040592500768,68.84667538407909,76.71849060058594,89300,0.0,0
2020-03-31,77.29756792790221,80.9529845740595,76.59182043391878,80.8896484375,178500,0.0,0
2020-04-01,80.41914320329457,81.07060453389272,73.18069624664128,73.3707046508789,98200,0.0,0
2020-04-02,72.5925813950879,75.89511745311759,72.23970073835183,74.03121948242188,60900,0.0,0
2020-04-03,73.28927369489398,76.8451609539933,73.0630722328727,76.21179962158203,82500,0.0,0
2020-04-06,78.33809094648889,80.32866102466573,76.22989169162149,79.92150115966797,83500,0.0,0
2020-04-07,81.75825690415827,81.75825690415827,75.84987582651989,78.12093353271484,138300,0.0,0
