Date,daily_trend
2019-12-01,100
2019-12-02,62
2019-12-03,90
2019-12-04,63
2019-12-05,21
2019-12-06,30
2019-12-07,40
2019-12-08,48
2019-12-09,65
2019-12-10,58
2019-12-11,56
2019-12-12,29
2019-12-13,58
2019-12-14,57
2019-12-15,47
2019-12-16,64
2019-12-17,42
2019-12-18,63
2019-12-19,15
2019-12-20,30
2019-12-21,24
2019-12-22,32
2019-12-23,46
2019-12-24,17
2019-12-25,27
2019-12-26,47
2019-12-27,54
2019-12-28,41
2019-12-29,57
2019-12-30,61
2019-12-31,73
2020-01-01,36
2020-01-02,59
2020-01-03,62
2020-01-04,33
2020-01-05,21
2020-01-06,42
2020-01-07,33
2020-01-08,26
2020-01-09,30
2020-01-10,73
2020-01-11,100
2020-01-12,29
2020-01-13,51
2020-01-14,23
2020-01-15,51
2020-01-16,48
2020-01-17,27
2020-01-18,62
2020-01-19,12
2020-01-20,26
2020-01-21,29
2020-01-22,26
2020-01-23,48
2020-01-24,38
2020-01-25,54
2020-01-26,20
2020-01-27,32
2020-01-28,11
2020-01-29,36
2020-01-30,41
2020-01-31,45
2020-02-01,47
2020-02-02,47
2020-02-03,96
2020-02-04,62
2020-02-05,27
2020-02-06,76
2020-02-07,100
2020-02-08,93
2020-02-09,39
2020-02-10,60
2020-02-11,93
2020-02-12,74
2020-02-13,48
2020-02-14,78
2020-02-15,78
2020-02-16,39
2020-02-17,48
2020-02-18,60
2020-02-19,60
2020-02-20,47
2020-02-21,42
2020-02-22,38
2020-02-23,53
2020-02-24,40
2020-02-25,60
2020-02-26,26
2020-02-27,78
2020-02-28,75
2020-02-29,75
2020-03-01,31
2020-03-02,55
2020-03-03,76
2020-03-04,87
2020-03-05,66
2020-03-06,90
2020-03-07,62
2020-03-08,25
2020-03-09,54
2020-03-10,86
2020-03-11,86
2020-03-12,95
2020-03-13,100
2020-03-14,37
2020-03-15,12
2020-03-16,58
2020-03-17,32
2020-03-18,70
2020-03-19,49
2020-03-20,53
2020-03-21,24
2020-03-22,24
2020-03-23,40
2020-03-24,42
2020-03-25,53
2020-03-26,49
2020-03-27,51
2020-03-28,41
2020-03-29,35
2020-03-30,41
2020-03-31,71
2020-04-01,59
2020-04-02,64
2020-04-03,66
2020-04-04,20
2020-04-05,7
2020-04-06,52
2020-04-07,23
2020-04-08,60
2020-04-09,61
2020-04-10,51
2020-04-11,34
2020-04-12,20
2020-04-13,67
2020-04-14,59
2020-04-15,88
2020-04-16,100
2020-04-17,59
2020-04-18,20
2020-04-19,20
2020-04-20,40
2020-04-21,52
2020-04-22,65
2020-04-23,81
2020-04-24,60
2020-04-25,34
2020-04-26,7
2020-04-27,41
2020-04-28,36
2020-04-29,52
2020-04-30,73
2020-05-01,83
2020-05-02,29
2020-05-03,53
2020-05-04,51
