Date,daily_trend
2019-12-01,69
2019-12-02,26
2019-12-03,33
2019-12-04,56
2019-12-05,44
2019-12-06,31
2019-12-07,87
2019-12-08,63
2019-12-09,32
2019-12-10,23
2019-12-11,19
2019-12-12,18
2019-12-13,23
2019-12-14,73
2019-12-15,73
2019-12-16,28
2019-12-17,22
2019-12-18,20
2019-12-19,18
2019-12-20,23
2019-12-21,68
2019-12-22,63
2019-12-23,27
2019-12-24,22
2019-12-25,27
2019-12-26,99
2019-12-27,64
2019-12-28,100
2019-12-29,97
2019-12-30,36
2019-12-31,27
2020-01-01,100
2020-01-02,52
2020-01-03,32
2020-01-04,31
2020-01-05,26
2020-01-06,22
2020-01-07,22
2020-01-08,20
2020-01-09,20
2020-01-10,28
2020-01-11,82
2020-01-12,62
2020-01-13,27
2020-01-14,21
2020-01-15,20
2020-01-16,19
2020-01-17,23
2020-01-18,75
2020-01-19,72
2020-01-20,33
2020-01-21,45
2020-01-22,49
2020-01-23,44
2020-01-24,29
2020-01-25,32
2020-01-26,26
2020-01-27,21
2020-01-28,19
2020-01-29,29
2020-01-30,28
2020-01-31,25
2020-02-01,100
2020-02-02,88
2020-02-03,37
2020-02-04,28
2020-02-05,26
2020-02-06,25
2020-02-07,29
2020-02-08,59
2020-02-09,53
2020-02-10,29
2020-02-11,25
2020-02-12,24
2020-02-13,25
2020-02-14,35
2020-02-15,78
2020-02-16,79
2020-02-17,55
2020-02-18,40
2020-02-19,31
2020-02-20,29
2020-02-21,30
2020-02-22,83
2020-02-23,81
2020-02-24,52
2020-02-25,37
2020-02-26,24
2020-02-27,25
2020-02-28,37
2020-02-29,99
2020-03-01,86
2020-03-02,36
2020-03-03,32
2020-03-04,30
2020-03-05,28
2020-03-06,31
2020-03-07,100
2020-03-08,100
2020-03-09,45
2020-03-10,31
2020-03-11,31
2020-03-12,29
2020-03-13,36
2020-03-14,34
2020-03-15,31
2020-03-16,27
2020-03-17,22
2020-03-18,20
2020-03-19,20
2020-03-20,17
2020-03-21,18
2020-03-22,18
2020-03-23,19
2020-03-24,18
2020-03-25,15
2020-03-26,16
2020-03-27,18
2020-03-28,17
2020-03-29,16
2020-03-30,15
2020-03-31,15
2020-04-01,81
2020-04-02,88
2020-04-03,91
2020-04-04,88
2020-04-05,80
2020-04-06,78
2020-04-07,80
2020-04-08,77
2020-04-09,81
2020-04-10,85
2020-04-11,89
2020-04-12,83
2020-04-13,79
2020-04-14,70
2020-04-15,71
2020-04-16,81
2020-04-17,75
2020-04-18,76
2020-04-19,93
2020-04-20,73
2020-04-21,81
2020-04-22,76
2020-04-23,73
2020-04-24,82
2020-04-25,80
2020-04-26,78
2020-04-27,75
2020-04-28,100
2020-04-29,95
2020-04-30,84
2020-05-01,83
2020-05-02,68
2020-05-03,66
2020-05-04,62
2020-05-05,59
2020-05-06,62
2020-05-07,65
2020-05-08,62
2020-05-09,63
2020-05-10,60
2020-05-11,68
2020-05-12,62
2020-05-13,62
2020-05-14,59
2020-05-15,63
2020-05-16,67
2020-05-17,63
2020-05-18,60
2020-05-19,64
2020-05-20,62
2020-05-21,60
2020-05-22,69
2020-05-23,69
2020-05-24,65
2020-05-25,59
2020-05-26,66
2020-05-27,68
2020-05-28,100
2020-05-29,77
2020-05-30,69
2020-05-31,69
2020-06-01,19
2020-06-02,19
2020-06-03,20
2020-06-04,18
2020-06-05,22
2020-06-06,23
2020-06-07,21
2020-06-08,21
2020-06-09,20
2020-06-10,22
2020-06-11,22
2020-06-12,22
2020-06-13,26
2020-06-14,25
2020-06-15,26
2020-06-16,33
2020-06-17,87
2020-06-18,49
2020-06-19,66
2020-06-20,93
2020-06-21,100
2020-06-22,55
2020-06-23,59
2020-06-24,81
2020-06-25,97
2020-06-26,65
2020-06-27,61
2020-06-28,54
2020-06-29,42
2020-06-30,53
2020-07-01,49
2020-07-02,47
2020-07-03,35
2020-07-04,69
2020-07-05,60
2020-07-06,34
2020-07-07,46
2020-07-08,47
2020-07-09,47
2020-07-10,31
2020-07-11,67
2020-07-12,70
2020-07-13,47
2020-07-14,41
2020-07-15,52
2020-07-16,53
2020-07-17,38
2020-07-18,39
2020-07-19,52
2020-07-20,36
2020-07-21,46
2020-07-22,65
2020-07-23,35
2020-07-24,23
2020-07-25,29
2020-07-26,100
2020-07-27,29
2020-07-28,18
2020-07-29,16
2020-07-30,14
2020-07-31,14
2020-08-01,100
2020-08-02,82
2020-08-03,73
2020-08-04,73
2020-08-05,77
2020-08-06,72
2020-08-07,78
2020-08-08,72
2020-08-09,72
2020-08-10,70
2020-08-11,73
2020-08-12,69
2020-08-13,67
2020-08-14,74
2020-08-15,86
2020-08-16,84
2020-08-17,78
2020-08-18,77
2020-08-19,80
2020-08-20,97
2020-08-21,81
2020-08-22,83
2020-08-23,88
2020-08-24,72
2020-08-25,77
2020-08-26,81
2020-08-27,81
2020-08-28,80
2020-08-29,100
2020-08-30,94
2020-08-31,78
2020-09-01,17
2020-09-02,20
2020-09-03,19
2020-09-04,21
2020-09-05,26
2020-09-06,21
2020-09-07,20
2020-09-08,21
2020-09-09,21
2020-09-10,24
2020-09-11,34
2020-09-12,100
2020-09-13,74
2020-09-14,50
2020-09-15,33
2020-09-16,24
2020-09-17,23
2020-09-18,29
2020-09-19,94
2020-09-20,96
2020-09-21,48
2020-09-22,29
2020-09-23,24
2020-09-24,23
2020-09-25,27
2020-09-26,89
2020-09-27,88
2020-09-28,55
2020-09-29,34
2020-09-30,25
2020-10-01,21
2020-10-02,24
2020-10-03,71
2020-10-04,100
2020-10-05,34
2020-10-06,19
2020-10-07,16
2020-10-08,15
2020-10-09,16
2020-10-10,21
2020-10-11,17
2020-10-12,15
2020-10-13,15
2020-10-14,14
2020-10-15,17
2020-10-16,21
2020-10-17,87
2020-10-18,68
2020-10-19,34
2020-10-20,21
2020-10-21,17
2020-10-22,18
2020-10-23,30
2020-10-24,78
2020-10-25,67
2020-10-26,35
2020-10-27,23
2020-10-28,17
2020-10-29,18
2020-10-30,26
2020-10-31,69
2020-11-01,91
2020-11-02,45
2020-11-03,26
2020-11-04,17
2020-11-05,17
2020-11-06,31
2020-11-07,85
2020-11-08,100
2020-11-09,33
2020-11-10,18
2020-11-11,17
2020-11-12,19
2020-11-13,19
2020-11-14,20
2020-11-15,17
2020-11-16,16
2020-11-17,16
2020-11-18,16
2020-11-19,17
2020-11-20,23
2020-11-21,86
2020-11-22,94
2020-11-23,40
