Date,daily_trend
2019-12-01,32
2019-12-02,76
2019-12-03,48
2019-12-04,58
2019-12-05,59
2019-12-06,62
2019-12-07,34
2019-12-08,67
2019-12-09,60
2019-12-10,100
2019-12-11,39
2019-12-12,69
2019-12-13,51
2019-12-14,90
2019-12-15,33
2019-12-16,49
2019-12-17,58
2019-12-18,68
2019-12-19,40
2019-12-20,32
2019-12-21,68
2019-12-22,34
2019-12-23,21
2019-12-24,46
2019-12-25,37
2019-12-26,32
2019-12-27,75
2019-12-28,79
2019-12-29,11
2019-12-30,53
2019-12-31,67
2020-01-01,41
2020-01-02,35
2020-01-03,81
2020-01-04,25
2020-01-05,75
2020-01-06,57
2020-01-07,67
2020-01-08,33
2020-01-09,78
2020-01-10,92
2020-01-11,100
2020-01-12,99
2020-01-13,41
2020-01-14,49
2020-01-15,43
2020-01-16,99
2020-01-17,46
2020-01-18,74
2020-01-19,49
2020-01-20,34
2020-01-21,22
2020-01-22,55
2020-01-23,89
2020-01-24,46
2020-01-25,75
2020-01-26,37
2020-01-27,97
2020-01-28,55
2020-01-29,77
2020-01-30,34
2020-01-31,80
2020-02-01,0
2020-02-02,25
2020-02-03,14
2020-02-04,59
2020-02-05,44
2020-02-06,30
2020-02-07,8
2020-02-08,25
2020-02-09,33
2020-02-10,50
2020-02-11,100
2020-02-12,29
2020-02-13,66
2020-02-14,61
2020-02-15,17
2020-02-16,41
2020-02-17,30
2020-02-18,64
2020-02-19,36
2020-02-20,29
2020-02-21,53
2020-02-22,89
2020-02-23,41
2020-02-24,14
2020-02-25,43
2020-02-26,49
2020-02-27,28
2020-02-28,37
2020-02-29,40
2020-03-01,34
2020-03-02,40
2020-03-03,80
2020-03-04,40
2020-03-05,50
2020-03-06,62
2020-03-07,57
2020-03-08,57
2020-03-09,50
2020-03-10,59
2020-03-11,99
2020-03-12,29
2020-03-13,82
2020-03-14,23
2020-03-15,57
2020-03-16,29
2020-03-17,20
2020-03-18,40
2020-03-19,30
2020-03-20,20
2020-03-21,99
2020-03-22,66
2020-03-23,45
2020-03-24,39
2020-03-25,20
2020-03-26,100
2020-03-27,28
2020-03-28,54
2020-03-29,32
2020-03-30,28
2020-03-31,66
2020-04-01,62
2020-04-02,62
2020-04-03,36
2020-04-04,51
2020-04-05,61
2020-04-06,35
2020-04-07,54
2020-04-08,100
2020-04-09,37
2020-04-10,39
2020-04-11,31
2020-04-12,10
2020-04-13,37
2020-04-14,89
2020-04-15,80
2020-04-16,72
2020-04-17,54
2020-04-18,70
2020-04-19,30
2020-04-20,62
2020-04-21,53
2020-04-22,36
2020-04-23,26
2020-04-24,64
2020-04-25,41
2020-04-26,20
2020-04-27,54
2020-04-28,27
2020-04-29,53
2020-04-30,77
2020-05-01,100
2020-05-02,11
2020-05-03,54
2020-05-04,28
2020-05-05,34
2020-05-06,47
2020-05-07,57
2020-05-08,58
2020-05-09,75
2020-05-10,55
2020-05-11,19
2020-05-12,38
2020-05-13,47
2020-05-14,28
2020-05-15,39
2020-05-16,54
2020-05-17,86
2020-05-18,47
2020-05-19,75
2020-05-20,39
2020-05-21,69
2020-05-22,39
2020-05-23,22
2020-05-24,22
2020-05-25,90
2020-05-26,58
2020-05-27,38
2020-05-28,47
2020-05-29,39
2020-05-30,22
2020-05-31,67
2020-06-01,42
2020-06-02,42
2020-06-03,40
2020-06-04,31
2020-06-05,25
2020-06-06,67
2020-06-07,39
2020-06-08,24
2020-06-09,55
2020-06-10,42
2020-06-11,51
2020-06-12,72
2020-06-13,59
2020-06-14,29
2020-06-15,43
2020-06-16,67
2020-06-17,17
2020-06-18,26
2020-06-19,36
2020-06-20,100
2020-06-21,29
2020-06-22,44
2020-06-23,43
2020-06-24,36
2020-06-25,26
2020-06-26,18
2020-06-27,60
2020-06-28,59
2020-06-29,35
2020-06-30,62
2020-07-01,81
2020-07-02,100
2020-07-03,32
2020-07-04,58
2020-07-05,47
2020-07-06,50
2020-07-07,60
2020-07-08,71
2020-07-09,62
2020-07-10,43
2020-07-11,59
2020-07-12,24
2020-07-13,72
2020-07-14,72
2020-07-15,52
2020-07-16,83
2020-07-17,43
2020-07-18,36
2020-07-19,60
2020-07-20,62
2020-07-21,52
2020-07-22,21
2020-07-23,63
2020-07-24,76
2020-07-25,72
2020-07-26,24
2020-07-27,73
2020-07-28,21
2020-07-29,42
2020-07-30,42
2020-07-31,55
2020-08-01,97
2020-08-02,74
2020-08-03,75
2020-08-04,65
2020-08-05,47
2020-08-06,56
2020-08-07,67
2020-08-08,21
2020-08-09,43
2020-08-10,63
2020-08-11,36
2020-08-12,83
2020-08-13,73
2020-08-14,94
2020-08-15,53
2020-08-16,73
2020-08-17,55
2020-08-18,82
2020-08-19,100
2020-08-20,74
2020-08-21,28
2020-08-22,85
2020-08-23,63
2020-08-24,71
2020-08-25,63
2020-08-26,90
2020-08-27,54
2020-08-28,37
2020-08-29,51
2020-08-30,41
2020-08-31,79
2020-09-01,80
2020-09-02,81
2020-09-03,20
2020-09-04,63
2020-09-05,58
2020-09-06,46
2020-09-07,52
2020-09-08,69
2020-09-09,80
2020-09-10,100
2020-09-11,62
2020-09-12,46
2020-09-13,70
2020-09-14,39
2020-09-15,50
2020-09-16,70
2020-09-17,20
2020-09-18,52
2020-09-19,92
2020-09-20,35
2020-09-21,59
2020-09-22,39
2020-09-23,30
2020-09-24,88
2020-09-25,32
2020-09-26,71
2020-09-27,47
2020-09-28,92
2020-09-29,71
2020-09-30,82
2020-10-01,58
2020-10-02,86
2020-10-03,66
2020-10-04,39
2020-10-05,69
2020-10-06,68
2020-10-07,46
2020-10-08,58
2020-10-09,64
2020-10-10,42
2020-10-11,56
2020-10-12,50
2020-10-13,61
2020-10-14,49
2020-10-15,37
2020-10-16,63
2020-10-17,97
2020-10-18,42
2020-10-19,37
2020-10-20,74
2020-10-21,49
2020-10-22,100
2020-10-23,38
2020-10-24,83
2020-10-25,68
2020-10-26,12
2020-10-27,61
2020-10-28,85
2020-10-29,86
2020-10-30,38
2020-10-31,14
2020-11-01,32
2020-11-02,58
2020-11-03,28
2020-11-04,41
2020-11-05,42
2020-11-06,36
2020-11-07,100
2020-11-08,31
2020-11-09,94
2020-11-10,75
2020-11-11,56
2020-11-12,86
2020-11-13,30
2020-11-14,33
2020-11-15,21
2020-11-16,75
2020-11-17,66
2020-11-18,67
2020-11-19,48
2020-11-20,39
2020-11-21,42
2020-11-22,42
2020-11-23,29
2020-11-24,84
2020-11-25,46
2020-11-26,96
2020-11-27,19
2020-11-28,52
2020-11-29,10
2020-11-30,18
2020-12-01,84
2020-12-02,46
2020-12-03,38
2020-12-04,29
2020-12-05,97
2020-12-06,63
2020-12-07,67
2020-12-08,46
2020-12-09,57
2020-12-10,9
2020-12-11,69
2020-12-12,52
2020-12-13,31
2020-12-14,65
2020-12-15,29
2020-12-16,10
2020-12-17,9
2020-12-18,50
2020-12-19,11
2020-12-20,44
2020-12-21,60
2020-12-22,50
2020-12-23,93
2020-12-24,56
2020-12-25,73
2020-12-26,100
2020-12-27,42
2020-12-28,59
2020-12-29,40
2020-12-30,20
2020-12-31,55
2021-01-01,44
2021-01-02,41
2021-01-03,80
2021-01-04,72
2021-01-05,45
2021-01-06,36
2021-01-07,45
2021-01-08,18
2021-01-09,78
2021-01-10,10
2021-01-11,53
2021-01-12,71
2021-01-13,27
2021-01-14,64
2021-01-15,37
2021-01-16,40
2021-01-17,20
2021-01-18,0
2021-01-19,52
2021-01-20,44
2021-01-21,27
2021-01-22,100
2021-01-23,30
2021-01-24,20
2021-01-25,35
2021-01-26,44
2021-01-27,71
2021-01-28,18
2021-01-29,74
2021-01-30,50
2021-01-31,30
2021-02-01,44
2021-02-02,66
2021-02-03,45
2021-02-04,23
2021-02-05,23
2021-02-06,37
2021-02-07,24
2021-02-08,44
2021-02-09,22
2021-02-10,22
2021-02-11,45
2021-02-12,23
2021-02-13,25
2021-02-14,13
2021-02-15,11
2021-02-16,57
2021-02-17,67
2021-02-18,56
2021-02-19,81
2021-02-20,75
2021-02-21,89
2021-02-22,43
2021-02-23,100
2021-02-24,65
2021-02-25,44
2021-02-26,57
2021-02-27,63
2021-02-28,62
2021-03-01,0
2021-03-02,32
2021-03-03,43
2021-03-04,54
2021-03-05,88
2021-03-06,48
2021-03-07,61
2021-03-08,43
2021-03-09,32
2021-03-10,42
2021-03-11,65
2021-03-12,100
2021-03-13,72
2021-03-14,23
2021-03-15,44
2021-03-16,73
2021-03-17,87
2021-03-18,64
2021-03-19,55
2021-03-20,24
2021-03-21,37
2021-03-22,0
2021-03-23,64
2021-03-24,11
2021-03-25,87
2021-03-26,79
2021-03-27,75
2021-03-28,86
2021-03-29,44
2021-03-30,44
2021-03-31,34
2021-04-01,68
2021-04-02,86
2021-04-03,45
2021-04-04,45
2021-04-05,40
2021-04-06,87
2021-04-07,50
2021-04-08,64
2021-04-09,65
2021-04-10,42
2021-04-11,72
2021-04-12,51
2021-04-13,51
2021-04-14,38
2021-04-15,90
2021-04-16,79
2021-04-17,43
2021-04-18,72
2021-04-19,76
2021-04-20,63
2021-04-21,38
2021-04-22,51
2021-04-23,40
2021-04-24,100
2021-04-25,42
2021-04-26,75
2021-04-27,38
2021-04-28,76
2021-04-29,38
2021-04-30,64
2021-05-01,55
2021-05-02,33
2021-05-03,79
2021-05-04,58
2021-05-05,20
2021-05-06,100
2021-05-07,10
2021-05-08,34
2021-05-09,68
2021-05-10,31
2021-05-11,50
2021-05-12,20
2021-05-13,72
2021-05-14,75
2021-05-15,46
2021-05-16,45
2021-05-17,20
2021-05-18,70
2021-05-19,20
2021-05-20,61
2021-05-21,41
2021-05-22,45
2021-05-23,23
2021-05-24,40
2021-05-25,41
2021-05-26,40
2021-05-27,91
2021-05-28,53
2021-05-29,69
2021-05-30,35
2021-05-31,62
2021-06-01,45
2021-06-02,9
2021-06-03,36
2021-06-04,37
2021-06-05,72
2021-06-06,72
2021-06-07,26
2021-06-08,35
2021-06-09,27
2021-06-10,72
2021-06-11,28
2021-06-12,51
2021-06-13,49
2021-06-14,18
2021-06-15,62
2021-06-16,36
2021-06-17,27
2021-06-18,28
2021-06-19,31
2021-06-20,41
2021-06-21,27
2021-06-22,27
2021-06-23,36
2021-06-24,65
2021-06-25,94
2021-06-26,42
2021-06-27,72
2021-06-28,45
2021-06-29,100
2021-06-30,73
2021-07-01,95
2021-07-02,59
2021-07-03,98
2021-07-04,66
2021-07-05,69
2021-07-06,38
2021-07-07,38
2021-07-08,49
2021-07-09,60
2021-07-10,11
2021-07-11,64
2021-07-12,48
2021-07-13,39
2021-07-14,38
2021-07-15,87
2021-07-16,39
2021-07-17,100
2021-07-18,22
2021-07-19,49
2021-07-20,80
2021-07-21,40
2021-07-22,40
2021-07-23,60
2021-07-24,33
2021-07-25,54
2021-07-26,19
2021-07-27,48
2021-07-28,29
2021-07-29,39
2021-07-30,49
2021-07-31,65
2021-08-01,89
2021-08-02,60
2021-08-03,29
2021-08-04,100
2021-08-05,30
2021-08-06,62
2021-08-07,67
2021-08-08,11
2021-08-09,40
2021-08-10,61
2021-08-11,30
2021-08-12,20
2021-08-13,62
2021-08-14,100
2021-08-15,45
2021-08-16,20
2021-08-17,39
2021-08-18,40
2021-08-19,0
2021-08-20,50
2021-08-21,22
2021-08-22,91
2021-08-23,32
2021-08-24,44
2021-08-25,30
2021-08-26,40
2021-08-27,71
2021-08-28,78
2021-08-29,56
2021-08-30,39
2021-08-31,20
2021-09-01,85
2021-09-02,49
2021-09-03,64
2021-09-04,58
2021-09-05,29
2021-09-06,100
2021-09-07,12
2021-09-08,98
2021-09-09,62
2021-09-10,77
2021-09-11,55
2021-09-12,55
2021-09-13,24
2021-09-14,46
2021-09-15,71
2021-09-16,37
2021-09-17,50
