Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
XEL,2020-01-24,1851000.0,64.09648132,63.5430188,0.0,0.10400735,0.3702,0.0,63.265,0.0,41.115,64.39230152,96.6659,100.0,0.7073,63.68615667,1,1,943918927.416,64.4933,2.4565,0.0,1.0775,0.95204723,1.0,-1,95.365,0.0,0.00403586,-1,93.0114,1.0,0.00716719,76,1.0,0.98363835,14.2857,-0.01585225,0.44378756,0.10972031,-0.03803834
XEL,2020-01-27,1656100.0,63.85791779,63.60027547,-1.0,0.08794357,0.3402,0.0,63.5607,0.0,44.7308,64.59268872,84.3924,100.0,0.7924,64.06785234,1,1,943122712.9929,64.4193,1.7171,0.0,1.1326,0.86944646,1.0,-1,91.5914,0.0,-0.00372194,-1,85.0734,0.0,0.00657796,53,1.0,0.94344416,7.1429,-0.03957007,0.46728568,0.09264823,-0.08534438
XEL,2020-01-28,2040200.0,64.14419556,63.82929372,0.0,0.07275077,0.3146,0.0,63.7934,0.0,47.985,64.37321177,86.8894,92.8571,0.871,63.87700877,1,1,943444855.6769,64.4744,1.3619,0.0,1.1857,0.78177913,1.0,-1,84.9111,0.0,0.00448304,-1,76.6485,1.0,0.0058786,62,0.928571,0.87228948,0.0,-0.07293589,0.48842363,0.12629311,-0.09903095
XEL,2020-01-29,2345600.0,64.3350296,63.7147705,0.0,0.0474815,0.2863,0.0,64.0223,0.0,50.2634,64.3350296,88.4316,85.7143,0.9426,64.09646897,1,1,945790531.6769,64.3949,0.7451,0.0,1.229,0.76151499,0.0,-1,78.8077,0.0,0.00297508,-1,74.7011,0.0,0.00599544,60,0.857143,0.80727961,7.1429,-0.07187988,0.51010845,0.15304433,-0.02540689
XEL,2020-01-30,3486400.0,65.61373138,63.88654711,-1.0,0.05989845,0.3266,0.0,64.3771,0.0,53.2741,65.7091542,94.1727,100.0,1.0243,64.18236731,1,1,948911881.5199,65.6185,2.4828,0.0,1.3508,0.85221871,0.0,-1,78.2558,0.0,0.01987567,-1,83.4178,0.0,0.00647388,61,1.0,0.80140109,0.0,-0.00700312,0.53366414,0.25297163,0.11668771
XEL,2020-01-31,5165700.0,66.02404785,65.60417878,0.0,0.05681372,0.3515,0.0,64.7625,0.0,56.3008,66.43437246,95.1401,100.0,1.1121,65.85228389,1,1,948971256.9334,66.4807,3.4365,0.0,1.4636,0.89961894,1.0,-1,82.0307,0.0,0.00625352,-1,87.973,3.0,0.00623575,73,1.0,0.84160913,0.0,0.04823796,0.55650026,0.40006832,0.05460705
XEL,2020-02-03,3880000.0,66.27214813,66.09084698,0.0,0.04970267,0.3544,282.0,65.2451,477.0,59.0991,66.62522053,95.682,100.0,1.2007,66.46300103,1,1,947724044.9694,66.9951,3.5001,0.0,1.5551,0.91719216,4.0,-1,87.0176,0.0,0.00375773,-1,89.6618,26.0,0.00607995,64,1.0,0.8947267,0.0,0.06079309,0.57890465,0.28744865,0.0191968
XEL,2020-02-04,3705700.0,66.12902069,65.86182662,0.0,0.02492762,0.3175,0.0,65.6418,0.0,60.5723,66.57750864,88.5616,92.8571,1.2801,66.21489904,1,1,946785259.0232,67.0507,2.8178,0.0,1.5976,0.87333612,5.0,-1,87.694,0.0,-0.00215969,-1,85.4472,7.0,0.00488643,69,0.928571,0.90193132,0.0,0.00777314,0.59702042,0.272181,-0.04700553
XEL,2020-02-05,3021000.0,66.12902069,65.6041843,-1.0,0.00289076,0.2661,0.0,66.0004,0.0,60.7474,66.61567922,88.5616,85.7143,1.3466,66.61567922,1,1,946899259.061,66.4488,0.8967,0.0,1.6128,0.86070876,6.0,-1,86.4476,0.0,0.0,-1,84.2337,5.0,0.00453972,70,0.857143,0.88865539,0.0,-0.01421306,0.61393309,0.21220536,-0.01420175
XEL,2020-02-06,4507500.0,66.12902069,65.85228944,1.0,0.00259435,0.2077,0.0,66.1034,0.0,60.905,66.3580369,88.5616,78.5714,1.3986,65.9667939,1,1,947324495.0043,66.2614,0.3159,0.0,1.6062,0.73422073,6.0,-1,80.5863,0.0,0.0,0,72.0781,2.0,0.00352092,87,0.785714,0.82622422,0.0,-0.06780177,0.62710977,0.34241392,-0.14430804
