Date,daily_trend
2019-12-01,92
2019-12-02,100
2019-12-03,88
2019-12-04,81
2019-12-05,75
2019-12-06,77
2019-12-07,77
2019-12-08,80
2019-12-09,81
2019-12-10,82
2019-12-11,80
2019-12-12,78
2019-12-13,79
2019-12-14,83
2019-12-15,86
2019-12-16,85
2019-12-17,83
2019-12-18,78
2019-12-19,77
2019-12-20,74
2019-12-21,73
2019-12-22,71
2019-12-23,69
2019-12-24,60
2019-12-25,71
2019-12-26,82
2019-12-27,76
2019-12-28,72
2019-12-29,69
2019-12-30,67
2019-12-31,57
2020-01-01,92
2020-01-02,100
2020-01-03,100
2020-01-04,97
2020-01-05,94
2020-01-06,93
2020-01-07,92
2020-01-08,92
2020-01-09,89
2020-01-10,86
2020-01-11,91
2020-01-12,96
2020-01-13,87
2020-01-14,88
2020-01-15,86
2020-01-16,85
2020-01-17,86
2020-01-18,91
2020-01-19,96
2020-01-20,89
2020-01-21,88
2020-01-22,88
2020-01-23,88
2020-01-24,82
2020-01-25,92
2020-01-26,92
2020-01-27,88
2020-01-28,86
2020-01-29,84
2020-01-30,87
2020-01-31,85
2020-02-01,100
2020-02-02,98
2020-02-03,91
2020-02-04,94
2020-02-05,93
2020-02-06,92
2020-02-07,92
2020-02-08,95
2020-02-09,98
2020-02-10,92
2020-02-11,92
2020-02-12,94
2020-02-13,90
2020-02-14,87
2020-02-15,93
2020-02-16,96
2020-02-17,92
2020-02-18,93
2020-02-19,89
2020-02-20,87
2020-02-21,92
2020-02-22,91
2020-02-23,99
2020-02-24,95
2020-02-25,91
2020-02-26,94
2020-02-27,92
2020-02-28,93
2020-02-29,99
2020-03-01,82
2020-03-02,79
2020-03-03,78
2020-03-04,77
2020-03-05,76
2020-03-06,75
2020-03-07,75
2020-03-08,79
2020-03-09,77
2020-03-10,76
2020-03-11,72
2020-03-12,75
2020-03-13,78
2020-03-14,88
2020-03-15,88
2020-03-16,82
2020-03-17,95
2020-03-18,92
2020-03-19,91
2020-03-20,93
2020-03-21,99
2020-03-22,98
2020-03-23,91
2020-03-24,92
2020-03-25,91
2020-03-26,94
2020-03-27,89
2020-03-28,97
2020-03-29,100
2020-03-30,95
2020-03-31,95
2020-04-01,89
2020-04-02,89
2020-04-03,91
2020-04-04,100
2020-04-05,97
2020-04-06,90
2020-04-07,88
2020-04-08,89
2020-04-09,91
2020-04-10,91
2020-04-11,93
2020-04-12,90
2020-04-13,89
2020-04-14,94
2020-04-15,93
2020-04-16,95
2020-04-17,95
2020-04-18,100
2020-04-19,98
2020-04-20,94
2020-04-21,92
2020-04-22,91
2020-04-23,91
2020-04-24,90
2020-04-25,98
2020-04-26,96
2020-04-27,90
2020-04-28,90
2020-04-29,95
2020-04-30,91
2020-05-01,96
2020-05-02,98
2020-05-03,100
2020-05-04,94
2020-05-05,92
2020-05-06,93
2020-05-07,88
2020-05-08,86
2020-05-09,94
2020-05-10,97
2020-05-11,88
2020-05-12,89
2020-05-13,89
2020-05-14,86
2020-05-15,89
2020-05-16,95
2020-05-17,96
2020-05-18,88
2020-05-19,90
2020-05-20,89
2020-05-21,90
2020-05-22,92
2020-05-23,96
2020-05-24,93
2020-05-25,88
2020-05-26,88
2020-05-27,86
2020-05-28,88
2020-05-29,88
2020-05-30,86
2020-05-31,91
2020-06-01,91
2020-06-02,88
2020-06-03,90
2020-06-04,89
2020-06-05,90
2020-06-06,100
2020-06-07,98
2020-06-08,92
2020-06-09,90
2020-06-10,89
2020-06-11,92
2020-06-12,87
2020-06-13,90
2020-06-14,96
2020-06-15,90
2020-06-16,87
2020-06-17,89
2020-06-18,88
2020-06-19,89
2020-06-20,85
2020-06-21,91
2020-06-22,88
2020-06-23,87
2020-06-24,89
2020-06-25,87
2020-06-26,87
2020-06-27,94
2020-06-28,94
2020-06-29,90
2020-06-30,88
2020-07-01,95
2020-07-02,94
2020-07-03,93
2020-07-04,95
2020-07-05,100
2020-07-06,96
2020-07-07,97
2020-07-08,94
2020-07-09,94
2020-07-10,95
2020-07-11,97
2020-07-12,99
2020-07-13,94
2020-07-14,97
2020-07-15,94
2020-07-16,95
2020-07-17,89
2020-07-18,99
2020-07-19,96
2020-07-20,95
2020-07-21,98
2020-07-22,95
2020-07-23,95
2020-07-24,93
2020-07-25,95
2020-07-26,96
2020-07-27,94
2020-07-28,94
2020-07-29,92
2020-07-30,94
2020-07-31,94
2020-08-01,95
2020-08-02,100
2020-08-03,96
2020-08-04,94
2020-08-05,94
2020-08-06,99
2020-08-07,93
2020-08-08,95
2020-08-09,96
2020-08-10,94
2020-08-11,92
2020-08-12,91
2020-08-13,88
2020-08-14,85
2020-08-15,94
2020-08-16,95
2020-08-17,93
2020-08-18,91
2020-08-19,89
2020-08-20,89
2020-08-21,87
2020-08-22,91
2020-08-23,92
2020-08-24,89
2020-08-25,90
2020-08-26,89
2020-08-27,88
2020-08-28,90
2020-08-29,95
2020-08-30,97
2020-08-31,89
2020-09-01,98
2020-09-02,98
2020-09-03,95
2020-09-04,93
2020-09-05,98
2020-09-06,100
2020-09-07,96
2020-09-08,94
2020-09-09,92
2020-09-10,95
2020-09-11,92
2020-09-12,96
2020-09-13,98
2020-09-14,94
2020-09-15,92
2020-09-16,93
2020-09-17,92
2020-09-18,92
2020-09-19,98
2020-09-20,97
2020-09-21,90
2020-09-22,90
2020-09-23,92
2020-09-24,91
2020-09-25,92
2020-09-26,94
2020-09-27,96
2020-09-28,91
2020-09-29,92
2020-09-30,89
2020-10-01,57
2020-10-02,58
2020-10-03,64
2020-10-04,64
2020-10-05,59
2020-10-06,59
2020-10-07,59
2020-10-08,56
2020-10-09,57
2020-10-10,62
2020-10-11,65
2020-10-12,70
2020-10-13,100
2020-10-14,87
2020-10-15,67
2020-10-16,65
2020-10-17,70
2020-10-18,71
2020-10-19,64
2020-10-20,65
2020-10-21,62
2020-10-22,63
2020-10-23,62
2020-10-24,63
2020-10-25,66
2020-10-26,61
2020-10-27,64
2020-10-28,64
2020-10-29,65
2020-10-30,64
2020-10-31,63
2020-11-01,65
2020-11-02,61
2020-11-03,57
2020-11-04,50
2020-11-05,52
2020-11-06,56
2020-11-07,63
2020-11-08,67
2020-11-09,64
2020-11-10,65
2020-11-11,64
2020-11-12,67
2020-11-13,69
2020-11-14,70
2020-11-15,76
2020-11-16,66
2020-11-17,67
2020-11-18,69
2020-11-19,73
2020-11-20,72
2020-11-21,76
2020-11-22,80
2020-11-23,72
2020-11-24,72
2020-11-25,69
2020-11-26,73
2020-11-27,100
2020-11-28,87
2020-11-29,84
2020-11-30,80
2020-12-01,94
2020-12-02,88
2020-12-03,91
2020-12-04,91
2020-12-05,99
2020-12-06,100
2020-12-07,94
2020-12-08,90
2020-12-09,91
2020-12-10,89
2020-12-11,90
2020-12-12,97
2020-12-13,100
2020-12-14,92
2020-12-15,94
2020-12-16,93
2020-12-17,89
2020-12-18,86
2020-12-19,94
2020-12-20,93
2020-12-21,86
2020-12-22,80
2020-12-23,75
2020-12-24,70
2020-12-25,84
2020-12-26,97
2020-12-27,89
2020-12-28,88
2020-12-29,87
2020-12-30,82
2020-12-31,72
2021-01-01,93
2021-01-02,100
2021-01-03,98
2021-01-04,94
2021-01-05,88
2021-01-06,86
2021-01-07,86
2021-01-08,91
2021-01-09,91
2021-01-10,95
2021-01-11,84
2021-01-12,85
2021-01-13,83
2021-01-14,85
2021-01-15,82
2021-01-16,89
2021-01-17,88
2021-01-18,85
2021-01-19,82
2021-01-20,83
2021-01-21,81
2021-01-22,85
2021-01-23,91
2021-01-24,91
2021-01-25,84
2021-01-26,81
2021-01-27,81
2021-01-28,82
2021-01-29,82
2021-01-30,90
2021-01-31,93
2021-02-01,94
2021-02-02,96
2021-02-03,95
2021-02-04,92
2021-02-05,91
2021-02-06,95
2021-02-07,100
2021-02-08,89
2021-02-09,90
2021-02-10,87
2021-02-11,87
2021-02-12,88
2021-02-13,91
2021-02-14,87
2021-02-15,86
2021-02-16,89
2021-02-17,85
2021-02-18,85
2021-02-19,88
2021-02-20,91
2021-02-21,92
2021-02-22,84
2021-02-23,86
2021-02-24,83
2021-02-25,84
2021-02-26,84
2021-02-27,88
2021-02-28,92
2021-03-01,91
2021-03-02,93
2021-03-03,94
2021-03-04,90
2021-03-05,92
2021-03-06,99
2021-03-07,100
2021-03-08,89
2021-03-09,89
2021-03-10,87
2021-03-11,88
2021-03-12,88
2021-03-13,93
2021-03-14,97
2021-03-15,80
2021-03-16,85
2021-03-17,88
2021-03-18,88
2021-03-19,90
2021-03-20,91
2021-03-21,100
2021-03-22,93
2021-03-23,96
2021-03-24,93
2021-03-25,89
2021-03-26,88
2021-03-27,97
2021-03-28,98
2021-03-29,92
2021-03-30,88
2021-03-31,89
2021-04-01,89
2021-04-02,87
2021-04-03,87
2021-04-04,88
2021-04-05,89
2021-04-06,87
2021-04-07,86
2021-04-08,87
2021-04-09,84
2021-04-10,93
2021-04-11,100
2021-04-12,87
2021-04-13,86
2021-04-14,84
2021-04-15,86
2021-04-16,83
2021-04-17,90
2021-04-18,89
2021-04-19,86
2021-04-20,85
2021-04-21,84
2021-04-22,84
2021-04-23,83
2021-04-24,90
2021-04-25,93
2021-04-26,87
2021-04-27,86
2021-04-28,85
2021-04-29,87
2021-04-30,83
2021-05-01,100
2021-05-02,99
2021-05-03,100
2021-05-04,98
2021-05-05,95
2021-05-06,94
2021-05-07,92
2021-05-08,95
2021-05-09,96
2021-05-10,96
2021-05-11,94
2021-05-12,90
2021-05-13,89
2021-05-14,92
2021-05-15,94
2021-05-16,99
2021-05-17,92
2021-05-18,93
2021-05-19,90
2021-05-20,87
2021-05-21,90
2021-05-22,92
2021-05-23,98
2021-05-24,89
2021-05-25,92
2021-05-26,92
2021-05-27,91
2021-05-28,88
2021-05-29,90
2021-05-30,92
2021-05-31,87
2021-06-01,64
2021-06-02,66
2021-06-03,69
2021-06-04,65
2021-06-05,66
2021-06-06,70
2021-06-07,65
2021-06-08,69
2021-06-09,68
2021-06-10,65
2021-06-11,61
2021-06-12,63
2021-06-13,67
2021-06-14,65
2021-06-15,66
2021-06-16,64
2021-06-17,64
2021-06-18,63
2021-06-19,65
2021-06-20,74
2021-06-21,100
2021-06-22,89
2021-06-23,67
2021-06-24,64
2021-06-25,64
2021-06-26,66
2021-06-27,67
2021-06-28,62
2021-06-29,63
2021-06-30,64
2021-07-01,95
2021-07-02,89
2021-07-03,93
2021-07-04,97
2021-07-05,92
2021-07-06,95
2021-07-07,90
2021-07-08,93
2021-07-09,91
2021-07-10,94
2021-07-11,92
2021-07-12,97
2021-07-13,95
2021-07-14,94
2021-07-15,96
2021-07-16,92
2021-07-17,95
2021-07-18,100
2021-07-19,96
2021-07-20,99
2021-07-21,97
2021-07-22,96
2021-07-23,92
2021-07-24,90
2021-07-25,96
2021-07-26,97
2021-07-27,97
2021-07-28,92
2021-07-29,90
2021-07-30,90
2021-07-31,94
2021-08-01,86
2021-08-02,85
2021-08-03,86
2021-08-04,86
2021-08-05,83
2021-08-06,80
2021-08-07,82
2021-08-08,88
2021-08-09,86
2021-08-10,81
2021-08-11,83
2021-08-12,82
2021-08-13,79
2021-08-14,80
2021-08-15,85
2021-08-16,80
2021-08-17,86
2021-08-18,84
2021-08-19,84
2021-08-20,84
2021-08-21,84
2021-08-22,88
2021-08-23,85
2021-08-24,100
2021-08-25,87
2021-08-26,85
2021-08-27,82
2021-08-28,82
2021-08-29,88
2021-08-30,85
2021-08-31,87
2021-09-01,95
2021-09-02,92
2021-09-03,91
2021-09-04,95
2021-09-05,93
2021-09-06,92
2021-09-07,93
2021-09-08,90
2021-09-09,93
2021-09-10,92
2021-09-11,97
2021-09-12,98
2021-09-13,90
2021-09-14,95
2021-09-15,92
2021-09-16,93
2021-09-17,87
2021-09-18,94
2021-09-19,98
2021-09-20,92
2021-09-21,87
2021-09-22,92
2021-09-23,89
2021-09-24,86
2021-09-25,87
2021-09-26,100
2021-09-27,88
2021-09-28,92
2021-09-29,93
2021-09-30,91
2021-10-01,83
2021-10-02,91
2021-10-03,100
2021-10-04,91
2021-10-05,88
2021-10-06,88
2021-10-07,82
2021-10-08,82
2021-10-09,87
2021-10-10,88
2021-10-11,86
2021-10-12,85
2021-10-13,86
2021-10-14,84
2021-10-15,83
2021-10-16,90
2021-10-17,92
2021-10-18,88
2021-10-19,88
2021-10-20,84
2021-10-21,84
2021-10-22,83
2021-10-23,85
2021-10-24,88
2021-10-25,87
2021-10-26,93
2021-10-27,89
2021-10-28,85
