Date,daily_trend
2019-12-01,10
2019-12-02,94
2019-12-03,88
2019-12-04,57
2019-12-05,89
2019-12-06,97
2019-12-07,20
2019-12-08,31
2019-12-09,98
2019-12-10,88
2019-12-11,92
2019-12-12,58
2019-12-13,86
2019-12-14,75
2019-12-15,39
2019-12-16,66
2019-12-17,84
2019-12-18,61
2019-12-19,90
2019-12-20,100
2019-12-21,20
2019-12-22,25
2019-12-23,71
2019-12-24,62
2019-12-25,16
2019-12-26,19
2019-12-27,87
2019-12-28,25
2019-12-29,41
2019-12-30,51
2019-12-31,61
2020-01-01,18
2020-01-02,24
2020-01-03,22
2020-01-04,11
2020-01-05,11
2020-01-06,38
2020-01-07,54
2020-01-08,40
2020-01-09,19
2020-01-10,48
2020-01-11,22
2020-01-12,7
2020-01-13,34
2020-01-14,32
2020-01-15,36
2020-01-16,40
2020-01-17,64
2020-01-18,29
2020-01-19,21
2020-01-20,42
2020-01-21,40
2020-01-22,100
2020-01-23,56
2020-01-24,49
2020-01-25,20
2020-01-26,10
2020-01-27,50
2020-01-28,38
2020-01-29,30
2020-01-30,22
2020-01-31,47
2020-02-01,13
2020-02-02,26
2020-02-03,100
2020-02-04,58
2020-02-05,86
2020-02-06,84
2020-02-07,66
2020-02-08,13
2020-02-09,26
2020-02-10,56
2020-02-11,48
2020-02-12,71
2020-02-13,75
2020-02-14,36
2020-02-15,36
2020-02-16,19
2020-02-17,92
2020-02-18,96
2020-02-19,51
2020-02-20,65
2020-02-21,71
2020-02-22,19
2020-02-23,3
2020-02-24,62
2020-02-25,77
2020-02-26,89
2020-02-27,66
2020-02-28,80
2020-02-29,22
2020-03-01,17
2020-03-02,58
2020-03-03,71
2020-03-04,50
2020-03-05,55
2020-03-06,49
2020-03-07,32
2020-03-08,23
2020-03-09,70
2020-03-10,52
2020-03-11,50
2020-03-12,100
2020-03-13,59
2020-03-14,19
2020-03-15,17
2020-03-16,66
2020-03-17,55
2020-03-18,65
2020-03-19,67
2020-03-20,55
2020-03-21,14
2020-03-22,25
2020-03-23,54
2020-03-24,60
2020-03-25,39
2020-03-26,46
2020-03-27,41
2020-03-28,22
2020-03-29,28
2020-03-30,46
2020-03-31,59
2020-04-01,49
2020-04-02,49
2020-04-03,76
2020-04-04,24
2020-04-05,24
2020-04-06,66
2020-04-07,78
2020-04-08,92
2020-04-09,77
