Date,AVGO_daily_trend
2019-12-01,37
2019-12-02,50
2019-12-03,43
2019-12-04,53
2019-12-05,42
2019-12-06,21
2019-12-07,18
2019-12-08,18
2019-12-09,22
2019-12-10,51
2019-12-11,73
2019-12-12,100
2019-12-13,75
2019-12-14,18
2019-12-15,29
2019-12-16,42
2019-12-17,70
2019-12-18,46
2019-12-19,77
2019-12-20,50
2019-12-21,32
2019-12-22,11
2019-12-23,69
2019-12-24,37
2019-12-25,40
2019-12-26,45
2019-12-27,30
2019-12-28,18
2019-12-29,28
2019-12-30,29
2019-12-31,37
2020-01-01,37
2020-01-02,50
2020-01-03,52
2020-01-04,30
2020-01-05,23
2020-01-06,31
2020-01-07,44
2020-01-08,66
2020-01-09,44
2020-01-10,52
2020-01-11,21
2020-01-12,23
2020-01-13,55
2020-01-14,34
2020-01-15,49
2020-01-16,42
2020-01-17,45
2020-01-18,28
2020-01-19,24
2020-01-20,48
2020-01-21,38
2020-01-22,55
2020-01-23,55
2020-01-24,100
2020-01-25,19
2020-01-26,26
2020-01-27,44
2020-01-28,36
2020-01-29,41
2020-01-30,65
2020-01-31,37
2020-02-01,57
2020-02-02,54
2020-02-03,59
2020-02-04,61
2020-02-05,100
2020-02-06,63
2020-02-07,83
2020-02-08,39
2020-02-09,26
2020-02-10,74
2020-02-11,62
2020-02-12,68
2020-02-13,95
2020-02-14,63
2020-02-15,39
2020-02-16,41
2020-02-17,47
2020-02-18,52
2020-02-19,88
2020-02-20,49
2020-02-21,46
2020-02-22,38
2020-02-23,38
2020-02-24,67
2020-02-25,86
2020-02-26,77
2020-02-27,86
2020-02-28,87
2020-02-29,31
2020-03-01,39
2020-03-02,52
2020-03-03,87
2020-03-04,85
2020-03-05,82
2020-03-06,63
2020-03-07,35
2020-03-08,23
2020-03-09,76
2020-03-10,75
2020-03-11,77
2020-03-12,94
2020-03-13,93
2020-03-14,37
2020-03-15,25
2020-03-16,56
2020-03-17,88
2020-03-18,100
2020-03-19,100
2020-03-20,56
2020-03-21,52
2020-03-22,40
2020-03-23,87
2020-03-24,53
2020-03-25,56
2020-03-26,87
2020-03-27,74
2020-03-28,39
2020-03-29,24
2020-03-30,47
2020-03-31,49
2020-04-01,67
2020-04-02,51
2020-04-03,44
2020-04-04,49
2020-04-05,44
2020-04-06,57
2020-04-07,79
2020-04-08,60
2020-04-09,58
2020-04-10,48
2020-04-11,33
2020-04-12,45
2020-04-13,82
2020-04-14,53
2020-04-15,71
2020-04-16,100
2020-04-17,94
2020-04-18,30
2020-04-19,35
2020-04-20,78
2020-04-21,63
2020-04-22,95
2020-04-23,68
2020-04-24,52
2020-04-25,37
2020-04-26,40
2020-04-27,74
2020-04-28,69
2020-04-29,88
2020-04-30,56
2020-05-01,71
2020-05-02,69
2020-05-03,40
2020-05-04,82
2020-05-05,93
2020-05-06,71
2020-05-07,92
2020-05-08,94
2020-05-09,50
2020-05-10,34
2020-05-11,70
2020-05-12,75
2020-05-13,69
2020-05-14,75
2020-05-15,91
2020-05-16,60
2020-05-17,54
2020-05-18,47
2020-05-19,79
2020-05-20,93
2020-05-21,80
2020-05-22,60
2020-05-23,52
2020-05-24,50
2020-05-25,42
2020-05-26,77
2020-05-27,57
2020-05-28,100
2020-05-29,96
2020-05-30,43
2020-05-31,29
2020-06-01,61
2020-06-02,92
2020-06-03,86
2020-06-04,98
2020-06-05,100
2020-06-06,25
2020-06-07,63
2020-06-08,57
2020-06-09,69
2020-06-10,53
2020-06-11,73
2020-06-12,87
2020-06-13,27
2020-06-14,40
2020-06-15,63
2020-06-16,71
2020-06-17,65
2020-06-18,58
2020-06-19,91
2020-06-20,32
2020-06-21,25
2020-06-22,57
2020-06-23,56
2020-06-24,78
2020-06-25,64
2020-06-26,55
2020-06-27,39
2020-06-28,40
2020-06-29,50
2020-06-30,73
2020-07-01,85
2020-07-02,84
2020-07-03,88
2020-07-04,58
2020-07-05,42
2020-07-06,95
2020-07-07,81
2020-07-08,100
2020-07-09,75
2020-07-10,71
2020-07-11,36
2020-07-12,53
2020-07-13,89
2020-07-14,60
2020-07-15,78
2020-07-16,89
2020-07-17,64
2020-07-18,47
2020-07-19,27
2020-07-20,50
2020-07-21,85
2020-07-22,99
2020-07-23,73
2020-07-24,54
2020-07-25,64
2020-07-26,40
2020-07-27,84
2020-07-28,87
2020-07-29,95
2020-07-30,64
2020-07-31,74
2020-08-01,26
2020-08-02,48
2020-08-03,56
2020-08-04,55
2020-08-05,59
2020-08-06,62
2020-08-07,66
2020-08-08,35
2020-08-09,41
2020-08-10,69
2020-08-11,78
2020-08-12,69
2020-08-13,49
2020-08-14,91
2020-08-15,35
2020-08-16,56
2020-08-17,64
2020-08-18,80
2020-08-19,63
2020-08-20,79
2020-08-21,76
2020-08-22,41
2020-08-23,56
2020-08-24,96
2020-08-25,100
2020-08-26,68
2020-08-27,73
2020-08-28,76
2020-08-29,31
2020-08-30,50
2020-08-31,80
2020-09-01,83
2020-09-02,100
2020-09-03,93
2020-09-04,99
2020-09-05,47
2020-09-06,55
2020-09-07,52
2020-09-08,43
2020-09-09,48
2020-09-10,65
2020-09-11,45
2020-09-12,40
2020-09-13,26
2020-09-14,57
2020-09-15,80
2020-09-16,62
2020-09-17,55
2020-09-18,51
2020-09-19,26
2020-09-20,35
2020-09-21,58
2020-09-22,55
2020-09-23,48
2020-09-24,65
2020-09-25,70
2020-09-26,29
2020-09-27,33
2020-09-28,71
2020-09-29,50
2020-09-30,74
2020-10-01,95
2020-10-02,100
2020-10-03,38
2020-10-04,48
2020-10-05,98
2020-10-06,88
2020-10-07,79
2020-10-08,72
2020-10-09,79
2020-10-10,48
2020-10-11,52
2020-10-12,53
2020-10-13,100
2020-10-14,91
2020-10-15,66
2020-10-16,40
2020-10-17,46
2020-10-18,32
2020-10-19,93
2020-10-20,62
2020-10-21,72
2020-10-22,88
2020-10-23,61
2020-10-24,39
2020-10-25,42
2020-10-26,75
2020-10-27,96
2020-10-28,62
2020-10-29,63
2020-10-30,57
2020-10-31,55
2020-11-01,38
2020-11-02,99
2020-11-03,79
2020-11-04,84
2020-11-05,81
2020-11-06,91
2020-11-07,56
2020-11-08,58
2020-11-09,79
2020-11-10,55
2020-11-11,82
2020-11-12,100
2020-11-13,47
2020-11-14,35
2020-11-15,29
2020-11-16,71
2020-11-17,90
2020-11-18,72
2020-11-19,76
2020-11-20,59
2020-11-21,42
2020-11-22,55
2020-11-23,98
2020-11-24,96
2020-11-25,63
2020-11-26,65
2020-11-27,54
2020-11-28,87
2020-11-29,57
2020-11-30,66
2020-12-01,53
2020-12-02,71
2020-12-03,54
2020-12-04,60
2020-12-05,49
2020-12-06,51
2020-12-07,82
2020-12-08,45
2020-12-09,76
2020-12-10,100
2020-12-11,82
2020-12-12,60
2020-12-13,27
2020-12-14,51
2020-12-15,74
2020-12-16,74
2020-12-17,81
2020-12-18,37
2020-12-19,38
2020-12-20,28
2020-12-21,73
2020-12-22,52
2020-12-23,50
2020-12-24,29
2020-12-25,28
2020-12-26,48
2020-12-27,36
2020-12-28,60
2020-12-29,29
2020-12-30,61
2020-12-31,56
2021-01-01,55
2021-01-02,37
2021-01-03,13
2021-01-04,72
2021-01-05,76
2021-01-06,65
2021-01-07,65
2021-01-08,81
2021-01-09,29
2021-01-10,33
2021-01-11,69
2021-01-12,89
2021-01-13,86
2021-01-14,76
2021-01-15,62
2021-01-16,37
2021-01-17,33
2021-01-18,47
2021-01-19,72
2021-01-20,94
2021-01-21,71
2021-01-22,100
2021-01-23,33
2021-01-24,29
2021-01-25,58
2021-01-26,95
2021-01-27,79
2021-01-28,54
2021-01-29,64
2021-01-30,33
2021-01-31,30
2021-02-01,65
2021-02-02,78
2021-02-03,72
2021-02-04,79
2021-02-05,65
2021-02-06,65
2021-02-07,32
2021-02-08,88
2021-02-09,100
2021-02-10,82
2021-02-11,96
2021-02-12,59
2021-02-13,48
2021-02-14,44
2021-02-15,63
2021-02-16,100
2021-02-17,86
2021-02-18,69
2021-02-19,98
2021-02-20,34
2021-02-21,22
2021-02-22,86
2021-02-23,79
2021-02-24,71
2021-02-25,62
2021-02-26,50
2021-02-27,45
2021-02-28,22
2021-03-01,61
2021-03-02,63
2021-03-03,53
2021-03-04,77
2021-03-05,100
2021-03-06,39
2021-03-07,39
2021-03-08,81
2021-03-09,84
2021-03-10,89
2021-03-11,82
2021-03-12,61
2021-03-13,35
2021-03-14,37
2021-03-15,88
2021-03-16,96
2021-03-17,97
2021-03-18,87
2021-03-19,48
2021-03-20,32
2021-03-21,57
2021-03-22,82
2021-03-23,49
2021-03-24,69
2021-03-25,63
2021-03-26,89
2021-03-27,36
2021-03-28,22
2021-03-29,65
2021-03-30,81
2021-03-31,65
2021-04-01,61
2021-04-02,48
2021-04-03,23
2021-04-04,58
2021-04-05,45
2021-04-06,76
2021-04-07,83
2021-04-08,68
2021-04-09,49
2021-04-10,25
2021-04-11,23
2021-04-12,56
2021-04-13,80
2021-04-14,54
2021-04-15,78
2021-04-16,62
2021-04-17,42
2021-04-18,51
2021-04-19,42
2021-04-20,42
2021-04-21,100
2021-04-22,69
2021-04-23,44
2021-04-24,52
2021-04-25,32
2021-04-26,65
2021-04-27,42
2021-04-28,57
2021-04-29,45
2021-04-30,63
2021-05-01,31
2021-05-02,10
2021-05-03,38
2021-05-04,67
2021-05-05,68
2021-05-06,100
2021-05-07,66
2021-05-08,45
2021-05-09,25
2021-05-10,89
2021-05-11,50
2021-05-12,98
2021-05-13,52
2021-05-14,40
2021-05-15,29
2021-05-16,7
2021-05-17,59
2021-05-18,47
2021-05-19,71
2021-05-20,60
2021-05-21,49
2021-05-22,29
2021-05-23,25
2021-05-24,55
2021-05-25,75
2021-05-26,64
2021-05-27,41
2021-05-28,62
2021-05-29,47
2021-05-30,29
2021-05-31,52
2021-06-01,51
2021-06-02,43
2021-06-03,51
2021-06-04,58
2021-06-05,35
2021-06-06,14
2021-06-07,43
2021-06-08,48
