Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
BABA,2020-01-24,223.474,0.47234231,-0.00358039,3.9507,5.6413,-1.6906,1,1,-1,-81.2947,0,-0.238,-1,-1.11890488,23.2661,1,-0.33161637,23.6174,19.3737,0.22018553,-0.14021624,0.18046113,-0.02779074,36.3507,-0.05224667,42.8571,100.0,0.428571,1.0,-1,212.005,220.988,229.971,17.966,363243528.6025,1.0,-0.02099412,218.49000549,219.83000183,211.32499695,213.75,18143900.0,0.0,0.0,-5.38000488,-0.02455166,0.09259172,85,1.0,1.0,0.0,0.0,0.0,0.0
BABA,2020-01-27,221.638,0.46106799,-0.00821572,2.4501,5.0031,-2.553,1,1,-1,-211.8064,1,-5.0421,-1,20.18529412,14.2044,1,-0.38948083,19.5947,19.4828,0.17642214,-0.17032781,0.18161846,0.00563135,37.0629,0.01959247,35.7143,100.0,0.357143,1.0,-1,203.8295,216.596,229.3625,25.533,373099572.8137,1.0,0.02713343,201.22000122,208.02000427,199.5,205.47000122,24574700.0,0.0,0.0,-8.27999878,-0.03873684,0.13977052,87,0.0,1.0,0.0,0.0,0.0,0.0
BABA,2020-01-28,219.613,0.44863308,-0.00913652,1.6262,4.3277,-2.7015,1,1,-1,-128.2099,1,-2.4319,-1,-0.51768112,32.966,0,1.32083017,21.6828,26.192,0.19913881,0.10656453,0.25278964,0.34436529,36.5966,-0.01258131,28.5714,92.8571,0.285714,0.928571,-1,202.0828,214.19,226.2972,24.2144,383361826.0865,0.0,0.0275054,209.74000549,210.91000366,207.16999817,210.22999573,16196700.0,0.0,0.0,4.75999451,0.02316637,0.07830632,96,1.0,1.0,0.0,0.0,0.0,0.0
BABA,2020-01-29,218.166,0.43974749,-0.00658886,1.105,3.6831,-2.5782,1,1,-1,-94.4883,0,-0.418,-1,-0.82811793,39.2143,0,0.18953771,29.0829,41.574,0.2796453,0.34128895,0.41596185,0.58727856,35.0716,-0.04167054,21.4286,85.7143,0.214286,0.857143,-1,203.1936,212.12,221.0464,17.8528,384919698.6022,0.0,0.00406371,212.55999756,213.97999573,209.52000427,212.02000427,12871900.0,0.0,0.0,1.79000854,0.00851452,0.05391433,91,0.0,0.0,0.0,0.0,0.0,0.0
BABA,2020-01-30,216.518,0.42962763,-0.00755388,0.4096,3.0284,-2.6189,1,1,-1,-138.0711,1,-1.6596,-1,2.97033493,32.0401,0,-0.18294857,38.8658,48.8313,0.38607452,0.3363798,0.49294727,0.17456343,34.6386,-0.01234617,14.2857,78.5714,0.142857,0.785714,-1,204.3016,210.01,215.7184,11.4168,391651476.1881,0.0,0.01748878,207.88000488,209.86000061,205.02999878,208.58000183,14376000.0,0.0,0.0,-3.44000244,-0.0162249,0.06494898,87,0.0,0.0,0.0,0.0,0.0,0.0
BABA,2020-01-31,214.783,0.41897352,-0.00801319,-0.2987,2.363,-2.6617,-1,1,-1,-133.3348,1,-5.9972,-1,2.61364184,28.2966,1,-0.11683796,47.2813,51.4385,0.47762766,0.21652713,0.52060444,0.05339198,34.3103,-0.00947787,7.1429,71.4286,0.071429,0.714286,-1,203.8293,208.578,213.3267,9.4974,394610830.8761,0.0,0.00755609,206.5,207.92999268,204.72799683,206.58999634,18181400.0,0.0,0.0,-1.99000549,-0.00954073,0.09286684,86,3.0,1.0,0.0,0.0,0.0,0.0
BABA,2020-02-03,213.35,0.4101739,-0.00667185,-0.3308,1.8242,-2.1551,-1,1,-1,-62.7001,0,-1.7972,-1,-0.70032682,51.4786,0,0.81925037,52.8646,58.3238,0.53836898,0.11808685,0.59364369,0.13385499,31.5513,-0.08041317,0.0,64.2857,0.0,0.642857,-1,205.4278,210.104,214.7802,9.3524,400189067.1296,-1.0,0.01413604,208.66999817,215.02000427,208.66999817,213.1000061,14118800.0,0.0,0.0,6.51000977,0.03151174,0.06306206,86,26.0,4.0,477.0,0.0,0.0,282.0
BABA,2020-02-04,213.412,0.41055463,0.0002906,0.4279,1.545,-1.1171,1,1,-1,43.6519,0,2.8804,1,-2.60271533,69.8085,0,0.35606835,61.3292,74.2252,0.63045628,0.16011849,0.7623257,0.27263999,30.0266,-0.04832447,0.0,57.1429,0.0,0.571429,-1,201.372,212.634,223.896,22.524,404002833.5846,-1.0,0.00952991,221.3500061,224.38000488,220.49000549,222.88000488,16695100.0,0.0,0.0,9.77999878,0.04589394,0.08196278,94,7.0,5.0,0.0,0.0,0.0,0.0
BABA,2020-02-05,213.197,0.40923438,-0.00100744,0.8053,1.397,-0.5917,1,1,-1,29.6964,0,1.1901,1,-0.58682822,61.8632,0,-0.11381565,71.3185,81.4064,0.73913096,0.16288,0.83850385,0.09674881,27.8374,-0.07290869,14.2857,50.0,0.142857,0.5,-1,201.5536,214.274,226.9944,25.4408,397799973.279,0.0,-0.01535351,226.52000427,226.69999695,217.53999329,220.22000122,15766100.0,0.0,0.0,-2.66000366,-0.01193469,0.07514728,84,5.0,6.0,0.0,0.0,0.0,0.0
BABA,2020-02-06,213.374,0.41032128,0.00083022,1.146,1.3468,-0.2008,1,1,-1,27.2304,0,1.3303,1,0.11780523,63.2015,0,0.02163322,78.1524,78.8258,0.81347769,0.09582226,0.81112885,-0.03170021,25.8671,-0.07077888,7.1429,42.8571,0.071429,0.428571,-1,204.6256,216.738,228.8504,24.2248,393269100.6071,0.0,-0.01138983,223.13000488,223.6499939,219.77999878,220.8999939,10790800.0,0.0,0.0,0.67999268,0.00308779,0.03864658,79,2.0,6.0,0.0,0.0,0.0,0.0
BABA,2020-02-07,213.652,0.41202839,0.00130288,1.0513,1.2877,-0.2364,1,1,-1,-21.7476,0,-2.3672,-1,-2.77944824,49.3027,0,-0.2199125,74.2667,62.5681,0.77120474,-0.04971952,0.63866721,-0.20624846,23.8284,-0.0788144,0.0,35.7143,0.0,0.357143,-1,211.7582,218.726,225.6938,13.9356,394852349.4315,0.0,0.00402587,217.46000671,217.83999634,214.88000488,216.52999878,13790300.0,0.0,0.0,-4.36999512,-0.01978269,0.06065206,85,5.0,7.0,0.0,0.0,0.0,0.0
BABA,2020-02-10,214.682,0.41835331,0.00482092,0.9045,1.2111,-0.3066,1,1,-1,-35.9871,0,-3.6009,-1,0.52116424,47.0532,0,-0.0456263,62.8887,47.2724,0.64742225,-0.1532046,0.47641047,-0.24446483,22.6655,-0.04880311,78.5714,28.5714,0.785714,0.285714,1,213.8675,219.26,224.6525,10.785,412238843.4315,1.0,0.0440329,213.5,215.77000427,212.19999695,215.77000427,17420300.0,0.0,0.0,-0.75999451,-0.00350988,0.08728312,84,9.0,9.0,0.0,0.0,0.0,0.0
BABA,2020-02-11,215.38,0.42263952,0.00325132,0.8941,1.1477,-0.2536,1,1,-1,0.5198,0,-5.7575,-1,0.59890583,52.2167,0,0.10973749,48.032,34.2555,0.4857946,-0.23623799,0.33832722,-0.27535941,20.4252,-0.09884185,71.4286,21.4286,0.714286,0.214286,1,214.0256,218.126,222.2264,8.2008,409249945.8043,0.0,-0.0072504,219.91000366,220.00999451,215.28999329,217.21000671,16073500.0,0.0,0.0,1.44000244,0.00667378,0.07740248,80,9.0,10.0,0.0,0.0,0.0,0.0
BABA,2020-02-12,216.609,0.43018643,0.00570619,1.4421,1.2066,0.2355,1,1,1,70.7327,0,-0.9625,-1,-0.83282675,70.1551,-1,0.3435376,43.8524,50.0294,0.44032428,-0.08701699,0.50565671,0.46047788,19.7875,-0.03122124,64.2857,14.2857,0.642857,0.142857,1,212.5235,218.944,225.3645,12.841,419333784.9644,-1.0,0.02463981,221.13000488,225.52000427,220.21000671,224.30999756,18671900.0,0.0,0.0,7.09999084,0.03268722,0.09646533,93,8.0,10.0,0.0,0.0,0.0,0.0
BABA,2020-02-13,217.787,0.43742017,0.00543837,1.5399,1.2732,0.2667,1,1,1,52.9672,0,-2.0883,-1,1.16966234,55.6314,0,-0.20702273,48.8426,62.243,0.49461321,0.11379537,0.63521855,0.24412845,18.8384,-0.04796462,57.1429,7.1429,0.571429,0.071429,1,212.5337,218.836,225.1383,12.6046,404075277.7747,0.0,-0.0363875,220.0,225.0,218.99000549,220.36000061,28069700.0,0.0,0.0,-3.94999695,-0.01760954,0.16541117,100,6.0,11.0,0.0,0.0,0.0,0.0
BABA,2020-02-14,219.091,0.44542764,0.0059875,1.5407,1.3267,0.214,1,1,1,37.588,0,-1.9246,-1,-0.07838912,53.0923,0,-0.04564149,60.5306,69.3193,0.62176822,0.2392993,0.71028392,0.11368829,17.7388,-0.05837014,50.0,0.0,0.5,0.0,1,213.5881,219.456,225.3239,11.7358,402165800.3202,0.0,-0.00472555,221.1000061,221.63999939,218.22999573,219.63000488,10690000.0,0.0,0.0,-0.72999573,-0.00331274,0.03790708,87,6.0,11.0,0.0,0.0,0.0,0.0
BABA,2020-02-18,219.833,0.44998403,0.00338672,1.5948,1.3803,0.2145,1,1,1,42.1625,0,-3.0383,-1,0.5786657,56.1429,0,0.05745843,62.5392,56.0554,0.64362,0.03318322,0.56958051,-0.19134498,16.5024,-0.06970032,42.8571,21.4286,0.428571,0.214286,1,215.8389,220.406,224.9731,9.1342,412586092.0687,0.0,0.02591044,218.55000305,220.8500061,217.50999451,220.52000427,12987000.0,0.0,0.0,0.88999939,0.00405227,0.05475874,85,7.0,9.0,0.0,0.0,0.0,0.0
BABA,2020-02-19,219.759,0.44952962,-0.00033662,1.7483,1.4539,0.2943,1,1,1,75.3763,0,-0.054,-1,-0.9822269,61.7959,0,0.10068949,60.0924,54.9026,0.617001,-0.03912426,0.55735161,-0.02056537,16.2162,-0.01734293,35.7143,14.2857,0.357143,0.142857,1,218.0448,221.392,224.7392,6.6944,412471207.9121,0.0,-0.00027845,221.52000427,223.55999756,220.75,222.13999939,10798100.0,0.0,0.0,1.61999512,0.00734625,0.03870014,83,17.0,10.0,0.0,1.0,0.0,0.0
BABA,2020-02-20,219.541,0.44819095,-0.000992,1.5215,1.4674,0.0541,1,1,1,28.155,0,-1.9472,-1,35.05925926,43.8961,0,-0.28965999,53.0263,48.121,0.54012813,-0.11758725,0.48541241,-0.12352056,15.3847,-0.05127588,28.5714,7.1429,0.285714,0.071429,1,217.4752,220.138,222.8008,5.3256,411317727.1005,1.0,-0.00279651,222.5,222.5,214.22000122,218.03999329,14950100.0,0.0,0.0,-4.1000061,-0.01845686,0.06916079,71,14.0,11.0,0.0,0.0,0.0,0.0
