Date,daily_trend
2019-12-01,76
2019-12-02,81
2019-12-03,86
2019-12-04,81
2019-12-05,90
2019-12-06,78
2019-12-07,59
2019-12-08,69
2019-12-09,71
2019-12-10,79
2019-12-11,85
2019-12-12,83
2019-12-13,94
2019-12-14,74
2019-12-15,60
2019-12-16,90
2019-12-17,99
2019-12-18,78
2019-12-19,99
2019-12-20,100
2019-12-21,66
2019-12-22,65
2019-12-23,77
2019-12-24,96
2019-12-25,88
2019-12-26,75
2019-12-27,82
2019-12-28,78
2019-12-29,61
2019-12-30,75
2019-12-31,70
2020-01-01,68
2020-01-02,85
2020-01-03,80
2020-01-04,78
2020-01-05,73
2020-01-06,100
2020-01-07,83
2020-01-08,75
2020-01-09,95
2020-01-10,81
2020-01-11,70
2020-01-12,64
2020-01-13,83
2020-01-14,95
2020-01-15,92
2020-01-16,98
2020-01-17,84
2020-01-18,74
2020-01-19,75
2020-01-20,92
2020-01-21,83
2020-01-22,86
2020-01-23,83
2020-01-24,65
2020-01-25,68
2020-01-26,52
2020-01-27,73
2020-01-28,79
2020-01-29,90
2020-01-30,74
2020-01-31,64
2020-02-01,71
2020-02-02,70
2020-02-03,94
2020-02-04,89
2020-02-05,88
2020-02-06,91
2020-02-07,91
2020-02-08,84
2020-02-09,76
2020-02-10,78
2020-02-11,87
2020-02-12,76
2020-02-13,74
2020-02-14,83
2020-02-15,76
2020-02-16,57
2020-02-17,100
2020-02-18,77
2020-02-19,82
2020-02-20,90
2020-02-21,74
2020-02-22,53
2020-02-23,63
2020-02-24,87
2020-02-25,95
2020-02-26,85
2020-02-27,89
2020-02-28,88
2020-02-29,81
2020-03-01,63
2020-03-02,87
2020-03-03,100
2020-03-04,91
2020-03-05,89
2020-03-06,100
2020-03-07,64
2020-03-08,74
2020-03-09,85
2020-03-10,83
2020-03-11,96
2020-03-12,82
2020-03-13,89
2020-03-14,78
2020-03-15,71
2020-03-16,100
2020-03-17,92
2020-03-18,93
2020-03-19,93
2020-03-20,88
2020-03-21,82
2020-03-22,79
2020-03-23,95
2020-03-24,93
2020-03-25,97
2020-03-26,98
2020-03-27,73
2020-03-28,66
2020-03-29,56
2020-03-30,85
2020-03-31,88
2020-04-01,87
2020-04-02,72
2020-04-03,76
2020-04-04,69
2020-04-05,63
2020-04-06,75
2020-04-07,74
2020-04-08,84
2020-04-09,74
2020-04-10,78
2020-04-11,78
2020-04-12,64
2020-04-13,88
2020-04-14,84
2020-04-15,82
2020-04-16,100
2020-04-17,78
2020-04-18,75
2020-04-19,73
2020-04-20,79
2020-04-21,89
2020-04-22,79
2020-04-23,98
2020-04-24,85
2020-04-25,59
2020-04-26,71
2020-04-27,78
2020-04-28,75
2020-04-29,96
2020-04-30,81
2020-05-01,64
2020-05-02,50
2020-05-03,65
2020-05-04,64
2020-05-05,70
2020-05-06,79
2020-05-07,79
2020-05-08,81
2020-05-09,76
2020-05-10,59
2020-05-11,84
2020-05-12,71
2020-05-13,74
2020-05-14,74
2020-05-15,73
2020-05-16,63
2020-05-17,64
2020-05-18,98
2020-05-19,100
2020-05-20,81
2020-05-21,83
2020-05-22,100
2020-05-23,83
2020-05-24,58
2020-05-25,71
2020-05-26,82
2020-05-27,82
2020-05-28,84
2020-05-29,84
2020-05-30,66
2020-05-31,52
2020-06-01,85
2020-06-02,86
2020-06-03,72
2020-06-04,74
2020-06-05,86
2020-06-06,68
2020-06-07,64
2020-06-08,67
2020-06-09,92
2020-06-10,86
2020-06-11,75
2020-06-12,100
2020-06-13,75
2020-06-14,71
2020-06-15,93
2020-06-16,87
2020-06-17,78
2020-06-18,89
2020-06-19,76
2020-06-20,63
2020-06-21,55
2020-06-22,82
2020-06-23,73
2020-06-24,72
2020-06-25,64
2020-06-26,66
2020-06-27,52
2020-06-28,83
2020-06-29,73
2020-06-30,81
2020-07-01,93
2020-07-02,88
2020-07-03,71
2020-07-04,67
2020-07-05,61
2020-07-06,76
2020-07-07,88
2020-07-08,80
2020-07-09,100
2020-07-10,88
2020-07-11,65
2020-07-12,72
2020-07-13,91
2020-07-14,81
2020-07-15,93
2020-07-16,86
2020-07-17,89
2020-07-18,73
2020-07-19,70
2020-07-20,90
2020-07-21,94
2020-07-22,79
2020-07-23,87
2020-07-24,82
2020-07-25,57
2020-07-26,57
2020-07-27,76
2020-07-28,65
2020-07-29,73
2020-07-30,82
2020-07-31,78
2020-08-01,67
2020-08-02,63
2020-08-03,76
2020-08-04,100
2020-08-05,98
2020-08-06,84
2020-08-07,90
2020-08-08,64
2020-08-09,50
2020-08-10,88
2020-08-11,85
2020-08-12,78
2020-08-13,85
2020-08-14,81
2020-08-15,62
2020-08-16,65
2020-08-17,96
2020-08-18,74
2020-08-19,73
2020-08-20,80
2020-08-21,84
2020-08-22,57
2020-08-23,54
2020-08-24,71
2020-08-25,72
2020-08-26,80
2020-08-27,87
2020-08-28,69
2020-08-29,55
2020-08-30,58
2020-08-31,75
2020-09-01,89
2020-09-02,100
2020-09-03,94
2020-09-04,91
2020-09-05,52
2020-09-06,75
2020-09-07,74
2020-09-08,85
2020-09-09,81
2020-09-10,76
2020-09-11,75
2020-09-12,54
2020-09-13,62
2020-09-14,88
2020-09-15,82
2020-09-16,84
2020-09-17,65
2020-09-18,73
2020-09-19,58
2020-09-20,49
2020-09-21,67
2020-09-22,68
2020-09-23,90
2020-09-24,95
2020-09-25,79
2020-09-26,60
2020-09-27,57
2020-09-28,83
2020-09-29,70
2020-09-30,73
2020-10-01,65
2020-10-02,54
2020-10-03,66
2020-10-04,62
2020-10-05,71
2020-10-06,64
2020-10-07,68
2020-10-08,82
2020-10-09,77
2020-10-10,78
2020-10-11,54
2020-10-12,84
2020-10-13,76
2020-10-14,81
2020-10-15,100
2020-10-16,89
2020-10-17,56
2020-10-18,69
2020-10-19,77
2020-10-20,73
2020-10-21,87
2020-10-22,97
2020-10-23,62
2020-10-24,63
2020-10-25,55
2020-10-26,97
2020-10-27,71
2020-10-28,91
2020-10-29,79
2020-10-30,76
2020-10-31,55
2020-11-01,40
2020-11-02,100
2020-11-03,63
2020-11-04,63
2020-11-05,78
2020-11-06,73
2020-11-07,44
2020-11-08,36
2020-11-09,77
2020-11-10,81
2020-11-11,76
2020-11-12,78
2020-11-13,84
2020-11-14,58
2020-11-15,47
2020-11-16,73
2020-11-17,84
2020-11-18,84
2020-11-19,81
2020-11-20,71
2020-11-21,44
2020-11-22,54
2020-11-23,57
2020-11-24,61
2020-11-25,80
2020-11-26,79
2020-11-27,73
2020-11-28,54
2020-11-29,60
2020-11-30,78
2020-12-01,65
2020-12-02,90
2020-12-03,60
2020-12-04,82
2020-12-05,57
2020-12-06,52
2020-12-07,70
2020-12-08,85
2020-12-09,61
2020-12-10,82
2020-12-11,60
2020-12-12,54
2020-12-13,58
2020-12-14,72
2020-12-15,96
2020-12-16,100
2020-12-17,92
2020-12-18,73
2020-12-19,55
2020-12-20,51
2020-12-21,74
2020-12-22,84
2020-12-23,84
2020-12-24,69
2020-12-25,82
2020-12-26,72
2020-12-27,58
2020-12-28,65
2020-12-29,73
2020-12-30,87
2020-12-31,83
2021-01-01,63
2021-01-02,56
2021-01-03,58
2021-01-04,89
2021-01-05,86
2021-01-06,73
2021-01-07,86
2021-01-08,95
2021-01-09,73
2021-01-10,55
2021-01-11,100
2021-01-12,96
2021-01-13,84
2021-01-14,84
2021-01-15,73
2021-01-16,52
2021-01-17,50
2021-01-18,73
2021-01-19,85
2021-01-20,83
2021-01-21,83
2021-01-22,84
2021-01-23,55
2021-01-24,47
2021-01-25,87
2021-01-26,98
2021-01-27,81
2021-01-28,70
2021-01-29,61
2021-01-30,51
2021-01-31,42
2021-02-01,73
2021-02-02,96
2021-02-03,94
2021-02-04,77
2021-02-05,67
2021-02-06,60
2021-02-07,66
2021-02-08,78
2021-02-09,76
2021-02-10,69
2021-02-11,56
2021-02-12,67
2021-02-13,44
2021-02-14,48
2021-02-15,61
2021-02-16,66
2021-02-17,57
2021-02-18,90
2021-02-19,100
2021-02-20,70
2021-02-21,42
2021-02-22,75
2021-02-23,95
2021-02-24,93
2021-02-25,71
2021-02-26,81
2021-02-27,51
2021-02-28,51
2021-03-01,77
2021-03-02,77
2021-03-03,80
2021-03-04,65
2021-03-05,78
2021-03-06,40
2021-03-07,57
2021-03-08,60
2021-03-09,63
2021-03-10,75
2021-03-11,61
2021-03-12,73
2021-03-13,52
2021-03-14,36
2021-03-15,64
2021-03-16,75
2021-03-17,73
2021-03-18,75
2021-03-19,80
2021-03-20,44
2021-03-21,47
2021-03-22,74
2021-03-23,80
2021-03-24,72
2021-03-25,90
2021-03-26,100
2021-03-27,62
2021-03-28,52
2021-03-29,95
2021-03-30,90
2021-03-31,87
2021-04-01,89
2021-04-02,86
2021-04-03,59
2021-04-04,54
2021-04-05,81
2021-04-06,93
2021-04-07,92
2021-04-08,81
2021-04-09,84
2021-04-10,65
2021-04-11,41
2021-04-12,97
2021-04-13,99
2021-04-14,83
2021-04-15,91
2021-04-16,84
2021-04-17,63
2021-04-18,56
2021-04-19,100
2021-04-20,89
2021-04-21,68
2021-04-22,80
2021-04-23,67
2021-04-24,46
2021-04-25,69
2021-04-26,72
2021-04-27,84
2021-04-28,84
2021-04-29,85
2021-04-30,68
2021-05-01,50
2021-05-02,54
2021-05-03,64
2021-05-04,72
2021-05-05,70
2021-05-06,80
2021-05-07,78
2021-05-08,81
2021-05-09,57
2021-05-10,85
2021-05-11,100
2021-05-12,83
2021-05-13,79
2021-05-14,80
2021-05-15,54
2021-05-16,49
2021-05-17,81
2021-05-18,90
2021-05-19,85
2021-05-20,90
2021-05-21,87
2021-05-22,59
2021-05-23,60
2021-05-24,80
2021-05-25,99
2021-05-26,71
2021-05-27,70
2021-05-28,92
2021-05-29,53
2021-05-30,55
2021-05-31,94
2021-06-01,98
2021-06-02,88
2021-06-03,79
2021-06-04,93
2021-06-05,55
2021-06-06,66
2021-06-07,70
2021-06-08,100
2021-06-09,91
2021-06-10,86
2021-06-11,69
2021-06-12,65
2021-06-13,52
2021-06-14,65
2021-06-15,96
2021-06-16,91
2021-06-17,85
2021-06-18,78
2021-06-19,49
2021-06-20,49
2021-06-21,91
2021-06-22,76
2021-06-23,83
2021-06-24,77
2021-06-25,92
2021-06-26,69
2021-06-27,52
2021-06-28,74
2021-06-29,87
2021-06-30,94
2021-07-01,78
2021-07-02,81
2021-07-03,44
2021-07-04,53
2021-07-05,64
2021-07-06,83
2021-07-07,72
2021-07-08,78
2021-07-09,92
2021-07-10,47
2021-07-11,44
2021-07-12,77
2021-07-13,74
2021-07-14,82
2021-07-15,71
2021-07-16,75
2021-07-17,49
2021-07-18,49
2021-07-19,85
2021-07-20,100
2021-07-21,87
2021-07-22,65
2021-07-23,89
2021-07-24,46
2021-07-25,60
2021-07-26,90
2021-07-27,91
2021-07-28,92
2021-07-29,90
2021-07-30,76
2021-07-31,48
2021-08-01,50
2021-08-02,82
2021-08-03,88
2021-08-04,91
2021-08-05,83
2021-08-06,73
2021-08-07,43
2021-08-08,54
2021-08-09,73
2021-08-10,82
2021-08-11,84
2021-08-12,73
2021-08-13,87
2021-08-14,38
2021-08-15,54
2021-08-16,96
2021-08-17,79
2021-08-18,83
2021-08-19,90
2021-08-20,76
2021-08-21,48
2021-08-22,55
2021-08-23,87
2021-08-24,70
2021-08-25,72
2021-08-26,100
2021-08-27,72
2021-08-28,59
2021-08-29,55
2021-08-30,77
2021-08-31,91
2021-09-01,94
2021-09-02,87
2021-09-03,93
2021-09-04,52
2021-09-05,46
2021-09-06,95
2021-09-07,97
2021-09-08,80
2021-09-09,86
2021-09-10,75
2021-09-11,59
2021-09-12,63
2021-09-13,100
2021-09-14,69
2021-09-15,90
2021-09-16,96
2021-09-17,81
2021-09-18,71
2021-09-19,50
2021-09-20,76
2021-09-21,64
2021-09-22,88
2021-09-23,80
2021-09-24,77
2021-09-25,59
2021-09-26,74
2021-09-27,70
2021-09-28,85
2021-09-29,81
2021-09-30,83
2021-10-01,62
2021-10-02,53
2021-10-03,50
2021-10-04,55
2021-10-05,72
2021-10-06,69
2021-10-07,78
2021-10-08,95
2021-10-09,76
2021-10-10,60
2021-10-11,100
2021-10-12,88
2021-10-13,91
2021-10-14,93
2021-10-15,98
2021-10-16,62
2021-10-17,53
2021-10-18,86
2021-10-19,93
2021-10-20,87
2021-10-21,97
2021-10-22,75
2021-10-23,45
2021-10-24,56
2021-10-25,83
2021-10-26,96
2021-10-27,82
2021-10-28,87
