Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
COST,2020-01-24,292.9828,0.09146796,0.00364451,3.9501,2.2184,1.7317,1,1,1,135.8959,-1,5.5331,1,-0.17071087,68.3906,0,-0.19739893,90.5619,83.4411,0.95879461,-0.03314525,0.87371234,-0.11643729,41.3522,0.02430965,100.0,7.1429,1.0,0.071429,1,292.0149,298.0204,304.0259,12.011,525272897.5484,0.0,-0.00171985,301.12990707,301.3792438,296.41188259,297.76400757,1986100.0,0.0,0.0,-2.27270508,-0.00757476,0.19082707,58,1.0,1.0,0.0,0.0,0.0,0.0
COST,2020-01-27,294.1542,0.09778487,0.00399819,3.9772,2.5702,1.407,1,1,1,95.8631,0,4.6394,1,-0.16151886,61.5931,0,-0.09939231,82.0834,68.372,0.86716882,-0.09362105,0.7129173,-0.18059565,39.5369,-0.04389851,92.8571,0.0,0.928571,0.0,1,296.1833,298.9356,301.688,5.5047,525820727.2866,1.0,0.00104294,293.58300103,298.97230387,293.10352527,296.74755859,2265100.0,0.0,0.0,-1.01644897,-0.00341361,0.22773574,58,0.0,1.0,0.0,0.0,0.0,0.0
COST,2020-01-28,295.2076,0.10346546,0.00358111,4.0602,2.8682,1.192,1,1,1,97.9438,0,5.6917,1,0.22681812,67.0069,0,0.08789621,69.5795,56.9254,0.7320412,-0.15233165,0.59077619,-0.16741649,37.9032,-0.04132089,85.7143,0.0,0.857143,0.0,1,296.2153,298.4732,300.7312,4.5159,526356661.4166,0.0,0.00101923,297.7640174,298.91474155,296.41189237,298.09005737,1571700.0,0.0,0.0,1.34249878,0.00452404,0.13600646,58,1.0,1.0,0.0,0.0,0.0,0.0
COST,2020-01-29,296.1506,0.1085507,0.00319436,3.9818,3.0909,0.8909,1,1,1,84.5155,0,4.8926,1,-0.14039742,57.7727,0,-0.13780969,58.4132,49.9421,0.61136879,-0.16048261,0.5162608,-0.12267459,36.5591,-0.03546139,78.5714,0.0,0.785714,0.0,1,295.6617,298.03,300.3983,4.7366,524894409.2466,0.0,-0.00277806,298.09961849,299.16406976,296.68998802,296.87216187,1713700.0,0.0,0.0,-1.21789551,-0.00408566,0.15479151,56,0.0,0.0,0.0,0.0,0.0,0.0
COST,2020-01-30,296.9805,0.11302603,0.00280229,3.8666,3.2461,0.6205,1,1,1,60.9621,0,5.2906,1,0.08134734,56.9234,0,-0.01470072,52.2956,50.0193,0.54525688,-0.10472975,0.51708456,0.00154579,33.3491,-0.08780304,71.4286,7.1429,0.714286,0.071429,1,296.2443,297.3757,298.5071,2.2628,525986366.5319,1.0,0.00208034,296.16248814,296.92966666,294.0815804,296.76663208,1232600.0,0.0,0.0,-0.10552979,-0.00035547,0.09114721,59,0.0,0.0,0.0,0.0,0.0,0.0
COST,2020-01-31,297.2193,0.11431379,0.00080409,3.4299,3.2828,0.1471,1,1,1,34.5125,0,4.8132,1,-0.09023551,34.2937,0,-0.39754653,44.7381,34.2528,0.4635842,-0.14451503,0.3488479,-0.31520833,30.8345,-0.07540233,64.2857,0.0,0.642857,0.0,1,292.9551,296.4183,299.8815,6.9264,524912798.6095,1.0,-0.00204106,295.88444237,296.48858643,292.05823565,292.9788208,1837000.0,0.0,0.0,-3.78781128,-0.0127636,0.17110276,61,3.0,1.0,0.0,0.0,0.0,0.0
COST,2020-02-03,296.9622,0.11292734,-0.00086502,2.7794,3.1821,-0.4028,1,1,-1,4.332,0,3.5204,1,-0.2685947,23.7682,1,-0.30692226,34.8044,20.1412,0.3562323,-0.22204117,0.19826988,-0.41198384,30.0039,-0.02693736,57.1429,0.0,0.571429,0.0,1,288.7067,294.9888,301.2709,12.5642,522364371.5115,0.0,-0.00485495,294.39808968,295.91322007,289.28689142,289.60333252,2816800.0,0.0,0.0,-3.37548828,-0.01152127,0.30071965,59,26.0,4.0,477.0,0.0,0.0,282.0
COST,2020-02-04,296.1602,0.10860247,-0.00270068,2.4599,3.0377,-0.5778,1,1,-1,1.7746,0,4.4858,1,0.2742302,42.0765,0,0.77028551,23.4112,15.8395,0.23310783,-0.32734942,0.15236853,-0.21357715,29.2563,-0.02491676,50.0,7.1429,0.5,0.071429,1,288.2951,293.8472,299.3993,11.1042,523075490.5566,0.0,0.00136135,292.06783626,293.35282763,290.33213656,292.38427734,1982300.0,0.0,0.0,2.78094482,0.0096026,0.19032437,59,7.0,5.0,0.0,0.0,0.0,0.0
COST,2020-02-05,295.8782,0.10708175,-0.00095219,2.4916,2.9285,-0.4369,1,1,-1,39.0628,0,6.0408,1,0.34664943,59.1874,0,0.40666168,25.9831,41.9685,0.26090194,0.10985767,0.43117839,1.64961015,26.4917,-0.09449589,42.8571,0.0,0.428571,0.0,1,288.4338,293.7263,299.0188,10.585,524278245.6446,0.0,0.00229939,294.39809935,296.88178013,292.86377115,296.26806641,1731800.0,0.0,0.0,3.88378906,0.01328317,0.15718595,57,5.0,6.0,0.0,0.0,0.0,0.0
COST,2020-02-06,295.7227,0.1062432,-0.00052555,2.6647,2.8757,-0.211,1,1,-1,72.4794,0,5.6229,1,-0.06917958,66.2876,0,0.11996134,42.7486,70.4376,0.44208399,0.64524633,0.73495831,0.67834447,25.4521,-0.03924248,35.7143,0.0,0.357143,0.0,1,287.8567,294.0698,300.2828,12.4261,525013679.4492,0.0,0.00140275,297.27704779,299.66986153,295.83558807,298.487854,1917900.0,0.65,0.0,2.2197876,0.0074925,0.18180495,60,2.0,6.0,0.0,0.0,0.0,0.0
COST,2020-02-07,296.085,0.10819694,0.00122513,3.0017,2.9009,0.1008,1,1,1,96.6911,0,4.965,1,-0.11700368,73.7626,-1,0.11276619,68.4181,92.848,0.71949013,0.60047581,0.97408879,0.31815962,25.3565,-0.00375608,100.0,71.4286,1.0,0.714286,1,287.3326,295.7518,304.1709,16.8383,526771038.1073,0.0,0.00334726,297.90170758,301.56301331,297.05604642,301.39004517,1903500.0,0.0,0.0,2.90219116,0.00972298,0.17989999,64,5.0,7.0,0.0,0.0,0.0,0.0
COST,2020-02-10,296.5644,0.11078216,0.00161913,3.2437,2.9695,0.2742,1,1,1,124.7305,-1,5.7888,1,0.16592145,74.1423,-1,0.0051476,83.9769,88.6451,0.88763157,0.22740766,0.92924169,-0.04526646,26.4045,0.04133063,100.0,64.2857,1.0,0.642857,1,291.2811,298.1399,304.9988,13.7177,525715834.1716,0.0,-0.00200315,301.5149647,304.57085248,300.40023225,301.54379272,2336300.0,0.0,0.0,0.15374756,0.00051013,0.23715473,63,9.0,9.0,0.0,0.0,0.0,0.0
COST,2020-02-11,296.6104,0.11103022,0.00015511,3.1579,3.0071,0.1507,1,1,1,77.2076,0,3.8217,1,-0.33981136,54.8547,0,-0.260143,85.5998,75.3064,0.90516999,0.01932555,0.78691091,-0.15047307,25.9624,-0.01674336,92.8571,57.1429,0.928571,0.571429,1,295.3952,299.3737,303.3522,7.957,523885484.3227,0.0,-0.00348163,301.77441133,302.15879475,298.3533491,298.55514526,2047500.0,0.0,0.0,-2.98864746,-0.00991116,0.19894962,60,9.0,10.0,0.0,0.0,0.0,0.0
COST,2020-02-12,297.2052,0.11423775,0.00200532,3.3951,3.0847,0.3104,1,1,1,107.6404,-1,5.3476,1,0.39927258,69.1682,0,0.2609348,77.6846,69.1022,0.8196317,-0.09246751,0.72070891,-0.08238609,25.9772,0.00057006,85.7143,50.0,0.857143,0.5,1,297.2086,300.6841,304.1595,6.9509,525058435.0427,0.0,0.00223894,298.64159953,303.16780394,298.64159953,302.82183838,1384600.0,0.0,0.0,4.26669312,0.01429114,0.11125516,63,8.0,10.0,0.0,0.0,0.0,0.0
COST,2020-02-13,298.1066,0.11909866,0.00303292,3.7785,3.2235,0.555,1,1,1,160.6541,-1,5.9989,1,0.12179295,75.8167,-1,0.09612076,72.8552,74.1572,0.76744116,-0.06216676,0.77464835,0.07315252,27.1458,0.0449856,100.0,42.8571,1.0,0.428571,1,297.4578,302.1435,306.8291,9.3713,526173419.6828,0.0,0.00212354,302.56241123,306.3486479,301.30353871,305.78167725,1438000.0,0.0,0.0,2.95983887,0.00977419,0.1183194,65,6.0,11.0,0.0,0.0,0.0,0.0
COST,2020-02-14,299.3975,0.12605999,0.00433033,4.0443,3.3877,0.6566,1,1,1,180.7573,-1,5.2622,1,-0.12280585,76.0473,-1,0.00304155,76.3994,85.9389,0.80574275,0.04864718,0.90036514,0.15887466,28.5142,0.05040927,100.0,35.7143,1.0,0.357143,1,297.531,303.0433,308.5556,11.0246,526118902.1165,0.0,-0.00010361,306.42553281,307.32885,304.58048061,305.88739014,1113400.0,0.0,0.0,0.10571289,0.00034571,0.07537835,69,6.0,11.0,0.0,0.0,0.0,0.0
COST,2020-02-18,301.3857,0.13678159,0.00664067,4.4932,3.6088,0.8845,1,1,1,209.1505,-1,5.9223,1,0.12544183,82.9546,-1,0.090829,83.015,88.9491,0.87723648,0.0865923,0.93248553,0.03502721,30.7448,0.07822769,100.0,28.5714,1.0,0.285714,1,297.3325,304.6315,311.9305,14.598,526757780.41,0.0,0.00121432,306.55042797,310.85559814,306.17563437,309.48138428,1547100.0,0.0,0.0,3.59399414,0.0117494,0.13275214,62,7.0,9.0,0.0,0.0,0.0,0.0
COST,2020-02-19,303.1889,0.14650556,0.00598303,4.8682,3.8606,1.0075,1,1,1,195.1396,-1,3.3314,1,-0.43748206,84.412,-1,0.01756865,87.4043,87.3249,0.92467093,0.05287358,0.91515448,-0.01825988,33.0028,0.07344331,100.0,21.4286,1.0,0.214286,1,301.4945,307.0041,312.5138,11.0193,526646698.6392,0.0,-0.00021088,309.51022657,311.86462258,309.17390942,310.4135437,1413600.0,0.0,0.0,0.93215942,0.003012,0.11509154,60,17.0,10.0,0.0,1.0,0.0,0.0
COST,2020-02-20,304.7055,0.154684,0.00500216,5.1877,4.1261,1.0617,1,1,1,162.5294,-1,4.1259,1,0.23848832,86.0421,-1,0.01931124,88.6967,89.8161,0.93863769,0.01478646,0.94173686,0.02852795,34.4622,0.04422049,100.0,14.2857,1.0,0.142857,1,304.0441,308.7269,313.4098,9.3657,527378040.9836,0.0,0.00138868,309.74086666,312.38354277,308.4819942,311.43215942,1427500.0,0.0,0.0,1.01861572,0.00328148,0.11693036,59,14.0,11.0,0.0,0.0,0.0,0.0
COST,2020-02-21,305.7957,0.16056303,0.00357788,5.2156,4.344,0.8716,1,1,1,128.1034,-1,3.1142,1,-0.24520711,68.143,0,-0.20802723,85.7813,80.2028,0.90713143,-0.03286932,0.83915801,-0.10703315,35.8325,0.03976241,100.0,7.1429,1.0,0.071429,1,305.7079,309.4479,313.188,7.4801,526112849.5658,0.0,-0.00239902,309.97149448,312.5661337,308.50120675,309.38531494,2239000.0,0.0,0.0,-2.04684448,-0.00657236,0.22428299,65,17.0,13.0,0.0,0.0,0.0,0.0
COST,2020-02-24,305.7947,0.16055764,-3.27e-06,4.5392,4.383,0.1562,1,1,1,33.2158,0,1.2129,1,-0.61052598,33.7853,0,-0.50419999,73.8488,51.5274,0.77817883,-0.13910374,0.53317676,-0.35753615,32.321,-0.09799763,92.8571,0.0,0.928571,0.0,1,301.3509,308.5462,315.7415,14.3906,524058208.3822,1.0,-0.00390532,303.18703587,307.51141514,301.03446535,301.38040161,2300400.0,0.0,0.0,-8.00491333,-0.0258736,0.23240555,65,19.0,17.0,0.0,0.0,0.0,0.0
COST,2020-02-25,304.9372,0.15593347,-0.00280417,3.2865,4.1637,-0.8772,1,1,-1,-55.9682,0,-1.2739,-1,-2.05029269,20.3278,1,-0.39832412,51.1791,21.8072,0.53319104,-0.30697452,0.21604696,-0.57678439,32.0873,-0.00723059,85.7143,0.0,0.857143,0.0,1,291.1624,305.2429,319.3234,28.161,521398963.76,0.0,-0.00507433,302.706588,304.21532311,292.52026521,292.97192383,2881800.0,0.0,0.0,-8.40847778,-0.02789988,0.30931845,64,24.0,20.0,0.0,0.0,0.0,0.0
COST,2020-02-26,304.4575,0.15334663,-0.00157311,2.3304,3.7971,-1.4666,1,1,-1,-70.3038,0,-1.4542,-1,0.14153387,23.8796,1,0.17472624,25.7157,3.8124,0.25801219,-0.49753513,0.0240332,-0.82517701,31.877,-0.00655399,78.5714,92.8571,0.785714,0.928571,-1,286.5925,301.9108,317.2291,30.6366,519842776.8114,0.0,-0.00298464,295.5472837,299.15093305,292.78929542,293.7598877,2236000.0,0.0,0.0,0.78796387,0.00268955,0.22388613,62,44.0,23.0,0.0,0.0,0.0,0.0
COST,2020-02-27,302.3434,0.1419461,-0.00694383,0.5916,3.156,-2.5644,1,1,-1,-170.7947,1,-5.1155,-1,2.51774171,12.8831,1,-0.46049766,9.5221,2.9467,0.08301057,-0.62971648,0.01479573,-0.22707481,33.9577,0.06527277,71.4286,100.0,0.714286,1.0,-1,277.471,295.9599,314.4488,36.9778,516296048.4583,0.0,-0.00682269,290.1946817,293.09681005,281.56513228,281.69006348,3625300.0,0.0,0.0,-12.06982422,-0.04108738,0.40767542,70,35.0,26.0,0.0,1.0,0.0,0.0
COST,2020-02-28,298.7806,0.12273328,-0.01178395,-1.697,2.1854,-3.8824,-1,1,-1,-277.4738,1,-8.9643,-1,0.75238002,8.3144,1,-0.35462738,5.2336,8.9417,0.03666544,-0.45037334,0.07876546,2.03447925,37.7285,0.11104403,64.2857,100.0,0.642857,1.0,-1,266.2918,288.1132,309.9346,43.6428,517918757.137,1.0,0.00314298,274.11761571,276.11642714,260.69281842,270.16802979,7091800.0,0.0,0.0,-11.52203369,-0.04090323,0.86625569,73,51.0,31.0,0.0,0.0,0.0,0.0
COST,2020-03-02,297.899,0.11797915,-0.00295066,-1.3234,1.4836,-2.807,-1,1,-1,-65.0901,0,1.3966,1,-1.15579577,54.9501,0,5.60902771,15.5446,34.7452,0.14809475,1.97015439,0.35410207,2.88574879,35.7525,-0.0523742,57.1429,92.8571,0.571429,0.928571,-1,267.3581,287.2518,307.1456,39.7875,525173810.4636,0.0,0.01400809,282.94896825,297.43084228,280.00839243,297.07528687,7563800.0,0.0,0.0,26.90725708,0.09959453,0.92869616,52,78.0,50.0,0.0,6.0,1.0,0.0
COST,2020-03-03,296.0416,0.1079629,-0.006235,-1.5071,0.8855,-2.3926,-1,1,-1,-43.8085,0,0.4515,1,-0.67671488,47.9681,0,-0.12706073,34.2467,59.0533,0.35020533,1.2031252,0.61348198,0.69961031,33.1714,-0.07219355,50.0,85.7143,0.5,0.857143,-1,267.3662,286.8404,306.3145,38.9483,521370155.8924,0.0,-0.00724266,297.07524654,301.90894019,289.28173923,290.91540527,5131400.0,0.0,0.0,-6.15988159,-0.02073509,0.60691608,50,171.0,71.0,0.0,3.0,1.0,0.0
COST,2020-03-04,295.8224,0.10678084,-0.00074044,-0.2528,0.6578,-0.9106,-1,1,-1,38.2909,0,5.4153,1,10.99401993,64.0228,0,0.33469535,59.7616,85.4863,0.62594074,0.74503237,0.89553567,0.44761258,29.9526,-0.0970354,42.8571,78.5714,0.428571,0.785714,-1,263.7298,289.7341,315.7383,52.0085,525467796.0015,0.0,0.00785937,296.25843546,308.44356857,293.11603433,308.22253418,4219300.0,0.0,0.0,17.30712891,0.05949196,0.48625516,49,143.0,85.0,0.0,2.0,1.0,0.0
