Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
DOYU,2020-01-24,8.6895,0.4141014,-0.01685806,0.0252,0.2227,-0.1974,1,1,-1,-145.1732,1,-4.4554,-1,1.87278355,28.0051,1,-0.11319016,18.3593,9.2793,0.16726723,-0.43640773,0.07430908,-0.15051175,38.8644,-0.03710898,28.5714,85.7143,0.285714,0.857143,-1,6.9247,8.243,9.5613,2.6366,6253065.8962,0.0,-0.26430381,7.92999983,8.18000031,7.65500021,7.71999979,2985800.0,0.0,0.0,-0.21500015,-0.02709517,0.11490418,26,1.0,1.0,0.0,0.0,0.0,0.0
DOYU,2020-01-27,8.5145,0.40089784,-0.02013925,-0.0463,0.1689,-0.2152,-1,1,-1,-172.3299,1,-10.5882,-1,1.37648696,25.9555,1,-0.07318667,12.485,17.2523,0.1035487,-0.31996318,0.15921883,0.85922429,39.1381,0.00704243,21.4286,100.0,0.214286,1.0,-1,7.1465,7.889,8.6315,1.485,7940031.0829,1.0,0.26978209,7.30000019,7.82999992,7.07999992,7.5999999,4362800.0,0.0,0.0,-0.11999989,-0.01554403,0.17334946,40,0.0,1.0,0.0,0.0,0.0,0.0
DOYU,2020-01-28,8.3775,0.39056134,-0.0160902,-0.0707,0.121,-0.1916,-1,1,-1,-103.8432,1,-1.9632,-1,-0.81458605,42.9254,0,0.65380748,18.175,27.9933,0.16526813,0.4557469,0.27360684,0.62258366,37.9904,-0.02932437,14.2857,92.8571,0.142857,0.928571,-1,7.4392,7.769,8.0988,0.6596,9405683.0585,0.0,0.18459021,7.69999981,8.09000015,7.67999983,7.98999977,2861500.0,0.0,0.0,0.38999987,0.05131577,0.1096284,41,1.0,1.0,0.0,0.0,0.0,0.0
DOYU,2020-01-29,8.2855,0.38362004,-0.0109818,-0.0882,0.0791,-0.1673,-1,1,-1,-83.7001,0,-4.3062,-1,1.19345966,43.3416,0,0.00969589,32.461,52.1375,0.32022835,0.78602476,0.53073439,0.86249924,36.2474,-0.04588001,7.1429,85.7143,0.071429,0.857143,-1,7.5281,7.849,8.1699,0.6418,9043216.9559,-1.0,-0.03853693,7.98999977,8.22999954,7.84000015,8.0,2019100.0,0.0,0.0,0.01000023,0.00125159,0.07387364,49,0.0,0.0,0.0,0.0,0.0,0.0
DOYU,2020-01-30,8.1995,0.37713143,-0.01037958,-0.0945,0.0444,-0.1389,-1,1,-1,-87.7488,0,-4.6045,-1,0.06927221,47.1924,0,0.08884767,50.9735,72.7897,0.52103342,0.57029974,0.75067332,0.39611029,35.5248,-0.01993522,0.0,78.5714,0.0,0.785714,-1,7.5087,7.878,8.2473,0.7386,11360555.6702,0.0,0.25625159,7.80000019,8.13000011,7.57000017,8.07999992,2821100.0,0.0,0.0,0.07999992,0.00999999,0.10791367,50,0.0,0.0,0.0,0.0,0.0,0.0
DOYU,2020-01-31,8.0975,0.36943564,-0.01243978,-0.0976,0.016,-0.1136,-1,1,-1,-63.7894,0,-8.5876,-1,0.86504506,47.7473,0,0.01175825,69.9516,84.9275,0.72688884,0.37231306,0.87993678,0.16675161,34.7623,-0.02146388,35.7143,71.4286,0.357143,0.714286,-1,7.5908,7.952,8.3132,0.7224,12260365.5369,0.0,0.07920474,8.0,8.14999962,7.92500019,8.09000015,1928200.0,0.0,0.0,0.01000023,0.00123765,0.07001549,17,3.0,1.0,0.0,0.0,0.0,0.0
DOYU,2020-02-03,7.9855,0.36098536,-0.01383143,-0.0861,-0.0044,-0.0817,-1,-1,-1,-42.508,0,-6.0364,-1,-0.29707951,56.8216,0,0.19004844,82.3428,89.3111,0.86129617,0.17713962,0.92662064,0.05161579,33.2124,-0.04458566,28.5714,64.2857,0.285714,0.642857,-1,7.8955,8.082,8.2685,0.373,13442440.6138,-1.0,0.09641434,8.07999992,8.30000019,8.03999996,8.25,1920900.0,0.0,0.0,0.15999985,0.01977748,0.06970565,28,26.0,4.0,477.0,0.0,0.0,282.0
DOYU,2020-02-04,7.9405,0.35759016,-0.00563521,-0.0849,-0.0205,-0.0644,-1,-1,-1,-34.2004,0,-9.3541,-1,0.54961566,49.4427,0,-0.12986083,85.2251,81.4367,0.89256048,0.03500367,0.84276095,-0.08816821,30.883,-0.07013646,21.4286,57.1429,0.214286,0.571429,-1,7.9474,8.112,8.2766,0.3292,12185204.3976,-1.0,-0.09352738,8.42000008,8.47000027,8.10000038,8.14000034,1604100.0,0.0,0.0,-0.10999966,-0.01333329,0.05625942,70,7.0,5.0,0.0,0.0,0.0,0.0
DOYU,2020-02-05,7.9825,0.36075902,0.00528934,-0.0926,-0.0349,-0.0577,-1,-1,-1,-46.7478,0,-10.7898,-1,0.1534835,42.0045,0,-0.15044081,79.8586,68.828,0.83435006,-0.06296854,0.70848256,-0.15482823,29.4688,-0.04579218,14.2857,50.0,0.142857,0.5,-1,7.9618,8.116,8.2702,0.3084,11546869.0986,1.0,-0.0523861,8.19999981,8.30000019,7.94000006,8.02000046,1149200.0,0.0,0.0,-0.11999989,-0.014742,0.03695168,79,5.0,6.0,0.0,0.0,0.0,0.0
DOYU,2020-02-06,8.017,0.363362,0.00432195,-0.0768,-0.0433,-0.0335,-1,-1,-1,-22.3646,0,-11.5385,-1,0.06938961,58.7938,0,0.39970241,69.9183,59.4903,0.72652764,-0.12447376,0.60903922,-0.13566717,27.6679,-0.06111209,7.1429,42.8571,0.071429,0.428571,-1,7.9614,8.156,8.3506,0.3892,11825314.5021,-1.0,0.02411436,8.10999966,8.39000034,8.10499954,8.27999973,1220900.0,0.0,0.0,0.25999928,0.03241886,0.03999491,40,2.0,6.0,0.0,0.0,0.0,0.0
DOYU,2020-02-07,8.104,0.36992606,0.01085194,-0.0389,-0.0424,0.0036,-1,-1,1,5.9612,0,-6.7318,-1,-0.41657928,71.2138,-1,0.21124676,66.1868,70.2419,0.68605206,-0.05336943,0.72354012,0.18072862,25.0229,-0.09559815,0.0,35.7143,0.0,0.357143,-1,7.8751,8.256,8.6369,0.7618,13162685.3845,0.0,0.1130939,8.27000046,8.61999989,8.10999966,8.59000015,1515700.0,0.0,0.0,0.31000042,0.03743967,0.05250737,61,5.0,7.0,0.0,0.0,0.0,0.0
DOYU,2020-02-10,8.229,0.37935718,0.01542448,0.0121,-0.0315,0.0436,1,-1,1,53.1817,0,-5.3476,-1,-0.20562108,78.1259,-1,0.09706124,72.2136,86.9086,0.75142475,0.09105743,0.90103483,0.23727576,23.7507,-0.05084143,0.0,28.5714,0.0,0.285714,-1,7.768,8.376,8.984,1.216,14264864.3845,0.0,0.08373512,8.56000042,8.85000038,8.50500011,8.85000038,1102100.0,0.0,0.0,0.26000023,0.03026778,0.03495257,29,9.0,9.0,0.0,0.0,0.0,0.0
DOYU,2020-02-11,8.28,0.38320507,0.00619759,0.0239,-0.0204,0.0444,1,-1,1,47.1542,0,-9.188,-1,0.71815394,55.6434,0,-0.28777268,80.4325,84.147,0.84057515,0.11381374,0.87162472,-0.03177591,22.9483,-0.03378427,100.0,21.4286,1.0,0.214286,1,7.8852,8.448,9.0108,1.1256,12985096.2339,0.0,-0.08971471,8.92000008,8.92500019,8.46000004,8.5,1545700.0,0.0,0.0,-0.35000038,-0.03954806,0.05378069,77,9.0,10.0,0.0,0.0,0.0,0.0
DOYU,2020-02-12,8.333,0.38720386,0.00640097,0.0353,-0.0093,0.0446,1,-1,1,45.8835,0,-4.3722,-1,-0.52414018,56.9701,0,0.0238429,80.2054,69.5607,0.8381118,-0.00282349,0.71628557,-0.17334308,22.2261,-0.03147074,92.8571,14.2857,0.928571,0.142857,1,8.184,8.55,8.916,0.732,11823278.6339,0.0,-0.08947316,8.60000038,8.71000004,8.51000023,8.52999973,1451900.0,0.0,0.0,0.02999973,0.00352938,0.04979945,78,8.0,10.0,0.0,0.0,0.0,0.0
DOYU,2020-02-13,8.37,0.38999547,0.00444018,0.0375,0.0001,0.0374,1,1,1,34.7056,0,-5.481,-1,0.25360231,51.8051,0,-0.09066159,67.947,50.1333,0.70514495,-0.15283759,0.50939034,-0.27928701,20.8117,-0.0636369,85.7143,7.1429,0.857143,0.071429,1,8.303,8.584,8.865,0.562,11527758.5789,0.0,-0.02499476,8.47999954,8.58699989,8.39999962,8.44999981,634000.0,0.0,0.0,-0.07999992,-0.00937865,0.01508457,69,6.0,11.0,0.0,0.0,0.0,0.0
DOYU,2020-02-14,8.437,0.39505055,0.00800478,0.0635,0.0127,0.0507,1,1,1,88.9009,0,-3.8419,-1,-0.29905127,66.5115,0,0.28387939,57.0718,51.5213,0.58718167,-0.16005416,0.52417207,0.02768619,21.4854,0.03237121,100.0,0.0,1.0,0.0,1,8.3032,8.618,8.9328,0.6296,11734872.1426,-1.0,0.01796651,8.47000027,8.98999977,8.43999958,8.76000023,1265700.0,0.0,0.0,0.31000042,0.03668644,0.04189639,61,6.0,11.0,0.0,0.0,0.0,0.0
DOYU,2020-02-18,8.445,0.39565414,0.0009482,0.0488,0.02,0.0288,1,1,1,48.2479,0,-11.0993,-1,1.88901325,43.4977,0,-0.34601234,47.8838,41.9969,0.48751944,-0.16099019,0.42274043,-0.18486335,20.1356,-0.06282406,92.8571,14.2857,0.928571,0.142857,1,8.2327,8.514,8.7953,0.5626,11275278.7426,1.0,-0.03916476,8.82999992,8.88000011,8.13000011,8.32999992,984800.0,0.0,0.0,-0.43000031,-0.04908679,0.0299739,38,7.0,9.0,0.0,0.0,0.0,0.0
DOYU,2020-02-19,8.44,0.3952769,-0.00059207,0.0176,0.0195,-0.0019,1,1,-1,2.5258,0,-5.8207,-1,-0.47557954,35.0391,0,-0.19446086,40.9523,29.3387,0.41233347,-0.14475668,0.28793489,-0.30140796,18.4932,-0.08156698,85.7143,7.1429,0.857143,0.071429,1,7.9894,8.432,8.8746,0.8852,10558304.6656,0.0,-0.06358815,8.38000011,8.51000023,8.05500031,8.09000015,847300.0,0.0,0.0,-0.23999977,-0.0288115,0.02413786,58,17.0,10.0,0.0,1.0,0.0,0.0
DOYU,2020-02-20,8.454,0.39633318,0.00165877,-0.0015,0.0153,-0.0168,-1,1,-1,-11.8756,0,7.3684,1,-2.26589585,39.3397,0,0.12273717,28.3821,13.8107,0.27598453,-0.30694735,0.12256695,-0.5292668,16.8063,-0.09121731,78.5714,0.0,0.785714,0.0,1,7.8831,8.358,8.8329,0.9498,10427542.3108,0.0,-0.01238479,8.10999966,8.32999992,8.02000046,8.15999985,1351000.0,0.0,0.0,0.06999969,0.00865262,0.04551686,67,14.0,11.0,0.0,0.0,0.0,0.0
DOYU,2020-02-21,8.433,0.39474876,-0.00248403,-0.0235,0.0075,-0.0311,-1,1,-1,-41.5364,0,1.7013,1,-0.76910863,35.5566,0,-0.09616494,17.083,8.0996,0.1534232,-0.39810655,0.06174567,-0.41352719,15.2237,-0.09416707,71.4286,0.0,0.714286,0.0,1,7.7702,8.282,8.7938,1.0236,10346646.4647,0.0,-0.0077579,8.14000034,8.14000034,8.01000023,8.06999969,1051000.0,0.0,0.0,-0.09000015,-0.01102943,0.03278368,41,17.0,13.0,0.0,0.0,0.0,0.0
DOYU,2020-02-24,8.364,0.38954278,-0.00818214,-0.0541,-0.0048,-0.0493,-1,-1,-1,-111.5821,1,2.3316,1,0.3704814,28.9771,1,-0.185043,12.3864,15.2488,0.10247919,-0.27492829,0.13788223,0.88266087,15.9945,0.05063158,64.2857,100.0,0.642857,1.0,-1,7.8314,8.11,8.3886,0.5572,10925312.1489,1.0,0.05592785,7.84000015,7.94999981,7.57000017,7.9000001,785300.0,0.0,0.0,-0.1699996,-0.02106563,0.02150633,49,19.0,17.0,0.0,0.0,0.0,0.0
DOYU,2020-02-25,8.269,0.38237513,-0.0113582,-0.0775,-0.0193,-0.0582,-1,-1,-1,-93.1653,0,3.9474,1,0.69300051,28.9771,1,0.0,15.1627,22.1399,0.13259371,0.22414099,0.21127011,0.45191097,15.9295,-0.0040639,57.1429,92.8571,0.571429,0.928571,-1,7.8129,8.024,8.2351,0.4222,10782847.6979,1.0,-0.01303985,7.94000006,8.06000042,7.80499983,7.9000001,558900.0,0.0,0.0,0.0,0.0,0.01189703,59,24.0,20.0,0.0,0.0,0.0,0.0
DOYU,2020-02-26,8.217,0.37845179,-0.00628855,-0.0885,-0.0332,-0.0554,-1,-1,-1,-71.9886,0,-0.1252,-1,-1.03171708,37.4832,0,0.29354559,25.1567,38.0815,0.24099862,0.65911744,0.38104275,0.72003939,15.4551,-0.02978122,50.0,85.7143,0.5,0.857143,-1,7.8002,8.002,8.2038,0.4036,10555548.0312,0.0,-0.02107974,7.92000008,8.11999989,7.90999985,7.98000002,681900.0,0.0,0.0,0.07999992,0.01012657,0.01711763,37,44.0,23.0,0.0,0.0,0.0,0.0
DOYU,2020-02-27,8.143,0.37286857,-0.00900572,-0.1113,-0.0488,-0.0625,-1,-1,-1,-139.213,1,-2.625,-1,19.96645367,27.6515,1,-0.26229618,35.8946,47.4624,0.35747261,0.42684056,0.48094616,0.24633746,17.3171,0.12047803,42.8571,100.0,0.428571,1.0,-1,7.7415,7.928,8.1145,0.373,10991193.2693,1.0,0.04127168,7.9000001,8.02000046,7.38999987,7.78999996,1614500.0,0.0,0.0,-0.19000006,-0.02380953,0.05670083,86,35.0,26.0,0.0,1.0,0.0,0.0
DOYU,2020-02-28,8.075,0.36773804,-0.00835073,-0.1295,-0.065,-0.0646,-1,-1,-1,-151.4021,1,-3.8366,-1,0.4615619,26.7291,1,-0.03335805,46.2186,53.1118,0.46945702,0.28761986,0.54111035,0.11902896,18.9929,0.0967714,35.7143,92.8571,0.357143,0.928571,-1,7.7124,7.868,8.0236,0.3112,12159750.2693,1.0,0.10631757,7.44000006,7.76999998,7.4000001,7.76999998,1168600.0,0.0,0.0,-0.01999998,-0.00256739,0.03777509,59,51.0,31.0,0.0,0.0,0.0,0.0
DOYU,2020-03-02,7.979,0.36049494,-0.01188854,-0.1399,-0.0799,-0.06,-1,-1,-1,-105.6427,1,-3.5847,-1,-0.06565709,31.0425,0,0.16137468,51.475,53.8508,0.52647319,0.1137291,0.54898045,0.01391405,18.9104,-0.00434373,28.5714,85.7143,0.285714,0.857143,-1,7.6883,7.848,8.0077,0.3194,12226934.0788,1.0,0.0055251,7.82999992,7.98999977,7.57000017,7.80000019,705400.0,0.0,0.0,0.03000021,0.00386103,0.01811507,30,78.0,50.0,0.0,6.0,1.0,0.0
DOYU,2020-03-03,7.944,0.35785423,-0.00438651,-0.1321,-0.0904,-0.0417,-1,-1,-1,-58.9762,0,-3.2727,-1,-0.08703657,52.1634,0,0.68038657,56.6588,63.0137,0.58270186,0.1007052,0.64656224,0.17015346,18.2957,-0.03250592,21.4286,78.5714,0.214286,0.785714,-1,7.6736,7.864,8.0544,0.3808,12780696.7455,-1.0,0.04529039,7.8499999,8.06999969,7.80000019,7.98000002,1661300.0,0.0,0.0,0.17999983,0.0230769,0.05868721,38,171.0,71.0,0.0,3.0,1.0,0.0
DOYU,2020-03-04,7.951,0.35838238,0.00088117,-0.1101,-0.0943,-0.0158,-1,-1,-1,-8.6271,0,0.2457,1,-1.07507563,65.4075,0,0.25389641,63.7885,74.5011,0.6600377,0.1258357,0.76889916,0.18230004,16.5172,-0.09720863,14.2857,71.4286,0.142857,0.714286,-1,7.5993,7.9,8.2007,0.6014,12800065.8255,-1.0,0.00151549,8.10000038,8.27999973,8.02999973,8.15999985,484200.0,0.0,0.0,0.17999983,0.02255637,0.00872647,45,143.0,85.0,0.0,2.0,1.0,0.0
