Date,daily_trend
2019-12-01,100
2019-12-02,88
2019-12-03,72
2019-12-04,56
2019-12-05,84
2019-12-06,76
2019-12-07,57
2019-12-08,44
2019-12-09,55
2019-12-10,74
2019-12-11,55
2019-12-12,82
2019-12-13,71
2019-12-14,52
2019-12-15,43
2019-12-16,77
2019-12-17,82
2019-12-18,56
2019-12-19,56
2019-12-20,65
2019-12-21,51
2019-12-22,55
2019-12-23,59
2019-12-24,59
2019-12-25,39
2019-12-26,67
2019-12-27,53
2019-12-28,53
2019-12-29,49
2019-12-30,80
2019-12-31,38
2020-01-01,42
2020-01-02,61
2020-01-03,59
2020-01-04,56
2020-01-05,44
2020-01-06,69
2020-01-07,77
2020-01-08,62
2020-01-09,63
2020-01-10,72
2020-01-11,56
2020-01-12,36
2020-01-13,77
2020-01-14,60
2020-01-15,80
2020-01-16,82
2020-01-17,80
2020-01-18,43
2020-01-19,67
2020-01-20,87
2020-01-21,83
2020-01-22,78
2020-01-23,100
2020-01-24,83
2020-01-25,77
2020-01-26,47
2020-01-27,69
2020-01-28,94
2020-01-29,70
2020-01-30,48
2020-01-31,60
2020-02-01,48
2020-02-02,51
2020-02-03,75
2020-02-04,86
2020-02-05,50
2020-02-06,94
2020-02-07,74
2020-02-08,70
2020-02-09,57
2020-02-10,100
2020-02-11,96
2020-02-12,95
2020-02-13,70
2020-02-14,84
2020-02-15,67
2020-02-16,64
2020-02-17,86
2020-02-18,100
2020-02-19,98
2020-02-20,90
2020-02-21,94
2020-02-22,67
2020-02-23,86
2020-02-24,97
2020-02-25,87
2020-02-26,83
2020-02-27,68
2020-02-28,91
2020-02-29,85
2020-03-01,42
2020-03-02,72
2020-03-03,63
2020-03-04,66
2020-03-05,63
2020-03-06,64
2020-03-07,59
2020-03-08,49
2020-03-09,62
2020-03-10,72
2020-03-11,83
2020-03-12,100
2020-03-13,51
2020-03-14,54
2020-03-15,54
2020-03-16,47
2020-03-17,48
2020-03-18,32
2020-03-19,49
2020-03-20,48
2020-03-21,36
2020-03-22,19
2020-03-23,44
2020-03-24,50
2020-03-25,51
2020-03-26,44
2020-03-27,59
2020-03-28,30
2020-03-29,22
2020-03-30,47
2020-03-31,54
2020-04-01,66
2020-04-02,89
2020-04-03,43
2020-04-04,68
2020-04-05,55
2020-04-06,65
2020-04-07,98
2020-04-08,48
2020-04-09,64
2020-04-10,65
2020-04-11,54
2020-04-12,38
2020-04-13,57
2020-04-14,99
2020-04-15,67
2020-04-16,60
2020-04-17,74
2020-04-18,55
2020-04-19,51
2020-04-20,80
2020-04-21,64
2020-04-22,82
2020-04-23,68
2020-04-24,63
2020-04-25,73
2020-04-26,49
2020-04-27,68
2020-04-28,97
2020-04-29,100
2020-04-30,74
2020-05-01,61
2020-05-02,57
2020-05-03,48
2020-05-04,63
2020-05-05,59
2020-05-06,87
2020-05-07,71
2020-05-08,69
2020-05-09,57
2020-05-10,39
2020-05-11,85
2020-05-12,77
2020-05-13,100
2020-05-14,61
2020-05-15,56
2020-05-16,65
2020-05-17,60
2020-05-18,63
2020-05-19,70
2020-05-20,72
2020-05-21,70
2020-05-22,65
2020-05-23,39
2020-05-24,74
2020-05-25,84
2020-05-26,68
2020-05-27,88
2020-05-28,79
2020-05-29,53
2020-05-30,45
2020-05-31,43
2020-06-01,63
2020-06-02,83
2020-06-03,67
2020-06-04,60
2020-06-05,77
2020-06-06,41
2020-06-07,49
2020-06-08,65
2020-06-09,69
2020-06-10,67
2020-06-11,67
2020-06-12,73
2020-06-13,46
2020-06-14,48
2020-06-15,100
2020-06-16,53
2020-06-17,72
2020-06-18,77
2020-06-19,87
2020-06-20,41
2020-06-21,62
2020-06-22,56
2020-06-23,80
2020-06-24,43
2020-06-25,82
2020-06-26,71
2020-06-27,43
2020-06-28,43
2020-06-29,61
2020-06-30,71
2020-07-01,91
2020-07-02,89
2020-07-03,73
2020-07-04,25
2020-07-05,46
2020-07-06,93
2020-07-07,83
2020-07-08,97
2020-07-09,91
2020-07-10,70
2020-07-11,30
2020-07-12,43
2020-07-13,85
2020-07-14,88
2020-07-15,74
2020-07-16,80
2020-07-17,73
2020-07-18,58
2020-07-19,82
2020-07-20,100
2020-07-21,85
2020-07-22,83
2020-07-23,87
2020-07-24,63
2020-07-25,67
2020-07-26,73
2020-07-27,76
2020-07-28,85
2020-07-29,93
2020-07-30,75
2020-07-31,84
2020-08-01,48
2020-08-02,40
2020-08-03,89
2020-08-04,100
2020-08-05,86
2020-08-06,80
2020-08-07,69
2020-08-08,57
2020-08-09,65
2020-08-10,69
2020-08-11,74
2020-08-12,71
2020-08-13,86
2020-08-14,61
2020-08-15,60
2020-08-16,43
2020-08-17,57
2020-08-18,57
2020-08-19,73
2020-08-20,73
2020-08-21,60
2020-08-22,46
2020-08-23,66
2020-08-24,71
2020-08-25,62
2020-08-26,56
2020-08-27,62
2020-08-28,61
2020-08-29,57
2020-08-30,56
2020-08-31,68
2020-09-01,92
2020-09-02,100
2020-09-03,85
2020-09-04,83
2020-09-05,65
2020-09-06,67
2020-09-07,61
2020-09-08,69
2020-09-09,87
2020-09-10,72
2020-09-11,74
2020-09-12,53
2020-09-13,38
2020-09-14,85
2020-09-15,86
2020-09-16,89
2020-09-17,89
2020-09-18,76
2020-09-19,62
2020-09-20,58
2020-09-21,61
2020-09-22,87
2020-09-23,90
2020-09-24,98
2020-09-25,74
2020-09-26,80
2020-09-27,62
2020-09-28,60
2020-09-29,76
2020-09-30,62
2020-10-01,59
2020-10-02,65
2020-10-03,63
2020-10-04,66
2020-10-05,80
2020-10-06,60
2020-10-07,86
2020-10-08,80
2020-10-09,64
2020-10-10,66
2020-10-11,52
2020-10-12,88
2020-10-13,60
2020-10-14,72
2020-10-15,77
2020-10-16,94
2020-10-17,48
2020-10-18,41
2020-10-19,74
2020-10-20,72
2020-10-21,81
2020-10-22,97
2020-10-23,69
2020-10-24,80
2020-10-25,69
2020-10-26,80
2020-10-27,79
2020-10-28,100
2020-10-29,86
2020-10-30,88
2020-10-31,56
2020-11-01,52
2020-11-02,73
2020-11-03,60
2020-11-04,66
2020-11-05,70
2020-11-06,66
2020-11-07,70
2020-11-08,80
2020-11-09,77
2020-11-10,77
2020-11-11,83
2020-11-12,62
2020-11-13,89
2020-11-14,100
2020-11-15,52
2020-11-16,78
2020-11-17,73
2020-11-18,78
2020-11-19,77
2020-11-20,88
2020-11-21,62
2020-11-22,49
2020-11-23,85
2020-11-24,58
2020-11-25,57
2020-11-26,72
2020-11-27,63
2020-11-28,70
2020-11-29,41
2020-11-30,59
2020-12-01,97
2020-12-02,90
2020-12-03,94
2020-12-04,81
2020-12-05,75
2020-12-06,78
2020-12-07,91
2020-12-08,85
2020-12-09,97
2020-12-10,96
2020-12-11,72
2020-12-12,54
2020-12-13,85
2020-12-14,79
2020-12-15,71
2020-12-16,90
2020-12-17,69
2020-12-18,79
2020-12-19,82
2020-12-20,69
2020-12-21,87
2020-12-22,63
2020-12-23,100
2020-12-24,47
2020-12-25,53
2020-12-26,67
2020-12-27,56
2020-12-28,87
2020-12-29,75
2020-12-30,77
2020-12-31,60
2021-01-01,61
2021-01-02,36
2021-01-03,68
2021-01-04,80
2021-01-05,90
2021-01-06,90
2021-01-07,56
2021-01-08,89
2021-01-09,80
2021-01-10,39
