Date,daily_trend
2019-12-01,100
2019-12-02,95
2019-12-03,92
2019-12-04,88
2019-12-05,85
2019-12-06,86
2019-12-07,91
2019-12-08,99
2019-12-09,90
2019-12-10,88
2019-12-11,87
2019-12-12,85
2019-12-13,85
2019-12-14,89
2019-12-15,98
2019-12-16,85
2019-12-17,84
2019-12-18,76
2019-12-19,78
2019-12-20,74
2019-12-21,76
2019-12-22,79
2019-12-23,73
2019-12-24,66
2019-12-25,78
2019-12-26,85
2019-12-27,84
2019-12-28,87
2019-12-29,93
2019-12-30,84
2019-12-31,74
2020-01-01,88
2020-01-02,93
2020-01-03,88
2020-01-04,92
2020-01-05,94
2020-01-06,87
2020-01-07,86
2020-01-08,84
2020-01-09,87
2020-01-10,82
2020-01-11,92
2020-01-12,99
2020-01-13,87
2020-01-14,86
2020-01-15,83
2020-01-16,83
2020-01-17,82
2020-01-18,88
2020-01-19,100
2020-01-20,86
2020-01-21,87
2020-01-22,85
2020-01-23,83
2020-01-24,83
2020-01-25,92
2020-01-26,98
2020-01-27,89
2020-01-28,88
2020-01-29,84
2020-01-30,84
2020-01-31,81
2020-02-01,89
2020-02-02,100
2020-02-03,86
2020-02-04,88
2020-02-05,83
2020-02-06,83
2020-02-07,81
2020-02-08,88
2020-02-09,98
2020-02-10,86
2020-02-11,86
2020-02-12,82
2020-02-13,86
2020-02-14,79
2020-02-15,88
2020-02-16,98
2020-02-17,91
2020-02-18,87
2020-02-19,85
2020-02-20,81
2020-02-21,85
2020-02-22,86
2020-02-23,98
2020-02-24,85
2020-02-25,86
2020-02-26,86
2020-02-27,81
2020-02-28,83
2020-02-29,90
2020-03-01,100
2020-03-02,87
2020-03-03,87
2020-03-04,83
2020-03-05,83
2020-03-06,86
2020-03-07,89
2020-03-08,98
2020-03-09,86
2020-03-10,84
2020-03-11,80
2020-03-12,75
2020-03-13,73
2020-03-14,87
2020-03-15,94
2020-03-16,72
2020-03-17,74
2020-03-18,72
2020-03-19,74
2020-03-20,73
2020-03-21,86
2020-03-22,88
2020-03-23,77
2020-03-24,77
2020-03-25,77
2020-03-26,84
2020-03-27,82
2020-03-28,89
2020-03-29,97
2020-03-30,87
2020-03-31,87
2020-04-01,76
2020-04-02,78
2020-04-03,77
2020-04-04,85
2020-04-05,88
2020-04-06,80
2020-04-07,78
2020-04-08,78
2020-04-09,80
2020-04-10,85
2020-04-11,81
2020-04-12,85
2020-04-13,94
2020-04-14,86
2020-04-15,84
2020-04-16,85
2020-04-17,83
2020-04-18,93
2020-04-19,100
2020-04-20,86
2020-04-21,88
2020-04-22,84
2020-04-23,84
2020-04-24,84
2020-04-25,92
2020-04-26,98
2020-04-27,87
2020-04-28,89
2020-04-29,88
2020-04-30,89
2020-05-01,90
2020-05-02,92
2020-05-03,100
2020-05-04,89
2020-05-05,85
2020-05-06,83
2020-05-07,78
2020-05-08,79
2020-05-09,86
2020-05-10,94
2020-05-11,87
2020-05-12,83
2020-05-13,83
2020-05-14,81
2020-05-15,80
2020-05-16,87
2020-05-17,95
2020-05-18,82
2020-05-19,83
2020-05-20,78
2020-05-21,81
2020-05-22,83
2020-05-23,93
2020-05-24,95
2020-05-25,82
2020-05-26,80
2020-05-27,79
2020-05-28,77
2020-05-29,76
2020-05-30,80
2020-05-31,85
2020-06-01,87
2020-06-02,83
2020-06-03,88
2020-06-04,88
2020-06-05,86
2020-06-06,91
2020-06-07,100
2020-06-08,86
2020-06-09,83
2020-06-10,84
2020-06-11,85
2020-06-12,83
2020-06-13,88
2020-06-14,98
2020-06-15,87
2020-06-16,87
2020-06-17,85
2020-06-18,81
2020-06-19,81
2020-06-20,86
2020-06-21,90
2020-06-22,83
2020-06-23,82
2020-06-24,78
2020-06-25,77
2020-06-26,78
2020-06-27,89
2020-06-28,97
2020-06-29,86
2020-06-30,83
2020-07-01,83
2020-07-02,82
2020-07-03,84
2020-07-04,90
2020-07-05,100
2020-07-06,89
2020-07-07,86
2020-07-08,83
2020-07-09,82
2020-07-10,85
2020-07-11,86
2020-07-12,90
2020-07-13,82
2020-07-14,84
2020-07-15,84
2020-07-16,79
2020-07-17,79
2020-07-18,82
2020-07-19,90
2020-07-20,84
2020-07-21,84
2020-07-22,82
2020-07-23,81
2020-07-24,79
2020-07-25,84
2020-07-26,93
2020-07-27,84
2020-07-28,82
2020-07-29,79
2020-07-30,77
2020-07-31,76
2020-08-01,92
2020-08-02,100
2020-08-03,93
2020-08-04,87
2020-08-05,84
2020-08-06,81
2020-08-07,84
2020-08-08,89
2020-08-09,95
2020-08-10,83
2020-08-11,81
2020-08-12,81
2020-08-13,81
2020-08-14,80
2020-08-15,88
2020-08-16,95
2020-08-17,86
2020-08-18,83
2020-08-19,82
2020-08-20,82
2020-08-21,82
2020-08-22,87
2020-08-23,94
2020-08-24,84
2020-08-25,86
2020-08-26,85
2020-08-27,81
2020-08-28,81
2020-08-29,86
2020-08-30,97
2020-08-31,84
2020-09-01,82
2020-09-02,84
2020-09-03,84
2020-09-04,82
2020-09-05,88
2020-09-06,100
2020-09-07,88
2020-09-08,82
2020-09-09,78
2020-09-10,78
2020-09-11,78
2020-09-12,84
2020-09-13,91
2020-09-14,84
2020-09-15,78
2020-09-16,83
2020-09-17,80
2020-09-18,82
2020-09-19,85
2020-09-20,92
2020-09-21,80
2020-09-22,78
2020-09-23,79
2020-09-24,83
2020-09-25,79
2020-09-26,89
2020-09-27,94
2020-09-28,81
2020-09-29,81
2020-09-30,80
2020-10-01,82
2020-10-02,83
2020-10-03,95
2020-10-04,98
2020-10-05,85
2020-10-06,85
2020-10-07,84
2020-10-08,80
2020-10-09,78
2020-10-10,93
2020-10-11,98
2020-10-12,89
2020-10-13,87
2020-10-14,84
2020-10-15,85
2020-10-16,84
2020-10-17,88
2020-10-18,100
2020-10-19,87
2020-10-20,85
2020-10-21,85
2020-10-22,84
2020-10-23,84
2020-10-24,93
2020-10-25,99
2020-10-26,90
2020-10-27,86
2020-10-28,83
2020-10-29,84
2020-10-30,84
2020-10-31,86
2020-11-01,89
2020-11-02,79
2020-11-03,73
2020-11-04,62
2020-11-05,66
2020-11-06,71
2020-11-07,80
2020-11-08,91
2020-11-09,80
2020-11-10,79
2020-11-11,79
2020-11-12,81
2020-11-13,83
2020-11-14,92
2020-11-15,99
2020-11-16,85
2020-11-17,84
2020-11-18,80
2020-11-19,83
2020-11-20,84
2020-11-21,88
2020-11-22,100
2020-11-23,86
2020-11-24,84
2020-11-25,78
2020-11-26,82
2020-11-27,85
2020-11-28,91
2020-11-29,94
2020-11-30,87
2020-12-01,90
2020-12-02,85
2020-12-03,89
2020-12-04,90
2020-12-05,98
2020-12-06,100
2020-12-07,95
2020-12-08,90
2020-12-09,89
2020-12-10,85
2020-12-11,83
2020-12-12,96
2020-12-13,99
2020-12-14,85
2020-12-15,86
2020-12-16,84
2020-12-17,81
2020-12-18,80
2020-12-19,83
2020-12-20,88
2020-12-21,80
2020-12-22,76
2020-12-23,71
2020-12-24,65
2020-12-25,79
2020-12-26,91
2020-12-27,96
2020-12-28,90
2020-12-29,88
2020-12-30,89
2020-12-31,79
2021-01-01,89
2021-01-02,94
2021-01-03,97
2021-01-04,92
2021-01-05,86
2021-01-06,86
2021-01-07,82
2021-01-08,84
2021-01-09,89
2021-01-10,98
2021-01-11,81
2021-01-12,84
2021-01-13,81
2021-01-14,83
2021-01-15,83
2021-01-16,90
2021-01-17,94
2021-01-18,85
2021-01-19,84
2021-01-20,79
2021-01-21,82
2021-01-22,82
2021-01-23,91
2021-01-24,94
2021-01-25,83
2021-01-26,85
2021-01-27,81
2021-01-28,82
2021-01-29,83
2021-01-30,90
2021-01-31,100
2021-02-01,92
2021-02-02,90
2021-02-03,91
2021-02-04,90
2021-02-05,89
2021-02-06,95
2021-02-07,98
2021-02-08,81
2021-02-09,85
2021-02-10,82
2021-02-11,84
2021-02-12,85
2021-02-13,92
2021-02-14,96
2021-02-15,88
2021-02-16,86
2021-02-17,85
2021-02-18,87
2021-02-19,88
2021-02-20,92
2021-02-21,97
2021-02-22,88
2021-02-23,84
2021-02-24,83
2021-02-25,83
2021-02-26,86
2021-02-27,92
2021-02-28,100
2021-03-01,82
2021-03-02,85
2021-03-03,81
2021-03-04,85
2021-03-05,82
