Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
FMB,2020-01-24,54.0005,0.53668355,0.00069121,0.2029,0.1763,0.0266,1,1,1,124.9467,-1,0.01102978,1.5325,1,0.03289075,89.3857,-1,0.01224056,87.2789,89.3464,0.88372824,0.00804552,0.90542629,0.00198386,41.2728,0.04823004,100.0,0.0,1.0,0.0,1,53.9301,54.0898,54.2495,0.3194,0.0,3547680.4955,0.01844502,54.14489721,54.20271477,54.13333664,54.1786232,210300.0,0.0,0.0,0.02408981,0.00044483,0.1367541,71,1.0,1.0,0.0,0.0,0.0,0.0
FMB,2020-01-27,54.0491,0.54333835,0.00089999,0.2165,0.1843,0.0322,1,1,1,151.7948,-1,0.21487642,1.6844,1,0.09911909,93.6444,-1,0.04764409,90.6199,93.3438,0.9198248,0.03827958,0.9471126,0.04474047,43.9405,0.06463579,100.0,0.0,1.0,0.0,1,53.9723,54.1626,54.353,0.3807,0.0,3614255.4956,0.01876578,54.29906779,54.33761282,54.26052643,54.3183403,133200.0,0.0,0.0,0.1397171,0.00257882,0.07761927,100,0.0,1.0,0.0,0.0,0.0,0.0
FMB,2020-01-28,54.0954,0.54967821,0.00085663,0.2225,0.192,0.0305,1,1,1,132.45,-1,-0.12744047,1.6486,1,-0.02125386,84.8409,-1,-0.09400989,91.2222,90.9765,0.92633212,0.00664644,0.92242555,-0.02536108,46.0401,0.0477828,92.8571,0.0,0.928571,0.0,1,54.0183,54.2079,54.3975,0.3792,0.0,3614255.4954,-0.0,54.31834328,54.32798137,54.25089131,54.28943634,148100.0,0.0,0.0,-0.02890396,-0.00053212,0.0890474,78,1.0,1.0,0.0,0.0,0.0,0.0
FMB,2020-01-29,54.1435,0.55626455,0.00088917,0.2315,0.1999,0.0316,1,1,1,140.3398,-1,0.05956814,1.7926,1,0.08734684,88.7921,-1,0.04657188,92.2739,92.5015,0.93769481,0.01152899,0.93832879,0.01676257,48.3044,0.04918104,100.0,0.0,1.0,0.0,1,54.1033,54.2717,54.4402,0.3369,0.0,3740458.1618,0.03491803,54.38578264,54.38578264,54.32796878,54.37614822,189300.0,0.0,0.0,0.08671188,0.00159721,0.12064734,61,0.0,0.0,0.0,0.0,0.0,0.0
FMB,2020-01-30,54.1859,0.56207038,0.0007831,0.2359,0.2071,0.0288,1,1,1,133.1627,-1,-0.05114087,1.778,1,-0.00814459,88.7921,-1,0.0,90.4655,87.9184,0.91815664,-0.01959817,0.8905346,-0.04954622,50.6242,0.04802461,100.0,14.2857,1.0,0.142857,1,54.1705,54.3161,54.4616,0.2911,0.0,3716843.7619,-0.00631324,54.3376032,54.43396576,54.3376032,54.37614822,118100.0,0.0,0.0,0.0,0.0,0.06603774,62,0.0,0.0,0.0,0.0,0.0,0.0
FMB,2020-01-31,54.2294,0.56802684,0.00080279,0.2421,0.2141,0.028,1,1,1,130.5123,-1,-0.01990347,1.8272,1,0.02767154,91.4883,-1,0.03036531,89.9792,89.5178,0.9129026,-0.00537553,0.90721371,0.01819187,52.8734,0.04442934,100.0,7.1429,1.0,0.071429,1,54.2624,54.3691,54.4758,0.2134,0.0,3852001.0343,0.03636345,54.44360733,54.46287984,54.35688285,54.44360733,212400.0,0.0,0.0,0.06745911,0.0012406,0.13836478,75,3.0,1.0,0.0,0.0,0.0,0.0
FMB,2020-02-03,54.2779,0.57466794,0.00089435,0.2438,0.22,0.0238,1,1,1,116.7337,-1,-0.10557319,1.5624,1,-0.14492119,89.5646,-1,-0.02102673,88.0693,86.7716,0.89226782,-0.02122602,0.87857536,-0.0306777,54.8976,0.0382839,92.8571,0.0,0.928571,0.0,1,54.2814,54.3932,54.505,0.2236,0.0,3966386.3011,0.02969502,54.42434353,54.44361605,54.37134502,54.438797,132000.0,0.0,0.0,-0.00481033,-8.835e-05,0.07669888,65,26.0,4.0,477.0,0.0,0.0,282.0
FMB,2020-02-04,54.3059,0.57850199,0.00051586,0.2346,0.2229,0.0117,1,1,1,87.4328,0,-0.25100635,1.2827,1,-0.17901946,58.7049,0,-0.34455242,81.6538,68.672,0.822954,-0.07284604,0.68982631,-0.20858899,54.1442,-0.01372373,85.7143,0.0,0.857143,0.0,1,54.325,54.4038,54.4825,0.1575,1.0,3835924.1583,-0.03289194,54.40506303,54.43397364,54.29906604,54.34243011,365300.0,0.0,0.0,-0.09636688,-0.00177019,0.25563737,50,7.0,5.0,0.0,0.0,0.0,0.0
FMB,2020-02-05,54.3287,0.58162399,0.00041984,0.2203,0.2224,-0.0021,1,1,-1,59.7584,0,-0.31652195,0.9594,1,-0.25204646,46.794,0,-0.20289448,65.2788,40.3928,0.64603656,-0.2005418,0.39492077,-0.41180103,52.6675,-0.02727347,78.5714,0.0,0.785714,0.0,1,54.2662,54.3856,54.5051,0.2389,0.0,3762571.9315,-0.01912244,54.30870435,54.31833877,54.2740153,54.28557587,152700.0,0.0,0.0,-0.05685425,-0.00104622,0.09257555,70,5.0,6.0,0.0,0.0,0.0,0.0
FMB,2020-02-06,54.346,0.58399288,0.00031843,0.2099,0.2199,-0.01,1,1,-1,57.8924,0,-0.03122574,1.0384,1,0.08234313,55.2608,0,0.18093773,43.7095,22.0638,0.4129993,-0.33041814,0.20377944,-0.45376899,50.8705,-0.03411971,71.4286,7.1429,0.714286,0.071429,1,54.2501,54.376,54.5019,0.2518,0.0,3923289.9315,0.04271493,54.30870371,54.32797623,54.25955751,54.32797623,160700.0,0.0,0.0,0.04240036,0.00078106,0.09871146,82,2.0,6.0,0.0,0.0,0.0,0.0
FMB,2020-02-07,54.3687,0.58710119,0.00041769,0.2055,0.217,-0.0115,1,1,-1,75.3509,0,0.30156808,1.1149,1,0.07367103,67.1239,0,0.21467478,34.0164,39.5928,0.3082739,-0.22176186,0.38657808,0.79446877,50.5538,-0.00622561,64.2857,0.0,0.642857,0.0,1,54.2583,54.3683,54.4783,0.22,0.0,4093449.47,0.04337165,54.36650335,54.42432088,54.29905141,54.40504837,245800.0,0.0,0.0,0.07707214,0.00141865,0.16398221,47,5.0,7.0,0.0,0.0,0.0,0.0
FMB,2020-02-10,54.3764,0.58815555,0.00014163,0.199,0.2134,-0.0145,1,1,-1,66.0675,0,-0.12320224,1.0464,1,-0.06144049,64.4535,0,-0.03978315,41.7308,63.5358,0.39162119,0.22678473,0.63626419,0.60473116,50.2687,-0.00563954,57.1429,0.0,0.571429,0.0,1,54.2711,54.3596,54.4481,0.177,0.0,4188460.1366,0.02321042,54.39542007,54.40505449,54.30098734,54.39542007,116600.0,0.0,0.0,-0.0096283,-0.00017697,0.06488725,44,9.0,9.0,0.0,0.0,0.0,0.0
FMB,2020-02-11,54.3865,0.58953855,0.00018574,0.1912,0.209,-0.0178,1,1,-1,63.9922,0,-0.03141181,1.0465,1,9.557e-05,62.8898,0,-0.0242609,60.6529,78.8301,0.59605779,0.45343248,0.79575858,0.24071941,50.0122,-0.00510258,50.0,0.0,0.5,0.0,1,54.2763,54.3693,54.4622,0.1859,0.0,4346396.9367,0.0377076,54.38579069,54.39831801,54.3356851,54.39060974,209500.0,0.0,0.0,-0.00481033,-8.843e-05,0.13614051,54,9.0,10.0,0.0,0.0,0.0,0.0
FMB,2020-02-12,54.386,0.58947008,-9.19e-06,0.1814,0.2034,-0.0221,1,1,-1,55.7302,0,-0.12910949,0.8845,1,-0.15480172,56.0862,0,-0.10818288,72.4852,75.0897,0.72389536,0.19508218,0.75675236,-0.04744888,49.4654,-0.01093333,42.8571,0.0,0.428571,0.0,1,54.3317,54.3864,54.4411,0.1094,1.0,4407963.5084,0.01416497,54.39542945,54.39542945,54.32797749,54.37133789,215500.0,0.0,0.0,-0.01927185,-0.00035432,0.14074245,70,8.0,10.0,0.0,0.0,0.0,0.0
FMB,2020-02-13,54.3913,0.59019581,9.745e-05,0.1762,0.198,-0.0218,1,1,-1,75.8235,0,0.36054599,0.8837,1,-0.00090447,68.7599,0,0.22596824,78.3951,81.2657,0.78774662,0.08153251,0.82115788,0.0822483,49.5623,0.00195895,35.7143,0.0,0.357143,0.0,1,54.3688,54.4067,54.4445,0.0757,0.0,4524585.1747,0.02645704,54.39541984,54.43396486,54.37614732,54.42914581,139900.0,0.0,0.0,0.05780792,0.00106321,0.08275809,45,6.0,11.0,0.0,0.0,0.0,0.0
FMB,2020-02-14,54.3947,0.59066137,6.251e-05,0.174,0.1932,-0.0192,1,1,-1,101.6371,-1,0.34044327,0.8687,1,-0.01697409,75.9808,-1,0.10501615,81.1857,87.2018,0.81789659,0.03559661,0.88306164,0.07304558,50.2866,0.01461393,100.0,7.1429,1.0,0.071429,1,54.3466,54.4211,54.4957,0.1491,0.0,4675452.4853,0.0333439,54.48215975,54.48215975,54.42626834,54.4773407,182300.0,0.0,0.0,0.04819489,0.00088546,0.11527842,88,6.0,11.0,0.0,0.0,0.0,0.0
FMB,2020-02-18,54.4048,0.59204437,0.00018568,0.1753,0.1896,-0.0143,1,1,-1,144.4872,-1,0.421599,1.0855,1,0.24956832,82.5391,-1,0.08631523,87.8709,95.1452,0.89012428,0.08234455,0.96589824,0.09109216,51.742,0.0289421,100.0,0.0,1.0,0.0,1,54.3279,54.45,54.5722,0.2443,0.0,4717971.4854,0.00909409,54.53033216,54.5592391,54.50142523,54.53996658,127600.0,0.0,0.0,0.06262589,0.00114958,0.07332413,34,7.0,9.0,0.0,0.0,0.0,0.0
FMB,2020-02-19,54.4246,0.59475558,0.00036394,0.1744,0.1866,-0.0122,1,1,-1,147.6343,-1,0.02178117,0.8823,1,-0.18719484,82.5391,-1,0.0,91.9683,93.5579,0.93439307,0.04662977,0.94934531,-0.01668292,53.0518,0.02531406,92.8571,42.8571,0.928571,0.428571,1,54.3496,54.4799,54.6103,0.2607,0.0,4717971.4864,0.0,54.54960468,54.54960468,54.53033216,54.53996658,184200.0,0.0,0.0,0.0,0.0,0.1167357,39,17.0,10.0,0.0,1.0,0.0,0.0
FMB,2020-02-20,54.4597,0.59956182,0.00064493,0.1793,0.1851,-0.0058,1,1,-1,209.3198,-1,0.41782635,1.0713,1,0.21421285,89.4583,-1,0.08382936,93.5807,92.0389,0.95181363,0.01753213,0.93350464,-0.01623594,55.0803,0.03823621,100.0,35.7143,1.0,0.357143,1,54.3935,54.5329,54.6724,0.2789,0.0,4882892.3952,0.03495589,54.59778462,54.65656524,54.58236808,54.63632965,362800.0,0.0,0.0,0.09636307,0.00176683,0.2537199,30,14.0,11.0,0.0,0.0,0.0,0.0
FMB,2020-02-21,54.5059,0.60588799,0.00084833,0.1934,0.1868,0.0066,1,1,1,259.0201,-1,0.23743717,1.1744,1,0.09623822,94.1191,-1,0.05210025,93.0464,93.5422,0.94604099,-0.00570951,0.94918158,0.01633331,57.6297,0.04628515,100.0,28.5714,1.0,0.285714,1,54.3864,54.6052,54.824,0.4376,0.0,5021147.876,0.02831426,54.70871806,54.80525939,54.70485862,54.79077911,194300.0,0.105,0.0,0.15444946,0.00282686,0.12448228,82,17.0,13.0,0.0,0.0,0.0,0.0
FMB,2020-02-24,54.5725,0.61500753,0.00122189,0.2246,0.1943,0.0303,1,1,1,312.0198,-1,0.20461617,1.6461,1,0.40165191,97.0648,-1,0.03129758,93.6913,95.4928,0.95300857,0.00693095,0.96952313,0.02085262,60.6285,0.05203567,100.0,21.4286,1.0,0.214286,1,54.3243,54.7238,55.1234,0.7991,0.0,5195144.2886,0.03465272,54.99835359,55.08523897,54.98001018,55.070755,240100.0,0.0,0.0,0.27997589,0.00510991,0.15961037,88,19.0,17.0,0.0,0.0,0.0,0.0
FMB,2020-02-25,54.6443,0.62483911,0.00131568,0.25,0.2055,0.0445,1,1,1,242.2098,-1,-0.2237358,1.4646,1,-0.11026062,97.3247,-1,0.00267759,95.2372,96.6765,0.96971065,0.01649993,0.98186718,0.0123957,63.4124,0.04591735,100.0,14.2857,1.0,0.142857,1,54.3811,54.8386,55.2962,0.9151,0.0,5276165.6381,0.01559559,55.0369675,55.13640345,55.0369675,55.11420059,146400.0,0.0,0.0,0.04344559,0.0007889,0.08774352,79,24.0,20.0,0.0,0.0,0.0,0.0
FMB,2020-02-26,54.7143,0.63442421,0.00128101,0.265,0.2174,0.0477,1,1,1,185.3634,-1,-0.23469901,1.4742,1,0.00655469,91.6865,-1,-0.05793185,95.777,95.1616,0.97554272,0.00566795,0.96606926,-0.01566979,65.9179,0.0395112,92.8571,7.1429,0.928571,0.071429,1,54.5646,54.9486,55.3326,0.768,0.0,5344659.3882,0.01298173,55.03696817,55.11420126,55.03696817,55.090065,182700.0,0.0,0.0,-0.02413559,-0.00043792,0.11558521,100,44.0,23.0,0.0,0.0,0.0,0.0
FMB,2020-02-27,54.7924,0.64511844,0.00142741,0.2788,0.2297,0.0492,1,1,1,168.81,-1,-0.08930242,1.4278,1,-0.0314747,93.0037,-1,0.01436635,93.8444,89.6951,0.95466268,-0.02017812,0.90906266,-0.05744439,68.3933,0.03755277,100.0,0.0,1.0,0.0,1,54.793,55.0519,55.3107,0.5177,0.0,5244624.2454,-0.01871684,55.24935063,55.2570732,55.09488815,55.15281296,350100.0,0.0,0.0,0.06274796,0.00113901,0.24397914,91,35.0,26.0,0.0,1.0,0.0,0.0
FMB,2020-02-28,54.8685,0.65553882,0.00138888,0.2895,0.2416,0.0479,1,1,1,147.1736,-1,-0.12817013,1.497,1,0.04846617,93.7468,-1,0.00799,87.0402,76.2639,0.8811493,-0.07250513,0.76899733,-0.14974285,70.7404,0.03431769,100.0,0.0,1.0,0.0,1,55.0454,55.1318,55.2182,0.1728,-1.0,5162394.5309,-0.01567886,55.24934606,55.35553969,55.0852313,55.19045639,371400.0,0.0,0.0,0.03764343,0.00068253,0.260316,70,51.0,31.0,0.0,0.0,0.0,0.0
FMB,2020-03-02,54.9312,0.66412433,0.00114273,0.2877,0.2508,0.0368,1,1,1,113.9741,-1,-0.22558054,1.2135,1,-0.18937876,71.9481,-1,-0.2325274,72.9166,52.7907,0.72855626,-0.16226525,0.52421047,-0.30778914,72.8528,0.0298613,92.8571,0.0,0.928571,0.0,1,55.0655,55.1386,55.2116,0.1461,-1.0,4886902.5309,-0.05336516,55.16247054,55.2686642,55.10454941,55.10454941,275500.0,0.0,0.0,-0.08590698,-0.00155656,0.18676177,56,78.0,50.0,0.0,6.0,1.0,0.0
