Date,daily_trend
2019-12-01,27
2019-12-02,72
2019-12-03,73
2019-12-04,74
2019-12-05,87
2019-12-06,71
2019-12-07,43
2019-12-08,57
2019-12-09,69
2019-12-10,82
2019-12-11,50
2019-12-12,50
2019-12-13,58
2019-12-14,42
2019-12-15,21
2019-12-16,87
2019-12-17,100
2019-12-18,68
2019-12-19,77
2019-12-20,87
2019-12-21,64
2019-12-22,36
2019-12-23,74
2019-12-24,36
2019-12-25,16
2019-12-26,89
2019-12-27,41
2019-12-28,72
2019-12-29,58
2019-12-30,73
2019-12-31,57
2020-01-01,47
2020-01-02,34
2020-01-03,72
2020-01-04,42
2020-01-05,14
2020-01-06,90
2020-01-07,82
2020-01-08,75
2020-01-09,75
2020-01-10,52
2020-01-11,91
2020-01-12,63
2020-01-13,40
2020-01-14,72
2020-01-15,55
2020-01-16,51
2020-01-17,26
2020-01-18,28
2020-01-19,55
2020-01-20,50
2020-01-21,81
2020-01-22,75
2020-01-23,100
2020-01-24,84
2020-01-25,65
2020-01-26,34
2020-01-27,79
2020-01-28,92
2020-01-29,86
2020-01-30,88
2020-01-31,51
2020-02-01,80
2020-02-02,79
2020-02-03,48
2020-02-04,97
2020-02-05,64
2020-02-06,39
2020-02-07,80
2020-02-08,43
2020-02-09,36
2020-02-10,38
2020-02-11,69
2020-02-12,89
2020-02-13,83
2020-02-14,86
2020-02-15,88
2020-02-16,43
2020-02-17,84
2020-02-18,75
2020-02-19,75
2020-02-20,100
2020-02-21,53
2020-02-22,50
2020-02-23,50
2020-02-24,76
2020-02-25,63
2020-02-26,67
2020-02-27,68
2020-02-28,83
2020-02-29,83
2020-03-01,25
2020-03-02,89
2020-03-03,100
2020-03-04,72
2020-03-05,61
2020-03-06,35
2020-03-07,58
2020-03-08,25
2020-03-09,51
2020-03-10,100
2020-03-11,55
2020-03-12,87
2020-03-13,86
2020-03-14,77
2020-03-15,32
2020-03-16,54
2020-03-17,72
2020-03-18,39
2020-03-19,62
2020-03-20,71
2020-03-21,49
2020-03-22,43
2020-03-23,77
2020-03-24,49
2020-03-25,50
2020-03-26,33
2020-03-27,37
2020-03-28,30
