Date,daily_trend
2019-12-01,14
2019-12-02,100
2019-12-03,38
2019-12-04,51
2019-12-05,78
2019-12-06,54
2019-12-07,0
2019-12-08,0
2019-12-09,39
2019-12-10,39
2019-12-11,77
2019-12-12,26
2019-12-13,54
2019-12-14,0
2019-12-15,29
2019-12-16,65
2019-12-17,52
2019-12-18,78
2019-12-19,93
2019-12-20,97
2019-12-21,0
2019-12-22,15
2019-12-23,56
2019-12-24,30
2019-12-25,16
2019-12-26,14
2019-12-27,56
2019-12-28,0
2019-12-29,0
2019-12-30,28
2019-12-31,15
2020-01-01,0
2020-01-02,52
2020-01-03,38
2020-01-04,14
2020-01-05,0
2020-01-06,25
2020-01-07,73
2020-01-08,61
2020-01-09,85
2020-01-10,62
2020-01-11,14
2020-01-12,14
2020-01-13,34
2020-01-14,43
2020-01-15,35
2020-01-16,98
2020-01-17,100
2020-01-18,0
2020-01-19,13
2020-01-20,61
2020-01-21,24
2020-01-22,61
2020-01-23,12
2020-01-24,38
2020-01-25,0
2020-01-26,13
2020-01-27,83
2020-01-28,83
2020-01-29,0
2020-01-30,37
2020-01-31,61
2020-02-01,0
2020-02-02,12
2020-02-03,94
2020-02-04,45
2020-02-05,100
2020-02-06,56
2020-02-07,46
2020-02-08,13
2020-02-09,25
2020-02-10,54
2020-02-11,32
2020-02-12,55
2020-02-13,33
2020-02-14,80
2020-02-15,25
2020-02-16,0
2020-02-17,67
2020-02-18,54
2020-02-19,32
2020-02-20,65
2020-02-21,34
2020-02-22,0
2020-02-23,25
2020-02-24,77
2020-02-25,88
2020-02-26,73
2020-02-27,32
2020-02-28,22
2020-02-29,12
2020-03-01,0
2020-03-02,11
2020-03-03,34
2020-03-04,57
2020-03-05,57
2020-03-06,47
2020-03-07,26
2020-03-08,13
2020-03-09,46
2020-03-10,45
2020-03-11,78
2020-03-12,33
2020-03-13,23
2020-03-14,13
2020-03-15,13
2020-03-16,55
2020-03-17,79
2020-03-18,90
2020-03-19,80
2020-03-20,56
2020-03-21,0
2020-03-22,25
2020-03-23,62
2020-03-24,100
2020-03-25,68
2020-03-26,68
2020-03-27,54
2020-03-28,0
2020-03-29,0
2020-03-30,42
2020-03-31,43
2020-04-01,40
2020-04-02,70
2020-04-03,62
2020-04-04,23
2020-04-05,23
2020-04-06,30
2020-04-07,82
2020-04-08,62
2020-04-09,73
2020-04-10,11
2020-04-11,12
2020-04-12,23
2020-04-13,73
2020-04-14,31
2020-04-15,20
2020-04-16,71
2020-04-17,71
2020-04-18,11
2020-04-19,11
2020-04-20,50
2020-04-21,60
2020-04-22,50
2020-04-23,59
2020-04-24,31
2020-04-25,0
2020-04-26,0
2020-04-27,100
2020-04-28,91
2020-04-29,89
2020-04-30,48
2020-05-01,34
2020-05-02,12
2020-05-03,37
2020-05-04,84
2020-05-05,40
2020-05-06,94
2020-05-07,65
2020-05-08,88
2020-05-09,37
2020-05-10,37
2020-05-11,64
2020-05-12,64
2020-05-13,22
2020-05-14,43
2020-05-15,100
2020-05-16,37
2020-05-17,25
2020-05-18,32
2020-05-19,64
2020-05-20,11
2020-05-21,68
2020-05-22,78
2020-05-23,50
2020-05-24,25
2020-05-25,80
2020-05-26,65
2020-05-27,76
