Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
GRMN,2020-01-24,94.9599,0.25064249,0.00222377,0.7926,0.607,0.1856,1,1,1,128.092,-1,1.1682,1,-0.41537384,56.4615,0,-0.27468398,77.4159,67.1945,0.7947071,-0.08668354,0.6810573,-0.1645904,29.4137,0.00251535,85.7143,35.7143,0.857143,0.357143,1,95.0523,96.2067,97.3612,2.3089,218605735.7403,0.0,-0.0009993,96.75677172,97.09333226,95.34321011,95.76631165,423400.0,0.0,0.0,-0.93275452,-0.00964595,0.0751224,67,1.0,1.0,0.0,0.0,0.0,0.0
GRMN,2020-01-27,95.1456,0.25239704,0.00195556,0.6932,0.6243,0.0689,1,1,1,8.9331,0,0.3671,1,-0.68575586,40.0263,0,-0.29108685,65.9704,50.2838,0.66863035,-0.14784431,0.4980969,-0.25166792,27.1722,-0.07620599,78.5714,28.5714,0.785714,0.285714,1,94.5336,96.0894,97.6451,3.1115,218737694.026,1.0,0.00060364,94.48737718,95.31435866,93.76617291,94.65084839,923700.0,0.0,0.0,-1.11546326,-0.01164776,0.22006547,67,0.0,1.0,0.0,0.0,0.0,0.0
GRMN,2020-01-28,95.5622,0.25633322,0.00437855,0.8752,0.6745,0.2008,1,1,1,171.8236,-1,3.4511,1,8.40098066,71.369,-1,0.78305264,57.0599,53.7014,0.57047763,-0.13506815,0.53507263,0.06796622,27.9198,0.02751341,100.0,21.4286,1.0,0.214286,1,94.1383,96.3453,98.5522,4.4139,219320929.3201,0.0,0.00266637,95.91055794,98.48766171,95.21820061,98.00685883,826100.0,0.0,0.0,3.35601044,0.03545674,0.19178955,68,1.0,1.0,0.0,0.0,0.0,0.0
GRMN,2020-01-29,95.8739,0.25927826,0.00326175,0.9012,0.7198,0.1814,1,1,1,140.643,-1,2.634,1,-0.23676509,56.6339,0,-0.20646359,54.1656,58.5115,0.53859576,-0.05072389,0.58711411,0.08957122,28.5926,0.02409759,92.8571,14.2857,0.928571,0.142857,1,94.1773,96.4049,98.6326,4.4553,218765159.7549,0.0,-0.00253405,98.42034149,98.42034149,96.65099054,96.67021942,568100.0,0.0,0.0,-1.3366394,-0.01363822,0.11704378,65,0.0,0.0,0.0,0.0,0.0,0.0
GRMN,2020-01-30,96.0788,0.26121422,0.00213718,0.8184,0.7395,0.0789,1,1,1,33.003,0,1.804,1,-0.3151101,46.2447,0,-0.1834449,58.314,62.7291,0.58429204,0.07658735,0.6327452,0.07208156,25.7871,-0.09811979,85.7143,7.1429,0.857143,0.071429,1,93.8809,96.1663,98.4517,4.5708,218840429.9107,0.0,0.00034407,96.03556178,96.32403908,94.41044583,95.50667572,516500.0,0.0,0.0,-1.1635437,-0.01203622,0.10209462,64,0.0,0.0,0.0,0.0,0.0,0.0
GRMN,2020-01-31,95.9325,0.25983193,-0.00152271,0.5624,0.7041,-0.1417,1,1,-1,-49.2938,0,-1.4135,-1,-1.78353659,31.9118,0,-0.30993606,51.5626,33.4473,0.50992267,-0.11577666,0.31593929,-0.46679771,24.5554,-0.04776419,78.5714,0.0,0.785714,0.0,1,92.3735,95.6584,98.9432,6.5697,218279497.8259,0.0,-0.0025632,95.17010858,95.39127376,93.12188393,93.22766113,618600.0,0.0,0.0,-2.27901459,-0.02386236,0.13167425,62,3.0,1.0,0.0,0.0,0.0,0.0
GRMN,2020-02-03,95.844,0.25899576,-0.00092252,0.4451,0.6523,-0.2072,1,1,-1,-25.252,0,0.4196,1,-1.29685179,42.8435,0,0.34255981,38.9226,20.5913,0.37068802,-0.24513892,0.17684754,-0.38436585,23.4468,-0.04514689,71.4286,0.0,0.714286,0.0,1,92.2362,95.5987,98.9612,6.725,218246632.5015,0.0,-0.00015057,93.7757834,95.11242206,93.66039542,94.35275269,702700.0,0.0,0.0,1.12509155,0.01206822,0.15603905,84,26.0,4.0,477.0,0.0,0.0,282.0
GRMN,2020-02-04,95.6766,0.25741411,-0.00174659,0.4042,0.6027,-0.1985,1,1,-1,22.5972,0,1.1874,1,1.82983794,49.2039,0,0.14845659,24.8339,20.4632,0.21549536,-0.36196708,0.1754616,-0.00622107,21.3447,-0.08965403,64.2857,85.7143,0.642857,0.857143,-1,92.7087,95.008,97.3073,4.5986,217818945.4245,0.0,-0.00195965,95.47782686,95.92016458,94.92009381,95.05471802,585300.0,0.0,0.0,0.70196533,0.0074398,0.12202683,83,7.0,5.0,0.0,0.0,0.0,0.0
GRMN,2020-02-05,95.4669,0.25543279,-0.00219176,0.3054,0.5432,-0.2378,1,1,-1,-9.5127,0,0.5126,1,-0.56830049,42.6249,0,-0.13370891,24.2909,31.8181,0.209514,-0.02186527,0.29831264,0.55489366,20.5756,-0.03603236,57.1429,78.5714,0.571429,0.785714,-1,92.9762,94.5289,96.0815,3.1053,217274529.2841,-1.0,-0.0024994,95.40090243,96.14134294,93.94887574,94.2758255,775800.0,0.0,0.0,-0.77889252,-0.00819415,0.17721702,79,5.0,6.0,0.0,0.0,0.0,0.0
GRMN,2020-02-06,95.2062,0.25296961,-0.00273079,0.2099,0.4766,-0.2667,1,1,-1,-38.763,0,0.8763,1,0.70952009,41.0169,0,-0.03772443,29.0583,34.8936,0.26202882,0.1962628,0.33158711,0.09665882,19.8834,-0.03364179,50.0,71.4286,0.5,0.714286,-1,93.0737,94.246,95.4184,2.3447,216749723.4631,0.0,-0.0024154,94.67968147,94.93931908,94.02578941,94.0931015,615500.0,0.0,0.0,-0.182724,-0.00193819,0.13077614,80,2.0,6.0,0.0,0.0,0.0,0.0
