Date,daily_trend
2019-12-01,71
2019-12-02,42
2019-12-03,32
2019-12-04,22
2019-12-05,76
2019-12-06,34
2019-12-07,62
2019-12-08,37
2019-12-09,0
2019-12-10,33
2019-12-11,43
2019-12-12,44
2019-12-13,34
2019-12-14,37
2019-12-15,37
2019-12-16,55
2019-12-17,66
2019-12-18,22
2019-12-19,22
2019-12-20,70
2019-12-21,100
2019-12-22,12
2019-12-23,59
2019-12-24,38
2019-12-25,14
2019-12-26,48
2019-12-27,59
2019-12-28,50
2019-12-29,63
2019-12-30,46
2019-12-31,25
2020-01-01,60
2020-01-02,63
2020-01-03,82
2020-01-04,66
2020-01-05,33
2020-01-06,50
2020-01-07,39
2020-01-08,29
2020-01-09,88
2020-01-10,40
2020-01-11,33
2020-01-12,43
2020-01-13,18
2020-01-14,35
2020-01-15,38
2020-01-16,29
2020-01-17,40
2020-01-18,54
2020-01-19,86
2020-01-20,78
2020-01-21,87
2020-01-22,29
2020-01-23,29
2020-01-24,90
2020-01-25,100
2020-01-26,32
2020-01-27,57
2020-01-28,38
2020-01-29,29
2020-01-30,68
2020-01-31,39
2020-02-01,100
2020-02-02,98
2020-02-03,35
2020-02-04,63
2020-02-05,25
2020-02-06,75
2020-02-07,39
2020-02-08,85
2020-02-09,28
2020-02-10,49
2020-02-11,73
2020-02-12,62
2020-02-13,25
2020-02-14,52
2020-02-15,43
2020-02-16,56
2020-02-17,88
2020-02-18,97
2020-02-19,37
2020-02-20,61
2020-02-21,38
2020-02-22,28
2020-02-23,42
2020-02-24,62
2020-02-25,37
2020-02-26,35
2020-02-27,85
2020-02-28,25
2020-02-29,68
2020-03-01,62
2020-03-02,27
2020-03-03,54
2020-03-04,55
2020-03-05,96
2020-03-06,100
2020-03-07,32
2020-03-08,94
2020-03-09,0
2020-03-10,54
2020-03-11,40
2020-03-12,40
2020-03-13,42
2020-03-14,63
2020-03-15,16
2020-03-16,0
2020-03-17,0
2020-03-18,95
2020-03-19,83
2020-03-20,13
2020-03-21,30
2020-03-22,45
2020-03-23,38
2020-03-24,67
2020-03-25,55
2020-03-26,27
2020-03-27,13
2020-03-28,44
2020-03-29,58
2020-03-30,25
2020-03-31,52
2020-04-01,56
2020-04-02,40
2020-04-03,17
2020-04-04,28
2020-04-05,19
2020-04-06,40
2020-04-07,41
2020-04-08,42
2020-04-09,34
2020-04-10,35
2020-04-11,47
2020-04-12,37
2020-04-13,59
2020-04-14,75
2020-04-15,57
2020-04-16,33
2020-04-17,33
2020-04-18,46
2020-04-19,37
2020-04-20,32
2020-04-21,24
2020-04-22,41
2020-04-23,47
2020-04-24,100
