Date,daily_trend
2019-12-01,55
2019-12-02,68
2019-12-03,40
2019-12-04,100
2019-12-05,81
2019-12-06,63
2019-12-07,58
2019-12-08,0
2019-12-09,20
2019-12-10,71
2019-12-11,50
2019-12-12,40
2019-12-13,42
2019-12-14,23
2019-12-15,0
2019-12-16,10
2019-12-17,91
2019-12-18,40
2019-12-19,62
2019-12-20,54
2019-12-21,23
2019-12-22,35
2019-12-23,44
2019-12-24,59
2019-12-25,51
2019-12-26,44
2019-12-27,22
2019-12-28,58
2019-12-29,23
2019-12-30,43
2019-12-31,35
2020-01-01,34
2020-01-02,68
2020-01-03,67
2020-01-04,71
2020-01-05,21
2020-01-06,46
2020-01-07,45
2020-01-08,63
2020-01-09,27
2020-01-10,47
2020-01-11,20
2020-01-12,40
2020-01-13,75
2020-01-14,40
2020-01-15,26
2020-01-16,46
2020-01-17,47
2020-01-18,30
2020-01-19,60
2020-01-20,64
2020-01-21,45
2020-01-22,36
2020-01-23,63
2020-01-24,47
2020-01-25,41
2020-01-26,39
2020-01-27,88
2020-01-28,97
2020-01-29,62
2020-01-30,100
2020-01-31,55
2020-02-01,0
2020-02-02,9
2020-02-03,69
2020-02-04,100
2020-02-05,99
2020-02-06,58
2020-02-07,51
2020-02-08,37
2020-02-09,9
2020-02-10,16
2020-02-11,48
2020-02-12,41
2020-02-13,33
2020-02-14,51
2020-02-15,19
2020-02-16,37
2020-02-17,33
2020-02-18,88
2020-02-19,48
2020-02-20,48
2020-02-21,51
2020-02-22,18
2020-02-23,46
2020-02-24,57
2020-02-25,49
2020-02-26,47
2020-02-27,72
2020-02-28,66
2020-02-29,27
2020-03-01,10
2020-03-02,35
2020-03-03,52
2020-03-04,52
2020-03-05,0
2020-03-06,100
2020-03-07,10
2020-03-08,50
2020-03-09,61
2020-03-10,35
2020-03-11,51
2020-03-12,68
2020-03-13,72
2020-03-14,50
2020-03-15,50
2020-03-16,42
2020-03-17,26
2020-03-18,43
2020-03-19,53
2020-03-20,51
2020-03-21,39
2020-03-22,67
2020-03-23,32
2020-03-24,51
2020-03-25,52
2020-03-26,61
2020-03-27,58
2020-03-28,66
2020-03-29,28
2020-03-30,57
2020-03-31,33
2020-04-01,53
2020-04-02,46
2020-04-03,39
2020-04-04,44
2020-04-05,18
2020-04-06,99
2020-04-07,55
2020-04-08,39
2020-04-09,48
2020-04-10,34
2020-04-11,18
2020-04-12,61
2020-04-13,40
2020-04-14,63
2020-04-15,39
2020-04-16,46
2020-04-17,62
2020-04-18,35
2020-04-19,18
2020-04-20,53
2020-04-21,54
2020-04-22,46
2020-04-23,60
2020-04-24,39
2020-04-25,18
2020-04-26,26
2020-04-27,46
2020-04-28,100
2020-04-29,60
2020-04-30,37
2020-05-01,57
2020-05-02,80
2020-05-03,61
2020-05-04,53
2020-05-05,58
2020-05-06,35
2020-05-07,90
2020-05-08,64
2020-05-09,51
2020-05-10,52
2020-05-11,62
2020-05-12,53
2020-05-13,36
2020-05-14,71
2020-05-15,74
2020-05-16,62
2020-05-17,41
2020-05-18,36
2020-05-19,62
2020-05-20,90
2020-05-21,28
2020-05-22,37
2020-05-23,10
2020-05-24,0
2020-05-25,9
2020-05-26,100
2020-05-27,18
2020-05-28,46
2020-05-29,19
2020-05-30,21
2020-05-31,31
2020-06-01,84
2020-06-02,53
2020-06-03,59
2020-06-04,90
2020-06-05,51
2020-06-06,24
2020-06-07,84
2020-06-08,90
2020-06-09,100
2020-06-10,63
2020-06-11,75
2020-06-12,23
2020-06-13,50
2020-06-14,37
2020-06-15,63
2020-06-16,62
2020-06-17,43
2020-06-18,64
2020-06-19,78
2020-06-20,38
2020-06-21,49
2020-06-22,66
2020-06-23,65
2020-06-24,33
2020-06-25,78
2020-06-26,68
2020-06-27,12
2020-06-28,24
2020-06-29,55
2020-06-30,99
2020-07-01,39
2020-07-02,58
2020-07-03,71
2020-07-04,34
2020-07-05,22
2020-07-06,48
2020-07-07,39
2020-07-08,78
2020-07-09,59
2020-07-10,61
2020-07-11,57
2020-07-12,34
2020-07-13,49
2020-07-14,60
2020-07-15,39
2020-07-16,60
2020-07-17,52
2020-07-18,68
2020-07-19,46
2020-07-20,30
2020-07-21,40
2020-07-22,70
2020-07-23,30
2020-07-24,31
2020-07-25,57
2020-07-26,35
2020-07-27,100
2020-07-28,100
2020-07-29,40
2020-07-30,30
2020-07-31,63
2020-08-01,26
2020-08-02,42
2020-08-03,44
2020-08-04,29
2020-08-05,43
2020-08-06,36
2020-08-07,44
2020-08-08,8
2020-08-09,0
2020-08-10,36
2020-08-11,43
2020-08-12,43
2020-08-13,36
2020-08-14,65
2020-08-15,16
2020-08-16,25
2020-08-17,51
2020-08-18,100
2020-08-19,28
2020-08-20,51
2020-08-21,37
2020-08-22,33
2020-08-23,32
2020-08-24,85
2020-08-25,42
2020-08-26,29
2020-08-27,78
2020-08-28,37
2020-08-29,24
2020-08-30,16
2020-08-31,35
2020-09-01,69
2020-09-02,39
2020-09-03,38
2020-09-04,32
2020-09-05,27
2020-09-06,36
2020-09-07,0
2020-09-08,30
2020-09-09,69
2020-09-10,70
2020-09-11,56
2020-09-12,9
2020-09-13,62
2020-09-14,31
2020-09-15,100
2020-09-16,31
2020-09-17,92
2020-09-18,48
2020-09-19,27
2020-09-20,0
2020-09-21,23
2020-09-22,75
2020-09-23,76
2020-09-24,30
2020-09-25,50
2020-09-26,18
2020-09-27,9
2020-09-28,55
2020-09-29,24
2020-09-30,39
2020-10-01,43
2020-10-02,45
2020-10-03,49
2020-10-04,29
2020-10-05,17
2020-10-06,34
2020-10-07,59
2020-10-08,34
2020-10-09,57
2020-10-10,31
2020-10-11,62
2020-10-12,37
2020-10-13,9
2020-10-14,46
2020-10-15,91
2020-10-16,47
2020-10-17,40
2020-10-18,21
2020-10-19,100
2020-10-20,45
2020-10-21,82
2020-10-22,47
2020-10-23,29
2020-10-24,41
2020-10-25,20
2020-10-26,36
2020-10-27,9
2020-10-28,81
2020-10-29,55
2020-10-30,37
2020-10-31,41
2020-11-01,29
2020-11-02,52
2020-11-03,89
2020-11-04,78
2020-11-05,57
2020-11-06,98
2020-11-07,27
2020-11-08,56
2020-11-09,63
2020-11-10,76
2020-11-11,25
2020-11-12,51
2020-11-13,80
2020-11-14,58
2020-11-15,71
2020-11-16,50
2020-11-17,38
2020-11-18,77
2020-11-19,51
2020-11-20,93
2020-11-21,72
2020-11-22,100
2020-11-23,13
2020-11-24,38
2020-11-25,88
2020-11-26,52
2020-11-27,26
2020-11-28,42
2020-11-29,84
2020-11-30,75
2020-12-01,49
2020-12-02,61
2020-12-03,87
2020-12-04,38
2020-12-05,99
2020-12-06,42
2020-12-07,25
2020-12-08,49
2020-12-09,38
2020-12-10,87
2020-12-11,26
2020-12-12,70
2020-12-13,14
2020-12-14,86
2020-12-15,100
2020-12-16,51
2020-12-17,51
2020-12-18,80
2020-12-19,85
2020-12-20,43
2020-12-21,27
2020-12-22,66
2020-12-23,27
2020-12-24,73
2020-12-25,0
2020-12-26,59
2020-12-27,42
2020-12-28,13
2020-12-29,13
2020-12-30,40
2020-12-31,14
2021-01-01,11
2021-01-02,32
2021-01-03,52
2021-01-04,28
2021-01-05,57
2021-01-06,66
2021-01-07,37
2021-01-08,28
2021-01-09,41
2021-01-10,21
2021-01-11,18
2021-01-12,65
2021-01-13,65
2021-01-14,67
2021-01-15,39
2021-01-16,21
2021-01-17,52
2021-01-18,37
2021-01-19,100
2021-01-20,73
2021-01-21,56
2021-01-22,29
2021-01-23,42
2021-01-24,52
2021-01-25,18
2021-01-26,19
2021-01-27,74
2021-01-28,47
2021-01-29,67
2021-01-30,21
2021-01-31,32
2021-02-01,19
2021-02-02,48
2021-02-03,10
2021-02-04,19
2021-02-05,10
2021-02-06,53
2021-02-07,43
2021-02-08,19
2021-02-09,19
2021-02-10,77
2021-02-11,59
2021-02-12,72
2021-02-13,22
2021-02-14,43
2021-02-15,79
2021-02-16,68
2021-02-17,78
2021-02-18,39
2021-02-19,30
2021-02-20,11
2021-02-21,45
2021-02-22,65
2021-02-23,39
2021-02-24,29
2021-02-25,77
2021-02-26,100
2021-02-27,44
2021-02-28,43
2021-03-01,64
2021-03-02,49
2021-03-03,80
2021-03-04,24
2021-03-05,100
2021-03-06,18
2021-03-07,9
2021-03-08,24
2021-03-09,40
2021-03-10,39
2021-03-11,33
2021-03-12,25
2021-03-13,36
2021-03-14,26
2021-03-15,33
2021-03-16,75
2021-03-17,48
2021-03-18,65
